Dates,SO2,NOX,PM10,NH3,AQI
16-Jan,4,15,62,21,67
16-Feb,4,16,68,21,68
16-Mar,4,15,71,21,71
16-Apr,5,16,70,21,70
16-May,5,15,69,21,71
16-Jun,4,15,66,21,40
16-Jul,4,16,60,21,60
16-Aug,4,17,61,21,61
16-Sep,5,18,58,21,58
16-Oct,5,22,67,21,67
16-Nov,5,20,63,21,63
16-Dec,5,21,65,21,65
17-Jan,5,21,64,21,64
17-Feb,5,21,64,21,64
17-Mar,6,20,68,21,68
17-Apr,5,20,69,21,69
17-May,5,19,71,21,71
17-Jun,4,20,66,18,66
17-Jul,5,21,61,17,62
17-Aug,5,21,61,17,60
17-Sep,5,21,61,17,61
17-Oct,5,22,62,16,65
17-Nov,6,21,63,15,63
17-Dec,6,21,64,18,64
18-Jan,5,21.3,66,21.3,66
18-Feb,5,21.5,67,24.1,67
18-Mar,6,21.3,70,26.4,70
18-Apr,5,22.1,74,28.3,74
18-May,5,22.4,74,29.7,74
18-Jun,4,22.4,69,30.6,69
18-Jul,5,22.4,64,31.1,64
18-Aug,5,22.4,64,31.1,64
18-Sep,5,23.9,61,30.6,62
18-Oct,5,25.8,67,29.6,67
18-Nov,6,26.8,71,28.2,75
18-Dec,6,24.9,81,26.3,81
19-Jan,5.9,24.8,74,24,76
19-Feb,6,24.8,75,21.8,77
19-Mar,5.7,24.5,76,19.9,79
19-Apr,5.7,24.3,77,18,78
19-May,5.2,24.8,80,16.4,80
19-Jun,5.4,25.7,75,15,77
19-Jul,5.5,26,76,13.7,78
19-Aug,4.7,24.3,77,12.6,79
19-Sep,4.4,23.5,57,11.7,73
19-Oct,4.7,24.9,72,11,72
19-Nov,4.5,24.6,75,10.5,79
19-Dec,5.2,25.7,73,10.2,73
20-Jan,5.8,27.6,78,10,78
20-Feb,5.6,26.6,82,10,82
20-Mar,4.7,22.2,71,10,71
20-Apr,2,15.8,52,10,52
20-May,2.586445147,18.70690427,59.95922765,9.999866145,63
20-Jun,4.7,24.2,75,10,74
20-Jul,5.5,24,74,10,74
20-Aug,4.6,21.5,72,10,72
20-Sep,5.3,23.7,72,10,72
20-Oct,5.3,23.8,72,10,72
20-Nov,4.932032116,23.13902323,68.72486607,11.92488127,69.5
20-Dec,4.337745631,22.17944787,61.6740363,16.10490087,67
21-Jan,4.17458633,21.83014857,57.28618839,19.73247003,64.5
21-Feb,5.1,23,62,20,62
21-Mar,6.6,25.2,73,18,73
21-Apr,6.1,25.4,74,19,74
21-May,6,23,67,17,67
21-Jun,5.957246795,20.69875767,59.66048122,14.50833495,65.9
21-Jul,5.829725932,18.96208856,53.15708412,12.15764824,64.8
21-Aug,5.617437411,17.78999266,47.48980869,9.947939875,63.7
21-Sep,5.320381231,17.18246997,42.65865495,7.879209856,62.6
21-Oct,4.938557394,17.1395205,38.66362289,5.951458182,61.5
21-Nov,4.729648964,17.66940939,36.49550099,4.787589853,60.4
21-Dec,4.95133901,18.78040178,37.14507776,5.010509871,59.3
22-Jan,5.603627532,20.47249768,40.61235318,6.620218234,58.2
22-Feb,6.686514528,22.74569709,46.89732726,9.616714944,57.1
22-Mar,8.2,25.6,56,14,56
22-Apr,9.5,28.2,65,18,65
22-May,7.9,26.5,60,14,60
22-Jun,8.6,25,57,16,58
22-Jul,6.8,23.1,48,15,48
22-Aug,8.5,26.2,56,17,56
22-Sep,9.7,27.5,54,19,56
22-Oct,10.9,29.3,62,21,65
22-Nov,7.5,26.4,58,18,58
22-Dec,9.5,25.3,62,20,62
