Dates,S02,NOX,PM10,NH3,AQI
16-Jan,8,22,69,27,69
16-Feb,9,25,59,24,59
16-Mar,7.7,32.1,42,25,44
16-Apr,7,29,62,21,62
16-May,5,21,52,23,52
16-Jun,5,19,47,21,48
16-Jul,4,20,23,23,32
16-Aug,6,20,33,21,36
16-Sep,6,23,29,21,31
16-Oct,6,23,50,25,56
16-Nov,7,23,69,22,69
16-Dec,7,26,83,24,84
17-Jan,7,25,84,25,84
17-Feb,7,31,75,26,75
17-Mar,8,26,86,24,86
17-Apr,8,26,79,25,79
17-May,7,27,82,24,82
17-Jun,6.6,22,59,23,59
17-Jul,7,27,51,22,55
17-Aug,6,26,56,25,55
17-Sep,7,22,62,21,62
17-Oct,8,32,69,39,71
17-Nov,7,22,91,26,91
17-Dec,7.7,26.7,90,26,90
18-Jan,7.9,38.5,117,25,111
18-Feb,6.5,45.8,88,54,87
18-Mar,7.4,36.3,89,62,89
18-Apr,8.7,40,102,53,100
18-May,8.8,41.9,100,60,100
18-Jun,9.1,39,101,61,100
18-Jul,8.7,33.6,89,59,89
18-Aug,7.6,38.9,91,66,91
18-Sep,9.1,40.2,101,53,100
18-Oct,9,34,98,56,98
18-Nov,9.5,44.2,110,54,106
18-Dec,9.3,40.2,100,56,100
19-Jan,10.7,54.4,107,62,104
19-Feb,10.7,58.4,103,64,102
19-Mar,10.4,57.8,105,70,103
19-Apr,10.4,61.2,113,75,109
19-May,10.2,58.9,105,71,103
19-Jun,9.1,50.5,100,69,99
19-Jul,9.1,47.8,100,63,100
19-Aug,8.5,51.8,102,74,99
19-Sep,8,51.2,97,64,97
19-Oct,7.4,50.1,104,66,102
19-Nov,7.1,52.4,107,69,105
19-Dec,6.8,56.2,119,73,112
20-Jan,6.1,52.5,116,67,111
20-Feb,6.4,56.3,121,75,114
20-Mar,6.5,49.3,115,65,110
20-Apr,7,38,33,20,39
20-May,7.8,45.2,72,33,72
20-Jun,8.4,37.1,55,36,58
20-Jul,9,48.1,124,34,114
20-Aug,8,43,70,37,70
20-Sep,7.7,43.3,99,38,96
20-Oct,7.8,38.9,156,38,137
20-Nov,7,64.8,120,75,114
20-Dec,8,45.6,114,48,108
21-Jan,7.1,56.6,114,72,110
21-Feb,7.1,47,116,72,110
21-Mar,8.2,41.7,65,46,69
21-Apr,8.2,40.7,72,45,73
21-May,8.3,42.4,68,42,68
21-Jun,7.9,39.7,69,40,72
21-Jul,6.6,32.4,57,26,57
21-Aug,6.9,32.4,64,22,64
21-Sep,6.7,34.7,66,28,66
21-Oct,7.2,35.3,68,25,68
21-Nov,6.8,34.2,73,26,73
21-Dec,7.9,30.9,83,32,82
22-Jan,7.8,30.3,82,32,82
22-Feb,6.4,27.9,92,22,90
22-Mar,6.8,26.7,99,23,96
22-Apr,8,28.4,70,24,70
22-May,6.3,26.8,78,20,76
22-Jun,6.4,32,92,31,89
22-Jul,7,29.3,69,33,69
22-Aug,6,27.4,55,19,55
22-Sep,6.7,29.9,58,20,58
22-Oct,6.7,30.6,62,29,63
22-Nov,6.2,26.1,103,22,101
22-Dec,6.2,32.7,139,35,126
