Date,S02,NOX,PM10,NH3,AQI
16-Jan,6,19,46,21,47
16-Feb,7,19,51,23,51
16-Mar,6.1,20.7,54,27,54
16-Apr,8,19,51,23,51
16-May,7,19,47,23,47
16-Jun,5,21,47,20,47
16-Jul,8,22,41,22,41
16-Aug,5,14,37,20,37
16-Sep,8,17,39,21,39
16-Oct,7,23,48,21,48
16-Nov,7,24,55,28,55
16-Dec,8,27,60,22,60
17-Jan,7,27,60,21,60
17-Feb,8,26,64,23,64
17-Mar,8,28,54,27,54
17-Apr,8,27,54,23,55
17-May,8,27,57,23,57
17-Jun,7.4,24,42,23,42
17-Jul,7,22,38,22,41
17-Aug,6,23,64,21,53
17-Sep,7,22,50,19,50
17-Oct,7,19,63,29,63
17-Nov,7,20,54,32,54
17-Dec,7.7,26.3,60,26,60
18-Jan,8.1,28,67,25,64
18-Feb,7.401986223,38.6,66,62,68
18-Mar,7.2,31.6,71,55,71
18-Apr,8.6,36,77,49,77
18-May,8.5,40.1,77,58,77
18-Jun,8.8,37.9,83,57,83
18-Jul,8.6,36.8,75,56,75
18-Aug,8.7,36.4,79,51,79
18-Sep,8.9,38.7,84,54,84
18-Oct,9.1,37.9,85,53,85
18-Nov,9.7,44.3,92,54,92
18-Dec,9.6,41.8,88,63,88
19-Jan,10.6,55.1,95,62,94
19-Feb,9.2,57.8,90,65,90
19-Mar,10.2,54.6,91,67,91
19-Apr,9.9,54.8,90,73,90
19-May,8.7,53.6,88,68,88
19-Jun,8.6,46.9,81,64,81
19-Jul,8.1,49.8,77,61,77
19-Aug,8.4,48.5,84,60,84
19-Sep,8,49.7,78,64,78
19-Oct,7.1,50.8,86,61,86
19-Nov,6.9,52,85,64,85
19-Dec,6.6,48.9,84,68,84
20-Jan,6,49.1,88,66,88
20-Feb,6.4,49,84,67,84
20-Mar,6.1,45,83,65,83
20-Apr,6,20,80,20,80
20-May,6.5,47.1,54,35,63
20-Jun,8.3,37.2,43,45,48
20-Jul,7.9,45.1,43,37,70
20-Aug,8,26,33,33,37
20-Sep,7.1,38.6,37,40,52
20-Oct,7.4,39.9,49,40,62
20-Nov,6.3,49.7,82,67,83
20-Dec,7.4,38.6,98,41,95
21-Jan,6.8,47,101,67,100
21-Feb,6.8,38,84,68,84
21-Mar,7.7,36.2,65,43,68
21-Apr,7.9,27.6,54,46,54
21-May,8.784469497,28.60525946,74.53961971,38.86460442,56
21-Jun,8.4,34.1,90,38,88
21-Jul,5.5,35.9,69,60,69
21-Aug,6,35.9,67,60,67
21-Sep,9.2,34,85,48,85
21-Oct,7.4,31,61,48,61
21-Nov,7.5,37.6,86,53,86
21-Dec,7,41.8,78,55,78
22-Jan,6.8,29.8,80,45,80
22-Feb,7.6,30.7,78,48,78
22-Mar,7.8,51.5,76,65,77
22-Apr,7.3,44.6,78,65,79
22-May,7.1,41,77,66,77
22-Jun,7.4,45.4,81,67,81
22-Jul,7.4,45.6,73,62,73
22-Aug,7.4,41.5,56,44,58
22-Sep,7,31.2,41,38,42
22-Oct,7.4,30.9,57,39,57
22-Nov,8,30,78,35,78
22-Dec,7.1,29.1,112,33,115
