Date,SO2,NOX,PM10,NH3,AQI
16-Jan,4,14,67,22,62
16-Feb,5,14.6,64,21.7,64
16-Mar,5,15.2,66,22.2,66
16-Apr,5.6,15.9,68,21.9,68
16-May,5,16.5,71,21.1,69
16-Jun,4,15,61,21,38
16-Jul,4,17,57,21,57
16-Aug,5,18,58,21,58
16-Sep,5,18,56,21,56
16-Oct,6,22,64,21,64
16-Nov,5,21,60,21,60
16-Dec,5,21,62,21,62
17-Jan,5,20,61,21,61
17-Feb,5,20,62,21,62
17-Mar,5,21,63,21,63
17-Apr,5,20,67,21,67
17-May,5,20,68,21,68
17-Jun,5,20,63,17,63
17-Jul,5,21,57,17,57
17-Aug,5,21,59,17,60
17-Sep,5,21,60,17,59
17-Oct,6,21,59,17,61
17-Nov,6,21,59,17,61
17-Dec,6,22,59,18,59
18-Jan,6,22.4,61,19.01552209,61
18-Feb,6,22.4,61,19.84835936,61
18-Mar,5.9,22.2,66,20.49851181,66
18-Apr,5.9,21.8,70,20.96597945,70
18-May,5.9,22.6,47,21.25076227,54
18-Jun,5.9,22.3,64,21.35286027,64
18-Jul,5.7,22.5,59,21.27227345,59
18-Aug,5.6,22.4,60,21.00900182,60
18-Sep,5.8,23.1,64,20.56304537,64
18-Oct,6.2,23.6,48,19.9344041,48
18-Nov,5.6,25,56,19.12307802,60
18-Dec,5.7,24.6,62,18.12906711,62
19-Jan,5.5,24.3,64,16.98663922,64
19-Feb,5.6,24.9,61,15.90140131,61
19-Mar,5.6,24.4,61,14.90762122,61
19-Apr,5.6,23.4,62,14.00529894,62
19-May,5.5,25,64,13.19443447,64
19-Jun,5.7,26,64,12.47502782,69
19-Jul,5.4,25.6,64,11.84707898,72
19-Aug,4.8,24.4,65,11.31058795,71
19-Sep,4.4,23.5,61,10.86555473,61
19-Oct,4.8,25.2,64,10.51197933,69
19-Nov,4.6,24.7,62,10.24986174,62
19-Dec,5.4,25.9,63,10.07920196,66
20-Jan,5.5,27.3,60,10,64
20-Feb,5.5,26.6,60,10,64
20-Mar,5.345938891,25.29865799,57.26209035,10.00566687,66
20-Apr,5.000684816,23.70908524,50.55133688,10.00474475,38
20-May,4.755088332,22.93996987,46.56491496,10.00145026,50
20-Jun,4.9,24.1,52,10,52
20-Jul,5.2,25.8,63,10,63
20-Aug,4.7,22.2,60,10,60
20-Sep,5.4,24.8,60,10,62
20-Oct,5.2,24.7,62,10,62
20-Nov,6.1,25.9,62,10,63
20-Dec,6,26.4,71,10,81
21-Jan,5.8,24.7,68,15,69
21-Feb,5.1,23.4,67,20,68
21-Mar,5.7,24.8,66,20,66
21-Apr,5.3,25.1,67,19,69
21-May,6,26,60,17,41
21-Jun,6.089016061,26.11174696,57.22264356,16.34752657,47.5
21-Jul,5.7,24.8,54,16,54
21-Aug,5.3,22.4,45,15,45
21-Sep,5,23.1,43,16,43
21-Oct,6.2,27.3,59,17,59
21-Nov,6.4,26.7,66,17,66
21-Dec,5.8,25.5,57,14,57
22-Jan,6.9,25.5,56,14,56
22-Feb,7.5,27.5,59,15,59
22-Mar,6.6,26.1,64,17,64
22-Apr,7.8,24,58,16,58
22-May,7.3,24.6,56,14,56
22-Jun,6,23.4,52,15,54
22-Jul,5.5,21.3,46,13,46
22-Aug,6.7,23.3,52,14,53
22-Sep,7.9,25,51,16,54
22-Oct,8.6,27.4,61,18,63
22-Nov,6.8,25,56,16,56
22-Dec,7.5,22.6,60,17,59
