Dates,S02,NOX,PM10,NH3,AQI
Jan-16,7,26,76,22,76
Feb-16,7,19,72,21,72
Mar-16,7.1,21.8,63,24,63
Apr-16,7,20,73,21,73
May-16,8,19,84,21,84
Jun-16,7,22,68,28,68
Jul-16,7,20,56,24,63
Aug-16,7,28,36,22,38
Sep-16,7,20,52,20,52
Oct-16,7,22,61,22,61
Nov-16,6,22,83,21,83
Dec-16,8,30,84,23,84
Jan-17,8,25,76,22,76
Feb-17,8,27,79,25,78
Mar-17,8,27,71,22,71
Apr-17,8,28,72,28,72
May-17,8,27,68,27,68
Jun-17,7.1,23.6,61,21,61
Jul-17,6,26,41,23,48
Aug-17,6,22,58,21,60
Sep-17,6,20,54,21,62
Oct-17,9,24,62,37,62
Nov-17,7,27,76,23,76
Dec-17,7.2,27.3,78,23,78
Jan-18,7,28.5,97,26,94
Feb-18,7,39.1,98,59,96
Mar-18,7.1,32,80,58,79
Apr-18,8.2,36.3,82,45,83
May-18,8.5,41.2,81,53,81
Jun-18,8.7,38.2,84,61,84
Jul-18,36.1,38.8,70,57,70
Aug-18,8.6,35.7,73,58,73
Sep-18,8.6,38,80,52,80
Oct-18,9.1,38.6,89,57,89
Nov-18,9.6,46.7,96,52,94
Dec-18,9.5,42.1,88,58,88
Jan-19,10.3,54.5,91,68,91
Feb-19,10.1,56,91,69,91
Mar-19,10.2,54.6,92,68,92
Apr-19,10.1,54,89,70,89
May-19,9.5,55.2,93,70,93
Jun-19,8.6,47.6,86,69,86
Jul-19,8.5,45.8,87,57,87
Aug-19,8.4,47.3,80,67,80
Sep-19,7.9,46.9,73,61,73
Oct-19,7.4,48.4,85,60,85
Nov-19,7.1,50.9,91,63,91
Dec-19,6.6,50.5,87,66,87
Jan-20,6,49.2,89,64,89
Feb-20,6.2,51.1,88,70,88
Mar-20,5.9,38.1,74,54,74
Apr-20,6,38,26,20,41
May-20,6.8,39.3,58,30,65
Jun-20,7.1,32.2,56,34,58
Jul-20,8.6,44.9,48,31,67
Aug-20,7,45,49,33,61
Sep-20,7.2,40.7,39,31,55
Oct-20,7.2,38.1,54,33,61
Nov-20,6.8,53.5,93,63,92
Dec-20,7.4,35.2,93,36,91
Jan-21,6.4,42.2,81,71,81
Feb-21,6.9,47.4,88,69,88
Mar-21,7.7,36.3,75,41,75
Apr-21,8.9,34,71,49,71
May-21,8.5,32,45,45,51
Jun-21,8,30.8,83,43,81
Jul-21,5.8,28.7,57,46,57
Aug-21,6.8,32.7,60,42,60
Sep-21,7.3,31.2,55,44,55
Oct-21,8.1,32.5,64,45,64
Nov-21,8.3,34.3,65,37,65
Dec-21,7.3,31,69,37,69
Jan-22,7.1,31.8,73,36,73
Feb-22,8.4,31,73,49,73
Mar-22,8,33.1,76,39,76
Apr-22,7.6,34.2,60,40,60
May-22,7.8,34.2,77,40,77
Jun-22,7.5,34.7,85,39,85
Jul-22,7.2,30.2,47,36,47
Aug-22,6.5,26.6,56,23,56
Sep-22,7.1,29.9,48,27,48
Oct-22,7.9,32.2,63,39,64
Nov-22,7.6,35,95,37,94
Dec-22,8.3,32.6,95,35,94
