Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Adilabad (Urban),0.0,5.4,26.8,20.9,91.7,0.0,1.2
2019-01-02,Adilabad,Adilabad (Urban),0.0,6.6,28.8,20.9,92.4,0.0,2.2
2019-01-03,Adilabad,Adilabad (Urban),0.0,9.5,31.3,20.3,86.3,0.0,1.2
2019-01-04,Adilabad,Adilabad (Urban),0.0,9.3,30.8,24.5,95.2,0.0,1.4
2019-01-05,Adilabad,Adilabad (Urban),0.0,10.3,30.8,22.6,94.6,0.0,1.2
2019-01-06,Adilabad,Adilabad (Urban),0.0,12.5,30.5,28.4,89.9,0.0,1.3
2019-01-07,Adilabad,Adilabad (Urban),0.0,13.8,29.3,36.4,95.0,0.0,2.1
2019-01-08,Adilabad,Adilabad (Urban),0.0,8.9,27.8,40.7,97.1,0.0,1.5
2019-01-09,Adilabad,Adilabad (Urban),0.0,6.8,25.7,31.7,96.2,0.0,2.1
2019-01-10,Adilabad,Adilabad (Urban),0.0,7.1,27.9,22.7,94.5,0.0,1.3
2019-01-11,Adilabad,Adilabad (Urban),0.0,9.4,28.2,25.9,91.9,0.0,1.9
2019-01-12,Adilabad,Adilabad (Urban),0.0,12.7,29.6,30.1,94.4,0.0,2.0
2019-01-13,Adilabad,Adilabad (Urban),0.0,16.7,29.9,35.8,90.2,0.0,2.2
2019-01-14,Adilabad,Adilabad (Urban),0.0,14.5,29.9,41.2,97.6,0.0,2.6
2019-01-15,Adilabad,Adilabad (Urban),0.0,12.6,28.8,49.6,89.4,0.0,1.7
2019-01-16,Adilabad,Adilabad (Urban),0.0,10.1,26.8,34.6,97.1,0.0,2.0
2019-01-17,Adilabad,Adilabad (Urban),0.0,9.6,29.2,32.6,96.8,0.0,1.4
2019-01-18,Adilabad,Adilabad (Urban),0.0,11.1,31.5,22.0,86.9,0.0,1.5
2019-01-19,Adilabad,Adilabad (Urban),0.0,11.0,30.3,28.8,93.9,0.0,1.7
2019-01-20,Adilabad,Adilabad (Urban),0.0,9.8,31.4,23.3,93.7,0.0,1.3
2019-01-21,Adilabad,Adilabad (Urban),0.0,9.6,31.8,21.3,91.8,0.0,1.5
2019-01-22,Adilabad,Adilabad (Urban),0.0,19.3,33.6,20.9,75.6,0.0,2.5
2019-01-23,Adilabad,Adilabad (Urban),0.0,18.2,31.3,23.2,86.9,0.0,2.5
2019-01-24,Adilabad,Adilabad (Urban),0.0,15.5,31.4,32.5,87.3,0.0,2.7
2019-01-25,Adilabad,Adilabad (Urban),0.0,17.9,31.1,36.5,83.7,0.2,2.0
2019-01-26,Adilabad,Adilabad (Urban),0.0,18.5,29.0,52.2,93.3,0.2,1.9
2019-01-27,Adilabad,Adilabad (Urban),0.0,17.3,21.1,80.0,94.8,0.3,1.8
2019-01-28,Adilabad,Adilabad (Urban),0.0,11.9,23.7,65.8,96.5,0.0,1.8
2019-01-29,Adilabad,Adilabad (Urban),0.0,7.3,25.7,38.4,95.4,0.0,1.9
2019-01-30,Adilabad,Adilabad (Urban),0.0,4.6,25.2,23.3,93.9,0.0,1.4
2019-01-31,Adilabad,Adilabad (Urban),0.0,6.6,26.0,20.5,88.9,0.0,2.2
2019-02-01,Adilabad,Adilabad (Urban),0.0,11.4,30.3,23.8,91.7,0.0,1.7
2019-02-02,Adilabad,Adilabad (Urban),0.0,13.5,30.5,33.6,94.3,0.0,1.9
2019-02-03,Adilabad,Adilabad (Urban),0.0,12.9,30.8,31.5,94.2,0.0,2.0
2019-02-04,Adilabad,Adilabad (Urban),0.0,12.9,31.8,24.7,87.2,0.0,3.0
2019-02-05,Adilabad,Adilabad (Urban),0.0,12.7,31.6,24.4,87.3,0.0,1.6
2019-02-06,Adilabad,Adilabad (Urban),0.0,14.8,32.6,23.1,84.2,0.0,1.7
2019-02-07,Adilabad,Adilabad (Urban),0.0,21.9,32.8,28.9,73.7,0.4,2.8
2019-02-08,Adilabad,Adilabad (Urban),0.0,17.0,33.0,36.9,60.3,0.0,3.2
2019-02-09,Adilabad,Adilabad (Urban),0.0,11.3,29.7,28.9,56.5,0.0,1.7
2019-02-10,Adilabad,Adilabad (Urban),0.0,7.2,26.8,21.3,81.4,0.0,1.6
2019-02-11,Adilabad,Adilabad (Urban),0.0,11.0,28.6,22.2,76.7,0.0,1.9
2019-02-12,Adilabad,Adilabad (Urban),0.0,15.9,31.7,29.1,85.1,0.0,1.7
2019-02-13,Adilabad,Adilabad (Urban),0.0,15.5,32.7,36.8,95.7,0.0,1.6
2019-02-14,Adilabad,Adilabad (Urban),0.0,17.6,34.6,22.5,76.5,0.0,1.5
2019-02-15,Adilabad,Adilabad (Urban),0.0,21.2,35.2,21.3,60.9,0.0,2.0
2019-02-16,Adilabad,Adilabad (Urban),0.0,17.9,34.3,32.4,95.3,0.0,3.2
2019-02-17,Adilabad,Adilabad (Urban),0.0,15.2,34.7,48.8,82.8,0.0,1.4
2019-02-18,Adilabad,Adilabad (Urban),0.0,13.0,31.6,35.4,89.2,0.0,2.0
2019-02-19,Adilabad,Adilabad (Urban),0.0,15.3,33.0,21.3,78.1,0.0,2.3
2019-02-20,Adilabad,Adilabad (Urban),0.0,23.4,36.9,26.4,79.7,0.0,1.9
2019-02-21,Adilabad,Adilabad (Urban),0.0,24.8,34.9,31.7,71.1,0.2,2.4
2019-02-22,Adilabad,Adilabad (Urban),0.0,24.6,35.9,25.2,60.3,0.2,1.6
2019-02-23,Adilabad,Adilabad (Urban),0.0,21.8,37.6,22.5,61.4,0.0,1.1
2019-02-24,Adilabad,Adilabad (Urban),0.0,20.9,37.4,24.5,68.3,0.0,1.9
2019-02-25,Adilabad,Adilabad (Urban),0.0,17.5,37.7,21.0,58.1,0.0,2.0
2019-02-26,Adilabad,Adilabad (Urban),0.0,15.4,35.2,17.2,64.2,0.0,2.1
2019-02-27,Adilabad,Adilabad (Urban),0.0,15.2,35.8,16.0,62.2,0.0,2.0
2019-02-28,Adilabad,Adilabad (Urban),0.0,14.8,33.6,19.0,67.1,0.0,1.4
2019-03-01,Adilabad,Adilabad (Urban),0.0,14.7,32.5,22.3,71.5,0.0,2.1
2019-03-02,Adilabad,Adilabad (Urban),0.0,18.1,33.5,24.1,64.9,0.0,2.1
2019-03-03,Adilabad,Adilabad (Urban),0.0,24.7,33.5,41.2,77.3,0.3,3.0
2019-03-04,Adilabad,Adilabad (Urban),0.0,22.3,37.2,21.3,82.2,0.0,2.5
2019-03-05,Adilabad,Adilabad (Urban),0.0,21.0,36.3,21.0,62.5,0.0,2.2
2019-03-06,Adilabad,Adilabad (Urban),0.0,15.2,34.9,17.2,64.6,0.0,2.3
2019-03-07,Adilabad,Adilabad (Urban),0.0,15.7,33.9,18.3,67.5,0.0,2.2
2019-03-08,Adilabad,Adilabad (Urban),0.0,14.8,34.2,19.0,72.2,0.0,2.4
2019-03-09,Adilabad,Adilabad (Urban),0.0,17.7,36.7,15.0,70.2,0.0,1.2
2019-03-10,Adilabad,Adilabad (Urban),0.0,19.1,37.5,15.5,68.7,0.0,1.8
2019-03-11,Adilabad,Adilabad (Urban),0.0,22.4,37.5,16.4,67.4,0.0,2.4
2019-03-12,Adilabad,Adilabad (Urban),0.0,22.7,37.4,26.0,65.6,0.0,2.2
2019-03-13,Adilabad,Adilabad (Urban),0.0,25.6,38.0,21.1,60.4,0.0,2.0
2019-03-14,Adilabad,Adilabad (Urban),0.0,22.9,37.9,21.8,63.7,0.0,3.2
2019-03-15,Adilabad,Adilabad (Urban),0.0,22.6,37.9,16.6,43.4,0.0,2.0
2019-03-16,Adilabad,Adilabad (Urban),0.0,21.3,38.1,20.3,57.4,0.0,1.4
2019-03-17,Adilabad,Adilabad (Urban),0.0,26.6,37.9,17.0,55.2,0.4,3.7
2019-03-18,Adilabad,Adilabad (Urban),0.0,23.3,37.3,20.5,64.3,0.0,3.6
2019-03-19,Adilabad,Adilabad (Urban),0.0,24.1,37.5,22.3,58.3,0.2,2.9
2019-03-20,Adilabad,Adilabad (Urban),0.0,26.7,38.4,20.5,67.5,0.0,2.0
2019-03-21,Adilabad,Adilabad (Urban),0.0,23.5,37.7,33.6,75.1,0.2,3.3
2019-03-22,Adilabad,Adilabad (Urban),6.5,24.7,37.3,36.6,86.0,0.0,2.1
2019-03-23,Adilabad,Adilabad (Urban),0.0,24.5,37.3,28.9,73.7,0.0,1.7
2019-03-24,Adilabad,Adilabad (Urban),0.0,21.7,38.7,25.5,64.2,0.0,1.5
2019-03-25,Adilabad,Adilabad (Urban),0.0,21.2,38.7,19.6,63.5,0.0,1.9
2019-03-26,Adilabad,Adilabad (Urban),0.0,25.3,39.7,19.4,61.1,0.0,1.8
2019-03-27,Adilabad,Adilabad (Urban),0.0,23.2,40.6,13.5,59.5,0.0,1.5
2019-03-28,Adilabad,Adilabad (Urban),0.0,22.5,39.8,18.5,60.1,0.0,1.6
2019-03-29,Adilabad,Adilabad (Urban),0.0,21.2,40.1,14.7,55.9,0.0,1.9
2019-03-30,Adilabad,Adilabad (Urban),0.0,23.7,39.4,11.3,57.5,0.0,2.3
2019-03-31,Adilabad,Adilabad (Urban),0.0,27.9,42.1,12.9,47.1,0.0,1.8
2019-04-01,Adilabad,Adilabad (Urban),0.0,25.3,42.5,12.2,42.8,0.0,2.8
2019-04-02,Adilabad,Adilabad (Urban),0.0,23.9,42.2,14.7,19.5,0.3,2.6
2019-04-03,Adilabad,Adilabad (Urban),0.0,27.0,41.5,16.0,50.5,0.2,1.8
2019-04-04,Adilabad,Adilabad (Urban),0.0,28.0,41.4,15.8,59.2,0.3,3.0
2019-04-05,Adilabad,Adilabad (Urban),0.0,25.9,40.6,20.4,49.5,0.0,2.9
2019-04-06,Adilabad,Adilabad (Urban),0.0,28.5,39.2,18.4,41.2,0.0,2.9
2019-04-07,Adilabad,Adilabad (Urban),0.0,27.7,41.5,13.2,53.5,0.0,17.0
2019-04-08,Adilabad,Adilabad (Urban),0.0,27.9,41.7,13.0,46.5,0.0,2.8
2019-04-09,Adilabad,Adilabad (Urban),0.0,29.0,42.2,12.0,48.4,0.3,2.3
2019-04-10,Adilabad,Adilabad (Urban),0.0,29.3,42.1,11.0,50.8,0.3,2.5
2019-04-11,Adilabad,Adilabad (Urban),0.0,30.2,42.2,10.8,53.5,0.0,2.5
2019-04-12,Adilabad,Adilabad (Urban),0.0,30.6,43.2,11.6,37.4,0.1,2.8
2019-04-13,Adilabad,Adilabad (Urban),0.0,28.9,42.4,14.8,42.3,0.4,3.1
2019-04-14,Adilabad,Adilabad (Urban),0.0,28.2,42.5,13.5,43.6,0.0,2.0
2019-04-15,Adilabad,Adilabad (Urban),0.0,31.5,43.6,13.1,36.7,0.0,3.6
2019-04-16,Adilabad,Adilabad (Urban),8.3,23.6,41.4,16.2,82.3,0.0,2.4
2019-04-17,Adilabad,Adilabad (Urban),0.0,23.8,39.0,22.6,79.3,0.0,2.8
2019-04-18,Adilabad,Adilabad (Urban),0.0,26.0,38.0,26.8,57.4,0.0,2.5
2019-04-19,Adilabad,Adilabad (Urban),0.0,26.0,39.3,20.9,64.7,0.0,1.8
2019-04-20,Adilabad,Adilabad (Urban),0.0,27.8,40.8,14.9,58.4,0.3,2.2
2019-04-21,Adilabad,Adilabad (Urban),0.0,28.4,40.6,21.6,57.8,0.1,3.3
2019-04-22,Adilabad,Adilabad (Urban),0.0,29.0,40.5,19.2,56.7,0.0,1.8
2019-04-23,Adilabad,Adilabad (Urban),0.0,27.4,39.4,35.7,55.0,0.0,5.3
2019-04-24,Adilabad,Adilabad (Urban),0.0,28.2,42.0,13.3,50.8,0.3,2.6
2019-04-25,Adilabad,Adilabad (Urban),0.0,30.5,42.6,14.5,42.4,0.0,2.9
2019-04-26,Adilabad,Adilabad (Urban),0.0,31.5,43.6,11.8,37.5,0.0,2.2
2019-04-27,Adilabad,Adilabad (Urban),0.0,32.6,44.5,12.8,35.9,0.2,2.4
2019-04-28,Adilabad,Adilabad (Urban),0.0,33.0,44.5,14.7,40.5,0.0,2.3
2019-04-29,Adilabad,Adilabad (Urban),0.0,32.4,45.2,15.2,40.1,0.4,2.4
2019-04-30,Adilabad,Adilabad (Urban),0.0,31.8,44.5,14.8,39.8,0.3,2.4
2019-05-01,Adilabad,Adilabad (Urban),0.0,29.8,44.5,9.4,44.3,0.0,2.6
2019-05-02,Adilabad,Adilabad (Urban),0.0,30.1,43.7,11.2,39.4,0.0,2.3
2019-05-03,Adilabad,Adilabad (Urban),0.0,29.0,44.6,10.3,29.0,0.0,2.8
2019-05-04,Adilabad,Adilabad (Urban),0.0,29.6,40.5,17.8,26.7,0.0,3.6
2019-05-05,Adilabad,Adilabad (Urban),0.0,29.7,42.0,13.2,38.3,0.0,2.3
2019-05-06,Adilabad,Adilabad (Urban),0.0,27.0,42.9,12.6,35.5,0.0,3.8
2019-05-07,Adilabad,Adilabad (Urban),0.0,30.1,43.0,11.5,30.4,0.0,2.6
2019-05-08,Adilabad,Adilabad (Urban),0.0,30.9,44.6,10.2,27.3,0.0,3.0
2019-05-09,Adilabad,Adilabad (Urban),0.0,30.6,44.1,11.1,30.5,0.0,2.3
2019-05-10,Adilabad,Adilabad (Urban),0.0,28.7,43.3,13.2,35.7,0.0,2.3
2019-05-11,Adilabad,Adilabad (Urban),0.0,29.9,43.3,13.8,40.5,0.0,2.2
2019-05-12,Adilabad,Adilabad (Urban),0.0,31.5,42.8,17.8,46.8,0.0,2.8
2019-05-13,Adilabad,Adilabad (Urban),0.0,31.0,43.5,12.4,37.3,0.0,2.2
2019-05-14,Adilabad,Adilabad (Urban),0.0,28.6,42.7,12.8,31.4,0.0,1.8
2019-05-15,Adilabad,Adilabad (Urban),0.0,30.1,43.0,14.2,41.2,0.0,2.2
2019-05-16,Adilabad,Adilabad (Urban),0.0,31.9,44.3,11.8,44.5,0.0,2.2
2019-05-17,Adilabad,Adilabad (Urban),0.0,30.0,43.4,14.2,32.9,0.0,2.0
2019-05-18,Adilabad,Adilabad (Urban),0.0,30.1,43.7,12.6,34.2,0.0,2.4
2019-05-19,Adilabad,Adilabad (Urban),0.0,28.9,43.4,14.5,31.2,0.0,2.9
2019-05-20,Adilabad,Adilabad (Urban),0.0,28.8,43.7,13.0,38.6,0.0,2.9
2019-05-21,Adilabad,Adilabad (Urban),0.0,32.4,44.5,13.9,38.0,0.0,1.5
2019-05-22,Adilabad,Adilabad (Urban),0.0,32.9,45.7,12.2,38.8,0.4,3.2
2019-05-23,Adilabad,Adilabad (Urban),0.0,34.6,44.6,14.6,43.3,0.0,2.2
2019-05-24,Adilabad,Adilabad (Urban),0.0,33.1,44.9,15.6,44.3,0.4,3.5
2019-05-25,Adilabad,Adilabad (Urban),0.0,31.9,44.7,15.8,31.9,0.0,2.5
2019-05-26,Adilabad,Adilabad (Urban),0.0,29.3,44.7,14.8,39.6,0.0,3.0
2019-05-27,Adilabad,Adilabad (Urban),0.0,32.5,45.5,13.8,29.1,0.0,3.2
