Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Bela ,0.0,4.3,27.3,19.2,89.1,0.0,1.3
2019-01-02,Adilabad,Bela ,0.0,4.7,29.0,21.9,90.0,0.0,1.4
2019-01-03,Adilabad,Bela ,0.0,7.4,31.7,17.6,90.1,0.0,1.3
2019-01-04,Adilabad,Bela ,0.0,8.9,30.6,23.9,92.3,0.0,1.5
2019-01-05,Adilabad,Bela ,0.0,8.7,30.9,26.1,91.5,0.0,1.2
2019-01-06,Adilabad,Bela ,0.0,11.2,30.3,31.2,91.2,0.0,1.1
2019-01-07,Adilabad,Bela ,0.0,11.8,29.7,38.6,95.1,0.0,1.3
2019-01-08,Adilabad,Bela ,0.0,8.0,28.2,45.2,94.9,0.0,1.5
2019-01-09,Adilabad,Bela ,0.0,5.6,26.1,28.6,94.7,0.0,1.1
2019-01-10,Adilabad,Bela ,0.0,6.1,28.5,22.0,91.7,0.0,1.0
2019-01-11,Adilabad,Bela ,0.0,7.6,28.6,26.8,89.2,0.0,1.6
2019-01-12,Adilabad,Bela ,0.0,12.9,29.4,36.2,95.9,0.1,1.3
2019-01-13,Adilabad,Bela ,0.0,16.4,31.3,36.0,78.4,0.0,2.0
2019-01-14,Adilabad,Bela ,0.0,14.0,30.6,39.2,97.7,0.0,1.2
2019-01-15,Adilabad,Bela ,0.0,12.7,29.6,53.8,93.6,0.0,1.1
2019-01-16,Adilabad,Bela ,0.0,9.0,26.9,35.3,94.1,0.0,1.9
2019-01-17,Adilabad,Bela ,0.0,8.4,30.3,33.1,93.4,0.0,1.3
2019-01-18,Adilabad,Bela ,0.0,10.8,31.7,20.8,80.8,0.0,1.1
2019-01-19,Adilabad,Bela ,0.0,11.2,30.6,28.7,86.6,0.0,1.0
2019-01-20,Adilabad,Bela ,0.0,8.4,31.2,25.1,87.3,0.0,0.4
2019-01-21,Adilabad,Bela ,0.0,8.4,31.7,22.6,83.9,0.0,1.5
2019-01-22,Adilabad,Bela ,0.0,20.3,34.3,21.2,66.5,0.3,3.8
2019-01-23,Adilabad,Bela ,0.0,20.4,32.7,25.3,78.7,0.1,1.9
2019-01-24,Adilabad,Bela ,0.0,15.2,33.1,30.9,87.4,0.0,1.2
2019-01-25,Adilabad,Bela ,0.0,17.3,31.1,46.0,85.1,0.0,3.6
2019-01-26,Adilabad,Bela ,3.5,18.2,27.5,59.5,98.0,0.1,1.6
2019-01-27,Adilabad,Bela ,4.3,16.9,20.8,86.2,98.3,0.2,1.5
2019-01-28,Adilabad,Bela ,0.0,12.7,22.6,71.5,99.2,0.0,1.3
2019-01-29,Adilabad,Bela ,0.0,7.3,25.6,42.4,94.9,0.0,1.6
2019-01-30,Adilabad,Bela ,0.0,4.0,25.0,23.4,94.9,0.0,1.6
2019-01-31,Adilabad,Bela ,0.0,6.0,26.2,20.5,91.2,0.0,1.4
2019-02-01,Adilabad,Bela ,0.0,10.0,31.3,31.8,90.4,0.0,1.3
