Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Bela,0.0,5.2,28.1,18.3,85.4,0.0,1.3
2019-01-02,Adilabad,Bela,0.0,5.6,29.9,18.2,86.3,0.0,0.9
2019-01-03,Adilabad,Bela,0.0,8.2,32.6,16.4,86.4,0.0,1.3
2019-01-04,Adilabad,Bela,0.0,9.7,31.4,20.2,88.6,0.0,1.5
2019-01-05,Adilabad,Bela,0.0,9.5,31.8,22.4,87.8,0.0,0.1
2019-01-06,Adilabad,Bela,0.0,12.1,31.2,27.5,87.5,0.0,1.1
2019-01-07,Adilabad,Bela,0.0,12.6,30.5,34.9,91.4,0.0,1.3
2019-01-08,Adilabad,Bela,0.0,8.8,28.4,41.5,91.2,0.0,1.5
2019-01-09,Adilabad,Bela,0.0,6.4,27.0,24.9,91.0,0.0,1.1
2019-01-10,Adilabad,Bela,0.0,7.0,29.4,18.3,88.0,0.0,1.0
2019-01-11,Adilabad,Bela,0.0,8.4,29.4,23.1,85.5,0.0,1.6
2019-01-12,Adilabad,Bela,0.0,13.7,30.3,32.5,92.2,0.1,1.3
2019-01-13,Adilabad,Bela,0.0,17.2,32.2,32.3,74.7,0.0,2.0
2019-01-14,Adilabad,Bela,0.0,14.8,31.4,35.5,94.0,0.0,1.2
2019-01-15,Adilabad,Bela,0.0,13.5,29.8,50.1,89.9,0.0,1.1
2019-01-16,Adilabad,Bela,0.0,9.9,27.7,31.6,90.4,0.0,1.9
2019-01-17,Adilabad,Bela,0.0,11.0,30.3,29.4,89.7,0.0,1.3
2019-01-18,Adilabad,Bela,0.0,11.4,31.4,17.1,81.4,0.0,1.1
2019-01-19,Adilabad,Bela,0.0,10.6,30.6,28.7,88.2,0.0,1.0
2019-01-20,Adilabad,Bela,0.0,10.2,31.2,24.6,82.8,0.0,0.4
2019-01-21,Adilabad,Bela,0.0,10.1,31.8,22.1,79.7,0.0,1.5
2019-01-22,Adilabad,Bela,0.0,21.1,34.4,21.2,71.4,0.0,0.1
2019-01-23,Adilabad,Bela,0.0,19.5,32.7,25.0,85.5,0.0,9.0
2019-01-24,Adilabad,Bela,0.0,15.8,32.8,34.2,86.4,0.0,1.2
2019-01-25,Adilabad,Bela,0.0,18.2,31.6,39.7,81.4,0.0,3.6
2019-01-26,Adilabad,Bela,55.8,18.3,28.6,55.5,90.8,0.1,1.6
2019-01-27,Adilabad,Bela,1.5,17.0,20.7,83.2,90.3,0.2,1.5
2019-01-28,Adilabad,Bela,0.0,12.1,23.3,74.7,94.5,0.0,1.3
2019-01-29,Adilabad,Bela,0.0,8.8,25.3,42.8,88.2,0.0,1.6
2019-01-30,Adilabad,Bela,0.0,6.3,24.8,25.1,88.4,0.0,1.6
2019-01-31,Adilabad,Bela,0.0,6.8,26.3,22.2,83.6,0.0,1.4
2019-02-01,Adilabad,Bela,0.0,13.0,31.3,27.0,89.8,0.0,0.1
2019-02-02,Adilabad,Bela,0.0,14.8,31.1,34.4,92.0,0.0,2.0
2019-02-03,Adilabad,Bela,0.0,15.2,31.3,30.6,85.0,0.0,2.4
2019-02-04,Adilabad,Bela,0.0,15.2,31.9,24.7,76.2,0.0,3.6
2019-02-05,Adilabad,Bela,0.0,14.2,32.7,26.3,81.1,0.0,1.5
2019-02-06,Adilabad,Bela,0.0,15.3,32.8,24.7,66.2,0.0,1.8
2019-02-07,Adilabad,Bela,0.0,21.8,34.1,26.4,69.2,0.1,3.0
2019-02-08,Adilabad,Bela,0.0,16.4,34.1,32.0,60.2,0.0,2.7
2019-02-09,Adilabad,Bela,0.0,9.6,32.5,26.1,62.7,0.0,0.9
2019-02-10,Adilabad,Bela,0.0,6.8,27.6,21.5,70.0,0.0,0.1
2019-02-11,Adilabad,Bela,0.0,12.6,29.9,20.2,56.4,0.0,1.7
2019-02-12,Adilabad,Bela,0.0,18.2,33.5,27.3,89.7,0.0,0.1
2019-02-13,Adilabad,Bela,0.0,15.7,34.0,42.2,87.0,0.0,1.5
2019-02-14,Adilabad,Bela,0.0,18.5,36.4,20.3,60.5,0.0,1.7
2019-02-15,Adilabad,Bela,0.0,24.7,36.8,22.1,57.1,0.0,2.9
2019-02-16,Adilabad,Bela,0.0,18.0,36.0,27.6,81.2,0.0,13.6
2019-02-17,Adilabad,Bela,0.0,15.9,33.8,30.5,81.7,0.0,0.1
2019-02-18,Adilabad,Bela,0.0,13.9,32.5,30.2,71.1,0.0,0.1
2019-02-19,Adilabad,Bela,0.0,20.5,34.4,20.0,63.2,0.0,1.3
2019-02-20,Adilabad,Bela,0.0,23.5,36.5,24.3,79.9,0.0,1.6
2019-02-21,Adilabad,Bela,0.0,24.2,35.7,29.2,78.0,0.0,2.9
2019-02-22,Adilabad,Bela,0.0,24.7,36.7,27.6,68.6,0.0,4.8
2019-02-23,Adilabad,Bela,0.0,22.9,37.4,24.7,63.0,0.0,3.8
2019-02-24,Adilabad,Bela,0.0,22.6,36.3,25.0,58.1,0.0,9.6
2019-02-25,Adilabad,Bela,0.0,20.3,36.3,22.4,57.4,0.0,11.1
2019-02-26,Adilabad,Bela,0.0,17.8,34.6,16.5,38.5,0.0,11.5
2019-02-27,Adilabad,Bela,0.0,17.0,34.3,16.6,53.0,0.0,12.8
2019-02-28,Adilabad,Bela,0.0,15.5,33.1,19.5,50.5,0.0,2.4
2019-03-01,Adilabad,Bela,0.0,14.0,31.4,27.0,53.0,0.1,2.0
2019-03-02,Adilabad,Bela,0.0,19.1,33.3,29.9,54.2,0.0,0.2
2019-03-03,Adilabad,Bela,0.0,22.6,33.3,40.1,73.7,0.0,7.9
2019-03-04,Adilabad,Bela,0.0,21.6,35.3,29.5,67.9,0.0,9.7
2019-03-05,Adilabad,Bela,0.0,21.2,35.8,22.3,60.1,0.0,0.3
2019-03-06,Adilabad,Bela,0.0,16.8,33.5,18.6,48.1,0.0,10.6
2019-03-07,Adilabad,Bela,0.0,16.6,32.8,20.4,59.5,0.0,0.2
2019-03-08,Adilabad,Bela,0.0,14.9,33.8,19.8,52.8,0.0,0.1
2019-03-09,Adilabad,Bela,0.0,18.2,36.5,15.4,43.0,0.0,3.2
2019-03-10,Adilabad,Bela,0.0,20.7,37.0,18.1,59.5,0.0,3.1
2019-03-11,Adilabad,Bela,0.0,23.8,37.0,19.5,65.2,0.0,0.1
2019-03-12,Adilabad,Bela,0.0,24.1,36.7,27.4,60.0,0.0,7.7
2019-03-13,Adilabad,Bela,0.0,27.0,37.7,24.1,46.8,0.0,1.9
2019-03-14,Adilabad,Bela,0.0,21.7,37.3,26.9,53.3,0.0,17.1
2019-03-15,Adilabad,Bela,0.0,20.8,36.3,21.8,44.5,0.0,12.5
2019-03-16,Adilabad,Bela,0.0,20.2,37.7,18.2,44.2,0.0,9.6
2019-03-17,Adilabad,Bela,0.0,23.6,38.1,15.5,57.5,0.0,7.1
2019-03-18,Adilabad,Bela,0.0,23.0,37.2,19.2,41.3,0.0,3.3
2019-03-19,Adilabad,Bela,0.0,23.1,36.8,20.6,57.6,0.0,13.3
2019-03-20,Adilabad,Bela,0.0,25.6,37.5,24.1,64.7,0.0,8.5
2019-03-21,Adilabad,Bela,0.0,22.4,36.0,33.4,71.7,0.0,13.3
2019-03-22,Adilabad,Bela,0.0,22.1,35.3,37.1,71.7,0.0,8.6
2019-03-23,Adilabad,Bela,0.0,22.9,35.9,29.7,72.2,0.0,3.2
2019-03-24,Adilabad,Bela,0.0,21.5,35.9,30.4,54.6,0.0,6.6
2019-03-25,Adilabad,Bela,0.0,22.3,37.0,21.6,47.5,0.0,0.1
2019-03-26,Adilabad,Bela,0.0,25.7,37.9,22.0,52.8,0.0,1.2
2019-03-27,Adilabad,Bela,0.0,23.1,38.9,14.2,62.4,0.0,15.0
2019-03-28,Adilabad,Bela,0.0,24.1,38.8,17.7,48.1,0.0,7.1
2019-03-29,Adilabad,Bela,0.0,23.6,38.6,17.7,33.7,0.0,9.5
2019-03-30,Adilabad,Bela,0.0,24.9,40.2,11.5,38.1,0.0,13.5
2019-03-31,Adilabad,Bela,0.0,27.3,41.3,14.5,44.3,0.0,4.4
2019-04-01,Adilabad,Bela,0.0,23.9,40.5,14.1,33.5,0.0,12.3
2019-04-02,Adilabad,Bela,0.0,25.1,41.4,11.7,48.5,0.0,12.2
2019-04-03,Adilabad,Bela,0.0,27.3,41.4,18.1,40.9,0.0,14.1
2019-04-04,Adilabad,Bela,0.0,25.5,39.3,22.5,48.4,0.0,11.2
2019-04-05,Adilabad,Bela,0.0,26.1,40.6,22.5,46.7,0.0,12.9
2019-04-06,Adilabad,Bela,0.0,28.9,39.8,18.6,32.9,0.0,7.7
2019-04-07,Adilabad,Bela,0.0,24.9,41.8,15.4,39.5,0.0,6.0
2019-04-08,Adilabad,Bela,0.0,24.1,38.9,15.0,52.7,0.0,14.2
2019-04-09,Adilabad,Bela,0.0,24.6,38.9,16.2,58.6,0.0,11.2
2019-04-10,Adilabad,Bela,0.0,23.5,39.7,23.1,66.4,0.0,9.6
2019-04-11,Adilabad,Bela,0.0,28.5,42.9,11.1,63.6,0.0,11.4
2019-04-12,Adilabad,Bela,0.0,29.5,42.1,11.9,41.2,0.0,12.7
2019-04-13,Adilabad,Bela,0.0,26.3,40.9,20.7,50.2,0.0,14.3
2019-04-14,Adilabad,Bela,0.0,26.7,41.6,14.2,40.7,0.2,2.9
2019-04-15,Adilabad,Bela,0.0,29.1,41.2,14.8,38.6,0.3,7.5
2019-04-16,Adilabad,Bela,0.0,24.3,40.1,17.6,60.1,0.2,5.8
2019-04-17,Adilabad,Bela,0.0,23.9,38.9,22.8,60.1,0.0,4.3
2019-04-18,Adilabad,Bela,0.0,24.4,37.1,27.2,45.4,0.0,2.2
2019-04-19,Adilabad,Bela,0.0,25.6,39.0,21.5,56.7,0.0,1.8
2019-04-20,Adilabad,Bela,0.0,25.9,40.4,20.9,56.9,0.1,3.5
2019-04-21,Adilabad,Bela,0.0,27.2,39.1,23.3,55.9,0.4,4.4
2019-04-22,Adilabad,Bela,0.0,28.4,40.4,15.2,55.4,0.1,4.7
2019-04-23,Adilabad,Bela,0.0,24.5,38.9,21.9,54.3,0.1,5.0
2019-04-24,Adilabad,Bela,0.0,25.5,41.5,15.5,55.4,0.2,2.7
2019-04-25,Adilabad,Bela,0.0,29.7,41.2,18.5,46.5,0.0,2.5
2019-04-26,Adilabad,Bela,0.0,27.9,41.5,15.2,40.3,0.0,2.8
2019-04-27,Adilabad,Bela,0.0,31.9,44.0,15.5,41.5,0.3,3.3
