Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Boath ,0.0,8.1,28.4,16.6,57.7,0.0,9.3
2019-01-02,Adilabad,Boath ,0.0,8.6,31.4,17.3,62.4,0.0,14.9
2019-01-03,Adilabad,Boath ,0.0,9.9,32.4,16.3,66.3,0.0,9.0
2019-01-04,Adilabad,Boath ,0.0,11.3,32.8,18.4,70.4,0.0,11.7
2019-01-05,Adilabad,Boath ,0.0,11.3,31.8,20.2,70.5,0.0,7.4
2019-01-06,Adilabad,Boath ,0.0,12.9,32.1,22.4,74.5,0.0,15.7
2019-01-07,Adilabad,Boath ,0.0,14.3,30.8,27.1,74.2,0.0,23.6
2019-01-08,Adilabad,Boath ,0.0,10.4,29.3,34.0,70.2,0.0,2.9
2019-01-09,Adilabad,Boath ,0.0,8.2,28.5,20.3,67.3,0.0,7.4
2019-01-10,Adilabad,Boath ,0.0,8.8,31.1,17.1,62.4,0.0,9.7
2019-01-11,Adilabad,Boath ,0.0,10.7,31.1,18.2,35.2,0.0,14.9
2019-01-12,Adilabad,Boath ,0.0,14.8,31.7,22.6,74.0,0.0,28.4
2019-01-13,Adilabad,Boath ,0.0,17.4,31.7,28.1,73.5,0.0,16.8
2019-01-14,Adilabad,Boath ,0.0,14.8,31.7,32.3,73.9,0.0,15.3
2019-01-15,Adilabad,Boath ,0.0,13.5,30.3,35.2,74.2,0.0,10.0
2019-01-16,Adilabad,Boath ,0.0,12.0,29.5,31.4,71.3,0.0,9.0
2019-01-17,Adilabad,Boath ,0.0,12.0,30.2,23.0,69.2,0.0,14.3
2019-01-18,Adilabad,Boath ,0.0,10.5,32.4,17.2,68.1,0.0,14.2
2019-01-19,Adilabad,Boath ,0.0,13.3,30.9,33.5,74.8,0.0,8.4
2019-01-20,Adilabad,Boath ,0.0,11.3,31.6,28.5,68.1,0.0,13.7
2019-01-21,Adilabad,Boath ,0.0,11.5,32.7,25.0,64.3,0.0,17.0
2019-01-22,Adilabad,Boath ,0.0,14.6,31.9,26.7,75.4,0.0,26.5
2019-01-23,Adilabad,Boath ,0.0,15.7,30.6,31.7,84.0,0.0,28.4
2019-01-24,Adilabad,Boath ,0.0,14.5,31.5,38.5,83.1,0.0,30.0
2019-01-25,Adilabad,Boath ,0.0,18.5,31.8,39.4,77.5,0.0,25.2
2019-01-26,Adilabad,Boath ,0.0,17.6,29.6,55.1,83.9,0.0,20.5
2019-01-27,Adilabad,Boath ,0.0,17.0,20.5,77.9,83.6,0.0,16.8
2019-01-28,Adilabad,Boath ,0.0,11.2,22.6,65.6,97.0,0.0,15.1
2019-01-29,Adilabad,Boath ,0.0,9.4,24.6,41.7,88.8,0.0,12.6
2019-01-30,Adilabad,Boath ,0.0,3.4,23.7,23.1,84.3,0.0,15.3
2019-01-31,Adilabad,Boath ,0.0,6.0,26.6,20.3,78.0,0.0,16.0
2019-02-01,Adilabad,Boath ,0.0,10.6,28.8,27.6,88.3,0.0,24.5
2019-02-02,Adilabad,Boath ,0.0,12.4,28.9,38.2,91.5,0.0,22.0
2019-02-03,Adilabad,Boath ,0.0,11.8,30.1,30.4,91.2,0.0,18.5
2019-02-04,Adilabad,Boath ,0.0,11.5,30.4,28.0,87.8,0.0,30.9
2019-02-05,Adilabad,Boath ,0.0,12.7,31.1,25.2,81.8,0.0,19.0
2019-02-06,Adilabad,Boath ,0.0,13.7,31.2,26.6,85.4,0.0,15.1
2019-02-07,Adilabad,Boath ,0.0,20.3,32.4,27.6,76.7,0.0,23.8
2019-02-08,Adilabad,Boath ,0.0,15.5,31.7,38.8,64.3,0.0,44.0
2019-02-09,Adilabad,Boath ,0.0,13.1,29.6,26.9,60.6,0.0,23.4
2019-02-10,Adilabad,Boath ,0.0,6.5,26.5,20.7,75.4,0.0,14.4
2019-02-11,Adilabad,Boath ,0.0,10.7,28.8,20.9,75.1,0.0,15.8
2019-02-12,Adilabad,Boath ,0.0,15.7,30.3,30.3,87.9,0.0,25.1
2019-02-13,Adilabad,Boath ,0.0,14.5,31.5,40.7,92.9,0.0,25.8
2019-02-14,Adilabad,Boath ,0.0,12.3,33.3,24.7,83.1,0.0,36.1
2019-02-15,Adilabad,Boath ,0.0,19.2,33.9,23.6,73.9,0.0,20.4
