Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Gudihatnoor,0.0,8.1,28.1,20.5,64.0,0.0,17.5
2019-01-02,Adilabad,Gudihatnoor,0.0,7.6,29.6,19.1,76.1,0.0,13.8
2019-01-03,Adilabad,Gudihatnoor,0.0,8.4,32.3,15.3,79.8,0.0,11.8
2019-01-04,Adilabad,Gudihatnoor,0.0,12.1,32.0,23.8,73.1,0.0,10.3
2019-01-05,Adilabad,Gudihatnoor,0.0,10.5,32.2,22.4,80.4,0.0,12.4
2019-01-06,Adilabad,Gudihatnoor,0.0,13.7,32.1,26.1,76.5,0.0,17.3
2019-01-07,Adilabad,Gudihatnoor,0.0,13.4,28.8,40.3,88.0,0.0,18.4
2019-01-08,Adilabad,Gudihatnoor,0.0,12.2,28.6,38.5,74.1,0.0,13.8
2019-01-09,Adilabad,Gudihatnoor,0.0,8.2,26.8,27.4,74.3,0.0,13.8
2019-01-10,Adilabad,Gudihatnoor,0.0,9.8,29.5,21.7,71.7,0.0,13.8
2019-01-11,Adilabad,Gudihatnoor,0.0,12.9,29.4,27.6,65.4,0.0,14.0
2019-01-12,Adilabad,Gudihatnoor,0.0,15.4,30.2,28.6,86.4,0.0,18.7
2019-01-13,Adilabad,Gudihatnoor,0.0,16.9,30.6,37.7,88.3,0.0,17.1
2019-01-14,Adilabad,Gudihatnoor,0.0,15.1,30.0,42.9,91.1,0.0,18.2
2019-01-15,Adilabad,Gudihatnoor,0.0,14.6,29.4,47.0,80.2,0.0,7.4
2019-01-16,Adilabad,Gudihatnoor,0.0,11.8,28.4,36.8,77.6,0.0,16.9
2019-01-17,Adilabad,Gudihatnoor,0.0,9.8,30.6,31.4,76.3,0.0,13.3
2019-01-18,Adilabad,Gudihatnoor,0.0,12.2,32.4,21.0,73.1,0.0,12.7
2019-01-19,Adilabad,Gudihatnoor,0.0,13.7,31.2,24.5,72.2,0.0,14.6
2019-01-20,Adilabad,Gudihatnoor,0.0,10.7,32.5,20.5,73.1,3.7,14.0
2019-01-21,Adilabad,Gudihatnoor,0.0,12.0,32.7,21.2,69.0,0.0,20.0
2019-01-22,Adilabad,Gudihatnoor,0.0,15.5,34.3,21.7,86.4,0.0,17.7
2019-01-23,Adilabad,Gudihatnoor,0.0,16.3,31.8,22.4,86.8,0.0,5.8
2019-01-24,Adilabad,Gudihatnoor,0.0,15.0,32.0,31.4,90.4,0.2,1.2
2019-01-25,Adilabad,Gudihatnoor,0.0,17.4,31.5,37.1,82.3,0.0,18.2
2019-01-26,Adilabad,Gudihatnoor,0.0,16.9,27.9,50.7,92.1,0.0,2.0
2019-01-27,Adilabad,Gudihatnoor,0.0,15.8,19.4,78.4,92.1,0.0,18.2
2019-01-28,Adilabad,Gudihatnoor,0.0,11.9,22.0,61.4,89.4,0.0,14.6
2019-01-29,Adilabad,Gudihatnoor,0.0,11.2,25.6,41.6,74.4,0.0,18.0
2019-01-30,Adilabad,Gudihatnoor,0.0,6.1,25.2,24.6,68.4,0.0,13.2
2019-01-31,Adilabad,Gudihatnoor,0.0,8.8,27.6,20.8,60.7,0.0,14.2
2019-02-01,Adilabad,Gudihatnoor,0.0,12.6,29.7,25.6,82.9,0.0,14.0
2019-02-02,Adilabad,Gudihatnoor,0.0,14.0,29.9,36.5,82.0,0.0,14.6
2019-02-03,Adilabad,Gudihatnoor,0.0,14.4,30.1,35.0,80.7,1.0,15.2
2019-02-04,Adilabad,Gudihatnoor,0.0,13.5,30.6,27.9,66.7,0.0,15.2
2019-02-05,Adilabad,Gudihatnoor,0.0,16.9,31.6,29.3,58.0,0.0,14.4
2019-02-06,Adilabad,Gudihatnoor,0.0,15.5,32.6,24.0,75.1,0.0,14.1
2019-02-07,Adilabad,Gudihatnoor,0.0,19.9,32.5,30.3,74.2,2.3,16.9
2019-02-08,Adilabad,Gudihatnoor,0.0,17.4,32.4,38.9,65.8,0.0,24.3
2019-02-09,Adilabad,Gudihatnoor,0.0,13.4,30.3,29.3,44.1,0.0,30.9
2019-02-10,Adilabad,Gudihatnoor,0.0,9.9,27.4,20.1,58.2,0.0,33.4
