Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Inderavelly,0.0,9.5,25.6,20.0,66.0,0.0,1.6
2019-01-02,Adilabad,Inderavelly,0.0,10.2,28.1,20.3,71.8,0.1,1.5
2019-01-03,Adilabad,Inderavelly,0.0,12.1,31.5,17.4,78.0,0.0,1.3
2019-01-04,Adilabad,Inderavelly,0.0,12.3,30.3,22.5,81.3,0.0,1.3
2019-01-05,Adilabad,Inderavelly,0.0,13.6,30.5,28.0,75.9,0.0,1.7
2019-01-06,Adilabad,Inderavelly,0.0,14.9,30.2,30.0,84.7,0.0,1.9
2019-01-07,Adilabad,Inderavelly,0.0,14.0,27.8,40.6,97.5,0.0,3.3
2019-01-08,Adilabad,Inderavelly,0.0,13.0,26.4,46.4,77.3,0.0,1.5
2019-01-09,Adilabad,Inderavelly,0.0,9.6,25.3,26.7,74.8,0.0,2.3
2019-01-10,Adilabad,Inderavelly,0.0,9.9,27.1,21.6,79.8,0.2,1.7
2019-01-11,Adilabad,Inderavelly,0.0,13.3,28.0,25.7,68.7,0.0,1.2
2019-01-12,Adilabad,Inderavelly,0.0,15.7,28.7,31.7,92.7,0.0,2.2
2019-01-13,Adilabad,Inderavelly,0.0,16.7,28.5,42.9,97.3,0.0,1.9
2019-01-14,Adilabad,Inderavelly,0.0,15.1,28.9,45.1,98.3,0.0,1.7
2019-01-15,Adilabad,Inderavelly,0.0,15.3,27.8,52.8,82.3,0.0,1.4
2019-01-16,Adilabad,Inderavelly,0.0,12.2,27.6,38.9,82.5,0.2,1.7
2019-01-17,Adilabad,Inderavelly,0.0,12.2,27.9,34.9,75.9,0.0,1.7
2019-01-18,Adilabad,Inderavelly,0.0,13.4,30.8,19.7,78.1,0.0,1.3
2019-01-19,Adilabad,Inderavelly,0.0,14.4,29.2,28.4,74.1,0.1,1.3
2019-01-20,Adilabad,Inderavelly,0.0,12.4,30.5,24.3,72.3,0.0,1.4
2019-01-21,Adilabad,Inderavelly,0.0,12.4,31.9,21.0,66.0,0.0,1.8
2019-01-22,Adilabad,Inderavelly,0.0,16.2,30.6,20.5,89.3,0.0,2.8
2019-01-23,Adilabad,Inderavelly,0.0,16.7,30.1,25.9,93.2,0.0,2.2
2019-01-24,Adilabad,Inderavelly,0.0,16.2,30.0,34.3,88.9,0.2,1.2
2019-01-25,Adilabad,Inderavelly,0.0,18.5,30.2,39.2,92.9,0.2,2.0
2019-01-26,Adilabad,Inderavelly,2.5,16.8,26.7,64.2,100.0,0.0,2.0
2019-01-27,Adilabad,Inderavelly,0.0,15.3,18.9,96.0,100.0,0.7,2.9
2019-01-28,Adilabad,Inderavelly,0.0,12.7,20.3,83.0,99.8,0.0,3.2
2019-01-29,Adilabad,Inderavelly,0.0,11.6,23.3,49.9,83.4,0.0,3.3
2019-01-30,Adilabad,Inderavelly,0.0,6.9,22.3,27.8,77.4,0.0,3.0
2019-01-31,Adilabad,Inderavelly,0.0,8.8,25.3,20.0,69.9,0.1,2.1
2019-02-01,Adilabad,Inderavelly,0.0,13.7,28.3,25.7,88.9,0.0,2.4
2019-02-02,Adilabad,Inderavelly,0.0,15.7,28.1,38.9,83.0,0.0,2.2
2019-02-03,Adilabad,Inderavelly,0.0,15.5,29.1,32.4,80.1,0.0,2.2
2019-02-04,Adilabad,Inderavelly,0.0,15.7,30.9,27.8,66.3,0.0,2.9
2019-02-05,Adilabad,Inderavelly,0.0,15.0,30.2,31.4,66.4,0.0,2.1
2019-02-06,Adilabad,Inderavelly,0.0,14.9,30.4,23.2,81.0,0.0,2.3
2019-02-07,Adilabad,Inderavelly,0.0,19.4,30.4,34.1,85.8,0.0,3.0
2019-02-08,Adilabad,Inderavelly,0.0,18.6,30.5,36.9,66.2,0.0,3.1
2019-02-09,Adilabad,Inderavelly,0.0,13.7,29.8,28.4,52.5,0.2,2.7
2019-02-10,Adilabad,Inderavelly,0.0,13.3,25.2,22.1,39.6,0.0,3.0
2019-02-11,Adilabad,Inderavelly,0.0,13.4,27.2,22.3,57.6,0.0,2.4
2019-02-12,Adilabad,Inderavelly,0.0,18.6,31.2,28.1,87.2,0.0,2.8
2019-02-13,Adilabad,Inderavelly,0.0,16.2,32.1,41.3,83.3,0.0,1.7
2019-02-14,Adilabad,Inderavelly,0.0,16.8,33.6,21.1,69.2,0.0,1.9
2019-02-15,Adilabad,Inderavelly,0.0,20.7,33.6,21.4,68.8,0.0,2.6
2019-02-16,Adilabad,Inderavelly,0.0,17.9,33.7,31.6,94.7,0.1,3.9
2019-02-17,Adilabad,Inderavelly,0.0,18.2,31.9,34.6,84.9,0.0,2.1
2019-02-18,Adilabad,Inderavelly,0.0,14.2,29.4,36.9,74.6,0.0,2.5
2019-02-19,Adilabad,Inderavelly,0.0,18.0,32.0,20.0,71.5,0.0,1.8
2019-02-20,Adilabad,Inderavelly,0.0,21.8,35.0,26.4,91.2,0.0,1.6
2019-02-21,Adilabad,Inderavelly,0.0,21.3,33.1,37.8,85.1,0.0,2.8
2019-02-22,Adilabad,Inderavelly,0.0,21.8,34.4,28.9,72.4,0.0,2.2
2019-02-23,Adilabad,Inderavelly,0.0,22.2,36.6,23.7,70.7,0.0,2.1
2019-02-24,Adilabad,Inderavelly,0.0,21.5,35.7,26.4,63.7,0.0,1.7
2019-02-25,Adilabad,Inderavelly,0.0,19.2,36.7,21.7,71.5,0.0,3.3
2019-02-26,Adilabad,Inderavelly,0.0,18.2,34.3,17.3,51.5,0.2,1.9
2019-02-27,Adilabad,Inderavelly,0.0,15.6,34.5,16.6,45.9,0.0,2.2
2019-02-28,Adilabad,Inderavelly,0.0,16.3,33.3,18.0,50.2,0.0,1.6
2019-03-01,Adilabad,Inderavelly,0.0,17.7,30.6,25.9,49.8,0.3,2.7
2019-03-02,Adilabad,Inderavelly,0.0,21.6,32.5,24.1,67.1,0.0,2.0
2019-03-03,Adilabad,Inderavelly,0.0,22.4,32.5,41.3,89.8,0.0,3.4
2019-03-04,Adilabad,Inderavelly,0.0,20.8,36.3,29.2,89.3,0.0,2.5
2019-03-05,Adilabad,Inderavelly,0.0,22.3,35.4,22.3,66.3,0.0,1.9
2019-03-06,Adilabad,Inderavelly,0.0,18.7,32.5,20.5,49.2,0.0,2.7
2019-03-07,Adilabad,Inderavelly,0.0,18.2,32.2,20.7,53.0,0.1,2.6
2019-03-08,Adilabad,Inderavelly,0.0,18.6,33.7,19.4,49.0,0.0,2.1
2019-03-09,Adilabad,Inderavelly,0.0,18.6,35.8,13.4,66.9,0.0,1.3
2019-03-10,Adilabad,Inderavelly,0.0,20.0,36.7,18.2,77.0,0.0,2.9
2019-03-11,Adilabad,Inderavelly,0.0,23.1,37.1,18.2,76.7,0.0,2.0
2019-03-12,Adilabad,Inderavelly,0.0,23.4,36.7,24.4,71.3,0.0,2.6
2019-03-13,Adilabad,Inderavelly,0.0,24.9,37.5,23.7,55.3,0.0,1.6
2019-03-14,Adilabad,Inderavelly,0.0,21.2,37.0,25.7,54.4,0.0,3.7
2019-03-15,Adilabad,Inderavelly,0.0,22.3,36.0,20.3,42.1,0.0,2.1
2019-03-16,Adilabad,Inderavelly,0.0,22.2,37.6,18.2,54.4,0.0,3.7
2019-03-17,Adilabad,Inderavelly,0.0,21.5,36.6,18.2,77.1,0.2,3.3
2019-03-18,Adilabad,Inderavelly,0.0,21.7,36.8,21.7,64.2,0.1,3.4
2019-03-19,Adilabad,Inderavelly,0.0,21.3,34.9,25.5,68.0,0.0,3.6
2019-03-20,Adilabad,Inderavelly,0.0,24.2,37.2,20.3,77.3,0.0,2.9
2019-03-21,Adilabad,Inderavelly,0.0,22.5,35.5,39.3,81.3,0.0,3.7
2019-03-22,Adilabad,Inderavelly,0.0,22.9,34.5,40.1,72.7,0.0,2.1
2019-03-23,Adilabad,Inderavelly,0.0,23.0,36.0,33.3,77.6,0.1,2.2
2019-03-24,Adilabad,Inderavelly,0.0,23.2,37.3,26.4,51.7,0.0,3.4
