Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Jainad ,0.0,6.0,26.6,21.6,96.4,0.0,1.5
2019-01-02,Adilabad,Jainad ,0.0,7.5,28.8,20.8,93.3,0.0,1.7
2019-01-03,Adilabad,Jainad ,0.0,9.0,30.5,20.0,95.4,0.0,0.9
2019-01-04,Adilabad,Jainad ,0.0,9.6,29.8,22.6,96.3,0.0,1.2
2019-01-05,Adilabad,Jainad ,0.0,9.9,30.5,27.7,96.0,0.0,1.0
2019-01-06,Adilabad,Jainad ,0.0,11.5,30.3,31.8,97.5,0.0,1.3
2019-01-07,Adilabad,Jainad ,0.0,11.7,29.5,38.9,96.9,0.0,1.1
2019-01-08,Adilabad,Jainad ,0.0,8.9,27.5,43.3,97.0,0.0,1.0
2019-01-09,Adilabad,Jainad ,0.0,7.6,25.8,31.0,96.9,0.0,1.8
2019-01-10,Adilabad,Jainad ,0.0,7.5,28.1,25.2,96.3,0.0,1.0
2019-01-11,Adilabad,Jainad ,0.0,9.2,28.1,27.8,93.7,0.0,1.7
2019-01-12,Adilabad,Jainad ,0.0,12.7,29.6,32.7,99.1,0.0,1.4
2019-01-13,Adilabad,Jainad ,0.0,15.1,31.1,37.9,92.1,0.0,1.0
2019-01-14,Adilabad,Jainad ,0.0,14.3,29.8,42.0,97.6,0.0,1.6
2019-01-15,Adilabad,Jainad ,0.0,12.6,28.9,53.1,90.3,0.0,1.2
2019-01-16,Adilabad,Jainad ,0.0,10.1,26.7,37.8,98.7,0.0,1.7
2019-01-17,Adilabad,Jainad ,0.0,9.8,28.8,32.4,96.9,0.0,1.3
2019-01-18,Adilabad,Jainad ,0.0,10.6,30.7,23.4,90.8,0.0,1.4
2019-01-19,Adilabad,Jainad ,0.0,10.4,30.8,30.5,95.7,0.0,1.2
2019-01-20,Adilabad,Jainad ,0.0,10.0,31.5,22.3,92.1,0.0,1.5
2019-01-21,Adilabad,Jainad ,0.0,9.3,31.8,21.4,93.6,0.0,1.7
2019-01-22,Adilabad,Jainad ,0.0,20.2,34.3,24.7,69.3,0.1,2.7
2019-01-23,Adilabad,Jainad ,0.0,17.5,32.1,27.1,88.7,0.1,2.4
2019-01-24,Adilabad,Jainad ,0.0,15.4,31.5,34.4,90.4,0.0,1.0
2019-01-25,Adilabad,Jainad ,0.0,18.0,31.2,40.7,85.0,0.0,2.6
2019-01-26,Adilabad,Jainad ,6.3,18.4,29.1,56.3,95.2,0.2,2.2
2019-01-27,Adilabad,Jainad ,1.0,17.0,20.7,84.9,97.2,0.3,1.7
2019-01-28,Adilabad,Jainad ,0.0,11.2,22.9,71.1,99.6,0.0,1.8
2019-01-29,Adilabad,Jainad ,0.0,10.9,25.1,44.5,90.3,0.0,1.6
2019-01-30,Adilabad,Jainad ,0.0,5.1,24.3,26.6,96.9,0.0,2.8
2019-01-31,Adilabad,Jainad ,0.0,7.0,25.7,22.9,92.8,0.0,1.9
2019-02-01,Adilabad,Jainad ,0.0,11.1,30.5,26.5,95.7,0.0,1.5
2019-02-02,Adilabad,Jainad ,0.0,13.9,30.7,36.1,96.4,0.0,1.3
2019-02-03,Adilabad,Jainad ,0.0,12.5,30.5,30.4,92.4,0.0,2.0
2019-02-04,Adilabad,Jainad ,0.0,12.4,31.1,25.5,90.0,0.0,2.5
2019-02-05,Adilabad,Jainad ,0.0,13.0,31.5,25.9,90.9,0.0,1.3
2019-02-06,Adilabad,Jainad ,0.0,14.2,31.6,25.7,86.4,0.0,1.8
2019-02-07,Adilabad,Jainad ,0.0,21.3,33.5,32.0,74.5,0.3,2.3
2019-02-08,Adilabad,Jainad ,0.0,16.0,32.5,35.7,65.0,0.0,4.3
2019-02-09,Adilabad,Jainad ,0.0,10.3,31.0,29.5,72.6,0.0,1.9
2019-02-10,Adilabad,Jainad ,0.0,6.5,27.9,21.5,84.6,0.0,2.0
2019-02-11,Adilabad,Jainad ,0.0,10.7,28.3,22.4,81.1,0.0,1.8
2019-02-12,Adilabad,Jainad ,0.0,16.2,31.8,29.2,82.9,0.0,1.6
2019-02-13,Adilabad,Jainad ,0.0,15.0,32.5,40.4,94.5,0.0,1.6
2019-02-14,Adilabad,Jainad ,0.0,14.4,34.4,22.3,86.0,0.0,1.5
2019-02-15,Adilabad,Jainad ,0.0,20.0,35.2,21.5,69.1,0.0,2.3
2019-02-16,Adilabad,Jainad ,0.8,17.9,35.9,33.0,94.8,0.0,2.1
2019-02-17,Adilabad,Jainad ,0.0,15.5,33.8,59.7,85.4,0.0,1.3
2019-02-18,Adilabad,Jainad ,0.0,12.7,33.5,37.0,88.3,0.0,2.8
2019-02-19,Adilabad,Jainad ,0.0,14.3,33.3,20.5,79.3,0.0,1.4
2019-02-20,Adilabad,Jainad ,0.0,20.2,36.0,29.3,85.3,0.0,1.3
2019-02-21,Adilabad,Jainad ,0.0,21.3,36.5,27.5,81.5,0.0,2.0
2019-02-22,Adilabad,Jainad ,0.0,20.9,36.6,28.1,71.5,0.0,1.7
2019-02-23,Adilabad,Jainad ,0.0,21.4,37.3,30.9,70.1,0.0,2.2
2019-02-24,Adilabad,Jainad ,0.0,20.2,37.0,29.4,73.4,0.0,1.1
2019-02-25,Adilabad,Jainad ,0.0,17.1,37.5,26.7,62.8,0.0,2.2
2019-02-26,Adilabad,Jainad ,0.0,15.0,34.3,19.1,69.4,0.0,2.2
2019-02-27,Adilabad,Jainad ,0.0,14.9,35.1,18.4,73.6,0.0,1.7
2019-02-28,Adilabad,Jainad ,0.0,14.5,33.2,20.9,77.9,0.0,1.6
2019-03-01,Adilabad,Jainad ,0.0,14.4,31.9,24.1,73.3,0.0,2.1
2019-03-02,Adilabad,Jainad ,0.0,18.9,33.3,25.3,64.2,0.1,2.2
2019-03-03,Adilabad,Jainad ,0.0,23.9,34.6,38.3,79.0,0.4,3.6
2019-03-04,Adilabad,Jainad ,0.0,22.5,36.5,25.7,82.8,0.0,2.7
2019-03-05,Adilabad,Jainad ,0.0,21.3,36.3,22.7,63.1,0.0,1.9
2019-03-06,Adilabad,Jainad ,0.0,14.5,33.4,21.4,73.8,0.0,2.3
2019-03-07,Adilabad,Jainad ,0.0,15.0,32.9,24.5,72.2,0.0,2.1
2019-03-08,Adilabad,Jainad ,0.0,14.8,34.6,19.6,70.6,0.0,2.4
2019-03-09,Adilabad,Jainad ,0.0,17.9,37.1,15.5,69.3,0.0,1.2
2019-03-10,Adilabad,Jainad ,0.0,18.4,37.2,19.6,74.6,0.0,2.8
2019-03-11,Adilabad,Jainad ,0.0,20.5,37.4,17.4,62.7,0.0,1.5
2019-03-12,Adilabad,Jainad ,0.0,22.3,38.1,32.7,70.2,0.0,2.0
2019-03-13,Adilabad,Jainad ,0.0,24.9,37.8,23.8,66.4,0.0,3.7
2019-03-14,Adilabad,Jainad ,0.0,21.3,38.5,23.2,69.7,0.0,4.9
2019-03-15,Adilabad,Jainad ,0.0,22.0,37.7,21.6,45.3,0.0,2.0
2019-03-16,Adilabad,Jainad ,0.0,23.3,37.7,20.9,56.3,0.0,2.0
2019-03-17,Adilabad,Jainad ,0.0,26.0,38.2,18.3,61.0,0.3,4.4
2019-03-18,Adilabad,Jainad ,0.0,25.1,37.6,20.5,59.2,0.0,5.6
2019-03-19,Adilabad,Jainad ,0.0,22.4,37.8,20.9,72.6,0.0,4.3
2019-03-20,Adilabad,Jainad ,0.0,26.6,37.2,22.8,66.1,0.0,3.2
2019-03-21,Adilabad,Jainad ,0.0,23.7,37.7,33.6,73.7,0.3,5.0
2019-03-22,Adilabad,Jainad ,0.0,23.7,37.0,38.7,88.5,0.2,4.1
2019-03-23,Adilabad,Jainad ,0.0,23.4,37.9,31.0,81.2,0.0,2.1
2019-03-24,Adilabad,Jainad ,0.0,21.2,37.7,28.5,62.4,0.0,1.7
2019-03-25,Adilabad,Jainad ,0.0,21.4,37.6,22.0,60.5,0.0,2.3
2019-03-26,Adilabad,Jainad ,0.0,24.7,39.3,19.5,61.6,0.0,2.0
2019-03-27,Adilabad,Jainad ,0.0,23.7,39.7,18.3,57.9,0.0,1.5
2019-03-28,Adilabad,Jainad ,0.0,22.4,39.0,20.2,56.6,0.0,2.2
2019-03-29,Adilabad,Jainad ,0.0,20.2,39.4,16.6,54.7,0.0,1.9
2019-03-30,Adilabad,Jainad ,0.0,21.9,40.7,11.5,54.5,0.0,2.5
2019-03-31,Adilabad,Jainad ,0.0,27.1,41.6,14.0,55.4,0.0,2.4
2019-04-01,Adilabad,Jainad ,0.0,25.8,42.3,15.9,48.3,0.0,2.7
2019-04-02,Adilabad,Jainad ,0.0,24.6,39.3,16.3,42.5,0.8,2.2
2019-04-03,Adilabad,Jainad ,0.0,24.6,40.8,18.1,53.2,0.2,2.8
2019-04-04,Adilabad,Jainad ,0.0,25.6,41.2,18.9,60.1,0.2,4.4
2019-04-05,Adilabad,Jainad ,0.0,25.0,40.9,19.4,63.0,0.0,5.3
2019-04-06,Adilabad,Jainad ,0.0,25.1,39.8,20.2,46.5,0.2,2.8
2019-04-07,Adilabad,Jainad ,0.0,24.0,38.5,24.5,68.2,0.0,16.4
2019-04-08,Adilabad,Jainad ,0.0,28.1,40.4,14.6,50.9,0.0,3.7
2019-04-09,Adilabad,Jainad ,0.0,27.6,41.5,13.9,53.4,0.0,3.5
2019-04-10,Adilabad,Jainad ,0.0,26.0,42.0,13.2,59.3,0.0,3.6
2019-04-11,Adilabad,Jainad ,0.0,30.2,42.1,11.8,57.3,0.0,3.6
2019-04-12,Adilabad,Jainad ,0.0,27.9,42.1,14.0,51.3,0.2,3.0
2019-04-13,Adilabad,Jainad ,1.0,24.8,41.5,17.2,50.0,0.0,3.8
2019-04-14,Adilabad,Jainad ,0.0,28.3,41.5,15.3,47.3,0.1,2.7
2019-04-15,Adilabad,Jainad ,0.0,29.6,42.9,14.3,42.8,0.0,3.5
2019-04-16,Adilabad,Jainad ,3.5,23.7,41.1,20.6,84.6,0.0,2.9
2019-04-17,Adilabad,Jainad ,0.0,23.9,39.1,22.1,76.7,0.0,3.2
2019-04-18,Adilabad,Jainad ,0.0,24.9,37.9,27.7,55.7,0.0,2.5
2019-04-19,Adilabad,Jainad ,0.0,26.0,38.8,23.3,52.4,0.0,2.5
2019-04-20,Adilabad,Jainad ,0.0,26.4,40.9,15.5,60.4,0.0,3.9
2019-04-21,Adilabad,Jainad ,0.0,29.0,40.8,22.0,60.2,0.1,4.6
2019-04-22,Adilabad,Jainad ,0.0,27.6,40.3,22.5,57.2,0.1,2.2
2019-04-23,Adilabad,Jainad ,8.8,25.0,36.6,42.9,76.4,0.0,3.7
2019-04-24,Adilabad,Jainad ,0.0,27.8,41.4,16.2,56.6,0.0,4.1
2019-04-25,Adilabad,Jainad ,0.0,29.5,42.8,16.7,47.7,0.1,2.5
2019-04-26,Adilabad,Jainad ,0.0,31.4,43.7,13.3,43.1,0.2,3.5
2019-04-27,Adilabad,Jainad ,0.0,33.3,45.4,13.8,39.3,0.1,2.9
2019-04-28,Adilabad,Jainad ,0.0,33.6,44.6,14.4,42.4,0.1,3.5
2019-04-29,Adilabad,Jainad ,0.0,33.0,44.8,15.8,46.2,0.3,3.7
2019-04-30,Adilabad,Jainad ,0.0,32.1,44.5,15.8,49.4,0.1,4.2
2019-05-01,Adilabad,Jainad ,0.0,29.8,44.5,9.0,41.2,0.0,1.9
2019-05-02,Adilabad,Jainad ,0.0,29.6,43.7,12.2,47.1,0.0,3.9
2019-05-03,Adilabad,Jainad ,0.0,28.7,43.3,11.5,33.6,0.0,3.8
2019-05-04,Adilabad,Jainad ,0.0,27.1,39.5,25.8,31.0,0.0,4.6
2019-05-05,Adilabad,Jainad ,0.0,29.5,42.5,12.4,33.0,0.0,3.7
2019-05-06,Adilabad,Jainad ,0.0,27.0,42.4,13.3,29.5,0.0,4.1
2019-05-07,Adilabad,Jainad ,0.0,32.4,43.1,11.3,24.1,0.0,3.3
2019-05-08,Adilabad,Jainad ,0.0,30.7,43.8,10.8,32.7,0.0,3.3
2019-05-09,Adilabad,Jainad ,0.0,31.3,43.8,11.6,34.2,0.0,7.6
2019-05-10,Adilabad,Jainad ,0.0,30.0,42.9,13.1,31.3,0.2,10.4
2019-05-11,Adilabad,Jainad ,0.0,30.9,43.6,13.7,32.5,0.0,14.4
2019-05-12,Adilabad,Jainad ,0.0,31.0,42.9,18.0,46.5,0.0,4.0
2019-05-13,Adilabad,Jainad ,0.0,27.9,43.9,13.6,48.1,0.0,9.0
2019-05-14,Adilabad,Jainad ,0.0,28.6,43.0,16.4,45.3,0.0,65.1
2019-05-15,Adilabad,Jainad ,2.3,32.2,42.8,15.0,46.2,0.0,5.5
2019-05-16,Adilabad,Jainad ,0.0,31.9,44.6,12.9,45.5,0.0,30.2
2019-05-17,Adilabad,Jainad ,0.0,30.3,44.0,13.9,47.0,0.0,3.0
2019-05-18,Adilabad,Jainad ,0.0,30.9,44.1,13.2,42.1,0.0,21.4
2019-05-19,Adilabad,Jainad ,0.0,29.3,42.7,14.0,35.6,0.0,24.7
2019-05-20,Adilabad,Jainad ,0.0,28.8,44.1,13.9,33.6,0.0,15.3
2019-05-21,Adilabad,Jainad ,0.0,34.0,45.2,13.7,42.2,0.0,16.7
2019-05-22,Adilabad,Jainad ,0.0,32.8,45.0,12.7,44.3,0.0,28.0
2019-05-23,Adilabad,Jainad ,0.0,34.3,45.1,14.9,45.7,0.0,30.0
2019-05-24,Adilabad,Jainad ,0.0,33.6,46.1,15.4,48.2,0.1,18.2
2019-05-25,Adilabad,Jainad ,0.0,32.0,45.2,15.3,51.8,0.0,40.1
2019-05-26,Adilabad,Jainad ,0.0,32.2,45.0,14.2,44.5,0.0,37.2
2019-05-27,Adilabad,Jainad ,0.0,31.2,46.4,12.6,41.7,0.0,13.1
2019-05-28,Adilabad,Jainad ,0.0,33.4,45.6,12.8,44.9,0.3,23.6
2019-05-29,Adilabad,Jainad ,0.0,32.3,46.2,11.9,45.9,0.0,65.1
2019-05-30,Adilabad,Jainad ,0.0,31.7,46.6,9.4,48.0,0.1,9.6
2019-05-31,Adilabad,Jainad ,0.0,32.8,43.4,19.8,54.6,0.3,19.3
