Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Neradigonda,0.0,7.3,27.6,20.3,61.4,0.0,9.3
2019-01-02,Adilabad,Neradigonda,0.0,7.8,30.5,21.0,66.1,0.0,14.9
2019-01-03,Adilabad,Neradigonda,0.0,9.0,31.6,20.0,70.0,0.0,9.0
2019-01-04,Adilabad,Neradigonda,0.0,10.4,32.0,22.1,74.1,0.0,11.7
2019-01-05,Adilabad,Neradigonda,0.0,10.5,31.0,23.9,74.2,0.0,7.4
2019-01-06,Adilabad,Neradigonda,0.0,12.0,31.3,26.1,78.2,0.0,15.7
2019-01-07,Adilabad,Neradigonda,0.0,13.5,30.0,30.8,77.9,0.0,23.6
2019-01-08,Adilabad,Neradigonda,0.0,9.5,28.4,37.7,73.9,0.0,2.9
2019-01-09,Adilabad,Neradigonda,0.0,7.4,27.6,24.0,71.0,0.0,7.4
2019-01-10,Adilabad,Neradigonda,0.0,8.0,30.3,20.8,66.1,0.0,9.7
2019-01-11,Adilabad,Neradigonda,0.0,9.9,30.3,21.9,72.7,0.0,14.9
2019-01-12,Adilabad,Neradigonda,0.0,13.9,30.9,26.3,77.7,0.0,28.4
2019-01-13,Adilabad,Neradigonda,0.0,16.5,30.9,31.8,77.2,0.0,16.8
2019-01-14,Adilabad,Neradigonda,0.0,13.9,30.9,36.0,77.6,0.0,15.3
2019-01-15,Adilabad,Neradigonda,0.0,12.6,29.4,38.9,77.9,0.0,10.0
2019-01-16,Adilabad,Neradigonda,0.0,11.2,28.7,35.1,75.0,0.0,9.0
2019-01-17,Adilabad,Neradigonda,0.0,10.0,30.1,26.7,72.9,0.0,14.3
2019-01-18,Adilabad,Neradigonda,0.0,10.7,32.4,20.9,69.7,0.0,14.2
2019-01-19,Adilabad,Neradigonda,0.0,10.8,30.8,27.1,77.1,0.0,8.4
2019-01-20,Adilabad,Neradigonda,0.0,10.0,30.9,23.5,76.7,0.0,13.7
2019-01-21,Adilabad,Neradigonda,0.0,9.8,32.7,20.2,64.9,0.0,17.0
2019-01-22,Adilabad,Neradigonda,0.0,13.5,32.3,22.4,77.6,0.0,26.5
2019-01-23,Adilabad,Neradigonda,0.0,15.1,30.3,25.5,77.2,0.0,28.4
2019-01-24,Adilabad,Neradigonda,0.0,14.1,30.2,31.5,77.6,0.0,30.0
2019-01-25,Adilabad,Neradigonda,0.0,17.7,31.5,30.5,77.1,0.0,25.2
2019-01-26,Adilabad,Neradigonda,2.5,17.3,28.4,46.2,76.9,0.0,20.5
