Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Sirikonda,0.0,7.5,26.4,21.7,83.5,0.0,1.6
2019-01-02,Adilabad,Sirikonda,0.0,8.2,29.2,20.2,85.4,0.1,1.5
2019-01-03,Adilabad,Sirikonda,0.0,10.4,30.7,18.1,85.6,0.0,1.3
2019-01-04,Adilabad,Sirikonda,0.0,11.2,30.4,22.3,84.3,0.0,1.3
2019-01-05,Adilabad,Sirikonda,0.0,11.3,30.3,26.1,90.1,0.0,1.7
2019-01-06,Adilabad,Sirikonda,0.0,12.2,29.9,27.2,90.2,0.0,1.9
2019-01-07,Adilabad,Sirikonda,0.0,12.6,28.2,38.2,93.2,0.0,3.3
2019-01-08,Adilabad,Sirikonda,0.0,12.5,26.7,45.4,84.7,0.0,1.5
2019-01-09,Adilabad,Sirikonda,0.0,8.2,25.7,27.9,87.9,0.0,2.3
2019-01-10,Adilabad,Sirikonda,0.0,9.0,27.8,17.9,83.4,0.2,1.7
2019-01-11,Adilabad,Sirikonda,0.0,10.7,28.4,26.7,84.6,0.0,1.2
2019-01-12,Adilabad,Sirikonda,0.0,12.9,28.5,32.7,92.3,0.0,2.2
2019-01-13,Adilabad,Sirikonda,0.0,14.6,28.8,40.3,96.4,0.0,1.9
2019-01-14,Adilabad,Sirikonda,0.0,14.4,28.7,45.3,95.2,0.0,1.7
2019-01-15,Adilabad,Sirikonda,0.0,15.3,28.1,49.0,87.0,0.0,1.4
2019-01-16,Adilabad,Sirikonda,0.0,11.7,27.6,38.2,88.6,0.2,1.7
2019-01-17,Adilabad,Sirikonda,0.0,11.2,28.8,32.9,88.4,0.0,1.7
2019-01-18,Adilabad,Sirikonda,0.0,12.1,30.8,21.7,84.4,0.0,1.3
2019-01-19,Adilabad,Sirikonda,0.0,12.3,30.0,29.4,84.1,0.1,1.3
2019-01-20,Adilabad,Sirikonda,0.0,11.4,31.2,25.5,83.3,0.0,1.4
2019-01-21,Adilabad,Sirikonda,0.0,11.2,32.2,20.5,81.1,0.0,1.8
2019-01-22,Adilabad,Sirikonda,0.0,15.2,31.6,20.5,92.7,0.0,2.8
2019-01-23,Adilabad,Sirikonda,0.0,15.9,30.2,26.2,91.4,0.0,2.2
2019-01-24,Adilabad,Sirikonda,0.0,15.5,30.6,33.8,91.3,0.2,1.2
2019-01-25,Adilabad,Sirikonda,1.8,18.0,30.5,39.2,94.1,0.2,2.0
2019-01-26,Adilabad,Sirikonda,1.5,17.5,27.3,59.9,96.7,0.0,2.0
2019-01-27,Adilabad,Sirikonda,0.0,16.2,20.0,84.9,96.2,0.7,2.9
2019-01-28,Adilabad,Sirikonda,0.0,13.3,22.0,71.8,95.2,0.0,3.2
2019-01-29,Adilabad,Sirikonda,0.0,11.8,24.4,47.3,86.4,0.0,3.3
2019-01-30,Adilabad,Sirikonda,0.0,6.9,24.0,26.4,81.8,0.0,3.0
2019-01-31,Adilabad,Sirikonda,0.0,8.6,26.5,21.7,78.4,0.1,2.1
2019-02-01,Adilabad,Sirikonda,0.0,12.3,28.5,24.9,89.7,0.0,2.4
2019-02-02,Adilabad,Sirikonda,0.0,13.8,29.2,40.1,89.5,0.0,2.2
2019-02-03,Adilabad,Sirikonda,0.0,13.9,29.8,37.8,90.0,0.0,2.2
2019-02-04,Adilabad,Sirikonda,0.0,13.7,30.2,29.4,82.9,0.0,2.9
2019-02-05,Adilabad,Sirikonda,0.0,14.5,31.2,29.4,78.3,0.0,2.1
2019-02-06,Adilabad,Sirikonda,0.0,14.7,31.8,26.0,83.3,0.0,2.3
2019-02-07,Adilabad,Sirikonda,0.0,20.0,31.5,32.6,82.3,0.0,3.0
2019-02-08,Adilabad,Sirikonda,0.0,17.3,31.6,36.0,65.8,0.0,3.1
2019-02-09,Adilabad,Sirikonda,0.0,13.7,29.7,29.1,53.8,0.2,2.7
2019-02-10,Adilabad,Sirikonda,0.0,10.2,25.8,22.1,73.1,0.0,3.0
2019-02-11,Adilabad,Sirikonda,0.0,13.1,28.4,22.5,65.6,0.0,2.4
2019-02-12,Adilabad,Sirikonda,0.0,17.2,30.3,28.4,88.4,0.0,2.8
2019-02-13,Adilabad,Sirikonda,0.0,15.7,31.8,40.1,92.1,0.0,1.7
2019-02-14,Adilabad,Sirikonda,0.0,14.6,34.2,20.9,83.3,0.0,1.9
2019-02-15,Adilabad,Sirikonda,0.0,18.1,33.9,25.5,81.5,0.0,2.6
2019-02-16,Adilabad,Sirikonda,0.0,18.3,33.5,32.4,83.9,0.1,3.9
2019-02-17,Adilabad,Sirikonda,0.0,18.4,33.0,44.1,74.7,0.0,2.1
2019-02-18,Adilabad,Sirikonda,0.0,14.3,30.3,36.6,82.9,0.0,2.5
2019-02-19,Adilabad,Sirikonda,0.0,16.1,33.2,20.3,77.0,0.0,1.8
2019-02-20,Adilabad,Sirikonda,0.0,20.4,35.3,31.8,89.1,0.0,1.6
2019-02-21,Adilabad,Sirikonda,0.0,19.8,33.7,37.0,89.7,0.0,2.8
2019-02-22,Adilabad,Sirikonda,0.0,20.6,34.9,30.7,79.9,0.0,2.2
2019-02-23,Adilabad,Sirikonda,0.0,22.3,36.9,24.7,68.0,0.0,2.1
2019-02-24,Adilabad,Sirikonda,0.0,21.1,36.2,25.9,72.1,0.0,1.7
2019-02-25,Adilabad,Sirikonda,0.0,18.3,37.3,22.3,63.1,0.0,3.3
2019-02-26,Adilabad,Sirikonda,0.0,16.5,34.9,16.0,65.0,0.2,1.9
2019-02-27,Adilabad,Sirikonda,0.0,16.1,34.8,17.9,61.2,0.0,2.2
2019-02-28,Adilabad,Sirikonda,0.0,16.3,33.6,18.7,64.8,0.0,1.6
2019-03-01,Adilabad,Sirikonda,0.0,18.0,32.0,23.9,52.7,0.3,2.7
2019-03-02,Adilabad,Sirikonda,0.0,20.1,32.7,25.0,59.9,0.0,2.0
2019-03-03,Adilabad,Sirikonda,0.0,22.8,32.6,43.6,86.1,0.0,3.4
2019-03-04,Adilabad,Sirikonda,0.0,20.3,36.5,29.0,86.5,0.0,2.5
2019-03-05,Adilabad,Sirikonda,0.0,19.7,36.3,22.5,72.6,0.0,1.9
2019-03-06,Adilabad,Sirikonda,0.0,17.7,33.7,20.7,47.4,0.0,2.7
2019-03-07,Adilabad,Sirikonda,0.0,18.4,32.9,21.8,59.7,0.1,2.6
2019-03-08,Adilabad,Sirikonda,0.0,17.0,33.9,20.0,61.7,0.0,2.1
2019-03-09,Adilabad,Sirikonda,0.0,18.8,36.0,14.7,69.3,0.0,1.3
2019-03-10,Adilabad,Sirikonda,0.0,20.4,36.8,19.8,68.5,0.0,2.9
2019-03-11,Adilabad,Sirikonda,0.0,21.4,37.9,18.1,72.2,0.0,2.0
2019-03-12,Adilabad,Sirikonda,0.0,24.7,37.7,20.8,72.0,0.0,2.6
2019-03-13,Adilabad,Sirikonda,0.0,25.0,37.1,23.9,63.6,0.0,1.6
2019-03-14,Adilabad,Sirikonda,0.0,21.4,38.0,24.8,60.6,0.0,3.7
2019-03-15,Adilabad,Sirikonda,0.0,24.0,37.6,20.5,43.1,0.0,2.1
2019-03-16,Adilabad,Sirikonda,0.0,22.3,37.6,17.9,60.1,0.0,3.7
2019-03-17,Adilabad,Sirikonda,0.0,23.4,37.5,18.8,68.9,0.2,3.3
2019-03-18,Adilabad,Sirikonda,0.0,22.6,37.3,22.6,71.0,0.1,3.4
2019-03-19,Adilabad,Sirikonda,0.0,22.5,36.3,25.8,65.7,0.0,3.6
2019-03-20,Adilabad,Sirikonda,0.0,23.9,37.3,21.9,76.1,0.0,2.9
2019-03-21,Adilabad,Sirikonda,0.0,24.2,36.4,39.0,77.4,0.0,3.7
2019-03-22,Adilabad,Sirikonda,0.0,23.9,35.7,39.5,69.0,0.0,2.1
2019-03-23,Adilabad,Sirikonda,0.0,24.7,37.5,31.0,71.3,0.1,2.2
2019-03-24,Adilabad,Sirikonda,1.5,22.9,38.1,32.5,75.4,0.0,3.4
2019-03-25,Adilabad,Sirikonda,0.0,22.7,37.9,22.2,59.4,0.0,2.0
2019-03-26,Adilabad,Sirikonda,0.0,23.9,39.1,24.5,68.5,0.0,1.9
2019-03-27,Adilabad,Sirikonda,0.0,23.2,39.9,17.7,71.3,0.1,1.7
2019-03-28,Adilabad,Sirikonda,0.0,23.7,38.7,17.4,66.8,0.1,2.5
2019-03-29,Adilabad,Sirikonda,0.0,23.3,39.4,17.2,57.1,0.0,2.1
2019-03-30,Adilabad,Sirikonda,0.0,22.7,40.1,11.1,53.0,0.0,2.4
2019-03-31,Adilabad,Sirikonda,0.0,25.5,40.7,14.3,67.2,0.1,2.3
2019-04-01,Adilabad,Sirikonda,0.0,24.6,41.8,13.9,37.2,0.0,2.4
2019-04-02,Adilabad,Sirikonda,0.0,23.6,41.0,14.3,21.2,0.4,2.7
2019-04-03,Adilabad,Sirikonda,0.0,24.2,40.9,15.0,45.1,0.2,1.7
2019-04-04,Adilabad,Sirikonda,0.0,24.9,39.5,23.8,62.3,0.0,1.9
2019-04-05,Adilabad,Sirikonda,0.0,23.9,38.5,21.2,51.1,0.3,3.4
2019-04-06,Adilabad,Sirikonda,0.0,25.1,39.7,19.1,47.3,0.0,2.0
2019-04-07,Adilabad,Sirikonda,0.0,24.8,39.6,15.7,62.2,0.0,22.8
2019-04-08,Adilabad,Sirikonda,0.0,24.0,40.9,13.8,46.2,0.0,2.2
2019-04-09,Adilabad,Sirikonda,0.0,25.2,40.8,14.5,44.8,0.0,2.3
