Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Talamadugu ,0.0,6.2,26.3,18.8,73.9,0.0,1.0
2019-01-02,Adilabad,Talamadugu ,0.0,7.4,28.5,20.0,78.2,0.0,1.4
2019-01-03,Adilabad,Talamadugu ,0.0,9.4,30.4,17.7,80.0,0.0,2.0
2019-01-04,Adilabad,Talamadugu ,0.0,8.6,29.9,25.5,88.7,0.0,1.7
2019-01-05,Adilabad,Talamadugu ,0.0,9.8,30.3,24.0,88.8,0.0,1.8
2019-01-06,Adilabad,Talamadugu ,0.0,11.9,29.9,29.1,91.9,0.0,1.6
2019-01-07,Adilabad,Talamadugu ,0.0,12.7,29.2,37.2,91.3,0.0,2.2
2019-01-08,Adilabad,Talamadugu ,0.0,8.0,27.6,39.2,85.9,0.0,2.0
2019-01-09,Adilabad,Talamadugu ,0.0,7.2,25.2,33.4,85.7,0.0,1.6
2019-01-10,Adilabad,Talamadugu ,0.0,7.1,27.6,23.9,84.3,0.0,1.5
2019-01-11,Adilabad,Talamadugu ,0.0,8.8,27.7,27.3,85.6,0.0,1.5
2019-01-12,Adilabad,Talamadugu ,0.0,12.5,29.5,31.8,92.0,0.0,1.3
2019-01-13,Adilabad,Talamadugu ,0.0,17.3,31.1,33.3,84.7,0.0,1.1
2019-01-14,Adilabad,Talamadugu ,0.0,14.3,29.7,40.8,95.7,0.0,0.9
2019-01-15,Adilabad,Talamadugu ,0.0,11.9,28.2,50.3,92.3,0.0,1.6
2019-01-16,Adilabad,Talamadugu ,0.0,9.7,26.2,37.1,92.2,0.0,2.1
2019-01-17,Adilabad,Talamadugu ,0.0,10.5,28.7,33.2,85.1,0.0,2.5
2019-01-18,Adilabad,Talamadugu ,0.0,11.3,30.8,21.4,81.9,0.0,1.4
2019-01-19,Adilabad,Talamadugu ,0.0,9.9,30.6,28.2,89.7,0.0,1.7
2019-01-20,Adilabad,Talamadugu ,0.0,10.8,30.6,22.5,77.5,0.0,1.8
2019-01-21,Adilabad,Talamadugu ,0.0,9.9,31.8,20.9,78.7,0.0,1.8
2019-01-22,Adilabad,Talamadugu ,0.0,17.6,33.1,20.3,77.1,0.0,1.4
2019-01-23,Adilabad,Talamadugu ,0.0,18.8,32.0,23.8,84.2,0.0,1.5
2019-01-24,Adilabad,Talamadugu ,0.0,15.5,31.6,30.5,89.0,0.0,1.3
2019-01-25,Adilabad,Talamadugu ,0.0,17.5,31.9,34.9,87.0,0.0,1.2
2019-01-26,Adilabad,Talamadugu ,0.0,18.5,28.9,54.0,89.7,0.0,2.3
2019-01-27,Adilabad,Talamadugu ,0.0,17.1,20.6,79.2,90.3,0.0,2.5
2019-01-28,Adilabad,Talamadugu ,0.0,12.6,23.2,63.4,95.8,0.0,2.0
2019-01-29,Adilabad,Talamadugu ,0.0,7.3,25.3,37.0,86.9,0.0,2.5
2019-01-30,Adilabad,Talamadugu ,0.0,5.4,24.3,22.1,78.0,0.0,2.2
2019-01-31,Adilabad,Talamadugu ,0.0,6.0,26.0,21.1,78.9,0.0,2.7
2019-02-01,Adilabad,Talamadugu ,0.0,11.0,30.2,23.6,89.0,0.0,2.1
2019-02-02,Adilabad,Talamadugu ,0.0,12.6,30.1,34.5,91.1,0.0,1.8
2019-02-03,Adilabad,Talamadugu ,0.0,12.1,31.4,33.7,89.3,0.0,1.7
2019-02-04,Adilabad,Talamadugu ,0.0,11.5,31.5,24.0,86.3,0.0,2.1
2019-02-05,Adilabad,Talamadugu ,0.0,13.1,31.8,24.9,78.3,0.0,1.4
2019-02-06,Adilabad,Talamadugu ,0.0,14.6,31.7,25.5,82.2,0.0,2.3
2019-02-07,Adilabad,Talamadugu ,0.0,21.8,33.2,27.2,71.6,0.0,2.9
2019-02-08,Adilabad,Talamadugu ,0.0,15.1,32.2,34.6,66.4,0.0,2.9
2019-02-09,Adilabad,Talamadugu ,0.0,14.8,31.4,27.5,49.0,0.0,1.9
2019-02-10,Adilabad,Talamadugu ,0.0,6.6,26.4,22.2,79.1,0.0,2.3
2019-02-11,Adilabad,Talamadugu ,0.0,10.8,28.5,21.6,71.9,0.0,1.7
2019-02-12,Adilabad,Talamadugu ,0.0,15.5,31.6,31.5,85.8,0.0,1.8
2019-02-13,Adilabad,Talamadugu ,0.0,14.8,32.1,36.8,93.4,0.0,1.6
2019-02-14,Adilabad,Talamadugu ,0.0,13.7,34.7,24.2,86.1,0.0,1.9
2019-02-15,Adilabad,Talamadugu ,0.0,21.9,34.1,20.0,66.1,0.0,1.9
2019-02-16,Adilabad,Talamadugu ,0.0,16.4,34.8,33.3,91.7,0.0,3.2
2019-02-17,Adilabad,Talamadugu ,0.0,14.5,33.8,34.5,84.9,0.0,2.1
2019-02-18,Adilabad,Talamadugu ,0.0,14.3,33.5,34.3,73.8,0.0,2.9
2019-02-19,Adilabad,Talamadugu ,0.0,15.2,32.4,21.3,82.9,0.0,1.9
2019-02-20,Adilabad,Talamadugu ,0.0,22.0,37.0,25.4,80.5,0.0,1.6
2019-02-21,Adilabad,Talamadugu ,0.0,21.4,34.7,34.6,80.8,0.0,1.7
2019-02-22,Adilabad,Talamadugu ,0.0,23.6,36.9,23.4,68.2,0.0,2.0
2019-02-23,Adilabad,Talamadugu ,0.0,21.1,37.1,25.8,59.8,0.0,2.1
2019-02-24,Adilabad,Talamadugu ,0.0,20.5,36.4,24.7,66.4,0.0,1.8
2019-02-25,Adilabad,Talamadugu ,0.0,18.3,37.7,21.0,53.8,0.0,1.8
2019-02-26,Adilabad,Talamadugu ,0.0,16.2,35.6,15.2,53.9,0.0,1.9
2019-02-27,Adilabad,Talamadugu ,0.0,16.2,34.0,17.5,56.4,0.0,2.7
2019-02-28,Adilabad,Talamadugu ,0.0,15.8,33.9,19.2,69.6,0.0,2.3
2019-03-01,Adilabad,Talamadugu ,0.0,14.2,31.8,24.7,73.7,0.0,2.7
2019-03-02,Adilabad,Talamadugu ,0.0,16.4,32.4,25.0,75.2,0.0,2.7
2019-03-03,Adilabad,Talamadugu ,0.0,24.7,35.2,37.3,74.1,0.1,1.9
2019-03-04,Adilabad,Talamadugu ,0.0,20.2,37.8,23.1,82.6,0.0,2.2
2019-03-05,Adilabad,Talamadugu ,0.0,21.9,36.5,21.9,58.3,0.0,1.6
2019-03-06,Adilabad,Talamadugu ,0.0,16.3,33.6,19.4,57.9,0.1,2.9
2019-03-07,Adilabad,Talamadugu ,0.0,14.4,32.7,21.3,65.2,0.0,2.3
2019-03-08,Adilabad,Talamadugu ,0.0,14.4,33.9,19.9,64.3,0.0,2.1
2019-03-09,Adilabad,Talamadugu ,0.0,18.7,36.7,16.7,47.1,0.0,2.0
2019-03-10,Adilabad,Talamadugu ,0.0,19.8,37.4,18.0,67.0,0.0,2.1
2019-03-11,Adilabad,Talamadugu ,0.0,20.2,38.0,16.9,60.9,0.0,2.6
2019-03-12,Adilabad,Talamadugu ,0.0,20.9,38.5,26.4,66.2,0.0,1.1
2019-03-13,Adilabad,Talamadugu ,0.0,25.5,37.1,23.0,66.3,0.0,2.4
2019-03-14,Adilabad,Talamadugu ,0.0,21.1,38.3,23.3,74.3,0.0,1.8
2019-03-15,Adilabad,Talamadugu ,0.0,21.5,37.2,16.9,45.2,0.0,1.8
2019-03-16,Adilabad,Talamadugu ,0.0,19.5,37.8,21.0,61.8,0.0,2.0
2019-03-17,Adilabad,Talamadugu ,0.0,26.0,38.5,16.9,50.3,0.1,2.5
2019-03-18,Adilabad,Talamadugu ,0.0,22.3,37.8,20.0,66.8,0.0,3.0
2019-03-19,Adilabad,Talamadugu ,0.0,24.3,38.3,19.0,60.1,0.0,1.6
2019-03-20,Adilabad,Talamadugu ,0.0,25.5,38.5,19.7,73.0,0.0,1.4
2019-03-21,Adilabad,Talamadugu ,0.0,22.9,38.6,29.8,79.3,0.0,3.2
2019-03-22,Adilabad,Talamadugu ,0.0,23.9,37.4,39.7,77.9,0.0,2.6
2019-03-23,Adilabad,Talamadugu ,0.0,23.2,37.7,29.6,69.5,0.0,2.1
2019-03-24,Adilabad,Talamadugu ,0.0,21.3,37.5,25.3,60.6,0.0,2.8
2019-03-25,Adilabad,Talamadugu ,0.0,21.3,38.1,20.4,56.3,0.0,2.5
2019-03-26,Adilabad,Talamadugu ,0.0,24.8,40.3,21.7,65.9,0.0,1.7
2019-03-27,Adilabad,Talamadugu ,0.0,22.4,39.6,17.4,55.9,0.0,2.1
2019-03-28,Adilabad,Talamadugu ,0.0,21.8,38.8,17.6,53.5,0.0,2.7
2019-03-29,Adilabad,Talamadugu ,0.0,20.7,39.5,15.0,50.5,0.0,2.0
2019-03-30,Adilabad,Talamadugu ,0.0,23.2,40.2,11.1,50.1,0.0,2.0
2019-03-31,Adilabad,Talamadugu ,0.0,27.9,41.6,13.5,55.4,0.0,1.5
2019-04-01,Adilabad,Talamadugu ,0.0,26.6,42.1,12.3,48.3,0.0,2.0
2019-04-02,Adilabad,Talamadugu ,0.0,24.6,39.3,15.4,42.5,0.3,1.9
2019-04-03,Adilabad,Talamadugu ,0.0,24.6,41.2,15.1,53.2,0.0,3.1
2019-04-04,Adilabad,Talamadugu ,0.0,25.6,41.4,18.1,60.1,0.0,2.0
2019-04-05,Adilabad,Talamadugu ,0.0,25.0,40.5,18.2,63.0,0.0,3.5
2019-04-06,Adilabad,Talamadugu ,0.0,25.1,40.4,17.7,46.5,0.1,2.7
2019-04-07,Adilabad,Talamadugu ,0.0,24.0,38.5,24.5,68.2,0.0,10.2
2019-04-08,Adilabad,Talamadugu ,0.0,28.0,41.2,14.0,50.9,0.0,2.9
2019-04-09,Adilabad,Talamadugu ,0.0,29.5,41.9,13.3,53.4,0.0,2.4
