Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Chigurumamidi,0.0,9.1,27.5,23.0,60.3,0.0,7.7
2019-01-02,Karimnagar,Chigurumamidi,0.0,9.7,28.5,20.2,78.5,0.0,0.1
2019-01-03,Karimnagar,Chigurumamidi,0.0,12.3,31.0,20.4,89.7,0.0,0.1
2019-01-04,Karimnagar,Chigurumamidi,0.0,10.6,30.8,21.8,90.6,0.0,1.5
2019-01-05,Karimnagar,Chigurumamidi,0.0,14.7,30.7,26.0,90.6,0.0,7.5
2019-01-06,Karimnagar,Chigurumamidi,0.0,15.9,31.9,29.1,93.4,0.0,0.1
2019-01-07,Karimnagar,Chigurumamidi,0.0,15.0,30.9,34.4,93.4,0.0,3.8
2019-01-08,Karimnagar,Chigurumamidi,0.0,14.1,29.8,38.5,89.4,0.0,2.4
2019-01-09,Karimnagar,Chigurumamidi,0.0,9.1,28.4,27.8,84.3,0.0,2.1
2019-01-10,Karimnagar,Chigurumamidi,0.0,9.8,29.9,22.5,78.0,0.0,0.1
2019-01-11,Karimnagar,Chigurumamidi,0.0,13.9,30.0,20.4,92.3,0.0,1.2
2019-01-12,Karimnagar,Chigurumamidi,0.0,16.9,31.9,34.4,100.0,0.0,1.1
2019-01-13,Karimnagar,Chigurumamidi,0.0,18.9,31.2,39.6,97.3,0.0,1.3
2019-01-14,Karimnagar,Chigurumamidi,0.0,16.4,32.2,37.0,95.5,0.0,10.1
2019-01-15,Karimnagar,Chigurumamidi,0.0,15.8,30.3,43.1,93.1,0.0,0.5
2019-01-16,Karimnagar,Chigurumamidi,0.0,13.0,29.5,43.4,95.8,0.0,0.1
2019-01-17,Karimnagar,Chigurumamidi,0.0,12.7,30.7,28.8,78.1,0.0,6.9
2019-01-18,Karimnagar,Chigurumamidi,0.0,14.7,31.7,21.1,93.9,0.0,5.9
2019-01-19,Karimnagar,Chigurumamidi,0.0,13.3,31.0,26.7,93.1,0.0,0.3
2019-01-20,Karimnagar,Chigurumamidi,0.0,12.2,30.9,29.5,87.6,0.0,0.2
2019-01-21,Karimnagar,Chigurumamidi,0.0,12.7,31.8,22.5,93.1,0.0,0.7
2019-01-22,Karimnagar,Chigurumamidi,0.0,17.0,32.2,27.4,86.1,0.0,11.6
2019-01-23,Karimnagar,Chigurumamidi,0.0,18.8,33.1,26.2,92.3,0.0,6.5
2019-01-24,Karimnagar,Chigurumamidi,0.0,18.0,32.6,36.4,98.1,0.0,2.9
2019-01-25,Karimnagar,Chigurumamidi,0.0,20.3,31.0,44.3,87.2,0.0,4.6
2019-01-26,Karimnagar,Chigurumamidi,0.0,21.9,31.8,41.4,83.6,0.0,7.9
2019-01-27,Karimnagar,Chigurumamidi,33.5,18.7,24.4,77.3,92.5,0.0,0.9
2019-01-28,Karimnagar,Chigurumamidi,0.0,18.3,21.0,93.0,100.0,0.0,2.2
2019-01-29,Karimnagar,Chigurumamidi,0.0,14.6,25.0,67.5,93.9,0.2,4.3
2019-01-30,Karimnagar,Chigurumamidi,0.0,10.0,26.3,31.7,88.3,0.0,7.8
2019-01-31,Karimnagar,Chigurumamidi,0.0,11.7,27.5,27.8,59.9,1.3,7.2
2019-02-01,Karimnagar,Chigurumamidi,0.0,18.0,31.1,34.9,93.9,0.0,13.0
2019-02-02,Karimnagar,Chigurumamidi,0.0,16.4,31.3,37.9,97.6,0.0,11.3
2019-02-03,Karimnagar,Chigurumamidi,0.0,16.9,30.2,40.8,81.6,1.3,7.7
2019-02-04,Karimnagar,Chigurumamidi,0.0,17.4,30.2,43.1,79.0,0.0,9.1
2019-02-05,Karimnagar,Chigurumamidi,0.0,17.3,32.3,29.5,91.3,0.0,8.0
2019-02-06,Karimnagar,Chigurumamidi,0.0,17.6,31.9,28.4,89.4,0.0,8.1
2019-02-07,Karimnagar,Chigurumamidi,0.0,20.9,32.8,32.3,66.3,2.2,9.4
2019-02-08,Karimnagar,Chigurumamidi,0.0,21.5,33.8,28.4,85.3,0.0,11.9
2019-02-09,Karimnagar,Chigurumamidi,0.0,17.4,30.5,47.8,77.3,0.0,6.7
2019-02-10,Karimnagar,Chigurumamidi,0.0,12.7,28.1,22.3,39.7,0.1,9.0
2019-02-11,Karimnagar,Chigurumamidi,0.0,16.8,30.0,23.2,31.3,0.0,6.7
2019-02-12,Karimnagar,Chigurumamidi,0.0,20.1,32.7,42.3,96.2,0.1,8.3
2019-02-13,Karimnagar,Chigurumamidi,0.0,18.0,31.9,40.2,95.7,0.9,11.2
2019-02-14,Karimnagar,Chigurumamidi,0.0,18.3,32.9,27.6,96.0,0.1,6.9
2019-02-15,Karimnagar,Chigurumamidi,0.0,20.0,35.3,32.8,86.5,0.0,11.4
2019-02-16,Karimnagar,Chigurumamidi,2.5,20.0,36.3,27.2,84.3,0.0,13.9
2019-02-17,Karimnagar,Chigurumamidi,0.0,20.4,34.0,37.6,95.2,0.0,6.4
2019-02-18,Karimnagar,Chigurumamidi,0.0,18.0,32.4,50.6,99.4,0.0,5.9
