Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Gannervaram,0.0,9.3,31.6,25.8,91.9,0.0,16.1
2019-01-02,Karimnagar,Gannervaram,0.0,9.4,32.9,20.2,87.1,0.0,6.5
2019-01-03,Karimnagar,Gannervaram,0.0,17.0,35.5,20.7,73.5,0.0,3.5
2019-01-04,Karimnagar,Gannervaram,0.0,9.2,35.5,24.1,86.2,0.0,9.0
2019-01-05,Karimnagar,Gannervaram,0.0,11.4,35.5,26.5,92.4,0.0,14.0
2019-01-06,Karimnagar,Gannervaram,0.0,11.4,35.5,30.7,91.3,0.0,9.5
2019-01-07,Karimnagar,Gannervaram,0.0,14.1,33.0,35.3,94.0,0.0,16.5
2019-01-08,Karimnagar,Gannervaram,0.0,17.2,33.3,39.0,93.2,0.0,21.7
2019-01-09,Karimnagar,Gannervaram,0.0,16.6,33.0,30.5,94.7,0.0,10.8
2019-01-10,Karimnagar,Gannervaram,0.0,15.4,33.5,22.2,91.8,0.0,15.4
2019-01-11,Karimnagar,Gannervaram,0.0,9.5,33.6,23.6,90.7,0.0,13.5
2019-01-12,Karimnagar,Gannervaram,0.0,10.0,35.5,26.6,83.5,0.0,12.6
2019-01-13,Karimnagar,Gannervaram,0.0,15.5,35.5,39.6,85.7,0.0,24.4
2019-01-14,Karimnagar,Gannervaram,0.0,17.4,35.5,45.9,93.0,0.0,17.5
2019-01-15,Karimnagar,Gannervaram,0.0,17.7,35.5,43.9,91.2,0.0,16.2
2019-01-16,Karimnagar,Gannervaram,0.0,17.5,33.3,49.0,93.1,0.0,10.2
2019-01-17,Karimnagar,Gannervaram,0.0,18.0,33.8,31.5,95.7,0.0,8.3
2019-01-18,Karimnagar,Gannervaram,0.0,16.2,33.1,30.4,91.1,0.0,11.7
2019-01-19,Karimnagar,Gannervaram,0.0,11.8,33.3,28.5,87.4,0.0,12.4
2019-01-20,Karimnagar,Gannervaram,0.0,17.2,32.7,30.0,82.0,0.0,17.9
2019-01-21,Karimnagar,Gannervaram,0.0,12.8,33.9,24.8,91.7,0.0,19.1
2019-01-22,Karimnagar,Gannervaram,0.0,11.9,33.4,21.9,90.9,0.0,10.3
2019-01-23,Karimnagar,Gannervaram,0.0,11.7,33.8,29.3,90.6,0.0,21.7
2019-01-24,Karimnagar,Gannervaram,0.0,16.8,32.7,33.2,86.3,0.0,14.2
2019-01-25,Karimnagar,Gannervaram,0.0,18.9,32.3,46.1,93.0,0.0,16.8
2019-01-26,Karimnagar,Gannervaram,1.5,18.6,32.5,50.9,95.0,0.0,14.7
2019-01-27,Karimnagar,Gannervaram,50.7,20.0,29.0,50.4,84.9,0.0,20.2
2019-01-28,Karimnagar,Gannervaram,15.5,19.9,25.3,61.4,96.2,0.0,18.8
2019-01-29,Karimnagar,Gannervaram,0.0,18.2,27.0,62.2,97.2,0.0,7.7
2019-01-30,Karimnagar,Gannervaram,0.0,18.2,27.0,31.8,87.1,0.0,6.5
2019-01-31,Karimnagar,Gannervaram,0.0,19.5,29.2,30.9,95.9,0.0,3.3
2019-02-01,Karimnagar,Gannervaram,0.0,13.6,31.0,58.3,82.7,0.0,7.6
2019-02-02,Karimnagar,Gannervaram,0.0,14.5,26.1,31.8,92.4,0.0,8.4
2019-02-03,Karimnagar,Gannervaram,0.0,18.3,28.9,43.8,90.5,0.0,14.1
2019-02-04,Karimnagar,Gannervaram,0.0,16.7,28.5,42.3,94.8,0.0,21.2
2019-02-05,Karimnagar,Gannervaram,0.0,18.8,29.1,44.3,86.7,0.0,12.5
2019-02-06,Karimnagar,Gannervaram,0.0,18.5,30.8,46.0,91.4,0.0,18.5
2019-02-07,Karimnagar,Gannervaram,0.0,20.1,31.6,35.6,89.6,0.0,16.2
2019-02-08,Karimnagar,Gannervaram,0.0,18.1,32.9,36.8,89.1,0.0,16.8
2019-02-09,Karimnagar,Gannervaram,0.0,17.3,31.2,35.4,94.0,0.0,18.2
2019-02-10,Karimnagar,Gannervaram,0.0,14.8,32.6,27.6,66.8,0.0,28.7
2019-02-11,Karimnagar,Gannervaram,0.0,19.8,30.2,32.6,82.4,0.0,3.6
2019-02-12,Karimnagar,Gannervaram,0.0,19.8,33.4,46.5,88.1,0.0,5.7
2019-02-13,Karimnagar,Gannervaram,0.0,19.0,31.9,28.6,84.1,0.0,6.5
