Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Jammikunta ,0.0,11.4,26.6,23.5,80.3,0.0,1.4
2019-01-02,Karimnagar,Jammikunta ,0.0,11.2,28.4,23.8,89.1,0.0,1.5
2019-01-03,Karimnagar,Jammikunta ,0.0,12.9,29.7,27.0,91.6,0.0,1.0
2019-01-04,Karimnagar,Jammikunta ,0.0,13.7,29.9,27.9,92.5,0.0,1.2
2019-01-05,Karimnagar,Jammikunta ,0.0,15.2,30.2,29.4,95.8,0.0,1.3
2019-01-06,Karimnagar,Jammikunta ,0.0,15.1,29.3,41.8,94.9,0.0,1.5
2019-01-07,Karimnagar,Jammikunta ,0.0,15.4,28.0,47.3,94.7,0.0,2.1
2019-01-08,Karimnagar,Jammikunta ,0.0,16.0,28.2,47.5,89.7,0.0,1.0
2019-01-09,Karimnagar,Jammikunta ,0.0,12.3,28.0,29.4,87.1,0.0,1.5
2019-01-10,Karimnagar,Jammikunta ,0.0,13.3,28.5,24.4,81.8,0.0,1.7
2019-01-11,Karimnagar,Jammikunta ,0.0,15.7,29.0,27.8,92.1,0.0,1.3
2019-01-12,Karimnagar,Jammikunta ,0.0,17.0,29.2,45.7,97.1,0.0,1.6
2019-01-13,Karimnagar,Jammikunta ,0.0,19.0,28.6,50.1,94.5,0.2,1.9
2019-01-14,Karimnagar,Jammikunta ,0.0,16.3,29.3,46.8,95.0,0.0,1.5
2019-01-15,Karimnagar,Jammikunta ,0.0,17.5,29.6,46.4,92.0,0.0,1.8
2019-01-16,Karimnagar,Jammikunta ,0.0,16.2,29.0,45.9,92.0,0.0,1.5
2019-01-17,Karimnagar,Jammikunta ,0.0,13.8,29.2,25.2,87.0,0.0,1.3
2019-01-18,Karimnagar,Jammikunta ,0.0,15.0,29.7,31.4,94.3,0.0,1.3
2019-01-19,Karimnagar,Jammikunta ,0.0,15.2,30.4,38.6,92.0,0.0,1.4
2019-01-20,Karimnagar,Jammikunta ,0.0,14.5,30.5,34.5,89.2,0.0,1.8
2019-01-21,Karimnagar,Jammikunta ,0.0,14.5,31.7,24.7,90.1,0.0,1.0
2019-01-22,Karimnagar,Jammikunta ,0.0,16.5,32.1,30.2,95.2,0.0,1.4
2019-01-23,Karimnagar,Jammikunta ,0.0,17.3,30.3,40.5,95.6,0.0,1.9
2019-01-24,Karimnagar,Jammikunta ,0.0,18.1,30.2,46.2,96.4,0.0,1.8
2019-01-25,Karimnagar,Jammikunta ,0.0,20.3,29.9,51.2,90.6,0.2,1.5
2019-01-26,Karimnagar,Jammikunta ,0.0,21.6,29.2,53.8,87.1,0.2,2.0
2019-01-27,Karimnagar,Jammikunta ,46.8,18.6,27.1,66.1,100.0,0.0,2.4
2019-01-28,Karimnagar,Jammikunta ,0.0,18.4,21.5,87.8,100.0,0.1,1.1
2019-01-29,Karimnagar,Jammikunta ,0.0,15.1,25.1,64.1,95.4,0.0,2.0
2019-01-30,Karimnagar,Jammikunta ,0.0,12.3,25.3,33.8,86.8,0.0,2.3
2019-01-31,Karimnagar,Jammikunta ,0.0,14.1,26.1,31.6,83.9,0.0,1.8
2019-02-01,Karimnagar,Jammikunta ,0.0,17.9,29.2,44.5,96.1,0.0,1.3
2019-02-02,Karimnagar,Jammikunta ,0.0,16.8,32.9,44.8,93.1,0.0,1.8
2019-02-03,Karimnagar,Jammikunta ,0.0,17.3,29.5,47.5,94.0,0.0,1.3
2019-02-04,Karimnagar,Jammikunta ,0.0,18.7,30.6,40.2,86.3,0.0,2.4
2019-02-05,Karimnagar,Jammikunta ,0.0,17.5,30.8,35.0,92.5,0.0,1.0
2019-02-06,Karimnagar,Jammikunta ,0.0,17.5,31.6,38.6,93.1,0.0,0.8
2019-02-07,Karimnagar,Jammikunta ,0.0,19.6,32.2,36.3,83.6,0.2,1.6
2019-02-08,Karimnagar,Jammikunta ,0.0,21.1,31.3,39.1,88.7,0.2,2.5
2019-02-09,Karimnagar,Jammikunta ,0.0,17.8,29.1,61.4,95.4,0.0,1.0
2019-02-10,Karimnagar,Jammikunta ,0.0,14.7,27.5,26.7,65.7,0.0,2.1
2019-02-11,Karimnagar,Jammikunta ,0.0,18.4,29.4,32.4,71.4,0.0,1.5
2019-02-12,Karimnagar,Jammikunta ,0.0,20.0,32.4,48.9,93.9,0.0,1.5
2019-02-13,Karimnagar,Jammikunta ,0.0,20.1,31.8,45.8,93.0,0.0,1.6
2019-02-14,Karimnagar,Jammikunta ,0.0,19.2,33.8,27.5,95.0,0.0,1.4
2019-02-15,Karimnagar,Jammikunta ,0.0,19.3,33.0,37.4,90.9,0.0,1.9
2019-02-16,Karimnagar,Jammikunta ,0.0,20.3,33.1,36.9,95.3,0.0,2.4
2019-02-17,Karimnagar,Jammikunta ,0.0,21.6,33.2,46.0,94.4,0.0,1.5
