Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Jammikunta,0.0,11.4,27.5,19.8,86.6,0.0,0.3
2019-01-02,Karimnagar,Jammikunta,0.0,12.0,34.0,20.1,100.0,0.0,2.2
2019-01-03,Karimnagar,Jammikunta,0.0,13.4,36.2,20.6,100.0,0.0,1.0
2019-01-04,Karimnagar,Jammikunta,0.0,13.7,34.9,20.7,93.7,0.0,2.0
2019-01-05,Karimnagar,Jammikunta,0.0,15.7,35.3,21.5,98.6,0.0,1.1
2019-01-06,Karimnagar,Jammikunta,0.0,16.0,30.2,23.1,100.0,0.0,2.8
2019-01-07,Karimnagar,Jammikunta,0.0,16.2,28.8,47.3,94.7,0.0,4.1
2019-01-08,Karimnagar,Jammikunta,0.0,15.6,32.1,32.6,100.0,0.0,0.6
2019-01-09,Karimnagar,Jammikunta,0.0,13.3,36.1,21.7,100.0,0.0,2.4
2019-01-10,Karimnagar,Jammikunta,0.0,14.1,29.4,20.7,88.2,0.0,3.4
2019-01-11,Karimnagar,Jammikunta,0.0,16.2,34.4,20.1,100.0,0.0,4.6
2019-01-12,Karimnagar,Jammikunta,0.0,17.8,31.5,25.0,100.0,0.0,4.8
2019-01-13,Karimnagar,Jammikunta,0.0,19.8,29.4,46.4,100.0,0.0,2.8
2019-01-14,Karimnagar,Jammikunta,0.0,16.3,33.6,33.2,100.0,0.0,3.6
2019-01-15,Karimnagar,Jammikunta,0.0,16.6,35.1,31.3,96.2,0.0,2.3
2019-01-16,Karimnagar,Jammikunta,0.0,15.4,32.5,33.4,95.2,0.0,1.4
2019-01-17,Karimnagar,Jammikunta,0.0,14.1,34.0,21.1,87.2,0.0,0.8
2019-01-18,Karimnagar,Jammikunta,0.0,15.8,34.4,21.8,95.3,0.0,2.2
2019-01-19,Karimnagar,Jammikunta,0.0,14.0,30.7,58.1,100.0,0.0,6.4
2019-01-20,Karimnagar,Jammikunta,0.0,14.6,35.5,22.1,100.0,0.0,0.8
2019-01-21,Karimnagar,Jammikunta,0.0,14.5,36.8,22.6,85.6,0.0,7.3
2019-01-22,Karimnagar,Jammikunta,0.0,16.8,34.4,20.4,97.1,0.0,6.3
2019-01-23,Karimnagar,Jammikunta,0.0,17.3,34.5,28.8,100.0,0.0,3.2
2019-01-24,Karimnagar,Jammikunta,0.0,18.0,33.9,32.9,100.0,0.0,0.9
2019-01-25,Karimnagar,Jammikunta,0.0,20.1,32.7,38.5,100.0,0.0,2.2
2019-01-26,Karimnagar,Jammikunta,0.0,21.6,31.2,43.8,80.8,0.0,2.8
2019-01-27,Karimnagar,Jammikunta,44.3,18.4,28.3,57.8,100.0,0.0,5.1
2019-01-28,Karimnagar,Jammikunta,0.0,18.1,21.3,87.5,100.0,0.0,0.6
2019-01-29,Karimnagar,Jammikunta,0.0,14.8,26.5,60.4,100.0,0.0,4.5
2019-01-30,Karimnagar,Jammikunta,0.0,12.5,25.5,33.8,86.8,0.0,2.4
2019-01-31,Karimnagar,Jammikunta,0.0,12.4,31.2,23.6,100.0,0.0,3.9
2019-02-01,Karimnagar,Jammikunta,0.0,17.6,29.6,40.0,100.0,0.0,5.2
2019-02-02,Karimnagar,Jammikunta,0.0,17.2,33.7,34.9,100.0,0.0,4.1
