Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Karimnagar Rural,0.0,12.0,27.4,21.7,89.8,0.0,9.5
2019-01-02,Karimnagar,Karimnagar Rural,0.0,12.5,29.6,24.3,95.6,0.0,13.3
2019-01-03,Karimnagar,Karimnagar Rural,0.0,14.6,32.1,23.4,93.5,0.0,8.4
2019-01-04,Karimnagar,Karimnagar Rural,0.0,14.5,32.1,40.5,99.9,0.0,9.5
2019-01-05,Karimnagar,Karimnagar Rural,0.0,16.7,32.1,28.6,99.9,0.0,8.6
2019-01-06,Karimnagar,Karimnagar Rural,0.0,17.6,32.1,41.0,99.9,0.0,8.3
2019-01-07,Karimnagar,Karimnagar Rural,0.0,18.3,30.3,40.1,95.9,0.0,13.7
2019-01-08,Karimnagar,Karimnagar Rural,0.0,17.5,30.0,41.8,99.9,0.0,7.1
2019-01-09,Karimnagar,Karimnagar Rural,0.0,12.2,29.5,28.9,94.3,0.0,12.4
2019-01-10,Karimnagar,Karimnagar Rural,0.0,13.5,30.1,20.1,95.7,0.0,11.0
2019-01-11,Karimnagar,Karimnagar Rural,0.0,15.9,30.6,25.6,99.9,0.0,9.2
2019-01-12,Karimnagar,Karimnagar Rural,0.0,18.1,30.0,45.2,99.9,0.0,11.7
2019-01-13,Karimnagar,Karimnagar Rural,0.0,19.6,30.0,44.7,95.7,0.0,10.8
2019-01-14,Karimnagar,Karimnagar Rural,0.0,19.3,30.7,45.7,96.0,0.0,10.4
2019-01-15,Karimnagar,Karimnagar Rural,0.0,18.7,30.2,46.7,99.9,0.0,7.4
2019-01-16,Karimnagar,Karimnagar Rural,0.0,16.2,30.0,43.8,99.9,0.0,12.1
2019-01-17,Karimnagar,Karimnagar Rural,0.0,16.7,30.7,28.6,95.7,0.0,12.6
2019-01-18,Karimnagar,Karimnagar Rural,0.0,16.7,32.1,34.6,95.8,0.0,11.4
2019-01-19,Karimnagar,Karimnagar Rural,0.0,17.5,32.1,46.5,97.6,0.0,7.4
2019-01-20,Karimnagar,Karimnagar Rural,0.0,15.3,32.1,35.6,99.9,0.0,11.2
2019-01-21,Karimnagar,Karimnagar Rural,0.0,14.5,32.1,30.5,95.9,0.0,11.4
2019-01-22,Karimnagar,Karimnagar Rural,0.0,21.0,32.1,39.1,91.1,0.0,14.1
2019-01-23,Karimnagar,Karimnagar Rural,0.0,21.4,32.1,43.3,96.3,0.0,15.2
2019-01-24,Karimnagar,Karimnagar Rural,0.0,21.8,32.4,48.3,97.5,0.0,10.2
2019-01-25,Karimnagar,Karimnagar Rural,0.0,24.4,30.8,61.6,96.2,0.0,13.9
2019-01-26,Karimnagar,Karimnagar Rural,3.3,22.7,31.7,51.9,99.9,0.0,15.1
2019-01-27,Karimnagar,Karimnagar Rural,35.8,20.1,26.9,75.4,99.9,0.0,14.2
2019-01-28,Karimnagar,Karimnagar Rural,0.0,20.2,24.4,86.6,98.6,0.0,8.0
2019-01-29,Karimnagar,Karimnagar Rural,0.0,17.2,26.9,75.8,94.8,0.0,11.3
2019-01-30,Karimnagar,Karimnagar Rural,0.0,12.0,27.6,38.2,99.1,0.0,13.9
2019-01-31,Karimnagar,Karimnagar Rural,0.0,14.2,27.7,39.9,95.8,0.0,13.7
2019-02-01,Karimnagar,Karimnagar Rural,0.0,18.9,30.0,54.9,99.9,0.0,10.5
2019-02-02,Karimnagar,Karimnagar Rural,0.0,18.3,30.5,49.8,99.9,0.0,14.4
2019-02-03,Karimnagar,Karimnagar Rural,0.0,18.9,30.8,53.9,99.9,0.0,9.6
2019-02-04,Karimnagar,Karimnagar Rural,0.0,18.9,32.1,51.6,99.9,0.0,15.0
2019-02-05,Karimnagar,Karimnagar Rural,0.0,19.3,32.1,54.6,99.9,0.0,8.0
2019-02-06,Karimnagar,Karimnagar Rural,0.0,19.3,32.6,46.3,99.9,0.0,9.9
2019-02-07,Karimnagar,Karimnagar Rural,0.0,22.4,32.9,39.5,89.6,0.0,12.4
2019-02-08,Karimnagar,Karimnagar Rural,0.0,20.9,32.9,38.6,93.9,0.0,13.9
2019-02-09,Karimnagar,Karimnagar Rural,0.0,16.2,29.1,42.5,99.7,0.0,6.6
2019-02-10,Karimnagar,Karimnagar Rural,0.0,10.8,26.7,29.7,81.3,0.0,14.7
2019-02-11,Karimnagar,Karimnagar Rural,0.0,16.2,27.9,31.5,77.9,0.0,12.8
2019-02-12,Karimnagar,Karimnagar Rural,0.0,20.7,30.3,45.4,97.6,0.0,11.6
2019-02-13,Karimnagar,Karimnagar Rural,0.0,17.7,29.3,57.0,100.0,0.0,12.7
2019-02-14,Karimnagar,Karimnagar Rural,0.0,17.0,31.2,35.6,100.0,0.0,12.7
2019-02-15,Karimnagar,Karimnagar Rural,0.0,20.2,31.0,52.8,99.7,0.0,11.9
2019-02-16,Karimnagar,Karimnagar Rural,6.3,19.9,33.1,40.2,100.0,0.0,15.0
2019-02-17,Karimnagar,Karimnagar Rural,0.0,21.1,30.7,52.4,98.7,0.0,6.7
2019-02-18,Karimnagar,Karimnagar Rural,0.0,18.2,30.8,57.5,100.0,0.0,7.7
2019-02-19,Karimnagar,Karimnagar Rural,0.0,18.4,31.2,40.2,97.4,0.0,8.2
2019-02-20,Karimnagar,Karimnagar Rural,0.0,22.6,32.9,57.5,95.3,0.0,15.0
2019-02-21,Karimnagar,Karimnagar Rural,0.0,21.6,32.6,49.5,95.5,0.0,14.6
2019-02-22,Karimnagar,Karimnagar Rural,0.0,20.0,33.6,36.1,93.4,0.0,10.1
2019-02-23,Karimnagar,Karimnagar Rural,0.0,20.8,35.0,34.7,84.8,0.0,8.9
2019-02-24,Karimnagar,Karimnagar Rural,0.0,20.5,36.7,29.8,78.6,0.0,10.6
2019-02-25,Karimnagar,Karimnagar Rural,0.0,20.1,36.4,29.8,77.6,0.0,10.8
2019-02-26,Karimnagar,Karimnagar Rural,0.0,18.9,37.4,21.0,91.7,0.0,14.5
2019-02-27,Karimnagar,Karimnagar Rural,0.0,23.0,31.7,40.2,91.3,0.0,13.0
2019-02-28,Karimnagar,Karimnagar Rural,0.0,19.0,32.5,41.9,86.7,0.0,10.8
2019-03-01,Karimnagar,Karimnagar Rural,0.0,17.8,31.2,33.7,82.4,0.0,11.9
2019-03-02,Karimnagar,Karimnagar Rural,0.0,22.8,30.7,57.5,64.6,0.1,14.6
2019-03-03,Karimnagar,Karimnagar Rural,0.0,23.5,34.1,52.9,91.7,0.0,15.3
2019-03-04,Karimnagar,Karimnagar Rural,0.0,23.4,34.6,46.4,79.4,0.0,18.0
2019-03-05,Karimnagar,Karimnagar Rural,0.0,22.4,37.0,28.0,93.2,0.0,11.9
2019-03-06,Karimnagar,Karimnagar Rural,0.0,17.1,34.4,31.9,69.7,0.0,10.3
2019-03-07,Karimnagar,Karimnagar Rural,0.0,15.9,33.6,26.1,80.7,0.0,9.0
2019-03-08,Karimnagar,Karimnagar Rural,0.0,17.2,33.0,30.2,85.5,0.0,11.3
2019-03-09,Karimnagar,Karimnagar Rural,0.0,19.7,34.2,40.5,90.0,0.0,12.7
2019-03-10,Karimnagar,Karimnagar Rural,0.0,21.3,34.8,44.1,88.8,0.0,11.8
2019-03-11,Karimnagar,Karimnagar Rural,0.0,23.6,36.1,42.1,88.7,0.0,12.2
2019-03-12,Karimnagar,Karimnagar Rural,0.0,24.4,36.1,41.1,78.5,0.0,14.8
2019-03-13,Karimnagar,Karimnagar Rural,0.0,24.1,34.2,41.7,71.3,0.0,15.0
2019-03-14,Karimnagar,Karimnagar Rural,0.0,22.2,37.2,28.4,66.0,0.0,16.3
2019-03-15,Karimnagar,Karimnagar Rural,0.0,21.4,37.2,22.4,65.5,0.0,10.9
2019-03-16,Karimnagar,Karimnagar Rural,0.0,20.5,37.8,21.7,59.1,0.0,14.1
2019-03-17,Karimnagar,Karimnagar Rural,0.0,23.2,35.0,28.9,90.3,0.0,14.2
2019-03-18,Karimnagar,Karimnagar Rural,0.0,21.5,35.8,33.3,76.9,0.0,13.8
2019-03-19,Karimnagar,Karimnagar Rural,0.0,23.0,33.3,39.4,87.9,1.9,17.1
2019-03-20,Karimnagar,Karimnagar Rural,0.0,24.0,35.5,43.5,90.3,0.0,14.4
2019-03-21,Karimnagar,Karimnagar Rural,2.3,23.9,34.0,49.3,90.8,0.0,18.1
2019-03-22,Karimnagar,Karimnagar Rural,2.8,23.3,35.7,35.9,87.4,0.0,14.6
2019-03-23,Karimnagar,Karimnagar Rural,0.0,23.5,35.1,47.6,86.0,0.0,10.7
2019-03-24,Karimnagar,Karimnagar Rural,0.0,23.8,35.5,39.9,88.8,0.0,12.8
2019-03-25,Karimnagar,Karimnagar Rural,0.0,25.0,36.8,36.7,83.3,0.0,7.2
2019-03-26,Karimnagar,Karimnagar Rural,0.0,25.6,36.1,38.8,77.2,0.0,10.3
2019-03-27,Karimnagar,Karimnagar Rural,0.0,24.6,37.2,39.7,69.3,0.0,13.1
2019-03-28,Karimnagar,Karimnagar Rural,0.0,23.6,36.7,40.5,68.9,0.0,13.6
2019-03-29,Karimnagar,Karimnagar Rural,0.0,23.5,37.0,35.6,82.6,0.0,11.6
2019-03-30,Karimnagar,Karimnagar Rural,0.0,23.1,37.5,22.4,78.3,0.0,15.2
2019-03-31,Karimnagar,Karimnagar Rural,0.0,25.0,37.7,35.0,74.7,0.0,12.6
2019-04-01,Karimnagar,Karimnagar Rural,0.0,25.4,40.3,20.6,67.1,0.0,12.2
2019-04-02,Karimnagar,Karimnagar Rural,0.0,24.2,38.9,18.4,66.5,0.0,10.8
2019-04-03,Karimnagar,Karimnagar Rural,0.0,24.7,37.8,34.7,80.4,0.0,14.1
2019-04-04,Karimnagar,Karimnagar Rural,0.0,24.8,36.1,44.6,86.7,0.0,14.6
2019-04-05,Karimnagar,Karimnagar Rural,0.0,24.5,37.6,32.2,73.2,0.0,13.7
