Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Manakondur ,0.0,11.3,26.6,26.9,83.5,0.0,0.6
2019-01-02,Karimnagar,Manakondur ,0.0,12.0,28.0,25.3,87.9,0.0,0.8
2019-01-03,Karimnagar,Manakondur ,0.0,14.1,29.5,27.7,83.6,0.0,0.4
2019-01-04,Karimnagar,Manakondur ,0.0,13.1,29.2,34.1,93.8,0.0,0.7
2019-01-05,Karimnagar,Manakondur ,0.0,15.0,29.5,32.9,97.5,0.0,0.5
2019-01-06,Karimnagar,Manakondur ,0.0,14.8,28.9,44.9,96.5,0.0,1.0
2019-01-07,Karimnagar,Manakondur ,0.0,15.4,28.5,45.5,96.2,0.0,1.9
2019-01-08,Karimnagar,Manakondur ,0.0,16.4,27.8,45.1,96.9,0.0,0.9
2019-01-09,Karimnagar,Manakondur ,0.0,12.9,27.0,33.4,89.9,0.0,0.8
2019-01-10,Karimnagar,Manakondur ,0.0,11.8,28.1,25.5,89.3,0.0,0.9
2019-01-11,Karimnagar,Manakondur ,0.0,13.7,28.1,28.4,97.4,0.0,0.9
2019-01-12,Karimnagar,Manakondur ,0.0,16.9,28.3,50.6,98.2,0.0,1.7
2019-01-13,Karimnagar,Manakondur ,0.0,18.7,29.0,51.9,93.1,0.0,1.2
2019-01-14,Karimnagar,Manakondur ,0.0,16.9,29.3,50.6,96.1,0.0,1.5
2019-01-15,Karimnagar,Manakondur ,0.0,16.2,28.4,55.9,97.2,0.0,0.4
2019-01-16,Karimnagar,Manakondur ,0.0,14.6,28.3,48.7,98.0,0.0,0.6
2019-01-17,Karimnagar,Manakondur ,0.0,14.3,28.9,33.1,87.1,0.0,0.6
2019-01-18,Karimnagar,Manakondur ,0.0,16.1,29.6,32.3,93.8,0.0,0.4
2019-01-19,Karimnagar,Manakondur ,0.0,15.1,29.7,39.9,93.7,0.0,0.6
2019-01-20,Karimnagar,Manakondur ,0.0,14.3,29.9,37.9,92.7,0.0,0.8
2019-01-21,Karimnagar,Manakondur ,0.0,14.7,30.9,29.0,89.3,0.0,0.9
2019-01-22,Karimnagar,Manakondur ,0.0,18.2,31.5,32.8,84.2,0.0,1.8
2019-01-23,Karimnagar,Manakondur ,0.0,16.6,30.0,41.7,98.4,0.0,1.1
2019-01-24,Karimnagar,Manakondur ,0.0,17.9,30.1,48.9,98.5,0.0,2.1
2019-01-25,Karimnagar,Manakondur ,0.0,19.1,29.0,58.5,92.9,0.0,1.0
2019-01-26,Karimnagar,Manakondur ,2.3,20.5,28.6,55.1,99.2,0.0,2.6
2019-01-27,Karimnagar,Manakondur ,52.5,17.9,24.1,89.8,100.0,0.0,0.7
2019-01-28,Karimnagar,Manakondur ,0.0,18.1,22.1,84.7,100.0,0.0,0.5
2019-01-29,Karimnagar,Manakondur ,0.0,15.6,25.2,62.2,96.6,0.0,1.0
2019-01-30,Karimnagar,Manakondur ,0.0,10.1,25.3,34.2,96.6,0.0,0.7
2019-01-31,Karimnagar,Manakondur ,0.0,11.5,26.1,32.1,87.1,0.0,0.7
2019-02-01,Karimnagar,Manakondur ,0.0,16.2,28.9,45.5,97.5,0.0,1.1
2019-02-02,Karimnagar,Manakondur ,0.0,16.9,28.9,48.4,97.1,0.0,1.8
2019-02-03,Karimnagar,Manakondur ,0.0,16.0,28.6,52.4,99.5,0.0,0.9
2019-02-04,Karimnagar,Manakondur ,0.0,16.8,30.1,47.1,96.1,0.0,1.1
2019-02-05,Karimnagar,Manakondur ,0.0,16.2,30.9,41.5,97.9,0.0,1.3
2019-02-06,Karimnagar,Manakondur ,0.0,16.7,30.9,40.0,96.1,0.0,0.5
2019-02-07,Karimnagar,Manakondur ,0.0,19.7,31.7,38.2,76.0,0.0,1.5
2019-02-08,Karimnagar,Manakondur ,0.0,20.6,31.6,37.9,92.0,0.0,1.5
2019-02-09,Karimnagar,Manakondur ,0.0,16.6,28.3,38.7,98.2,0.0,2.0
2019-02-10,Karimnagar,Manakondur ,0.0,12.4,27.5,29.0,71.5,0.0,1.0
2019-02-11,Karimnagar,Manakondur ,0.0,16.4,28.8,31.4,79.2,0.0,0.7
2019-02-12,Karimnagar,Manakondur ,0.0,19.1,31.0,54.4,99.5,0.0,0.7
2019-02-13,Karimnagar,Manakondur ,0.0,18.3,31.0,52.3,99.0,0.0,1.1
2019-02-14,Karimnagar,Manakondur ,0.0,18.0,32.3,35.3,97.5,0.0,1.1
2019-02-15,Karimnagar,Manakondur ,0.0,18.3,31.9,51.0,94.6,0.0,1.4
2019-02-16,Karimnagar,Manakondur ,0.0,20.1,34.0,37.1,97.9,0.0,2.8
2019-02-17,Karimnagar,Manakondur ,0.0,20.9,31.7,51.5,97.4,0.0,0.9
2019-02-18,Karimnagar,Manakondur ,0.0,18.6,30.7,61.9,98.3,0.0,0.7
2019-02-19,Karimnagar,Manakondur ,0.0,19.6,32.9,44.6,93.5,0.0,0.6
2019-02-20,Karimnagar,Manakondur ,0.0,21.6,33.1,55.0,94.2,0.0,0.9
2019-02-21,Karimnagar,Manakondur ,0.0,20.5,33.4,51.8,95.9,0.0,1.1
2019-02-22,Karimnagar,Manakondur ,0.0,21.1,34.4,42.5,82.8,0.0,1.1
2019-02-23,Karimnagar,Manakondur ,0.0,21.5,35.0,37.6,83.8,0.0,0.7
