Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Ramadugu,0.0,10.6,30.7,20.3,93.4,0.0,5.5
2019-01-02,Karimnagar,Ramadugu,0.0,14.2,32.9,23.3,95.4,0.0,4.2
2019-01-03,Karimnagar,Ramadugu,0.0,16.7,32.1,29.6,87.8,0.0,3.7
2019-01-04,Karimnagar,Ramadugu,0.0,13.4,32.1,31.7,96.8,0.0,4.3
2019-01-05,Karimnagar,Ramadugu,0.0,15.0,32.1,32.1,99.9,0.0,4.0
2019-01-06,Karimnagar,Ramadugu,0.0,14.9,32.1,42.9,99.9,0.0,0.3
2019-01-07,Karimnagar,Ramadugu,0.0,15.5,32.1,48.7,99.9,0.0,2.9
2019-01-08,Karimnagar,Ramadugu,0.0,15.8,32.1,45.3,99.9,0.0,0.3
2019-01-09,Karimnagar,Ramadugu,0.0,12.8,29.5,32.9,99.7,0.0,3.3
2019-01-10,Karimnagar,Ramadugu,0.0,11.5,30.3,22.9,90.6,0.0,6.0
2019-01-11,Karimnagar,Ramadugu,0.0,13.9,30.5,27.8,94.9,0.0,7.7
2019-01-12,Karimnagar,Ramadugu,0.0,16.5,32.1,47.2,99.9,0.0,2.7
2019-01-13,Karimnagar,Ramadugu,0.0,19.9,30.3,56.3,99.9,0.0,9.6
2019-01-14,Karimnagar,Ramadugu,0.0,16.8,32.1,51.6,99.9,0.0,2.6
2019-01-15,Karimnagar,Ramadugu,0.0,18.6,30.7,54.1,99.9,0.0,0.8
2019-01-16,Karimnagar,Ramadugu,0.0,14.7,29.9,47.7,99.9,0.0,8.4
2019-01-17,Karimnagar,Ramadugu,0.0,13.5,32.1,39.1,94.4,0.0,2.0
2019-01-18,Karimnagar,Ramadugu,0.0,16.1,32.4,32.7,95.5,0.0,0.2
2019-01-19,Karimnagar,Ramadugu,0.0,14.5,32.1,46.5,99.9,0.0,4.0
2019-01-20,Karimnagar,Ramadugu,0.0,15.4,32.1,36.8,99.9,0.0,3.3
2019-01-21,Karimnagar,Ramadugu,0.0,14.8,32.2,25.8,94.3,0.0,1.2
2019-01-22,Karimnagar,Ramadugu,0.0,18.8,34.6,30.5,99.9,0.0,0.1
2019-01-23,Karimnagar,Ramadugu,0.0,16.9,32.9,39.1,99.9,0.0,12.4
2019-01-24,Karimnagar,Ramadugu,0.0,18.1,30.2,49.0,96.0,0.0,5.4
2019-01-25,Karimnagar,Ramadugu,0.0,20.6,30.2,58.3,96.2,0.0,8.8
2019-01-26,Karimnagar,Ramadugu,3.5,20.8,32.1,55.0,99.9,0.0,14.8
2019-01-27,Karimnagar,Ramadugu,50.0,20.6,24.6,93.6,99.9,0.0,7.1
2019-01-28,Karimnagar,Ramadugu,0.0,18.0,24.4,86.2,99.9,0.0,1.1
2019-01-29,Karimnagar,Ramadugu,0.0,14.5,27.0,73.2,99.9,0.0,0.4
2019-01-30,Karimnagar,Ramadugu,0.0,8.8,26.9,32.9,99.2,0.0,2.7
2019-01-31,Karimnagar,Ramadugu,0.0,14.2,29.5,30.5,95.5,0.0,2.1
2019-02-01,Karimnagar,Ramadugu,0.0,17.5,32.1,61.7,99.9,0.0,7.9
2019-02-02,Karimnagar,Ramadugu,0.0,18.8,29.7,46.1,99.9,0.0,2.6
2019-02-03,Karimnagar,Ramadugu,0.0,17.0,30.7,50.5,99.9,0.0,0.4
2019-02-04,Karimnagar,Ramadugu,0.0,18.7,32.1,46.5,99.9,0.0,5.0
2019-02-05,Karimnagar,Ramadugu,0.0,17.3,32.1,42.8,99.9,0.0,1.8
2019-02-06,Karimnagar,Ramadugu,0.0,17.2,32.1,44.5,99.9,0.0,0.2
2019-02-07,Karimnagar,Ramadugu,0.0,21.8,32.1,46.0,83.4,0.0,2.1
2019-02-08,Karimnagar,Ramadugu,0.0,21.1,34.6,39.4,99.9,0.0,10.8
2019-02-09,Karimnagar,Ramadugu,0.0,14.6,32.1,45.5,99.9,0.0,6.1
2019-02-10,Karimnagar,Ramadugu,0.0,13.2,29.5,30.1,86.8,0.0,3.5
2019-02-11,Karimnagar,Ramadugu,0.0,17.3,32.1,31.6,84.1,0.0,0.3
2019-02-12,Karimnagar,Ramadugu,0.0,20.8,32.1,55.6,99.9,0.0,2.9
2019-02-13,Karimnagar,Ramadugu,0.0,18.2,32.1,59.1,99.9,0.0,2.2
2019-02-14,Karimnagar,Ramadugu,0.0,17.5,32.5,42.2,99.9,0.0,4.2
2019-02-15,Karimnagar,Ramadugu,0.0,18.8,32.1,55.2,99.9,0.0,0.6
2019-02-16,Karimnagar,Ramadugu,0.0,20.0,34.6,38.9,99.9,0.0,4.2
2019-02-17,Karimnagar,Ramadugu,0.0,21.6,33.3,64.8,99.9,0.0,0.1
2019-02-18,Karimnagar,Ramadugu,0.0,18.1,32.1,70.4,99.9,0.0,4.8
2019-02-19,Karimnagar,Ramadugu,0.0,18.2,34.6,38.0,99.9,0.0,0.3
2019-02-20,Karimnagar,Ramadugu,0.0,23.2,34.6,60.1,99.9,0.0,4.6
2019-02-21,Karimnagar,Ramadugu,0.0,20.7,34.6,64.1,91.1,0.0,5.7
2019-02-22,Karimnagar,Ramadugu,0.0,19.3,35.4,31.2,95.9,0.0,0.3
2019-02-23,Karimnagar,Ramadugu,0.0,20.8,35.2,32.3,83.5,0.0,0.3
2019-02-24,Karimnagar,Ramadugu,0.0,19.0,36.0,26.5,88.1,0.0,1.7
2019-02-25,Karimnagar,Ramadugu,0.0,18.2,37.6,21.0,81.7,0.0,3.8
2019-02-26,Karimnagar,Ramadugu,0.0,17.4,34.4,25.5,95.6,0.0,5.0
2019-02-27,Karimnagar,Ramadugu,0.0,20.4,32.2,31.6,100.0,0.0,1.7
2019-02-28,Karimnagar,Ramadugu,0.0,17.4,32.8,28.9,87.5,0.0,8.5
2019-03-01,Karimnagar,Ramadugu,0.0,16.5,32.4,25.3,92.1,0.0,1.3
2019-03-02,Karimnagar,Ramadugu,0.0,20.9,30.7,51.7,100.0,0.0,5.9
2019-03-03,Karimnagar,Ramadugu,0.0,22.5,31.2,57.0,97.1,0.0,10.7
2019-03-04,Karimnagar,Ramadugu,0.0,22.6,34.1,46.3,77.2,0.0,10.7
2019-03-05,Karimnagar,Ramadugu,0.0,21.1,34.1,37.8,96.1,0.0,9.0
2019-03-06,Karimnagar,Ramadugu,0.0,15.9,35.0,27.2,76.5,0.0,8.5
2019-03-07,Karimnagar,Ramadugu,0.0,16.2,33.8,18.8,82.4,0.0,0.1
2019-03-08,Karimnagar,Ramadugu,0.0,16.0,33.7,17.4,73.8,0.0,0.9
2019-03-09,Karimnagar,Ramadugu,0.0,19.1,34.3,28.2,85.4,0.0,1.2
2019-03-10,Karimnagar,Ramadugu,0.0,19.9,34.5,45.1,100.0,0.0,2.2
2019-03-11,Karimnagar,Ramadugu,0.0,21.4,34.9,46.3,96.1,0.0,5.1
2019-03-12,Karimnagar,Ramadugu,0.0,23.8,36.5,38.7,85.8,0.0,5.7
2019-03-13,Karimnagar,Ramadugu,0.0,21.9,33.5,41.7,79.0,0.0,6.2
2019-03-14,Karimnagar,Ramadugu,0.0,20.6,34.3,33.6,73.9,0.0,14.8
2019-03-15,Karimnagar,Ramadugu,0.0,19.7,37.4,21.7,73.5,0.0,0.2
2019-03-16,Karimnagar,Ramadugu,0.0,18.9,37.7,13.8,60.5,0.0,11.3
2019-03-17,Karimnagar,Ramadugu,0.0,21.5,36.9,20.4,92.6,0.0,12.1
2019-03-18,Karimnagar,Ramadugu,0.0,18.7,37.0,29.2,77.5,0.0,5.8
