Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Thimmapur,0.0,12.1,27.3,24.5,81.1,0.0,7.7
2019-01-02,Karimnagar,Thimmapur,0.0,12.8,28.7,22.9,85.5,0.0,7.9
2019-01-03,Karimnagar,Thimmapur,0.0,14.9,30.2,25.3,81.2,0.0,8.9
2019-01-04,Karimnagar,Thimmapur,0.0,13.8,30.0,31.7,91.4,0.0,6.7
2019-01-05,Karimnagar,Thimmapur,0.0,15.7,30.2,30.5,95.1,0.0,7.5
2019-01-06,Karimnagar,Thimmapur,0.0,15.5,29.7,42.5,94.1,0.0,8.7
2019-01-07,Karimnagar,Thimmapur,0.0,16.2,29.3,43.1,93.8,0.0,8.9
2019-01-08,Karimnagar,Thimmapur,0.0,17.1,28.6,42.7,94.5,0.0,8.4
2019-01-09,Karimnagar,Thimmapur,0.0,13.6,27.7,31.0,87.5,0.0,8.4
2019-01-10,Karimnagar,Thimmapur,0.0,12.5,28.9,23.1,86.9,0.0,7.3
2019-01-11,Karimnagar,Thimmapur,0.0,14.5,28.9,26.0,95.0,0.0,6.4
2019-01-12,Karimnagar,Thimmapur,0.0,17.6,29.0,48.2,95.8,0.0,9.0
2019-01-13,Karimnagar,Thimmapur,0.0,19.5,29.7,49.5,90.7,0.0,14.8
2019-01-14,Karimnagar,Thimmapur,0.0,17.7,30.1,48.2,93.7,0.0,9.5
2019-01-15,Karimnagar,Thimmapur,0.0,17.0,29.2,53.5,94.8,0.0,5.5
2019-01-16,Karimnagar,Thimmapur,0.0,15.4,29.1,46.3,95.6,0.0,10.3
2019-01-17,Karimnagar,Thimmapur,0.0,13.9,29.4,30.7,84.7,0.0,6.9
2019-01-18,Karimnagar,Thimmapur,0.0,15.4,29.9,29.9,95.5,0.0,9.0
2019-01-19,Karimnagar,Thimmapur,0.0,14.2,30.0,40.5,92.6,0.0,8.6
2019-01-20,Karimnagar,Thimmapur,0.0,13.8,29.9,38.4,89.3,0.0,8.6
2019-01-21,Karimnagar,Thimmapur,0.0,14.4,30.7,29.3,89.0,0.0,7.4
2019-01-22,Karimnagar,Thimmapur,0.0,16.6,31.1,34.4,85.7,0.0,15.0
2019-01-23,Karimnagar,Thimmapur,0.0,17.4,31.0,39.3,95.8,0.0,14.1
2019-01-24,Karimnagar,Thimmapur,0.0,17.9,30.3,49.8,98.4,0.0,9.0
2019-01-25,Karimnagar,Thimmapur,0.0,19.9,29.5,59.7,89.6,0.0,11.1
2019-01-26,Karimnagar,Thimmapur,2.0,21.0,29.7,55.1,86.9,0.0,14.3
2019-01-27,Karimnagar,Thimmapur,57.0,18.0,23.0,91.5,97.5,0.0,11.2
2019-01-28,Karimnagar,Thimmapur,0.0,18.2,21.1,93.6,100.0,0.0,9.5
2019-01-29,Karimnagar,Thimmapur,0.0,14.9,25.0,73.4,98.3,0.0,7.1
2019-01-30,Karimnagar,Thimmapur,0.0,10.1,25.8,36.8,85.1,0.0,11.9
2019-01-31,Karimnagar,Thimmapur,0.0,11.9,26.6,33.2,68.1,0.0,8.9
2019-02-01,Karimnagar,Thimmapur,0.0,16.0,29.6,45.4,95.2,0.0,12.7
2019-02-02,Karimnagar,Thimmapur,0.0,16.3,29.4,49.0,97.8,0.0,9.6
2019-02-03,Karimnagar,Thimmapur,0.0,16.0,29.0,52.2,93.3,0.0,10.2
2019-02-04,Karimnagar,Thimmapur,0.0,16.5,29.8,49.6,89.3,0.0,11.9
2019-02-05,Karimnagar,Thimmapur,0.0,18.4,32.1,45.3,99.9,0.0,9.3
2019-02-06,Karimnagar,Thimmapur,0.0,19.1,32.1,41.2,99.9,0.0,7.0
2019-02-07,Karimnagar,Thimmapur,0.0,19.6,33.0,42.0,95.7,0.0,11.4
2019-02-08,Karimnagar,Thimmapur,0.0,22.6,34.6,40.4,99.9,0.0,15.3
2019-02-09,Karimnagar,Thimmapur,0.0,19.3,30.6,49.0,99.9,0.0,8.4
2019-02-10,Karimnagar,Thimmapur,0.0,14.2,29.5,24.3,99.7,0.0,7.8
2019-02-11,Karimnagar,Thimmapur,0.0,19.3,30.1,29.5,95.7,0.0,8.4
2019-02-12,Karimnagar,Thimmapur,0.0,20.3,33.2,47.8,99.9,0.0,10.6
2019-02-13,Karimnagar,Thimmapur,0.0,21.4,32.1,47.8,99.9,0.0,11.4
2019-02-14,Karimnagar,Thimmapur,0.0,19.3,33.0,41.8,99.9,0.0,13.1
2019-02-15,Karimnagar,Thimmapur,0.0,19.4,32.1,38.5,99.9,0.0,13.3
2019-02-16,Karimnagar,Thimmapur,3.0,22.0,36.5,30.7,99.9,0.0,14.8
2019-02-17,Karimnagar,Thimmapur,0.0,22.9,34.6,41.1,99.9,0.0,6.3
2019-02-18,Karimnagar,Thimmapur,0.0,21.8,32.2,69.9,99.9,0.0,7.1
2019-02-19,Karimnagar,Thimmapur,0.0,20.0,34.6,50.9,99.9,0.0,5.4
2019-02-20,Karimnagar,Thimmapur,0.0,24.4,34.8,56.1,99.9,2.2,11.9
2019-02-21,Karimnagar,Thimmapur,0.0,21.3,34.8,55.0,99.9,0.0,12.7
2019-02-22,Karimnagar,Thimmapur,0.0,21.8,36.7,30.6,99.9,0.0,12.0
2019-02-23,Karimnagar,Thimmapur,0.0,22.2,35.8,31.8,95.6,0.0,8.1
2019-02-24,Karimnagar,Thimmapur,0.0,21.8,37.5,33.0,95.5,0.0,7.7
2019-02-25,Karimnagar,Thimmapur,0.0,19.8,37.6,31.2,81.9,0.0,9.0
2019-02-26,Karimnagar,Thimmapur,0.0,19.3,37.5,24.2,99.9,0.0,8.0
2019-02-27,Karimnagar,Thimmapur,0.0,22.5,33.3,43.4,96.6,0.0,10.8
2019-02-28,Karimnagar,Thimmapur,0.0,20.8,33.0,43.3,99.9,0.0,16.0
2019-03-01,Karimnagar,Thimmapur,0.0,18.8,33.2,35.5,99.9,0.0,11.4
2019-03-02,Karimnagar,Thimmapur,0.0,22.7,32.5,57.5,96.9,0.0,13.0
2019-03-03,Karimnagar,Thimmapur,0.0,22.3,32.7,47.9,96.9,0.0,14.9
2019-03-04,Karimnagar,Thimmapur,0.0,20.9,35.8,50.0,84.4,0.0,16.5
2019-03-05,Karimnagar,Thimmapur,0.0,20.7,36.8,33.1,99.1,0.0,8.3
2019-03-06,Karimnagar,Thimmapur,0.0,19.3,35.8,39.7,99.9,0.0,11.2
2019-03-07,Karimnagar,Thimmapur,0.0,18.4,35.2,27.9,94.8,0.0,10.2
2019-03-08,Karimnagar,Thimmapur,0.0,19.3,33.4,32.3,95.4,0.0,10.3
2019-03-09,Karimnagar,Thimmapur,0.0,19.8,37.5,37.7,99.9,0.0,8.4
2019-03-10,Karimnagar,Thimmapur,0.0,20.6,37.2,47.1,99.9,0.0,11.7
2019-03-11,Karimnagar,Thimmapur,0.0,22.3,37.1,40.9,90.8,0.0,11.4
2019-03-12,Karimnagar,Thimmapur,0.0,23.9,37.5,40.6,83.2,0.0,14.2
2019-03-13,Karimnagar,Thimmapur,0.0,21.5,36.1,40.6,78.2,0.0,15.0
2019-03-14,Karimnagar,Thimmapur,0.0,22.5,36.8,26.7,62.4,1.7,15.7
2019-03-15,Karimnagar,Thimmapur,0.0,21.4,38.1,19.9,83.5,0.0,8.4
2019-03-16,Karimnagar,Thimmapur,0.0,20.7,37.6,15.3,53.6,0.0,13.0
2019-03-17,Karimnagar,Thimmapur,0.0,21.0,38.0,26.8,92.6,0.3,13.1
2019-03-18,Karimnagar,Thimmapur,0.0,20.7,37.5,27.5,82.5,0.0,12.2
2019-03-19,Karimnagar,Thimmapur,0.0,20.5,34.7,41.0,90.1,0.0,15.2
2019-03-20,Karimnagar,Thimmapur,0.0,23.2,36.8,40.1,90.6,2.4,13.9
2019-03-21,Karimnagar,Thimmapur,0.0,23.1,35.8,46.8,96.9,2.8,14.4
2019-03-22,Karimnagar,Thimmapur,0.0,23.9,36.8,34.8,90.1,2.3,13.9
2019-03-23,Karimnagar,Thimmapur,0.0,23.5,35.0,48.4,96.2,0.0,9.5
2019-03-24,Karimnagar,Thimmapur,0.0,23.4,35.5,47.1,89.6,0.0,9.9
2019-03-25,Karimnagar,Thimmapur,0.0,23.3,37.3,39.9,96.9,0.0,10.7
2019-03-26,Karimnagar,Thimmapur,0.0,23.1,37.8,42.4,83.2,0.0,10.7
2019-03-27,Karimnagar,Thimmapur,0.0,22.6,38.0,37.7,76.9,0.0,16.0
2019-03-28,Karimnagar,Thimmapur,0.0,23.9,37.7,32.7,83.8,0.0,13.6
2019-03-29,Karimnagar,Thimmapur,0.0,21.4,37.6,33.2,84.3,0.0,6.1
2019-03-30,Karimnagar,Thimmapur,0.0,21.4,38.8,28.2,90.7,0.0,9.1
2019-03-31,Karimnagar,Thimmapur,0.0,23.9,38.3,33.2,91.1,0.0,12.7
2019-04-01,Karimnagar,Thimmapur,0.0,23.9,41.5,20.5,76.0,0.0,10.3
2019-04-02,Karimnagar,Thimmapur,0.0,23.9,39.9,20.4,78.5,0.0,11.1
2019-04-03,Karimnagar,Thimmapur,0.0,23.8,39.9,26.5,86.2,0.0,15.1
2019-04-04,Karimnagar,Thimmapur,0.0,23.9,38.8,43.2,90.1,0.0,14.1
2019-04-05,Karimnagar,Thimmapur,0.3,23.9,39.5,31.6,70.4,0.0,12.1
2019-04-06,Karimnagar,Thimmapur,0.0,23.9,36.8,33.3,69.4,0.0,6.8
2019-04-07,Karimnagar,Thimmapur,0.0,23.9,38.3,31.4,79.5,0.0,13.0
2019-04-08,Karimnagar,Thimmapur,0.0,23.3,41.3,26.2,90.1,0.0,13.3
2019-04-09,Karimnagar,Thimmapur,0.0,23.9,39.8,34.5,97.1,0.0,14.9
2019-04-10,Karimnagar,Thimmapur,0.0,24.8,37.8,40.6,90.9,0.0,15.2
2019-04-11,Karimnagar,Thimmapur,0.0,26.5,38.3,32.7,90.3,0.0,20.2
2019-04-12,Karimnagar,Thimmapur,0.0,26.5,43.0,18.3,76.4,0.0,14.7
2019-04-13,Karimnagar,Thimmapur,0.0,23.1,42.0,23.4,75.5,0.0,10.3
2019-04-14,Karimnagar,Thimmapur,0.0,24.7,39.9,21.9,69.9,0.0,9.9
2019-04-15,Karimnagar,Thimmapur,0.0,25.9,41.3,18.6,62.2,0.0,13.9
