Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,V Saidapur,0.0,10.3,26.3,26.2,75.4,0.0,5.3
2019-01-02,Karimnagar,V Saidapur,0.0,10.8,27.7,27.0,77.5,0.0,3.2
2019-01-03,Karimnagar,V Saidapur,0.0,12.1,30.3,26.4,89.4,0.0,1.2
2019-01-04,Karimnagar,V Saidapur,0.0,12.7,29.8,26.7,85.3,0.0,3.9
2019-01-05,Karimnagar,V Saidapur,0.0,15.4,29.9,31.5,88.3,0.0,5.9
2019-01-06,Karimnagar,V Saidapur,0.0,14.8,29.3,38.4,90.3,0.0,11.4
2019-01-07,Karimnagar,V Saidapur,0.0,15.1,28.3,45.6,89.7,0.0,12.7
2019-01-08,Karimnagar,V Saidapur,0.0,13.7,28.2,45.7,86.5,0.0,5.4
2019-01-09,Karimnagar,V Saidapur,0.0,10.5,27.1,35.3,81.4,0.0,3.2
2019-01-10,Karimnagar,V Saidapur,0.0,11.8,28.4,26.9,77.6,0.0,3.7
2019-01-11,Karimnagar,V Saidapur,0.0,14.0,28.8,26.6,86.0,0.0,9.6
2019-01-12,Karimnagar,V Saidapur,0.0,18.9,29.0,46.2,90.1,0.0,12.3
2019-01-13,Karimnagar,V Saidapur,0.0,19.9,28.8,49.2,87.2,0.0,13.1
2019-01-14,Karimnagar,V Saidapur,0.0,15.4,29.6,46.5,86.8,0.0,14.6
2019-01-15,Karimnagar,V Saidapur,0.0,16.3,29.8,48.4,89.1,0.0,4.0
2019-01-16,Karimnagar,V Saidapur,0.0,14.6,28.8,48.4,88.4,0.0,4.3
2019-01-17,Karimnagar,V Saidapur,0.0,13.6,29.3,33.3,80.6,0.0,1.9
2019-01-18,Karimnagar,V Saidapur,0.0,14.7,30.2,30.8,88.8,0.0,4.5
2019-01-19,Karimnagar,V Saidapur,0.0,14.6,30.2,38.0,88.3,0.0,2.8
2019-01-20,Karimnagar,V Saidapur,0.0,12.9,30.5,36.1,82.7,0.0,4.5
2019-01-21,Karimnagar,V Saidapur,0.0,13.5,30.4,27.5,87.9,0.0,4.4
2019-01-22,Karimnagar,V Saidapur,0.0,17.8,31.0,31.8,79.9,0.0,10.4
2019-01-23,Karimnagar,V Saidapur,0.0,19.0,29.9,37.7,86.7,0.0,16.2
2019-01-24,Karimnagar,V Saidapur,0.0,19.9,30.0,46.7,89.8,0.0,10.6
2019-01-25,Karimnagar,V Saidapur,0.0,20.6,29.6,52.0,84.9,0.0,14.3
2019-01-26,Karimnagar,V Saidapur,0.0,22.2,29.3,51.3,83.3,0.0,14.8
2019-01-27,Karimnagar,V Saidapur,26.3,19.1,25.3,72.8,93.5,0.0,7.1
2019-01-28,Karimnagar,V Saidapur,0.0,18.7,21.7,79.1,89.7,0.0,6.6
2019-01-29,Karimnagar,V Saidapur,0.0,15.4,24.6,64.3,87.9,0.0,6.7
2019-01-30,Karimnagar,V Saidapur,0.0,11.1,25.1,35.6,81.8,0.0,9.2
2019-01-31,Karimnagar,V Saidapur,0.0,12.4,26.0,34.1,83.3,0.0,7.0
2019-02-01,Karimnagar,V Saidapur,0.0,18.7,29.2,43.5,86.2,0.0,10.2
2019-02-02,Karimnagar,V Saidapur,0.0,16.8,29.5,45.2,87.5,0.0,12.9
2019-02-03,Karimnagar,V Saidapur,0.0,17.5,29.1,47.0,85.6,0.0,12.4
2019-02-04,Karimnagar,V Saidapur,0.0,19.0,30.4,46.1,83.9,0.0,5.6
2019-02-05,Karimnagar,V Saidapur,0.0,16.8,31.7,34.8,86.6,0.0,12.9
2019-02-06,Karimnagar,V Saidapur,0.0,17.1,31.3,38.6,85.5,0.0,3.9
2019-02-07,Karimnagar,V Saidapur,0.0,20.6,31.7,37.3,72.5,0.0,13.3
2019-02-08,Karimnagar,V Saidapur,0.0,21.7,32.1,38.8,83.3,0.0,18.6
2019-02-09,Karimnagar,V Saidapur,0.0,17.8,29.2,46.7,89.9,0.0,3.2
2019-02-10,Karimnagar,V Saidapur,0.0,12.5,26.9,31.3,74.4,0.0,10.5
2019-02-11,Karimnagar,V Saidapur,0.0,18.4,28.8,33.7,72.0,0.0,6.9
2019-02-12,Karimnagar,V Saidapur,0.0,19.9,31.2,49.1,90.3,0.0,12.7
2019-02-13,Karimnagar,V Saidapur,0.0,19.2,31.7,46.3,91.0,0.0,10.6
2019-02-14,Karimnagar,V Saidapur,0.0,17.7,33.0,30.1,90.2,0.0,5.6
2019-02-15,Karimnagar,V Saidapur,0.0,21.7,33.0,41.2,78.1,0.0,8.4
2019-02-16,Karimnagar,V Saidapur,2.5,20.4,34.5,35.4,86.2,0.0,15.9
2019-02-17,Karimnagar,V Saidapur,0.0,22.2,32.7,53.0,86.9,0.0,15.1
2019-02-18,Karimnagar,V Saidapur,0.0,19.6,31.3,57.3,90.0,0.0,7.4
2019-02-19,Karimnagar,V Saidapur,0.0,21.1,33.8,39.4,84.7,0.0,10.4
2019-02-20,Karimnagar,V Saidapur,0.0,22.9,34.2,46.8,86.6,0.0,16.4
2019-02-21,Karimnagar,V Saidapur,0.0,21.7,33.8,45.6,84.8,0.0,14.4
2019-02-22,Karimnagar,V Saidapur,0.0,21.3,35.5,34.1,78.8,0.0,10.1
2019-02-23,Karimnagar,V Saidapur,0.0,21.1,36.3,33.6,74.9,0.0,5.9
2019-02-24,Karimnagar,V Saidapur,0.0,21.7,37.3,28.1,59.5,0.0,6.5
2019-02-25,Karimnagar,V Saidapur,0.0,22.7,37.8,25.2,52.9,0.0,16.3
2019-02-26,Karimnagar,V Saidapur,0.0,19.1,36.5,24.2,85.8,0.0,16.7
2019-02-27,Karimnagar,V Saidapur,0.0,22.1,33.4,32.4,83.5,0.0,11.5
2019-02-28,Karimnagar,V Saidapur,0.0,21.0,32.1,49.3,87.5,0.0,11.8
2019-03-01,Karimnagar,V Saidapur,0.0,18.1,31.7,33.6,74.4,0.0,11.0
2019-03-02,Karimnagar,V Saidapur,0.0,23.9,33.0,49.0,83.2,0.0,13.1
2019-03-03,Karimnagar,V Saidapur,0.0,24.2,33.6,45.8,82.1,0.0,15.5
2019-03-04,Karimnagar,V Saidapur,0.0,24.0,34.6,43.9,71.0,0.0,15.5
2019-03-05,Karimnagar,V Saidapur,0.0,23.4,36.3,40.2,86.2,0.0,16.0
2019-03-06,Karimnagar,V Saidapur,0.0,20.0,34.8,36.9,67.7,0.0,8.4
2019-03-07,Karimnagar,V Saidapur,0.0,18.4,33.9,28.3,62.2,0.0,11.3
2019-03-08,Karimnagar,V Saidapur,0.0,18.7,34.1,24.6,71.1,0.0,6.6
2019-03-09,Karimnagar,V Saidapur,0.0,21.7,35.1,37.2,89.3,0.0,10.1
2019-03-10,Karimnagar,V Saidapur,0.0,22.5,36.1,38.3,82.2,0.0,12.7
2019-03-11,Karimnagar,V Saidapur,0.0,24.0,37.8,32.6,86.2,0.0,11.7
2019-03-12,Karimnagar,V Saidapur,0.0,25.4,37.4,33.4,72.5,0.0,15.7
2019-03-13,Karimnagar,V Saidapur,0.0,24.6,37.5,34.4,68.5,0.0,13.0
2019-03-14,Karimnagar,V Saidapur,0.0,24.5,37.5,24.3,54.6,0.0,17.9
2019-03-15,Karimnagar,V Saidapur,0.0,23.4,38.5,20.6,53.9,0.0,12.6
2019-03-16,Karimnagar,V Saidapur,0.0,22.8,38.0,19.8,53.1,0.0,15.6
2019-03-17,Karimnagar,V Saidapur,0.0,23.3,37.6,23.8,84.9,0.0,15.1
2019-03-18,Karimnagar,V Saidapur,0.0,21.6,36.4,30.8,77.1,0.0,14.1
2019-03-19,Karimnagar,V Saidapur,0.0,23.3,34.0,34.2,81.3,0.0,14.8
2019-03-20,Karimnagar,V Saidapur,0.0,24.6,37.6,34.9,82.3,0.0,13.8
2019-03-21,Karimnagar,V Saidapur,0.0,24.7,35.9,40.3,82.4,0.0,18.5
2019-03-22,Karimnagar,V Saidapur,0.0,24.0,37.2,27.7,82.1,0.0,15.1
2019-03-23,Karimnagar,V Saidapur,0.0,24.7,37.2,40.1,73.2,0.0,11.6
2019-03-24,Karimnagar,V Saidapur,0.0,24.6,37.8,33.5,71.1,0.0,8.2
2019-03-25,Karimnagar,V Saidapur,0.0,24.6,38.8,33.1,79.5,0.0,8.9
2019-03-26,Karimnagar,V Saidapur,0.0,24.7,38.2,32.6,73.7,0.0,10.6
2019-03-27,Karimnagar,V Saidapur,0.0,24.3,38.0,32.5,64.6,0.0,12.0
2019-03-28,Karimnagar,V Saidapur,0.0,24.2,38.9,29.7,65.1,0.0,12.0
2019-03-29,Karimnagar,V Saidapur,0.0,25.5,37.9,29.9,64.3,0.0,5.5
2019-03-30,Karimnagar,V Saidapur,0.0,25.5,39.3,24.4,74.6,0.0,11.5
2019-03-31,Karimnagar,V Saidapur,0.0,26.0,39.8,26.6,74.9,0.0,13.1
2019-04-01,Karimnagar,V Saidapur,0.0,27.6,40.8,20.8,56.9,0.0,15.5
2019-04-02,Karimnagar,V Saidapur,0.0,25.8,40.4,18.5,76.0,0.0,15.9
2019-04-03,Karimnagar,V Saidapur,0.0,24.9,40.4,25.2,83.7,0.6,14.3
2019-04-04,Karimnagar,V Saidapur,0.0,24.7,38.8,32.3,82.0,0.1,12.0
2019-04-05,Karimnagar,V Saidapur,3.8,24.0,38.0,33.1,68.3,0.0,15.1
2019-04-06,Karimnagar,V Saidapur,0.0,22.7,36.9,30.9,68.1,0.0,13.8
2019-04-07,Karimnagar,V Saidapur,0.0,25.7,39.2,26.1,72.8,0.0,25.3
2019-04-08,Karimnagar,V Saidapur,0.0,25.5,38.7,27.2,81.7,0.0,16.8
2019-04-09,Karimnagar,V Saidapur,0.0,25.8,40.0,26.2,84.1,0.0,16.6
2019-04-10,Karimnagar,V Saidapur,0.0,26.8,39.3,30.0,83.6,0.0,14.2
2019-04-11,Karimnagar,V Saidapur,0.0,26.5,38.8,33.1,78.8,0.0,15.1
2019-04-12,Karimnagar,V Saidapur,0.0,27.5,41.7,20.3,66.3,0.0,12.2
2019-04-13,Karimnagar,V Saidapur,2.0,23.3,42.9,20.3,75.7,0.0,16.7
2019-04-14,Karimnagar,V Saidapur,0.0,26.6,40.8,24.6,60.6,0.0,10.1
2019-04-15,Karimnagar,V Saidapur,0.0,28.4,42.8,21.3,52.5,0.0,17.8
2019-04-16,Karimnagar,V Saidapur,0.0,24.6,41.1,19.3,50.6,0.0,14.7
2019-04-17,Karimnagar,V Saidapur,0.0,25.4,39.9,21.6,51.1,0.0,15.0
2019-04-18,Karimnagar,V Saidapur,0.0,24.6,38.8,29.2,71.3,0.0,12.1
