Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Khammam (Rural),0.0,15.4,30.4,71.6,90.4,0.0,4.5
2019-01-02,Khammam,Khammam (Rural),0.0,15.6,32.8,29.8,96.2,0.0,3.6
2019-01-03,Khammam,Khammam (Rural),0.0,18.1,35.4,39.8,96.2,0.0,6.3
2019-01-04,Khammam,Khammam (Rural),0.0,18.6,35.4,53.4,80.4,0.0,0.6
2019-01-05,Khammam,Khammam (Rural),0.0,20.0,32.8,53.4,96.2,0.0,6.3
2019-01-06,Khammam,Khammam (Rural),0.0,20.0,31.5,55.3,93.8,0.0,4.3
2019-01-07,Khammam,Khammam (Rural),0.0,20.0,30.5,60.0,96.2,0.0,8.4
2019-01-08,Khammam,Khammam (Rural),0.0,20.0,33.3,52.3,93.1,0.0,2.4
2019-01-09,Khammam,Khammam (Rural),0.0,17.6,33.4,39.2,90.6,0.0,2.2
2019-01-10,Khammam,Khammam (Rural),0.0,18.6,35.5,21.8,96.2,0.0,5.9
2019-01-11,Khammam,Khammam (Rural),0.0,22.6,32.9,42.8,96.2,0.0,4.4
2019-01-12,Khammam,Khammam (Rural),0.0,22.6,32.8,68.8,96.2,0.0,8.7
2019-01-13,Khammam,Khammam (Rural),0.0,22.6,32.9,66.7,96.2,0.0,6.3
2019-01-14,Khammam,Khammam (Rural),0.0,20.0,32.9,58.9,96.2,0.0,7.8
2019-01-15,Khammam,Khammam (Rural),0.0,21.0,33.3,59.2,96.2,0.0,4.3
2019-01-16,Khammam,Khammam (Rural),0.0,20.1,35.4,52.6,96.2,0.0,5.2
2019-01-17,Khammam,Khammam (Rural),0.0,20.0,32.2,52.5,96.2,0.0,3.2
2019-01-18,Khammam,Khammam (Rural),0.0,19.6,32.3,52.4,93.8,0.0,2.8
2019-01-19,Khammam,Khammam (Rural),0.0,19.3,34.6,46.8,99.9,0.0,1.2
2019-01-20,Khammam,Khammam (Rural),0.0,18.4,34.6,46.9,99.9,0.0,3.2
2019-01-21,Khammam,Khammam (Rural),0.0,18.9,34.6,47.3,99.9,0.0,2.9
2019-01-22,Khammam,Khammam (Rural),0.0,19.5,34.6,55.0,99.9,0.0,2.8
2019-01-23,Khammam,Khammam (Rural),0.0,20.1,34.6,49.6,99.9,0.0,5.2
2019-01-24,Khammam,Khammam (Rural),0.0,19.9,32.6,53.7,98.1,0.0,5.9
2019-01-25,Khammam,Khammam (Rural),0.0,22.4,34.6,50.8,98.3,0.0,8.8
2019-01-26,Khammam,Khammam (Rural),0.0,24.4,33.1,62.7,98.5,0.0,10.2
2019-01-27,Khammam,Khammam (Rural),0.0,24.3,32.1,70.4,96.2,0.0,12.7
2019-01-28,Khammam,Khammam (Rural),49.8,20.2,32.1,62.6,99.9,0.0,10.1
2019-01-29,Khammam,Khammam (Rural),0.0,19.6,27.5,77.2,99.9,0.0,6.7
2019-01-30,Khammam,Khammam (Rural),0.0,14.9,30.3,43.3,89.8,0.0,5.7
2019-01-31,Khammam,Khammam (Rural),0.0,18.4,32.1,33.6,97.2,0.0,5.3
2019-02-01,Khammam,Khammam (Rural),0.0,19.5,33.0,46.6,99.9,0.0,10.2
2019-02-02,Khammam,Khammam (Rural),0.0,19.8,33.0,46.6,99.9,0.0,4.0
2019-02-03,Khammam,Khammam (Rural),0.0,21.8,34.6,49.6,98.8,0.0,6.0
2019-02-04,Khammam,Khammam (Rural),0.0,21.8,34.6,47.0,95.5,0.0,6.4
2019-02-05,Khammam,Khammam (Rural),0.0,21.4,34.9,41.7,97.2,0.0,7.1
2019-02-06,Khammam,Khammam (Rural),0.0,21.3,35.4,42.8,98.6,0.0,3.6
2019-02-07,Khammam,Khammam (Rural),0.0,21.8,34.6,56.2,97.2,0.0,4.5
2019-02-08,Khammam,Khammam (Rural),0.0,24.4,34.6,54.7,96.4,0.0,10.4
2019-02-09,Khammam,Khammam (Rural),0.0,24.3,34.6,62.8,97.9,0.0,8.3
2019-02-10,Khammam,Khammam (Rural),0.0,19.8,32.1,39.1,68.5,0.0,7.0
2019-02-11,Khammam,Khammam (Rural),0.0,22.5,35.6,44.9,92.4,0.0,6.8
2019-02-12,Khammam,Khammam (Rural),0.0,24.2,34.6,57.6,96.3,0.0,9.7
2019-02-13,Khammam,Khammam (Rural),0.0,22.0,34.6,55.0,96.8,0.0,8.8
2019-02-14,Khammam,Khammam (Rural),0.0,22.5,35.3,48.0,98.0,0.0,7.2
2019-02-15,Khammam,Khammam (Rural),0.0,22.8,35.4,42.2,97.7,0.0,4.3
2019-02-16,Khammam,Khammam (Rural),0.0,23.6,34.9,55.0,96.5,0.0,12.6
2019-02-17,Khammam,Khammam (Rural),0.0,23.0,34.7,55.4,92.8,0.0,0.8
2019-02-18,Khammam,Khammam (Rural),0.0,26.9,34.7,50.7,96.9,0.0,1.0
2019-02-19,Khammam,Khammam (Rural),0.0,26.9,34.6,49.7,96.9,0.0,1.2
2019-02-20,Khammam,Khammam (Rural),0.0,26.1,35.0,55.4,96.9,0.0,1.2
2019-02-21,Khammam,Khammam (Rural),0.0,22.2,35.1,55.1,96.9,0.0,15.2
2019-02-22,Khammam,Khammam (Rural),0.0,23.5,34.8,48.0,96.3,0.0,7.1
2019-02-23,Khammam,Khammam (Rural),0.0,21.8,37.4,36.8,89.5,0.0,4.8
2019-02-24,Khammam,Khammam (Rural),0.0,21.8,36.8,29.5,90.2,0.0,6.2
2019-02-25,Khammam,Khammam (Rural),0.0,22.2,37.6,37.4,96.3,0.0,12.2
2019-02-26,Khammam,Khammam (Rural),0.0,21.9,36.8,31.2,96.4,0.0,7.1
2019-02-27,Khammam,Khammam (Rural),0.0,22.6,34.2,47.1,96.5,0.0,9.3
2019-02-28,Khammam,Khammam (Rural),0.0,23.9,35.5,55.2,96.9,0.0,7.1
2019-03-01,Khammam,Khammam (Rural),0.0,21.7,34.2,50.1,96.5,0.0,0.8
2019-03-02,Khammam,Khammam (Rural),0.0,22.3,35.2,49.7,96.5,0.0,0.9
2019-03-03,Khammam,Khammam (Rural),0.0,22.0,34.9,55.4,96.9,0.0,0.8
2019-03-04,Khammam,Khammam (Rural),0.0,23.9,34.9,57.1,92.9,0.1,1.2
2019-03-05,Khammam,Khammam (Rural),0.0,23.5,37.5,53.6,96.9,0.0,1.4
2019-03-06,Khammam,Khammam (Rural),0.0,23.9,37.7,47.9,97.0,0.0,1.0
2019-03-07,Khammam,Khammam (Rural),0.0,23.1,39.1,31.2,93.6,0.0,1.4
2019-03-08,Khammam,Khammam (Rural),0.0,25.4,37.8,47.5,92.7,0.0,0.8
2019-03-09,Khammam,Khammam (Rural),0.0,26.5,37.3,47.5,92.0,0.0,1.2
2019-03-10,Khammam,Khammam (Rural),0.0,22.7,37.4,50.6,92.6,0.0,9.1
2019-03-11,Khammam,Khammam (Rural),0.0,23.9,37.5,46.5,92.5,0.0,11.8
2019-03-12,Khammam,Khammam (Rural),0.0,23.9,37.9,45.5,96.9,0.0,11.0
2019-03-13,Khammam,Khammam (Rural),0.0,23.9,37.3,36.4,93.5,0.0,6.5
2019-03-14,Khammam,Khammam (Rural),0.0,21.1,37.5,41.7,91.1,0.0,11.4
2019-03-15,Khammam,Khammam (Rural),0.0,23.9,37.3,23.5,90.5,0.0,9.6
2019-03-16,Khammam,Khammam (Rural),0.0,21.2,39.0,23.1,96.4,0.0,13.0
2019-03-17,Khammam,Khammam (Rural),0.0,21.4,38.0,39.1,96.9,0.0,10.8
2019-03-18,Khammam,Khammam (Rural),0.0,21.4,37.3,37.7,96.2,0.0,10.3
2019-03-19,Khammam,Khammam (Rural),0.0,21.9,35.5,37.4,85.2,0.0,11.2
2019-03-20,Khammam,Khammam (Rural),0.0,23.9,36.8,45.7,91.4,0.0,10.4
2019-03-21,Khammam,Khammam (Rural),0.0,23.9,34.3,48.2,91.1,0.0,13.8
2019-03-22,Khammam,Khammam (Rural),0.0,23.5,37.6,43.8,90.2,0.0,11.4
2019-03-23,Khammam,Khammam (Rural),0.0,23.9,37.2,45.7,96.9,0.0,13.1
2019-03-24,Khammam,Khammam (Rural),0.0,25.1,36.8,43.8,92.4,0.0,6.4
2019-03-25,Khammam,Khammam (Rural),0.0,24.5,38.9,39.3,90.3,0.0,7.1
2019-03-26,Khammam,Khammam (Rural),0.0,23.9,39.1,45.4,92.5,0.0,10.9
2019-03-27,Khammam,Khammam (Rural),0.0,23.9,37.3,41.4,96.9,0.0,7.2
2019-03-28,Khammam,Khammam (Rural),0.0,23.9,36.8,32.9,92.3,0.0,10.9
2019-03-29,Khammam,Khammam (Rural),0.0,23.9,39.4,32.6,92.5,0.0,5.8
2019-03-30,Khammam,Khammam (Rural),0.0,26.5,39.7,31.7,91.1,0.0,7.1
2019-03-31,Khammam,Khammam (Rural),0.0,25.6,40.0,44.2,97.2,0.0,7.8
2019-04-01,Khammam,Khammam (Rural),0.0,26.5,39.8,27.2,92.1,0.0,11.3
2019-04-02,Khammam,Khammam (Rural),0.0,24.3,39.3,32.3,92.8,0.0,13.8
2019-04-03,Khammam,Khammam (Rural),0.0,23.9,39.8,34.0,90.2,0.0,11.4
2019-04-04,Khammam,Khammam (Rural),0.0,23.9,39.1,41.9,92.8,0.0,11.3
2019-04-05,Khammam,Khammam (Rural),0.0,23.9,38.8,44.4,90.4,0.0,8.4
2019-04-06,Khammam,Khammam (Rural),0.0,26.5,38.3,32.2,92.5,0.0,7.5
2019-04-07,Khammam,Khammam (Rural),0.3,21.4,39.1,31.3,83.5,0.0,16.9
2019-04-08,Khammam,Khammam (Rural),0.0,25.5,39.7,33.2,91.6,0.0,12.6
2019-04-09,Khammam,Khammam (Rural),0.0,26.5,38.3,37.5,90.8,0.0,1.1
2019-04-10,Khammam,Khammam (Rural),0.0,26.5,37.6,39.4,90.8,0.1,1.6
2019-04-11,Khammam,Khammam (Rural),0.0,25.8,38.7,32.3,88.4,0.2,1.4
2019-04-12,Khammam,Khammam (Rural),0.0,25.9,39.0,36.8,90.8,0.2,1.0
2019-04-13,Khammam,Khammam (Rural),0.0,23.9,39.8,37.3,84.5,0.0,2.1
2019-04-14,Khammam,Khammam (Rural),0.0,25.4,41.8,30.9,91.8,0.2,1.0
2019-04-15,Khammam,Khammam (Rural),0.0,25.6,41.9,31.4,97.2,0.0,1.2
2019-04-16,Khammam,Khammam (Rural),0.0,24.8,41.9,18.0,90.1,0.1,1.3
2019-04-17,Khammam,Khammam (Rural),0.0,24.7,39.3,26.9,90.4,0.0,0.9
2019-04-18,Khammam,Khammam (Rural),0.0,26.5,39.3,25.9,91.5,0.1,1.6
2019-04-19,Khammam,Khammam (Rural),2.0,25.1,39.3,40.9,97.6,0.0,1.4
2019-04-20,Khammam,Khammam (Rural),0.3,27.5,39.3,37.4,90.8,0.2,2.1
2019-04-21,Khammam,Khammam (Rural),0.0,27.5,39.4,35.6,90.9,0.1,1.3
2019-04-22,Khammam,Khammam (Rural),0.0,27.3,39.3,32.4,76.9,0.0,1.4
2019-04-23,Khammam,Khammam (Rural),0.0,24.1,39.9,19.7,82.6,0.0,1.8
2019-04-24,Khammam,Khammam (Rural),0.0,23.6,39.3,36.1,90.1,0.0,2.7
2019-04-25,Khammam,Khammam (Rural),0.0,25.6,40.0,41.2,93.8,0.0,1.2
2019-04-26,Khammam,Khammam (Rural),0.0,27.5,39.3,33.9,92.9,0.0,1.1
2019-04-27,Khammam,Khammam (Rural),0.0,27.5,40.4,22.7,91.5,0.0,0.9
2019-04-28,Khammam,Khammam (Rural),0.0,27.5,41.9,37.2,90.8,0.2,1.4
2019-04-29,Khammam,Khammam (Rural),0.0,27.5,40.5,23.0,90.8,0.2,1.4
2019-04-30,Khammam,Khammam (Rural),0.0,27.5,41.9,40.2,92.0,0.1,1.1
2019-05-01,Khammam,Khammam (Rural),0.0,27.5,40.2,34.0,85.5,0.0,1.5
2019-05-02,Khammam,Khammam (Rural),0.5,27.2,39.9,41.3,85.7,0.0,2.7
2019-05-03,Khammam,Khammam (Rural),0.0,27.5,42.5,19.9,83.7,0.0,2.0
2019-05-04,Khammam,Khammam (Rural),0.0,24.9,41.9,19.8,90.3,0.0,1.9
2019-05-05,Khammam,Khammam (Rural),0.0,24.9,44.8,14.4,76.4,0.0,1.2
2019-05-06,Khammam,Khammam (Rural),0.0,27.0,46.1,18.9,78.5,0.0,1.7
2019-05-07,Khammam,Khammam (Rural),0.0,30.1,44.4,12.3,87.9,0.2,1.0
2019-05-08,Khammam,Khammam (Rural),0.0,30.1,41.9,26.4,91.4,0.2,1.3
2019-05-09,Khammam,Khammam (Rural),2.8,27.5,45.8,27.0,79.1,0.0,1.0
2019-05-10,Khammam,Khammam (Rural),0.0,30.0,44.7,15.5,85.2,0.0,1.3
2019-05-11,Khammam,Khammam (Rural),0.5,30.1,45.9,31.7,87.5,0.1,2.5
2019-05-12,Khammam,Khammam (Rural),39.8,24.3,41.9,41.1,92.8,0.0,0.2
2019-05-13,Khammam,Khammam (Rural),0.0,29.9,39.3,42.6,91.9,0.0,1.7
2019-05-14,Khammam,Khammam (Rural),0.0,27.5,39.4,43.3,92.3,0.1,1.5
2019-05-15,Khammam,Khammam (Rural),0.0,29.9,40.0,46.4,91.1,0.0,1.4
2019-05-16,Khammam,Khammam (Rural),0.0,29.7,42.3,40.7,87.1,0.2,1.3
2019-05-17,Khammam,Khammam (Rural),0.0,29.8,41.9,35.7,87.2,0.0,1.5
2019-05-18,Khammam,Khammam (Rural),0.0,29.5,40.0,45.9,92.0,0.0,1.1
2019-05-19,Khammam,Khammam (Rural),0.0,27.5,42.3,35.1,86.3,0.0,1.7
2019-05-20,Khammam,Khammam (Rural),0.0,29.6,42.5,28.9,90.9,0.0,1.1
2019-05-21,Khammam,Khammam (Rural),0.0,29.6,42.2,32.6,90.8,0.1,1.1
2019-05-22,Khammam,Khammam (Rural),0.0,27.5,42.5,31.3,91.1,0.2,1.4
2019-05-23,Khammam,Khammam (Rural),0.0,29.6,41.9,36.9,84.3,0.2,1.4
2019-05-24,Khammam,Khammam (Rural),0.0,29.5,39.3,41.7,85.7,0.1,1.8
2019-05-25,Khammam,Khammam (Rural),0.0,30.1,42.4,43.6,85.6,0.0,1.5
2019-05-26,Khammam,Khammam (Rural),0.0,30.1,44.8,38.0,84.3,0.0,1.0
2019-05-27,Khammam,Khammam (Rural),0.0,30.1,44.4,29.0,84.3,0.2,1.3
2019-05-28,Khammam,Khammam (Rural),0.0,30.1,44.3,40.5,84.9,0.3,1.3
2019-05-29,Khammam,Khammam (Rural),0.0,30.1,43.2,30.1,86.2,0.2,1.2
2019-05-30,Khammam,Khammam (Rural),4.5,24.9,42.2,46.1,91.8,0.0,2.0
2019-05-31,Khammam,Khammam (Rural),0.5,27.3,37.3,52.4,91.0,0.0,1.1
2019-06-01,Khammam,Khammam (Rural),0.0,29.8,42.1,47.8,91.5,0.2,1.1
2019-06-02,Khammam,Khammam (Rural),0.0,30.1,42.1,32.3,91.4,0.0,1.5
2019-06-03,Khammam,Khammam (Rural),0.0,30.1,41.9,35.7,91.4,0.2,1.5
2019-06-04,Khammam,Khammam (Rural),0.0,27.5,39.8,41.4,84.7,0.0,1.4
2019-06-05,Khammam,Khammam (Rural),0.0,30.1,42.0,41.7,87.7,0.2,1.0
2019-06-06,Khammam,Khammam (Rural),0.0,30.1,42.0,37.2,84.3,0.2,1.5
2019-06-07,Khammam,Khammam (Rural),21.9,27.1,41.5,47.9,90.4,0.1,1.3
2019-06-08,Khammam,Khammam (Rural),0.0,26.8,39.3,47.8,90.8,0.2,1.7
2019-06-09,Khammam,Khammam (Rural),0.0,29.7,39.3,42.1,76.9,0.0,2.2
2019-06-10,Khammam,Khammam (Rural),0.0,30.1,42.2,34.4,84.3,0.1,1.5
2019-06-11,Khammam,Khammam (Rural),0.0,29.3,40.2,34.2,91.0,0.0,1.3
2019-06-12,Khammam,Khammam (Rural),0.0,29.6,42.0,35.3,84.3,0.0,1.6
2019-06-13,Khammam,Khammam (Rural),0.0,29.8,41.9,36.4,70.6,0.5,2.1
2019-06-14,Khammam,Khammam (Rural),0.0,30.1,40.1,31.6,70.4,0.5,2.1
2019-06-15,Khammam,Khammam (Rural),0.0,32.1,42.4,41.9,63.1,0.2,1.8
2019-06-16,Khammam,Khammam (Rural),0.0,30.1,41.9,31.5,63.1,0.0,2.3
2019-06-17,Khammam,Khammam (Rural),0.0,29.9,42.1,35.7,79.7,0.2,1.9
2019-06-18,Khammam,Khammam (Rural),37.6,24.9,35.7,42.6,98.8,0.0,0.1
2019-06-19,Khammam,Khammam (Rural),0.0,29.7,39.3,43.9,84.3,0.0,2.3
2019-06-20,Khammam,Khammam (Rural),0.0,30.1,40.8,29.7,73.4,0.0,1.8
2019-06-21,Khammam,Khammam (Rural),2.3,27.5,39.4,45.1,97.6,0.1,3.2
2019-06-22,Khammam,Khammam (Rural),0.0,27.5,35.4,62.0,90.8,0.1,0.8
2019-06-23,Khammam,Khammam (Rural),0.0,27.5,35.3,63.5,91.0,0.0,1.3
2019-06-24,Khammam,Khammam (Rural),0.0,27.5,35.2,59.3,91.7,0.1,1.1
2019-06-25,Khammam,Khammam (Rural),1.3,27.5,38.0,48.2,92.5,0.0,1.1
2019-06-26,Khammam,Khammam (Rural),0.0,27.5,37.8,50.0,91.0,0.0,1.4
2019-06-27,Khammam,Khammam (Rural),0.0,27.5,37.1,58.0,90.8,0.0,1.6
2019-06-28,Khammam,Khammam (Rural),0.0,30.1,39.5,47.8,71.5,0.2,2.3
2019-06-29,Khammam,Khammam (Rural),0.0,30.1,37.8,47.0,76.6,0.2,1.7
2019-06-30,Khammam,Khammam (Rural),0.0,27.5,35.3,53.2,84.3,0.2,1.5
2019-07-01,Khammam,Khammam (Rural),0.0,27.4,35.0,58.5,92.2,0.0,2.7
2019-07-02,Khammam,Khammam (Rural),0.9,26.3,33.3,64.6,99.9,0.0,1.7
2019-07-03,Khammam,Khammam (Rural),0.3,27.5,32.6,66.1,93.9,0.0,1.6
2019-07-04,Khammam,Khammam (Rural),0.0,29.7,35.9,51.1,79.8,0.2,1.7
2019-07-05,Khammam,Khammam (Rural),2.6,27.5,37.8,46.7,97.7,0.0,2.1
2019-07-06,Khammam,Khammam (Rural),1.4,27.5,32.9,63.1,97.2,0.0,2.0
2019-07-07,Khammam,Khammam (Rural),0.0,30.1,36.6,49.8,73.5,0.1,1.8
2019-07-08,Khammam,Khammam (Rural),0.0,27.5,37.8,47.2,90.3,0.1,2.2
2019-07-09,Khammam,Khammam (Rural),0.2,27.5,37.9,41.1,93.6,0.1,2.3
2019-07-10,Khammam,Khammam (Rural),0.0,28.1,37.8,48.7,76.9,0.1,1.9
2019-07-11,Khammam,Khammam (Rural),0.0,26.1,37.8,41.0,79.1,0.3,1.7
2019-07-12,Khammam,Khammam (Rural),0.0,26.8,37.1,46.9,90.9,0.0,2.3
2019-07-13,Khammam,Khammam (Rural),1.2,27.5,37.3,49.0,97.7,0.0,1.4
2019-07-14,Khammam,Khammam (Rural),6.8,24.9,37.8,48.8,98.5,0.0,1.6
2019-07-15,Khammam,Khammam (Rural),18.2,27.5,36.0,49.0,97.6,0.0,1.1
2019-07-16,Khammam,Khammam (Rural),2.1,24.2,37.5,54.4,98.3,0.0,1.3
2019-07-17,Khammam,Khammam (Rural),0.0,27.5,37.8,49.4,97.1,0.0,2.0
2019-07-18,Khammam,Khammam (Rural),0.0,30.0,37.8,43.2,76.9,0.0,2.3
2019-07-19,Khammam,Khammam (Rural),0.0,27.5,37.8,41.4,92.2,0.1,2.1
2019-07-20,Khammam,Khammam (Rural),1.5,27.0,35.1,50.3,97.6,0.0,1.4
2019-07-21,Khammam,Khammam (Rural),0.5,27.5,32.6,72.3,97.6,0.0,0.8
2019-07-22,Khammam,Khammam (Rural),32.1,24.5,35.4,43.3,99.9,0.0,1.8
2019-07-23,Khammam,Khammam (Rural),0.0,27.5,37.8,46.3,93.9,0.0,1.5
2019-07-24,Khammam,Khammam (Rural),0.0,27.3,37.8,57.7,97.1,0.0,1.1
2019-07-25,Khammam,Khammam (Rural),0.0,30.1,37.8,50.8,93.2,0.0,1.2
2019-07-26,Khammam,Khammam (Rural),61.6,22.4,37.3,42.4,98.2,0.0,1.5
2019-07-27,Khammam,Khammam (Rural),51.1,24.1,24.9,96.9,99.3,0.0,1.8
2019-07-28,Khammam,Khammam (Rural),15.7,24.9,30.3,76.9,98.0,0.0,0.9
2019-07-29,Khammam,Khammam (Rural),19.7,24.9,27.3,97.1,99.9,0.0,0.7
2019-07-30,Khammam,Khammam (Rural),1.9,24.9,30.1,80.9,99.9,0.0,1.3
2019-07-31,Khammam,Khammam (Rural),0.0,26.7,33.2,65.2,90.8,0.0,2.0
2019-08-01,Khammam,Khammam (Rural),10.4,24.9,35.2,43.4,97.4,0.0,2.8
2019-08-02,Khammam,Khammam (Rural),19.9,24.9,32.0,76.9,97.5,0.0,1.4
