Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Khammam (Urban),0.0,15.5,30.5,75.3,94.1,,
2019-01-02,Khammam,Khammam (Urban),0.0,14.8,32.9,28.5,99.9,,
2019-01-03,Khammam,Khammam (Urban),0.0,17.3,35.5,38.5,99.9,,
2019-01-04,Khammam,Khammam (Urban),0.0,18.7,35.5,52.1,84.1,,
2019-01-05,Khammam,Khammam (Urban),0.0,20.1,32.9,52.1,99.9,,
2019-01-06,Khammam,Khammam (Urban),0.0,20.1,31.6,54.0,95.7,,
2019-01-07,Khammam,Khammam (Urban),0.0,19.3,30.6,58.7,99.9,,
2019-01-08,Khammam,Khammam (Urban),0.0,20.1,33.4,51.0,91.8,,
2019-01-09,Khammam,Khammam (Urban),0.0,16.8,33.5,37.9,94.3,,
2019-01-10,Khammam,Khammam (Urban),0.0,17.8,35.5,25.5,99.9,,
2019-01-11,Khammam,Khammam (Urban),0.0,21.8,32.9,46.5,99.9,,
2019-01-12,Khammam,Khammam (Urban),0.0,21.8,32.9,72.5,99.9,,
2019-01-13,Khammam,Khammam (Urban),0.0,21.8,32.1,70.4,99.9,,
2019-01-14,Khammam,Khammam (Urban),0.0,19.8,32.1,62.6,99.9,,
2019-01-15,Khammam,Khammam (Urban),0.0,20.2,32.9,58.9,99.9,,
2019-01-16,Khammam,Khammam (Urban),0.0,19.3,35.5,51.3,99.9,,
2019-01-17,Khammam,Khammam (Urban),0.0,21.4,34.6,53.5,99.9,,
2019-01-18,Khammam,Khammam (Urban),0.0,20.3,34.6,51.3,96.4,,
2019-01-19,Khammam,Khammam (Urban),0.0,21.6,34.6,55.7,99.9,,
2019-01-20,Khammam,Khammam (Urban),0.0,18.4,34.6,47.1,99.9,,
2019-01-21,Khammam,Khammam (Urban),0.0,20.1,34.6,50.2,99.9,,
2019-01-22,Khammam,Khammam (Urban),0.0,21.8,33.5,58.9,99.9,,
2019-01-23,Khammam,Khammam (Urban),0.0,19.7,33.3,53.9,99.9,,
2019-01-24,Khammam,Khammam (Urban),0.0,20.1,34.6,56.9,99.9,,
2019-01-25,Khammam,Khammam (Urban),0.0,22.9,33.5,56.7,99.9,,
2019-01-26,Khammam,Khammam (Urban),0.0,23.3,32.3,73.7,99.9,,
2019-01-27,Khammam,Khammam (Urban),0.0,24.4,31.0,73.7,99.9,,
2019-01-28,Khammam,Khammam (Urban),27.5,20.4,32.3,65.5,99.9,,
2019-01-29,Khammam,Khammam (Urban),0.0,20.1,28.2,84.4,99.9,,
2019-01-30,Khammam,Khammam (Urban),0.0,16.7,30.5,46.2,99.9,,
2019-01-31,Khammam,Khammam (Urban),0.0,19.3,32.3,33.6,99.9,,
2019-02-01,Khammam,Khammam (Urban),0.0,20.4,33.2,46.6,99.9,,
2019-02-02,Khammam,Khammam (Urban),0.0,21.8,33.1,50.4,99.9,,
2019-02-03,Khammam,Khammam (Urban),0.0,21.8,32.5,58.7,99.9,,
2019-02-04,Khammam,Khammam (Urban),0.0,21.8,33.9,52.0,99.9,,
2019-02-05,Khammam,Khammam (Urban),0.0,21.8,34.6,46.3,99.9,,
2019-02-06,Khammam,Khammam (Urban),0.0,22.0,34.6,48.2,99.9,,
2019-02-07,Khammam,Khammam (Urban),0.0,21.9,33.5,59.4,99.9,,
2019-02-08,Khammam,Khammam (Urban),0.0,24.4,32.8,59.9,99.9,,
2019-02-09,Khammam,Khammam (Urban),0.0,24.5,34.0,62.9,99.9,,
2019-02-10,Khammam,Khammam (Urban),0.0,21.0,32.5,40.0,96.9,,
2019-02-11,Khammam,Khammam (Urban),0.0,22.7,35.2,45.0,99.9,,
2019-02-12,Khammam,Khammam (Urban),0.0,24.6,34.6,67.6,99.9,,
2019-02-13,Khammam,Khammam (Urban),0.0,22.6,34.8,56.5,99.9,,
2019-02-14,Khammam,Khammam (Urban),0.0,23.1,35.5,48.0,99.9,,
2019-02-15,Khammam,Khammam (Urban),0.0,21.4,32.7,41.3,99.9,,
2019-02-16,Khammam,Khammam (Urban),0.0,23.9,34.7,58.9,99.9,,
2019-02-17,Khammam,Khammam (Urban),0.0,23.2,35.3,70.9,99.9,,
2019-02-18,Khammam,Khammam (Urban),0.0,26.9,35.1,54.7,99.9,,
2019-02-19,Khammam,Khammam (Urban),0.0,27.0,35.2,50.0,99.9,,
2019-02-20,Khammam,Khammam (Urban),0.0,26.9,35.5,57.6,99.9,,
2019-02-21,Khammam,Khammam (Urban),0.0,22.4,35.9,63.1,99.9,,
2019-02-22,Khammam,Khammam (Urban),0.0,24.4,34.6,55.4,99.9,,
2019-02-23,Khammam,Khammam (Urban),0.0,22.2,37.2,39.8,98.3,,
2019-02-24,Khammam,Khammam (Urban),0.0,22.4,36.8,31.2,97.1,,
2019-02-25,Khammam,Khammam (Urban),0.0,23.5,37.4,34.9,99.9,,
2019-02-26,Khammam,Khammam (Urban),0.0,22.5,36.8,23.4,100.0,,
2019-02-27,Khammam,Khammam (Urban),0.0,23.3,34.4,45.6,100.0,,
2019-02-28,Khammam,Khammam (Urban),0.0,24.0,34.5,53.9,100.0,,
2019-03-01,Khammam,Khammam (Urban),0.0,22.5,36.2,47.1,100.0,,
2019-03-02,Khammam,Khammam (Urban),0.0,23.2,34.5,53.9,100.0,,
2019-03-03,Khammam,Khammam (Urban),0.0,22.6,33.3,64.5,100.0,,
2019-03-04,Khammam,Khammam (Urban),0.0,23.3,34.7,61.0,100.0,,
2019-03-05,Khammam,Khammam (Urban),0.0,21.4,35.9,53.3,100.0,,
2019-03-06,Khammam,Khammam (Urban),0.0,24.7,36.2,52.3,100.0,,
2019-03-07,Khammam,Khammam (Urban),0.0,24.9,37.9,20.7,100.0,,
2019-03-08,Khammam,Khammam (Urban),0.0,25.6,37.1,43.4,100.0,,
2019-03-09,Khammam,Khammam (Urban),0.0,25.0,37.0,46.1,100.0,,
2019-03-10,Khammam,Khammam (Urban),0.0,21.4,36.4,45.9,100.0,,
2019-03-11,Khammam,Khammam (Urban),0.0,24.3,36.3,47.7,100.0,,
2019-03-12,Khammam,Khammam (Urban),0.0,23.6,36.7,47.1,100.0,,
2019-03-13,Khammam,Khammam (Urban),0.0,24.0,37.5,38.5,100.0,,
2019-03-14,Khammam,Khammam (Urban),0.0,22.4,37.5,32.3,96.8,,
2019-03-15,Khammam,Khammam (Urban),0.0,24.1,37.7,18.6,99.8,,
2019-03-16,Khammam,Khammam (Urban),0.0,22.4,38.1,16.8,100.0,,
2019-03-17,Khammam,Khammam (Urban),0.0,22.6,36.8,24.8,100.0,,
2019-03-18,Khammam,Khammam (Urban),0.0,21.6,37.4,30.9,98.4,,
2019-03-19,Khammam,Khammam (Urban),0.0,22.6,35.4,35.0,91.3,,
2019-03-20,Khammam,Khammam (Urban),0.0,23.9,37.4,41.9,100.0,,
2019-03-21,Khammam,Khammam (Urban),0.0,24.3,36.1,42.5,100.0,,
2019-03-22,Khammam,Khammam (Urban),0.0,21.4,36.0,37.9,100.0,,
2019-03-23,Khammam,Khammam (Urban),0.0,21.4,36.9,41.3,100.0,,
2019-03-24,Khammam,Khammam (Urban),0.0,24.9,37.9,34.7,100.0,,
2019-03-25,Khammam,Khammam (Urban),0.0,24.7,39.8,32.6,100.0,,
2019-03-26,Khammam,Khammam (Urban),0.0,24.1,38.5,34.7,100.0,,
2019-03-27,Khammam,Khammam (Urban),0.0,24.1,38.9,30.5,100.0,,
2019-03-28,Khammam,Khammam (Urban),0.0,23.9,37.9,29.8,100.0,,
2019-03-29,Khammam,Khammam (Urban),0.0,24.8,39.5,27.4,100.0,,
2019-03-30,Khammam,Khammam (Urban),0.0,25.6,39.9,23.9,99.8,,
2019-03-31,Khammam,Khammam (Urban),0.0,25.7,40.6,30.8,100.0,,
2019-04-01,Khammam,Khammam (Urban),0.0,25.9,41.3,15.6,100.0,,
2019-04-02,Khammam,Khammam (Urban),0.0,24.8,39.3,24.3,100.0,,
2019-04-03,Khammam,Khammam (Urban),0.0,24.7,37.8,23.7,99.3,,
2019-04-04,Khammam,Khammam (Urban),0.0,24.0,38.1,34.7,100.0,,
2019-04-05,Khammam,Khammam (Urban),0.0,24.7,38.1,34.7,99.3,,
2019-04-06,Khammam,Khammam (Urban),0.0,25.7,40.5,14.2,100.0,,
2019-04-07,Khammam,Khammam (Urban),0.0,21.4,41.5,21.8,77.7,,
2019-04-08,Khammam,Khammam (Urban),0.0,25.6,39.7,23.0,100.0,,
2019-04-09,Khammam,Khammam (Urban),0.0,26.2,40.4,26.0,100.0,,
2019-04-10,Khammam,Khammam (Urban),0.0,26.5,38.1,36.5,100.0,,
2019-04-11,Khammam,Khammam (Urban),0.0,25.8,39.9,27.5,96.7,,
2019-04-12,Khammam,Khammam (Urban),0.0,25.8,40.3,29.2,98.2,,
2019-04-13,Khammam,Khammam (Urban),0.0,24.6,42.1,19.1,76.1,,
2019-04-14,Khammam,Khammam (Urban),0.0,25.4,40.4,19.8,99.3,,
2019-04-15,Khammam,Khammam (Urban),0.0,25.5,42.6,20.0,100.0,,
2019-04-16,Khammam,Khammam (Urban),0.0,24.9,42.4,13.6,88.8,,
2019-04-17,Khammam,Khammam (Urban),0.0,25.1,41.6,10.9,94.5,,
2019-04-18,Khammam,Khammam (Urban),0.0,26.3,39.6,20.9,94.5,,
2019-04-19,Khammam,Khammam (Urban),12.0,22.7,39.6,34.3,100.0,,
2019-04-20,Khammam,Khammam (Urban),0.0,27.2,39.6,26.4,95.2,,
2019-04-21,Khammam,Khammam (Urban),0.0,27.6,39.1,32.6,94.4,,
2019-04-22,Khammam,Khammam (Urban),0.0,27.3,39.7,23.9,75.5,,
2019-04-23,Khammam,Khammam (Urban),0.0,23.9,39.6,12.7,81.2,,
2019-04-24,Khammam,Khammam (Urban),0.0,23.3,40.8,17.9,97.7,,
2019-04-25,Khammam,Khammam (Urban),0.0,26.0,38.8,32.6,100.0,,
2019-04-26,Khammam,Khammam (Urban),0.0,26.0,39.5,30.1,99.8,,
2019-04-27,Khammam,Khammam (Urban),0.0,27.3,40.9,16.3,98.1,,
2019-04-28,Khammam,Khammam (Urban),0.0,27.4,41.4,24.3,95.9,,
2019-04-29,Khammam,Khammam (Urban),0.0,26.7,42.0,19.8,94.4,,
2019-04-30,Khammam,Khammam (Urban),0.0,27.3,41.4,21.8,100.0,,
