Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Khammam_Urban ,0.0,15.4,30.4,71.6,90.4,0.0,4.5
2019-01-02,Khammam,Khammam_Urban ,0.0,15.6,32.8,29.8,96.2,0.0,3.6
2019-01-03,Khammam,Khammam_Urban ,0.0,18.1,35.4,39.8,96.2,0.0,6.3
2019-01-04,Khammam,Khammam_Urban ,0.0,18.6,35.4,53.4,80.4,0.0,0.6
2019-01-05,Khammam,Khammam_Urban ,0.0,20.0,32.8,53.4,96.2,0.0,6.3
2019-01-06,Khammam,Khammam_Urban ,0.0,20.0,31.5,55.3,93.8,0.0,4.3
2019-01-07,Khammam,Khammam_Urban ,0.0,20.0,30.5,60.0,96.2,0.0,8.4
2019-01-08,Khammam,Khammam_Urban ,0.0,20.0,33.3,52.3,93.1,0.0,2.4
2019-01-09,Khammam,Khammam_Urban ,0.0,17.6,33.4,39.2,90.6,0.0,2.2
2019-01-10,Khammam,Khammam_Urban ,0.0,18.6,35.5,21.8,96.2,0.0,5.9
2019-01-11,Khammam,Khammam_Urban ,0.0,22.6,32.9,42.8,96.2,0.0,4.4
2019-01-12,Khammam,Khammam_Urban ,0.0,22.6,32.8,68.8,96.2,0.0,8.7
2019-01-13,Khammam,Khammam_Urban ,0.0,22.6,32.9,66.7,96.2,0.0,6.3
2019-01-14,Khammam,Khammam_Urban ,0.0,20.0,32.9,58.9,96.2,0.0,7.8
2019-01-15,Khammam,Khammam_Urban ,0.0,21.0,33.3,59.2,96.2,0.0,4.3
2019-01-16,Khammam,Khammam_Urban ,0.0,20.1,35.4,52.6,96.2,0.0,5.2
2019-01-17,Khammam,Khammam_Urban ,0.0,21.4,34.6,51.5,96.2,0.0,3.2
2019-01-18,Khammam,Khammam_Urban ,0.0,20.3,34.6,52.6,96.4,0.0,2.8
2019-01-19,Khammam,Khammam_Urban ,0.0,20.6,34.6,55.0,99.9,0.0,1.2
2019-01-20,Khammam,Khammam_Urban ,0.0,18.4,34.6,50.0,99.9,0.0,3.2
2019-01-21,Khammam,Khammam_Urban ,0.0,20.1,34.6,50.2,99.9,0.0,2.9
2019-01-22,Khammam,Khammam_Urban ,0.0,20.6,33.5,58.9,99.9,0.0,2.8
2019-01-23,Khammam,Khammam_Urban ,0.0,19.7,33.3,53.9,99.9,0.0,5.2
2019-01-24,Khammam,Khammam_Urban ,0.0,20.1,33.6,56.9,99.9,0.0,5.9
2019-01-25,Khammam,Khammam_Urban ,0.0,22.7,33.5,56.7,98.8,0.0,8.8
2019-01-26,Khammam,Khammam_Urban ,0.0,23.3,32.6,71.8,99.2,0.0,10.2
2019-01-27,Khammam,Khammam_Urban ,0.0,24.6,31.2,73.7,98.1,0.0,12.7
