Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Penuballi,0.0,14.2,30.5,24.4,88.3,0.0,16.8
2019-01-02,Khammam,Penuballi,0.0,14.5,33.2,30.6,99.9,0.0,17.4
2019-01-03,Khammam,Penuballi,0.0,16.7,33.3,41.0,99.9,0.0,8.1
2019-01-04,Khammam,Penuballi,0.0,19.3,33.3,46.5,99.9,0.0,4.5
2019-01-05,Khammam,Penuballi,0.0,18.8,35.5,44.1,99.9,0.0,11.9
2019-01-06,Khammam,Penuballi,0.0,19.3,32.9,45.2,99.9,0.0,5.0
2019-01-07,Khammam,Penuballi,0.0,19.3,32.1,44.3,99.9,0.0,8.5
2019-01-08,Khammam,Penuballi,0.0,17.7,34.6,36.3,99.9,0.0,1.2
2019-01-09,Khammam,Penuballi,0.0,18.3,32.1,47.5,85.8,0.0,4.6
2019-01-10,Khammam,Penuballi,0.0,19.3,34.6,39.9,99.9,0.0,2.8
2019-01-11,Khammam,Penuballi,0.0,20.4,33.2,46.6,99.9,0.0,1.5
2019-01-12,Khammam,Penuballi,0.0,20.0,35.5,46.7,99.9,0.0,3.5
2019-01-13,Khammam,Penuballi,0.0,20.5,32.1,55.6,99.9,0.0,6.1
2019-01-14,Khammam,Penuballi,0.0,19.6,35.5,47.0,99.9,0.0,5.2
2019-01-15,Khammam,Penuballi,0.0,17.9,34.6,42.6,99.9,0.0,0.6
2019-01-16,Khammam,Penuballi,0.0,21.0,33.3,44.7,99.9,0.0,0.9
2019-01-17,Khammam,Penuballi,0.0,21.7,34.6,45.5,99.9,0.0,14.7
2019-01-18,Khammam,Penuballi,0.0,19.8,32.1,53.4,99.9,0.0,13.3
2019-01-19,Khammam,Penuballi,0.0,21.0,34.6,46.6,99.9,0.0,18.2
2019-01-20,Khammam,Penuballi,0.0,20.4,34.6,41.3,99.9,0.0,16.7
2019-01-21,Khammam,Penuballi,0.0,17.8,34.6,33.3,100.0,0.0,2.0
2019-01-22,Khammam,Penuballi,0.0,20.2,33.3,50.1,99.9,0.0,0.1
2019-01-23,Khammam,Penuballi,0.0,19.3,32.3,54.1,99.9,0.0,6.2
2019-01-24,Khammam,Penuballi,0.0,21.8,34.6,48.9,99.9,0.0,5.5
2019-01-25,Khammam,Penuballi,0.0,22.5,34.6,47.5,99.9,0.0,4.3
2019-01-26,Khammam,Penuballi,0.0,22.9,32.2,62.2,99.9,0.0,9.5
2019-01-27,Khammam,Penuballi,0.0,21.9,32.1,63.6,96.2,0.0,7.6
2019-01-28,Khammam,Penuballi,4.8,19.4,32.1,61.2,99.9,0.0,7.7
2019-01-29,Khammam,Penuballi,0.8,21.1,29.5,79.8,99.9,0.0,7.6
2019-01-30,Khammam,Penuballi,0.0,15.6,32.1,46.5,91.4,0.0,4.6
2019-01-31,Khammam,Penuballi,0.0,18.5,34.6,30.5,99.9,0.0,4.5
2019-02-01,Khammam,Penuballi,0.0,18.6,32.1,56.1,99.9,0.0,7.1
2019-02-02,Khammam,Penuballi,0.0,18.8,33.1,49.4,99.9,0.0,14.3
2019-02-03,Khammam,Penuballi,0.0,21.8,34.6,50.5,99.9,0.0,15.3
2019-02-04,Khammam,Penuballi,0.0,20.0,34.6,48.5,91.7,0.0,21.3
2019-02-05,Khammam,Penuballi,0.0,19.2,35.7,37.4,99.9,0.0,2.8
2019-02-06,Khammam,Penuballi,0.0,21.4,35.5,39.5,99.9,0.0,1.5
2019-02-07,Khammam,Penuballi,0.0,21.8,34.7,55.0,99.9,0.0,5.4
2019-02-08,Khammam,Penuballi,0.0,24.4,32.8,43.6,99.9,0.0,10.2
2019-02-09,Khammam,Penuballi,0.0,24.4,33.7,60.6,99.9,0.0,5.7
2019-02-10,Khammam,Penuballi,0.0,19.1,34.6,45.9,98.7,0.0,7.9
2019-02-11,Khammam,Penuballi,0.0,24.4,35.3,45.0,99.9,0.0,5.6
2019-02-12,Khammam,Penuballi,0.0,21.6,33.0,56.5,99.9,0.0,8.9
2019-02-13,Khammam,Penuballi,0.0,21.8,35.0,49.5,99.9,0.0,11.9
2019-02-14,Khammam,Penuballi,0.0,21.8,36.1,40.5,99.9,0.0,12.2
