Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Raghunadhapalem ,0.0,9.6,26.4,32.8,97.1,0.0,0.9
2019-01-02,Khammam,Raghunadhapalem ,0.0,10.0,27.8,32.9,97.8,0.0,0.7
2019-01-03,Khammam,Raghunadhapalem ,0.0,12.2,27.9,41.9,99.6,0.0,1.2
2019-01-04,Khammam,Raghunadhapalem ,0.0,12.4,29.1,38.9,99.2,0.0,1.1
2019-01-05,Khammam,Raghunadhapalem ,0.0,15.9,28.7,42.9,98.7,0.0,0.9
2019-01-06,Khammam,Raghunadhapalem ,0.0,15.3,28.2,48.0,99.7,0.0,0.7
2019-01-07,Khammam,Raghunadhapalem ,0.0,13.6,28.1,51.1,99.7,0.0,1.0
2019-01-08,Khammam,Raghunadhapalem ,0.0,13.7,28.9,40.2,98.6,0.0,0.8
2019-01-09,Khammam,Raghunadhapalem ,0.0,10.7,28.8,42.4,96.9,0.0,1.4
2019-01-10,Khammam,Raghunadhapalem ,0.0,12.6,28.9,33.1,97.1,0.0,1.0
2019-01-11,Khammam,Raghunadhapalem ,0.0,15.7,28.6,39.7,99.5,0.0,0.7
2019-01-12,Khammam,Raghunadhapalem ,0.0,16.2,28.7,48.3,99.4,0.0,0.7
2019-01-13,Khammam,Raghunadhapalem ,0.0,17.4,28.3,54.2,95.0,0.0,1.0
2019-01-14,Khammam,Raghunadhapalem ,0.0,16.6,28.7,51.8,96.8,0.0,1.4
2019-01-15,Khammam,Raghunadhapalem ,0.0,15.8,29.1,51.6,98.1,0.0,0.5
2019-01-16,Khammam,Raghunadhapalem ,0.0,14.8,29.1,47.6,97.8,0.0,0.8
2019-01-17,Khammam,Raghunadhapalem ,0.0,16.4,29.2,45.8,98.5,0.0,1.0
2019-01-18,Khammam,Raghunadhapalem ,0.0,17.8,28.9,51.6,99.1,0.0,0.6
2019-01-19,Khammam,Raghunadhapalem ,0.0,16.0,30.8,46.2,98.0,0.0,1.0
