Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Thallada,0.0,11.2,28.1,35.2,100.0,0.0,4.8
2019-01-02,Khammam,Thallada,0.0,11.9,28.4,30.9,100.0,0.0,3.6
2019-01-03,Khammam,Thallada,0.0,14.5,28.7,40.7,100.0,0.0,3.8
2019-01-04,Khammam,Thallada,0.0,16.1,29.0,49.3,100.0,0.0,3.7
2019-01-05,Khammam,Thallada,0.0,16.7,28.3,45.2,100.0,0.0,3.3
2019-01-06,Khammam,Thallada,0.0,17.4,28.1,50.6,100.0,0.0,4.7
2019-01-07,Khammam,Thallada,0.0,15.6,28.4,51.0,100.0,0.0,5.9
2019-01-08,Khammam,Thallada,0.0,15.4,29.7,48.8,100.0,0.0,5.3
2019-01-09,Khammam,Thallada,0.0,13.1,29.0,45.0,100.0,0.0,7.7
2019-01-10,Khammam,Thallada,0.0,15.7,29.9,33.2,100.0,0.0,3.6
2019-01-11,Khammam,Thallada,0.0,18.7,28.5,43.9,100.0,0.0,4.8
2019-01-12,Khammam,Thallada,0.0,18.7,28.8,50.4,100.0,0.0,3.4
2019-01-13,Khammam,Thallada,0.0,19.1,29.6,50.6,100.0,0.0,3.4
2019-01-14,Khammam,Thallada,0.0,17.2,30.0,46.6,100.0,0.0,3.7
2019-01-15,Khammam,Thallada,0.0,17.1,29.4,52.4,100.0,0.0,2.7
2019-01-16,Khammam,Thallada,0.0,18.3,29.5,49.9,100.0,0.0,6.3
2019-01-17,Khammam,Thallada,0.0,19.3,29.6,46.1,100.0,0.0,4.0
2019-01-18,Khammam,Thallada,0.0,18.6,28.4,51.5,100.0,0.0,4.4
2019-01-19,Khammam,Thallada,0.0,18.8,29.0,53.4,100.0,0.0,6.0
2019-01-20,Khammam,Thallada,0.0,16.8,29.9,43.9,100.0,0.0,4.7
2019-01-21,Khammam,Thallada,0.0,17.2,29.3,50.4,100.0,0.0,3.3
2019-01-22,Khammam,Thallada,0.0,17.5,29.1,52.4,100.0,0.0,5.5
2019-01-23,Khammam,Thallada,0.0,16.5,29.6,51.0,100.0,0.0,4.3
2019-01-24,Khammam,Thallada,0.0,19.4,30.6,45.0,100.0,0.0,5.0
2019-01-25,Khammam,Thallada,0.0,20.6,29.7,49.9,100.0,0.0,6.3
2019-01-26,Khammam,Thallada,0.0,20.6,30.2,51.0,100.0,0.0,8.0
2019-01-27,Khammam,Thallada,0.0,21.5,30.1,67.2,100.0,0.0,8.2
2019-01-28,Khammam,Thallada,29.8,19.5,28.7,68.6,100.0,0.0,10.1
2019-01-29,Khammam,Thallada,0.0,17.5,25.1,85.7,100.0,0.0,8.3
2019-01-30,Khammam,Thallada,0.0,13.0,28.3,39.8,100.0,0.0,8.5
2019-01-31,Khammam,Thallada,0.0,16.7,28.9,38.2,100.0,0.0,5.9
2019-02-01,Khammam,Thallada,0.0,17.4,28.6,49.3,100.0,0.0,6.4
2019-02-02,Khammam,Thallada,0.0,17.7,28.7,49.5,100.0,0.0,3.8
2019-02-03,Khammam,Thallada,0.0,18.9,29.9,51.5,99.2,0.0,4.6
2019-02-04,Khammam,Thallada,0.0,18.6,30.5,49.2,97.8,0.0,5.6
2019-02-05,Khammam,Thallada,0.0,18.2,31.1,36.9,100.0,0.0,5.6
2019-02-06,Khammam,Thallada,0.0,19.0,31.7,42.8,100.0,0.0,3.5
2019-02-07,Khammam,Thallada,0.0,18.7,30.2,52.0,100.0,0.0,4.6
2019-02-08,Khammam,Thallada,0.0,20.9,31.2,43.8,100.0,0.0,5.3
2019-02-09,Khammam,Thallada,0.0,21.4,34.8,54.4,100.0,0.0,5.8
2019-02-10,Khammam,Thallada,0.0,16.8,29.5,41.7,99.4,0.0,8.6
2019-02-11,Khammam,Thallada,0.0,22.4,31.8,40.7,100.0,0.0,4.2
2019-02-12,Khammam,Thallada,0.0,20.8,31.0,52.9,100.0,0.0,5.1
2019-02-13,Khammam,Thallada,0.0,19.8,30.8,50.4,100.0,0.0,4.6
2019-02-14,Khammam,Thallada,0.0,19.3,31.3,48.3,100.0,0.0,3.8
2019-02-15,Khammam,Thallada,0.0,19.0,30.9,36.7,100.0,0.0,4.6
2019-02-16,Khammam,Thallada,0.0,20.6,33.5,36.1,100.0,0.0,4.4
2019-02-17,Khammam,Thallada,0.0,21.5,32.6,48.7,100.0,0.0,6.5
2019-02-18,Khammam,Thallada,0.0,23.9,33.3,48.7,100.0,0.0,5.6
2019-02-19,Khammam,Thallada,0.0,23.5,35.0,45.4,100.0,0.0,3.5
2019-02-20,Khammam,Thallada,0.0,22.7,34.2,48.0,100.0,0.0,3.9
2019-02-21,Khammam,Thallada,0.0,21.2,34.7,45.9,100.0,0.0,4.8
2019-02-22,Khammam,Thallada,0.0,19.9,34.1,40.5,100.0,0.0,4.0
2019-02-23,Khammam,Thallada,0.0,19.6,37.2,25.9,100.0,0.0,2.1
2019-02-24,Khammam,Thallada,0.0,19.4,37.2,25.9,94.3,0.0,1.5
2019-02-25,Khammam,Thallada,0.0,20.5,36.4,24.3,100.0,0.0,3.2
2019-02-26,Khammam,Thallada,0.0,21.3,36.1,23.7,100.0,0.0,4.6
2019-02-27,Khammam,Thallada,0.0,22.2,34.4,39.1,100.0,0.0,5.9
2019-02-28,Khammam,Thallada,0.0,23.4,34.4,42.4,100.0,0.0,5.8
2019-03-01,Khammam,Thallada,11.3,22.1,34.9,46.3,100.0,0.0,4.5
2019-03-02,Khammam,Thallada,0.0,23.1,33.3,58.2,100.0,0.0,4.3
2019-03-03,Khammam,Thallada,0.0,22.5,34.4,50.7,100.0,0.0,7.2
2019-03-04,Khammam,Thallada,0.0,22.4,33.9,46.3,100.0,0.0,4.0
2019-03-05,Khammam,Thallada,0.0,23.2,35.4,45.8,100.0,0.0,3.7
2019-03-06,Khammam,Thallada,0.0,24.6,35.9,44.7,100.0,0.0,7.1
2019-03-07,Khammam,Thallada,0.0,24.4,35.6,41.9,100.0,0.0,3.4
2019-03-08,Khammam,Thallada,0.0,24.8,35.1,50.1,100.0,0.0,3.9
2019-03-09,Khammam,Thallada,0.0,24.1,37.1,40.3,100.0,0.0,3.7
2019-03-10,Khammam,Thallada,0.0,23.1,36.4,38.6,100.0,0.0,4.0
2019-03-11,Khammam,Thallada,0.0,23.0,36.6,41.7,100.0,0.0,4.0
2019-03-12,Khammam,Thallada,0.0,21.8,36.8,40.8,100.0,0.0,6.5
2019-03-13,Khammam,Thallada,0.0,22.0,36.2,37.0,100.0,0.0,4.1
2019-03-14,Khammam,Thallada,0.0,20.6,36.8,33.8,100.0,0.0,4.8
2019-03-15,Khammam,Thallada,0.0,22.3,37.4,26.6,81.7,0.0,6.2
2019-03-16,Khammam,Thallada,0.0,20.6,36.9,20.7,100.0,0.0,5.2
2019-03-17,Khammam,Thallada,0.0,21.5,37.1,28.5,100.0,0.0,4.9
2019-03-18,Khammam,Thallada,0.0,19.8,36.4,30.9,100.0,0.0,6.5
2019-03-19,Khammam,Thallada,0.0,21.0,34.4,36.4,96.6,0.0,6.4
2019-03-20,Khammam,Thallada,0.0,22.6,36.4,45.8,100.0,0.0,3.6
2019-03-21,Khammam,Thallada,0.0,23.4,36.3,40.0,100.0,0.0,4.2
2019-03-22,Khammam,Thallada,0.0,22.0,35.8,37.0,100.0,0.0,4.0
2019-03-23,Khammam,Thallada,0.0,23.0,35.2,43.0,100.0,0.0,4.7
2019-03-24,Khammam,Thallada,0.0,23.5,36.1,38.1,100.0,0.0,5.3
2019-03-25,Khammam,Thallada,2.3,23.4,36.9,37.3,100.0,0.0,5.9
2019-03-26,Khammam,Thallada,0.0,22.9,37.4,36.7,100.0,0.0,3.9
2019-03-27,Khammam,Thallada,0.0,22.4,37.1,35.1,100.0,0.0,3.9
2019-03-28,Khammam,Thallada,0.0,22.8,35.4,43.0,100.0,0.0,3.6
2019-03-29,Khammam,Thallada,0.0,23.7,37.1,34.4,100.0,0.0,4.2
2019-03-30,Khammam,Thallada,0.0,24.1,36.9,34.4,100.0,0.0,4.4
2019-03-31,Khammam,Thallada,0.0,23.5,38.9,32.4,100.0,0.0,3.8
2019-04-01,Khammam,Thallada,0.0,25.4,37.9,26.2,100.0,0.0,5.8
2019-04-02,Khammam,Thallada,0.0,23.5,38.7,24.6,100.0,0.0,5.6
2019-04-03,Khammam,Thallada,0.0,23.3,38.0,28.5,92.9,0.0,5.2
2019-04-04,Khammam,Thallada,0.0,23.5,37.4,33.8,93.8,0.0,3.4
2019-04-05,Khammam,Thallada,0.0,23.5,37.5,33.8,86.3,0.0,4.4
2019-04-06,Khammam,Thallada,0.0,26.1,39.3,23.3,88.1,0.0,3.3
2019-04-07,Khammam,Thallada,0.0,22.7,37.8,25.9,65.8,0.0,12.9
2019-04-08,Khammam,Thallada,0.0,25.5,37.8,25.9,76.2,0.0,5.1
2019-04-09,Khammam,Thallada,0.0,25.5,37.5,37.3,78.1,0.0,5.6
2019-04-10,Khammam,Thallada,0.0,26.1,37.9,38.4,84.9,0.0,5.9
2019-04-11,Khammam,Thallada,0.0,22.9,38.0,33.8,78.4,0.0,3.3
2019-04-12,Khammam,Thallada,0.0,25.6,38.6,29.2,77.2,0.0,5.9
2019-04-13,Khammam,Thallada,0.0,23.5,40.0,20.9,60.1,0.1,7.4
2019-04-14,Khammam,Thallada,0.0,23.5,38.2,26.8,71.3,0.0,4.9
2019-04-15,Khammam,Thallada,0.0,24.5,39.6,24.2,77.6,0.0,1.5
2019-04-16,Khammam,Thallada,0.0,25.8,40.4,20.9,70.5,0.0,2.6
2019-04-17,Khammam,Thallada,0.0,23.8,38.4,16.7,91.4,0.0,2.6
2019-04-18,Khammam,Thallada,0.0,28.7,38.4,21.3,75.1,0.0,6.0
2019-04-19,Khammam,Thallada,0.0,27.1,37.9,36.2,66.9,0.0,5.3
2019-04-20,Khammam,Thallada,0.0,25.2,39.0,25.5,71.8,0.0,5.5
2019-04-21,Khammam,Thallada,0.0,25.9,39.1,47.6,85.7,0.0,0.8
2019-04-22,Khammam,Thallada,0.0,26.5,38.3,32.1,55.2,0.0,1.9
2019-04-23,Khammam,Thallada,0.0,24.5,37.8,17.6,61.5,0.0,15.1
2019-04-24,Khammam,Thallada,25.3,22.4,39.6,30.1,100.0,0.0,10.2
2019-04-25,Khammam,Thallada,0.0,26.5,37.7,37.3,91.5,0.0,2.3
2019-04-26,Khammam,Thallada,0.0,27.1,37.7,33.8,100.0,0.0,5.8
2019-04-27,Khammam,Thallada,0.0,29.2,38.2,29.8,71.9,0.0,4.6
2019-04-28,Khammam,Thallada,0.0,27.1,38.8,35.9,71.4,0.0,5.9
2019-04-29,Khammam,Thallada,0.0,27.1,39.2,27.5,71.4,0.0,2.8
2019-04-30,Khammam,Thallada,0.0,30.6,39.3,26.2,76.2,0.0,3.6
