Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Tirumalayapalem,0.0,12.4,30.4,35.1,84.4,0.0,9.3
2019-01-02,Khammam,Tirumalayapalem,0.0,11.3,32.9,23.3,97.6,0.0,9.1
2019-01-03,Khammam,Tirumalayapalem,0.0,13.4,32.9,40.4,92.9,0.0,7.1
2019-01-04,Khammam,Tirumalayapalem,0.0,13.9,33.8,38.2,96.2,0.0,6.5
2019-01-05,Khammam,Tirumalayapalem,0.0,16.8,31.6,62.2,97.6,0.0,6.5
2019-01-06,Khammam,Tirumalayapalem,0.0,17.0,32.9,48.9,97.6,0.0,9.7
2019-01-07,Khammam,Tirumalayapalem,0.0,14.9,30.8,53.2,96.2,0.0,11.0
2019-01-08,Khammam,Tirumalayapalem,0.0,16.9,32.9,47.8,96.2,0.0,8.2
2019-01-09,Khammam,Tirumalayapalem,0.0,12.7,32.9,34.0,96.2,0.0,9.4
2019-01-10,Khammam,Tirumalayapalem,0.0,12.7,30.8,21.9,79.5,0.0,12.3
2019-01-11,Khammam,Tirumalayapalem,0.0,17.5,30.9,47.3,96.2,0.0,9.6
2019-01-12,Khammam,Tirumalayapalem,0.0,19.1,31.2,68.2,94.8,0.0,9.4
2019-01-13,Khammam,Tirumalayapalem,0.0,18.6,31.0,58.6,97.6,0.0,12.6
2019-01-14,Khammam,Tirumalayapalem,0.0,16.7,31.3,50.5,96.2,0.0,13.1
2019-01-15,Khammam,Tirumalayapalem,0.0,16.4,32.9,48.5,97.6,0.0,9.1
2019-01-16,Khammam,Tirumalayapalem,0.0,15.2,32.9,45.1,97.6,0.0,12.9
2019-01-17,Khammam,Tirumalayapalem,0.0,18.6,32.0,44.4,97.6,0.0,10.0
2019-01-18,Khammam,Tirumalayapalem,0.0,18.8,29.8,45.2,91.9,0.0,6.4
2019-01-19,Khammam,Tirumalayapalem,0.0,18.4,32.5,62.8,95.3,0.0,6.5
2019-01-20,Khammam,Tirumalayapalem,0.0,18.2,30.7,40.9,93.4,0.0,10.2
2019-01-21,Khammam,Tirumalayapalem,0.0,17.2,32.8,38.2,94.1,0.0,7.8
2019-01-22,Khammam,Tirumalayapalem,0.0,18.4,31.6,56.7,94.8,0.0,9.4
2019-01-23,Khammam,Tirumalayapalem,0.0,18.4,31.7,51.0,92.9,0.0,12.7
2019-01-24,Khammam,Tirumalayapalem,0.0,20.0,31.3,54.3,92.4,0.0,9.6
2019-01-25,Khammam,Tirumalayapalem,0.0,21.1,32.1,53.5,91.3,0.0,10.7
2019-01-26,Khammam,Tirumalayapalem,0.0,21.3,31.9,55.6,92.3,0.0,14.4
2019-01-27,Khammam,Tirumalayapalem,0.0,21.5,29.7,72.7,92.2,0.0,10.4
2019-01-28,Khammam,Tirumalayapalem,23.5,20.4,28.5,71.9,96.1,1.8,11.9
2019-01-29,Khammam,Tirumalayapalem,0.0,17.7,24.5,87.8,96.9,0.0,11.3
2019-01-30,Khammam,Tirumalayapalem,0.0,14.1,28.8,41.5,88.5,0.0,15.5
