Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Vemsoor,0.0,11.5,28.6,32.6,90.5,0.0,5.1
2019-01-02,Khammam,Vemsoor,0.0,12.9,29.2,31.7,90.4,0.0,5.0
2019-01-03,Khammam,Vemsoor,0.0,15.0,29.7,42.3,91.7,0.0,4.5
2019-01-04,Khammam,Vemsoor,0.0,16.2,30.1,41.7,91.7,0.0,4.6
2019-01-05,Khammam,Vemsoor,0.0,15.2,30.9,37.8,91.9,0.0,2.2
2019-01-06,Khammam,Vemsoor,0.0,15.3,30.1,43.8,91.8,0.0,5.5
2019-01-07,Khammam,Vemsoor,0.0,15.2,29.5,46.7,91.8,0.0,6.0
2019-01-08,Khammam,Vemsoor,0.0,15.9,30.9,45.1,91.3,0.0,4.1
2019-01-09,Khammam,Vemsoor,0.0,14.4,29.8,38.3,87.5,0.0,7.6
2019-01-10,Khammam,Vemsoor,0.0,16.7,31.4,32.2,91.3,0.0,5.3
2019-01-11,Khammam,Vemsoor,0.0,18.3,31.8,42.3,91.6,0.0,4.0
2019-01-12,Khammam,Vemsoor,0.0,17.5,30.4,46.0,91.3,0.0,4.0
2019-01-13,Khammam,Vemsoor,0.0,18.8,30.2,46.1,91.8,0.0,3.5
2019-01-14,Khammam,Vemsoor,0.0,17.8,31.3,46.0,98.4,0.0,1.7
2019-01-15,Khammam,Vemsoor,0.0,16.9,32.8,37.4,98.4,0.0,0.9
2019-01-16,Khammam,Vemsoor,0.0,16.8,32.6,49.0,98.4,0.0,11.4
2019-01-17,Khammam,Vemsoor,0.0,19.3,32.4,44.0,98.4,0.0,0.6
2019-01-18,Khammam,Vemsoor,0.0,18.4,31.5,51.3,100.0,0.0,1.5
2019-01-19,Khammam,Vemsoor,0.0,17.4,30.9,41.8,96.6,0.0,4.7
2019-01-20,Khammam,Vemsoor,0.0,16.9,32.4,34.6,91.9,0.0,2.7
2019-01-21,Khammam,Vemsoor,0.0,16.6,32.1,35.0,92.0,0.0,4.9
2019-01-22,Khammam,Vemsoor,0.0,15.5,31.2,47.8,91.8,0.0,3.2
2019-01-23,Khammam,Vemsoor,0.0,17.3,30.7,45.6,91.9,0.0,6.2
2019-01-24,Khammam,Vemsoor,0.0,18.8,33.6,45.8,96.5,0.0,23.8
2019-01-25,Khammam,Vemsoor,0.0,20.6,31.8,39.5,91.9,0.0,5.6
2019-01-26,Khammam,Vemsoor,0.0,19.6,29.9,55.0,90.7,0.0,6.8
2019-01-27,Khammam,Vemsoor,0.0,20.7,29.5,58.0,84.8,0.0,6.5
2019-01-28,Khammam,Vemsoor,22.8,18.9,29.7,53.0,89.0,1.5,9.0
2019-01-29,Khammam,Vemsoor,0.0,18.9,25.5,70.4,92.1,0.0,9.5
2019-01-30,Khammam,Vemsoor,0.0,13.9,28.3,45.2,83.8,0.0,8.0
2019-01-31,Khammam,Vemsoor,0.0,18.0,32.7,32.2,86.3,0.0,4.0
2019-02-01,Khammam,Vemsoor,0.0,15.8,30.4,47.7,91.8,0.0,8.0
2019-02-02,Khammam,Vemsoor,0.0,15.9,30.8,42.8,91.8,0.0,3.3
2019-02-03,Khammam,Vemsoor,0.0,19.7,30.8,46.3,91.7,0.0,4.9
2019-02-04,Khammam,Vemsoor,0.0,18.4,31.3,44.7,86.3,0.0,6.5
2019-02-05,Khammam,Vemsoor,0.0,16.8,31.8,33.8,91.5,0.0,7.2
2019-02-06,Khammam,Vemsoor,0.0,17.5,33.2,36.8,91.7,0.0,5.7
2019-02-07,Khammam,Vemsoor,0.0,17.5,32.1,43.9,93.3,0.0,4.6
2019-02-08,Khammam,Vemsoor,0.0,19.7,31.2,43.9,78.1,0.9,6.2
2019-02-09,Khammam,Vemsoor,0.0,20.4,31.7,52.9,93.0,0.0,0.6
2019-02-10,Khammam,Vemsoor,0.0,16.4,31.6,47.6,86.2,0.8,9.4
2019-02-11,Khammam,Vemsoor,0.0,20.1,33.5,48.6,86.4,0.1,4.8
2019-02-12,Khammam,Vemsoor,0.0,19.4,32.3,49.6,91.3,0.0,6.9
2019-02-13,Khammam,Vemsoor,0.0,17.9,33.8,40.6,90.8,0.0,5.3
2019-02-14,Khammam,Vemsoor,0.0,17.7,33.7,42.5,90.1,0.0,6.2
2019-02-15,Khammam,Vemsoor,0.0,18.7,34.4,33.5,91.5,0.0,6.0
2019-02-16,Khammam,Vemsoor,0.0,20.7,34.3,40.5,88.3,0.0,6.4
2019-02-17,Khammam,Vemsoor,0.0,20.6,32.9,49.5,84.6,0.1,7.1
2019-02-18,Khammam,Vemsoor,0.0,22.5,33.6,50.2,89.6,0.0,4.1
2019-02-19,Khammam,Vemsoor,0.0,22.8,34.4,45.1,81.7,0.0,5.5
2019-02-20,Khammam,Vemsoor,0.0,23.1,34.6,46.7,84.6,0.2,4.3
2019-02-21,Khammam,Vemsoor,0.0,21.2,34.4,45.1,87.1,0.0,5.3
2019-02-22,Khammam,Vemsoor,0.0,19.3,35.0,36.2,91.3,0.0,4.5
2019-02-23,Khammam,Vemsoor,0.0,18.1,37.7,30.0,74.6,0.0,5.2
2019-02-24,Khammam,Vemsoor,0.0,17.3,37.0,32.2,76.5,0.0,6.7
2019-02-25,Khammam,Vemsoor,0.0,18.4,37.2,34.3,91.0,0.0,5.7
2019-02-26,Khammam,Vemsoor,0.0,20.9,34.0,45.5,82.2,0.0,7.1
2019-02-27,Khammam,Vemsoor,0.0,20.6,34.3,45.6,88.6,1.4,8.4
2019-02-28,Khammam,Vemsoor,0.0,21.4,33.8,45.1,87.8,0.7,9.6
2019-03-01,Khammam,Vemsoor,1.5,21.2,33.2,55.9,92.1,0.0,7.4
2019-03-02,Khammam,Vemsoor,0.0,21.6,33.6,51.8,91.8,0.0,8.2
2019-03-03,Khammam,Vemsoor,0.0,21.4,33.6,50.1,90.0,0.9,5.9
2019-03-04,Khammam,Vemsoor,0.0,21.5,33.5,52.8,89.8,0.0,4.7
2019-03-05,Khammam,Vemsoor,0.0,22.0,34.8,49.0,89.8,0.7,6.2
2019-03-06,Khammam,Vemsoor,0.0,22.7,36.1,49.1,84.3,0.0,5.9
2019-03-07,Khammam,Vemsoor,0.0,23.1,35.5,38.7,90.8,0.0,7.6
2019-03-08,Khammam,Vemsoor,0.0,23.5,35.1,49.6,87.0,0.0,5.2
2019-03-09,Khammam,Vemsoor,0.0,23.1,37.2,45.2,87.5,0.0,7.5
2019-03-10,Khammam,Vemsoor,0.0,22.1,37.0,42.3,84.5,0.5,6.0
2019-03-11,Khammam,Vemsoor,0.0,21.5,37.9,40.8,79.4,1.6,7.3
2019-03-12,Khammam,Vemsoor,0.0,21.0,35.5,46.8,100.0,0.0,0.4
2019-03-13,Khammam,Vemsoor,0.0,21.8,37.6,33.8,91.4,0.0,10.1
2019-03-14,Khammam,Vemsoor,0.0,18.8,37.5,30.1,86.1,0.1,9.3
2019-03-15,Khammam,Vemsoor,0.0,20.9,38.0,27.2,78.9,0.0,6.2
2019-03-16,Khammam,Vemsoor,0.0,21.0,38.3,23.5,90.6,0.0,4.9
2019-03-17,Khammam,Vemsoor,0.0,20.3,35.8,38.9,76.2,0.3,9.6
2019-03-18,Khammam,Vemsoor,0.0,18.3,36.9,32.2,86.1,0.3,7.3
2019-03-19,Khammam,Vemsoor,0.0,19.1,35.0,31.1,65.3,0.1,7.7
2019-03-20,Khammam,Vemsoor,0.0,21.6,34.0,47.9,100.0,0.7,1.3
2019-03-21,Khammam,Vemsoor,0.0,22.4,36.0,45.2,85.5,0.6,5.8
2019-03-22,Khammam,Vemsoor,0.0,20.9,36.3,42.7,89.8,0.2,6.7
2019-03-23,Khammam,Vemsoor,0.0,20.7,36.8,41.9,77.9,0.3,5.9
2019-03-24,Khammam,Vemsoor,0.0,22.6,36.9,39.4,100.0,0.0,0.1
2019-03-25,Khammam,Vemsoor,0.0,22.4,37.5,37.3,84.0,0.1,8.5
2019-03-26,Khammam,Vemsoor,0.0,22.4,38.6,37.1,80.7,0.3,5.9
2019-03-27,Khammam,Vemsoor,0.0,22.1,37.8,36.1,89.0,0.0,8.0
2019-03-28,Khammam,Vemsoor,0.0,26.4,37.9,36.6,84.3,0.0,5.1
2019-03-29,Khammam,Vemsoor,0.0,23.5,39.1,32.7,74.1,0.0,4.4
2019-03-30,Khammam,Vemsoor,0.0,24.0,37.0,34.3,95.5,0.0,19.8
2019-03-31,Khammam,Vemsoor,0.0,24.4,37.7,38.5,100.0,0.0,0.3
2019-04-01,Khammam,Vemsoor,0.0,25.2,38.2,37.0,78.6,0.0,6.1
2019-04-02,Khammam,Vemsoor,0.0,23.7,38.4,26.8,79.3,0.3,8.8
2019-04-03,Khammam,Vemsoor,0.0,22.5,38.3,33.3,80.9,0.0,7.0
2019-04-04,Khammam,Vemsoor,0.0,22.5,37.8,35.7,79.8,0.0,6.6
2019-04-05,Khammam,Vemsoor,0.0,22.2,38.3,36.0,82.6,0.0,7.9
2019-04-06,Khammam,Vemsoor,0.0,24.3,39.4,29.3,81.1,0.1,7.3
2019-04-07,Khammam,Vemsoor,0.0,19.3,39.6,29.4,71.2,0.0,14.3
2019-04-08,Khammam,Vemsoor,0.0,24.1,39.0,33.5,74.6,2.4,6.5
2019-04-09,Khammam,Vemsoor,0.0,24.7,37.5,38.4,100.0,1.3,6.7
2019-04-10,Khammam,Vemsoor,0.0,25.1,39.4,36.5,80.4,0.0,7.1
2019-04-11,Khammam,Vemsoor,0.0,22.3,40.6,32.3,79.5,1.9,5.7
2019-04-12,Khammam,Vemsoor,0.0,23.4,40.7,30.5,73.2,0.2,6.4
2019-04-13,Khammam,Vemsoor,0.0,21.3,41.0,26.4,69.4,0.0,6.5
2019-04-14,Khammam,Vemsoor,0.0,23.2,40.8,27.6,74.4,0.0,9.3
2019-04-15,Khammam,Vemsoor,0.0,24.1,42.0,22.8,74.5,0.0,7.7
2019-04-16,Khammam,Vemsoor,0.0,22.7,42.4,22.9,83.6,0.0,6.3
2019-04-17,Khammam,Vemsoor,0.0,22.8,41.4,21.8,77.7,0.0,7.6
2019-04-18,Khammam,Vemsoor,0.0,22.5,39.6,28.8,82.4,0.5,8.8
2019-04-19,Khammam,Vemsoor,0.0,24.7,39.2,38.4,78.3,0.2,8.8
