Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Yerrupalem,0.0,10.4,27.5,37.6,88.3,0.0,0.2
2019-01-02,Khammam,Yerrupalem,0.0,11.8,28.5,29.3,97.7,0.0,1.7
2019-01-03,Khammam,Yerrupalem,0.0,13.5,33.0,44.8,89.0,0.0,6.6
2019-01-04,Khammam,Yerrupalem,0.0,14.5,33.1,53.1,94.3,0.0,3.4
2019-01-05,Khammam,Yerrupalem,0.0,16.1,33.3,43.9,89.3,0.0,7.2
2019-01-06,Khammam,Yerrupalem,0.0,15.5,32.9,58.6,88.3,0.0,6.0
2019-01-07,Khammam,Yerrupalem,0.0,13.8,32.9,57.7,94.3,0.0,7.4
2019-01-08,Khammam,Yerrupalem,0.0,14.6,33.3,51.1,89.2,0.0,6.5
2019-01-09,Khammam,Yerrupalem,0.0,11.3,30.4,38.0,100.0,0.0,7.7
2019-01-10,Khammam,Yerrupalem,0.0,12.6,29.4,29.3,100.0,0.0,4.6
2019-01-11,Khammam,Yerrupalem,0.0,15.6,29.5,43.7,100.0,0.0,6.7
2019-01-12,Khammam,Yerrupalem,0.0,15.1,30.5,45.1,100.0,0.0,8.0
2019-01-13,Khammam,Yerrupalem,0.0,16.1,29.3,47.6,100.0,0.0,9.6
2019-01-14,Khammam,Yerrupalem,0.0,14.1,29.7,43.1,100.0,0.0,7.3
2019-01-15,Khammam,Yerrupalem,0.0,14.3,30.1,45.9,100.0,0.0,4.6
2019-01-16,Khammam,Yerrupalem,0.0,15.1,30.2,45.9,100.0,0.0,6.1
2019-01-17,Khammam,Yerrupalem,0.0,15.9,30.1,40.2,100.0,0.0,4.2
2019-01-18,Khammam,Yerrupalem,0.0,16.8,29.5,50.4,100.0,0.0,3.7
2019-01-19,Khammam,Yerrupalem,0.0,15.9,30.0,48.7,100.0,0.0,5.3
2019-01-20,Khammam,Yerrupalem,0.0,15.7,30.4,46.5,100.0,0.0,6.5
2019-01-21,Khammam,Yerrupalem,0.0,16.0,30.0,44.8,100.0,0.0,9.4
2019-01-22,Khammam,Yerrupalem,0.0,15.8,30.3,48.7,100.0,0.0,8.4
2019-01-23,Khammam,Yerrupalem,0.0,14.6,29.7,43.7,99.3,0.0,10.6
2019-01-24,Khammam,Yerrupalem,0.0,18.0,30.1,43.7,97.0,0.0,9.5
2019-01-25,Khammam,Yerrupalem,0.0,18.3,31.0,46.9,96.7,0.0,11.4
2019-01-26,Khammam,Yerrupalem,0.0,21.9,29.3,57.0,86.7,0.0,12.2
2019-01-27,Khammam,Yerrupalem,0.8,20.6,29.0,58.0,94.1,0.0,11.2
2019-01-28,Khammam,Yerrupalem,54.0,19.4,27.8,59.5,97.2,0.0,12.5
2019-01-29,Khammam,Yerrupalem,6.8,17.6,25.3,68.7,97.0,0.0,10.5
2019-01-30,Khammam,Yerrupalem,0.0,12.4,27.3,49.5,97.2,0.0,9.8
2019-01-31,Khammam,Yerrupalem,0.0,16.9,28.4,39.7,93.4,0.0,10.1
2019-02-01,Khammam,Yerrupalem,0.0,16.5,28.4,48.7,93.7,0.0,10.2
2019-02-02,Khammam,Yerrupalem,0.0,16.0,29.4,47.1,94.4,0.0,7.7
2019-02-03,Khammam,Yerrupalem,0.0,16.8,30.0,45.9,93.9,0.0,9.4
2019-02-04,Khammam,Yerrupalem,0.0,18.1,29.3,52.0,90.0,0.0,6.6
2019-02-05,Khammam,Yerrupalem,0.0,17.0,30.5,38.0,93.4,0.0,8.9
2019-02-06,Khammam,Yerrupalem,0.0,16.9,32.5,38.3,93.1,0.0,6.9
2019-02-07,Khammam,Yerrupalem,0.0,17.8,30.8,48.6,92.1,0.0,8.3
2019-02-08,Khammam,Yerrupalem,0.0,22.1,29.8,48.7,82.0,3.0,14.3
2019-02-09,Khammam,Yerrupalem,0.0,21.1,30.2,51.5,89.8,0.0,7.7
2019-02-10,Khammam,Yerrupalem,0.0,16.2,29.7,49.9,86.6,0.0,8.4
2019-02-11,Khammam,Yerrupalem,0.0,22.3,32.2,49.7,82.0,0.0,8.5
2019-02-12,Khammam,Yerrupalem,0.0,19.2,30.5,52.4,91.2,0.0,8.9
2019-02-13,Khammam,Yerrupalem,0.0,17.7,31.9,48.0,91.4,0.0,8.7
2019-02-14,Khammam,Yerrupalem,0.0,17.6,31.5,46.3,91.9,0.0,10.0
2019-02-15,Khammam,Yerrupalem,0.0,19.3,32.5,40.0,92.1,0.0,8.6
2019-02-16,Khammam,Yerrupalem,0.0,20.2,32.5,36.6,89.3,0.0,13.2
2019-02-17,Khammam,Yerrupalem,0.0,21.3,31.8,48.6,88.9,0.0,9.9
2019-02-18,Khammam,Yerrupalem,0.0,22.1,32.7,50.9,90.0,0.0,11.5
2019-02-19,Khammam,Yerrupalem,0.0,21.6,33.5,44.9,90.5,0.0,8.8
2019-02-20,Khammam,Yerrupalem,0.0,21.9,33.3,50.1,90.0,0.0,9.8
2019-02-21,Khammam,Yerrupalem,0.0,19.1,33.0,44.6,90.7,0.0,10.0
2019-02-22,Khammam,Yerrupalem,0.0,18.0,33.5,42.7,91.4,0.0,7.8
2019-02-23,Khammam,Yerrupalem,0.0,17.2,37.1,32.9,89.6,0.0,8.7
2019-02-24,Khammam,Yerrupalem,0.0,16.9,37.1,30.1,87.7,0.0,9.3
2019-02-25,Khammam,Yerrupalem,0.0,20.5,36.1,32.2,89.8,0.0,14.6
2019-02-26,Khammam,Yerrupalem,0.0,22.3,35.3,32.6,89.1,0.0,13.5
2019-02-27,Khammam,Yerrupalem,0.0,21.5,33.0,46.3,88.9,0.0,13.3
2019-02-28,Khammam,Yerrupalem,4.8,22.6,32.3,50.9,88.7,0.0,9.9
2019-03-01,Khammam,Yerrupalem,0.0,22.7,32.5,48.6,90.0,0.0,12.5
2019-03-02,Khammam,Yerrupalem,0.0,21.6,33.6,52.4,89.3,0.0,9.1
2019-03-03,Khammam,Yerrupalem,0.0,21.1,32.9,50.3,90.2,0.0,12.1
2019-03-04,Khammam,Yerrupalem,0.0,22.9,33.6,47.8,88.2,0.0,11.9
2019-03-05,Khammam,Yerrupalem,0.0,22.7,34.3,46.9,89.1,0.0,14.9
2019-03-06,Khammam,Yerrupalem,0.0,23.5,36.6,41.3,90.5,0.0,15.2
2019-03-07,Khammam,Yerrupalem,0.0,23.2,35.8,38.1,91.8,0.0,9.2
2019-03-08,Khammam,Yerrupalem,0.0,25.2,36.0,49.3,89.4,0.0,10.1
2019-03-09,Khammam,Yerrupalem,0.0,24.8,35.5,47.8,88.0,0.0,9.9
2019-03-10,Khammam,Yerrupalem,0.0,22.7,35.3,45.5,71.5,3.7,15.1
2019-03-11,Khammam,Yerrupalem,0.0,22.0,35.8,43.3,91.5,0.0,9.2
2019-03-12,Khammam,Yerrupalem,0.0,21.0,36.3,41.7,91.9,0.0,8.4
2019-03-13,Khammam,Yerrupalem,0.0,21.4,37.6,37.3,92.6,0.0,13.1
2019-03-14,Khammam,Yerrupalem,0.0,18.6,37.4,35.0,91.2,0.0,14.3
2019-03-15,Khammam,Yerrupalem,0.0,23.1,37.0,26.8,86.3,0.0,14.0
2019-03-16,Khammam,Yerrupalem,0.0,20.0,37.6,22.1,92.4,0.0,12.3
2019-03-17,Khammam,Yerrupalem,0.0,20.8,34.7,37.4,96.2,0.0,13.8
2019-03-18,Khammam,Yerrupalem,0.0,18.7,35.5,39.6,91.3,0.0,12.5
2019-03-19,Khammam,Yerrupalem,0.0,20.8,35.5,37.6,83.1,0.0,15.0
2019-03-20,Khammam,Yerrupalem,0.0,23.0,35.2,48.6,86.8,0.0,14.6
2019-03-21,Khammam,Yerrupalem,0.0,23.4,35.6,43.5,90.1,0.0,13.3
2019-03-22,Khammam,Yerrupalem,0.0,22.9,35.9,47.5,90.1,1.5,12.1
2019-03-23,Khammam,Yerrupalem,0.0,21.9,34.2,52.4,93.1,0.0,13.0
2019-03-24,Khammam,Yerrupalem,0.0,23.6,37.5,44.7,93.4,0.0,10.7
2019-03-25,Khammam,Yerrupalem,0.0,23.9,37.6,36.0,92.2,0.0,10.5
2019-03-26,Khammam,Yerrupalem,0.0,23.6,36.8,35.5,92.7,0.0,11.9
2019-03-27,Khammam,Yerrupalem,0.0,21.9,37.6,40.1,93.4,0.0,12.1
2019-03-28,Khammam,Yerrupalem,0.0,23.1,37.4,36.6,92.5,0.0,9.9
2019-03-29,Khammam,Yerrupalem,0.0,24.4,39.3,31.3,90.3,1.2,9.5
2019-03-30,Khammam,Yerrupalem,0.0,26.2,37.9,43.3,90.8,0.0,9.2
2019-03-31,Khammam,Yerrupalem,0.0,23.8,39.2,35.4,92.5,0.0,13.4
2019-04-01,Khammam,Yerrupalem,0.0,26.0,39.9,33.4,90.8,0.0,13.6
2019-04-02,Khammam,Yerrupalem,0.0,23.9,37.9,32.9,93.2,0.0,14.6
2019-04-03,Khammam,Yerrupalem,0.0,23.6,37.9,31.1,91.6,0.0,14.2
2019-04-04,Khammam,Yerrupalem,0.0,23.9,37.8,35.2,91.5,0.0,15.1
2019-04-05,Khammam,Yerrupalem,0.0,23.6,37.6,35.2,92.6,0.0,14.4
2019-04-06,Khammam,Yerrupalem,0.0,25.1,39.7,27.9,90.8,0.0,12.6
2019-04-07,Khammam,Yerrupalem,0.0,21.4,39.9,25.8,82.5,0.0,17.6
2019-04-08,Khammam,Yerrupalem,0.0,26.0,36.9,37.3,87.2,0.3,17.0
2019-04-09,Khammam,Yerrupalem,0.0,26.1,38.0,42.5,90.8,2.7,16.0
2019-04-10,Khammam,Yerrupalem,0.0,26.3,37.9,38.5,90.8,0.0,13.1
2019-04-11,Khammam,Yerrupalem,0.0,26.5,39.5,32.1,90.4,0.9,12.2
2019-04-12,Khammam,Yerrupalem,0.0,23.9,39.6,29.7,92.2,0.0,13.5
2019-04-13,Khammam,Yerrupalem,0.0,23.9,39.8,28.1,76.9,0.0,15.3
2019-04-14,Khammam,Yerrupalem,0.0,23.9,39.9,25.0,90.4,0.0,13.7
2019-04-15,Khammam,Yerrupalem,0.0,24.9,39.3,30.3,92.6,0.0,12.9
2019-04-16,Khammam,Yerrupalem,0.0,22.8,40.6,19.8,92.9,0.0,15.2
2019-04-17,Khammam,Yerrupalem,0.0,22.9,39.5,22.6,96.4,0.0,13.6
2019-04-18,Khammam,Yerrupalem,0.0,27.5,38.9,31.2,90.8,0.0,17.0
2019-04-19,Khammam,Yerrupalem,0.0,27.3,39.3,42.7,90.8,0.0,15.9
2019-04-20,Khammam,Yerrupalem,0.0,27.5,39.5,39.0,83.7,0.0,15.5
2019-04-21,Khammam,Yerrupalem,0.0,27.2,39.2,35.8,84.3,2.1,12.8
2019-04-22,Khammam,Yerrupalem,0.0,27.0,38.1,33.8,76.9,1.7,14.0
2019-04-23,Khammam,Yerrupalem,0.0,23.3,39.3,19.6,83.1,0.0,15.0
2019-04-24,Khammam,Yerrupalem,39.3,24.4,40.0,47.5,92.3,0.0,19.4
2019-04-25,Khammam,Yerrupalem,0.0,26.0,39.9,31.3,97.1,0.0,10.5
2019-04-26,Khammam,Yerrupalem,0.0,26.6,40.3,35.0,92.0,0.0,8.4
2019-04-27,Khammam,Yerrupalem,0.0,28.9,40.5,33.5,90.8,0.0,9.0
2019-04-28,Khammam,Yerrupalem,0.0,27.6,39.0,35.6,87.1,1.1,10.8
2019-04-29,Khammam,Yerrupalem,0.0,26.7,40.5,30.4,90.8,0.0,11.3
2019-04-30,Khammam,Yerrupalem,0.0,27.1,39.9,29.3,93.0,0.0,13.8
2019-05-01,Khammam,Yerrupalem,0.0,26.4,39.3,40.4,79.3,0.0,15.5
2019-05-02,Khammam,Yerrupalem,0.5,24.8,39.7,41.2,92.7,0.0,24.7
2019-05-03,Khammam,Yerrupalem,0.0,27.5,37.8,46.9,90.2,0.0,8.9
2019-05-04,Khammam,Yerrupalem,0.0,26.7,42.1,26.2,85.1,0.0,11.2
2019-05-05,Khammam,Yerrupalem,0.0,24.9,42.3,17.6,84.6,0.0,14.8
2019-05-06,Khammam,Yerrupalem,0.0,27.5,44.1,19.2,83.7,0.0,12.4
2019-05-07,Khammam,Yerrupalem,0.0,30.1,42.7,13.4,86.5,0.0,12.4
2019-05-08,Khammam,Yerrupalem,0.0,30.1,41.9,30.8,91.4,0.0,14.9
2019-05-09,Khammam,Yerrupalem,0.0,27.4,42.3,40.2,78.1,0.0,20.4
2019-05-10,Khammam,Yerrupalem,0.0,30.1,42.1,23.8,84.7,0.0,10.3
2019-05-11,Khammam,Yerrupalem,0.0,30.1,41.9,29.6,91.4,0.0,13.3
2019-05-12,Khammam,Yerrupalem,0.0,26.3,39.4,47.6,83.7,0.0,13.4
2019-05-13,Khammam,Yerrupalem,0.0,30.1,39.8,47.2,91.4,0.0,10.0
2019-05-14,Khammam,Yerrupalem,0.0,28.7,39.8,39.3,88.5,0.0,13.8
2019-05-15,Khammam,Yerrupalem,0.0,30.1,39.3,47.8,85.8,0.0,13.3
2019-05-16,Khammam,Yerrupalem,0.0,29.5,40.8,37.0,86.1,0.1,15.0
2019-05-17,Khammam,Yerrupalem,0.0,28.8,39.3,40.2,91.0,0.0,13.8
2019-05-18,Khammam,Yerrupalem,0.0,29.0,40.1,38.4,85.2,2.1,10.7
2019-05-19,Khammam,Yerrupalem,0.0,27.6,42.1,27.5,62.8,0.0,10.6
2019-05-20,Khammam,Yerrupalem,0.0,28.3,42.8,24.5,85.0,0.0,13.8
2019-05-21,Khammam,Yerrupalem,0.0,27.8,40.4,30.4,84.4,0.0,12.1
2019-05-22,Khammam,Yerrupalem,0.0,27.4,39.9,31.8,88.5,0.0,14.3
2019-05-23,Khammam,Yerrupalem,0.0,27.4,40.0,36.4,74.0,0.0,15.3
2019-05-24,Khammam,Yerrupalem,0.0,27.9,39.9,34.3,86.3,0.0,14.8
2019-05-25,Khammam,Yerrupalem,0.0,30.1,41.2,34.5,86.5,0.0,14.3
2019-05-26,Khammam,Yerrupalem,0.0,30.3,42.3,38.6,84.9,2.0,11.8
2019-05-27,Khammam,Yerrupalem,0.0,30.4,44.6,16.5,87.5,0.1,15.3
2019-05-28,Khammam,Yerrupalem,0.0,30.6,41.9,22.7,84.6,3.3,14.9
2019-05-29,Khammam,Yerrupalem,0.0,30.4,42.3,41.0,86.5,4.2,14.5
2019-05-30,Khammam,Yerrupalem,1.3,26.3,39.3,44.8,86.8,0.0,28.2
2019-05-31,Khammam,Yerrupalem,0.0,25.6,37.8,50.7,91.4,0.0,10.8
2019-06-01,Khammam,Yerrupalem,0.0,28.6,39.3,53.8,92.9,0.0,11.9
2019-06-02,Khammam,Yerrupalem,0.0,30.1,41.4,47.9,85.2,0.0,15.0
2019-06-03,Khammam,Yerrupalem,0.0,30.1,43.1,29.7,87.4,0.0,11.7
2019-06-04,Khammam,Yerrupalem,0.0,28.7,39.3,40.2,84.3,0.0,17.8
2019-06-05,Khammam,Yerrupalem,0.0,30.3,41.0,35.4,85.4,1.4,13.6
2019-06-06,Khammam,Yerrupalem,0.0,29.8,42.2,38.9,84.5,0.0,16.0
2019-06-07,Khammam,Yerrupalem,0.0,26.9,40.0,42.1,79.8,0.0,16.7
2019-06-08,Khammam,Yerrupalem,0.0,29.1,41.4,30.0,86.5,0.0,13.0
2019-06-09,Khammam,Yerrupalem,0.0,30.1,41.4,26.8,79.6,0.0,15.6
2019-06-10,Khammam,Yerrupalem,0.0,31.8,42.0,31.9,77.6,0.1,15.5
2019-06-11,Khammam,Yerrupalem,0.0,30.1,39.4,34.4,91.5,0.0,14.8
2019-06-12,Khammam,Yerrupalem,0.0,29.8,42.0,35.3,86.1,0.0,18.1
2019-06-13,Khammam,Yerrupalem,0.0,32.6,42.5,28.4,70.6,4.1,17.1
2019-06-14,Khammam,Yerrupalem,0.0,32.6,39.3,34.5,65.4,6.2,17.4
2019-06-15,Khammam,Yerrupalem,0.0,32.6,39.7,32.6,70.9,2.0,20.0
2019-06-16,Khammam,Yerrupalem,0.0,32.6,41.7,24.0,65.9,0.5,19.9
2019-06-17,Khammam,Yerrupalem,0.0,30.1,39.5,27.9,76.9,0.0,22.2
2019-06-18,Khammam,Yerrupalem,6.2,25.8,37.8,44.6,98.6,0.0,25.0
2019-06-19,Khammam,Yerrupalem,0.0,31.0,39.7,38.4,70.9,0.0,20.1
2019-06-20,Khammam,Yerrupalem,0.0,32.6,40.9,27.7,66.9,0.0,20.1
2019-06-21,Khammam,Yerrupalem,13.2,26.9,39.7,39.1,99.7,0.0,17.8
2019-06-22,Khammam,Yerrupalem,0.0,27.9,34.8,64.6,91.4,0.0,9.3
2019-06-23,Khammam,Yerrupalem,0.0,27.5,35.8,57.8,84.3,0.0,17.5
2019-06-24,Khammam,Yerrupalem,0.0,27.5,35.3,57.7,92.7,0.0,10.5
2019-06-25,Khammam,Yerrupalem,0.0,27.1,37.9,44.4,81.7,5.9,8.1
2019-06-26,Khammam,Yerrupalem,0.7,27.5,36.7,50.0,91.0,0.0,9.9
2019-06-27,Khammam,Yerrupalem,0.0,27.3,36.0,51.3,74.1,0.0,14.8
2019-06-28,Khammam,Yerrupalem,0.0,30.0,38.6,38.5,70.9,0.0,14.6
2019-06-29,Khammam,Yerrupalem,0.0,29.8,37.1,41.8,72.5,0.0,15.5
2019-06-30,Khammam,Yerrupalem,0.0,28.6,34.9,48.2,76.6,7.3,16.2
2019-07-01,Khammam,Yerrupalem,0.0,27.5,35.9,49.1,90.8,0.0,24.0
2019-07-02,Khammam,Yerrupalem,0.3,27.2,34.9,63.1,97.6,0.0,23.6
2019-07-03,Khammam,Yerrupalem,0.0,28.8,32.9,65.4,77.0,9.0,16.6
