Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Armur ,0.0,7.7,24.9,25.5,94.9,0.0,1.3
2019-01-02,Nizamabad,Armur ,0.0,8.3,27.6,22.5,98.4,0.0,2.0
2019-01-03,Nizamabad,Armur ,0.0,10.0,29.2,21.6,96.0,0.0,1.3
2019-01-04,Nizamabad,Armur ,0.0,9.9,28.9,26.3,97.3,0.0,1.3
2019-01-05,Nizamabad,Armur ,0.0,11.6,29.0,30.9,97.3,0.0,1.4
2019-01-06,Nizamabad,Armur ,0.0,12.8,27.4,48.2,96.2,0.0,1.7
2019-01-07,Nizamabad,Armur ,0.0,12.8,29.3,38.6,97.0,0.0,1.4
2019-01-08,Nizamabad,Armur ,0.0,12.1,26.6,44.4,95.7,0.0,1.7
2019-01-09,Nizamabad,Armur ,0.0,9.3,25.3,30.5,99.0,0.0,1.4
2019-01-10,Nizamabad,Armur ,0.0,9.2,27.3,25.5,99.0,0.0,1.6
2019-01-11,Nizamabad,Armur ,0.0,11.3,30.4,28.2,96.2,0.0,1.4
2019-01-12,Nizamabad,Armur ,0.0,15.0,28.6,40.3,97.3,0.0,1.3
2019-01-13,Nizamabad,Armur ,0.0,17.7,29.0,45.1,91.3,0.0,2.0
2019-01-14,Nizamabad,Armur ,0.0,14.4,27.2,52.6,95.9,0.0,2.6
2019-01-15,Nizamabad,Armur ,0.0,15.8,32.9,43.8,96.6,0.0,1.0
2019-01-16,Nizamabad,Armur ,0.0,12.9,27.2,44.7,98.0,0.0,1.1
2019-01-17,Nizamabad,Armur ,0.0,11.7,31.0,35.8,99.0,0.0,1.2
2019-01-18,Nizamabad,Armur ,0.0,13.2,29.2,29.8,95.5,0.0,1.9
2019-01-19,Nizamabad,Armur ,0.0,13.2,30.7,29.8,98.9,0.0,1.5
2019-01-20,Nizamabad,Armur ,0.0,12.0,29.9,30.6,97.1,0.0,1.6
2019-01-21,Nizamabad,Armur ,0.0,11.1,30.3,22.9,96.2,0.0,1.5
2019-01-22,Nizamabad,Armur ,0.0,15.7,32.1,21.0,83.3,0.0,1.4
2019-01-23,Nizamabad,Armur ,0.0,16.4,29.7,28.8,94.9,0.0,3.1
2019-01-24,Nizamabad,Armur ,0.0,17.3,28.6,39.6,91.5,0.0,2.0
2019-01-25,Nizamabad,Armur ,1.0,19.0,29.5,47.7,93.6,0.0,1.2
2019-01-26,Nizamabad,Armur ,0.0,19.2,29.1,49.6,97.9,0.3,1.4
2019-01-27,Nizamabad,Armur ,0.0,18.3,22.7,80.3,96.3,0.6,2.5
2019-01-28,Nizamabad,Armur ,0.0,14.8,26.0,69.4,96.3,0.0,2.2
2019-01-29,Nizamabad,Armur ,0.0,11.9,25.3,46.1,93.5,0.0,2.7
2019-01-30,Nizamabad,Armur ,0.0,7.5,25.1,26.8,95.9,0.0,2.5
2019-01-31,Nizamabad,Armur ,0.0,9.1,26.6,22.1,93.3,0.0,1.8
2019-02-01,Nizamabad,Armur ,0.0,13.4,29.1,32.5,98.6,0.0,1.7
2019-02-02,Nizamabad,Armur ,0.0,14.2,29.3,36.6,96.4,0.0,2.3
2019-02-03,Nizamabad,Armur ,0.0,14.5,30.2,34.4,95.6,0.0,1.4
2019-02-04,Nizamabad,Armur ,0.0,14.5,30.6,34.3,94.6,0.0,1.6
2019-02-05,Nizamabad,Armur ,0.0,15.2,31.2,28.4,94.8,0.0,2.6
2019-02-06,Nizamabad,Armur ,0.0,15.3,31.1,34.2,93.3,0.0,1.3
