Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Dharpalle,0.0,8.7,28.8,21.6,83.1,0.0,5.3
2019-01-02,Nizamabad,Dharpalle,0.0,11.7,31.6,18.7,82.5,0.0,5.7
2019-01-03,Nizamabad,Dharpalle,0.0,12.4,31.9,16.4,82.9,0.0,7.7
2019-01-04,Nizamabad,Dharpalle,0.0,11.8,31.7,22.7,86.1,0.0,4.8
2019-01-05,Nizamabad,Dharpalle,0.0,14.6,31.0,26.0,89.6,0.0,4.0
2019-01-06,Nizamabad,Dharpalle,0.0,16.2,31.2,28.4,88.5,0.0,6.5
2019-01-07,Nizamabad,Dharpalle,0.0,15.1,32.5,29.0,94.1,0.0,6.5
2019-01-08,Nizamabad,Dharpalle,0.0,11.9,29.0,36.9,96.3,0.0,5.9
2019-01-09,Nizamabad,Dharpalle,0.0,10.4,27.3,27.9,84.0,0.0,7.0
2019-01-10,Nizamabad,Dharpalle,0.0,11.8,28.9,25.3,68.6,0.0,8.5
2019-01-11,Nizamabad,Dharpalle,0.0,13.7,30.3,23.3,87.5,0.0,7.1
2019-01-12,Nizamabad,Dharpalle,0.0,17.6,31.8,28.5,93.4,0.0,6.0
2019-01-13,Nizamabad,Dharpalle,0.0,18.4,31.7,34.4,90.8,0.0,5.2
2019-01-14,Nizamabad,Dharpalle,0.0,15.9,31.4,36.3,88.3,0.0,9.3
2019-01-15,Nizamabad,Dharpalle,0.0,16.0,29.4,47.1,96.3,0.0,6.5
2019-01-16,Nizamabad,Dharpalle,0.0,14.3,29.0,40.4,96.3,0.0,6.8
2019-01-17,Nizamabad,Dharpalle,0.0,11.3,30.2,31.1,85.0,0.0,10.5
2019-01-18,Nizamabad,Dharpalle,0.0,13.8,31.5,24.2,81.3,0.0,9.7
2019-01-19,Nizamabad,Dharpalle,0.0,15.1,30.9,31.8,82.2,0.0,6.2
2019-01-20,Nizamabad,Dharpalle,0.0,11.7,31.7,29.0,65.9,0.0,7.2
2019-01-21,Nizamabad,Dharpalle,0.0,12.2,31.0,24.9,81.4,0.0,4.6
2019-01-22,Nizamabad,Dharpalle,0.0,17.5,33.0,21.5,75.1,0.0,10.0
2019-01-23,Nizamabad,Dharpalle,0.0,17.2,32.4,20.4,85.2,0.0,8.8
2019-01-24,Nizamabad,Dharpalle,0.0,17.4,31.3,34.4,87.5,0.0,10.6
2019-01-25,Nizamabad,Dharpalle,0.5,19.5,30.5,44.2,89.9,0.0,9.0
2019-01-26,Nizamabad,Dharpalle,0.0,18.6,29.5,47.4,97.1,0.0,6.5
2019-01-27,Nizamabad,Dharpalle,0.0,18.2,22.8,74.6,97.2,2.0,8.4
2019-01-28,Nizamabad,Dharpalle,0.0,15.1,22.0,73.8,94.9,0.0,6.9
2019-01-29,Nizamabad,Dharpalle,0.0,11.2,24.8,49.0,90.3,0.0,11.3
2019-01-30,Nizamabad,Dharpalle,0.0,7.8,24.7,29.0,81.2,0.0,5.9
2019-01-31,Nizamabad,Dharpalle,0.0,10.5,27.5,20.4,80.9,0.0,10.8
2019-02-01,Nizamabad,Dharpalle,0.0,15.6,30.3,29.1,93.5,0.0,8.1
2019-02-02,Nizamabad,Dharpalle,0.0,15.5,31.3,35.1,83.3,0.0,11.9
2019-02-03,Nizamabad,Dharpalle,0.0,15.7,31.4,31.2,86.1,0.0,7.2
2019-02-04,Nizamabad,Dharpalle,0.0,15.6,30.6,36.5,88.0,0.0,8.2
2019-02-05,Nizamabad,Dharpalle,0.0,17.0,32.0,31.5,83.2,0.0,8.2
2019-02-06,Nizamabad,Dharpalle,0.0,15.6,31.6,35.1,79.1,0.0,8.9
2019-02-07,Nizamabad,Dharpalle,0.0,19.6,33.9,28.1,74.7,0.0,10.7
2019-02-08,Nizamabad,Dharpalle,0.0,17.9,34.0,34.7,69.4,0.0,11.1
2019-02-09,Nizamabad,Dharpalle,0.0,13.3,30.8,32.5,87.6,0.0,11.0
2019-02-10,Nizamabad,Dharpalle,0.0,10.7,28.2,24.8,83.7,0.0,13.7
2019-02-11,Nizamabad,Dharpalle,0.0,16.5,31.7,25.4,68.9,0.0,8.8
2019-02-12,Nizamabad,Dharpalle,0.0,20.2,33.0,39.0,96.2,0.0,7.4
2019-02-13,Nizamabad,Dharpalle,0.0,20.3,33.5,43.7,92.1,1.0,8.8
2019-02-14,Nizamabad,Dharpalle,0.0,16.6,34.6,25.2,90.3,0.0,5.3
2019-02-15,Nizamabad,Dharpalle,0.0,18.7,33.7,23.1,75.3,0.0,7.7
2019-02-16,Nizamabad,Dharpalle,0.0,19.5,35.4,28.5,99.2,0.0,11.4
2019-02-17,Nizamabad,Dharpalle,0.0,19.0,34.1,30.3,90.6,0.0,10.6
2019-02-18,Nizamabad,Dharpalle,0.0,17.0,33.5,40.1,96.6,0.0,15.4
2019-02-19,Nizamabad,Dharpalle,0.0,20.4,35.0,23.3,85.5,0.0,11.3
2019-02-20,Nizamabad,Dharpalle,0.0,23.1,36.7,31.7,78.3,0.0,12.2
2019-02-21,Nizamabad,Dharpalle,0.0,21.8,35.5,35.3,80.8,0.0,11.3
2019-02-22,Nizamabad,Dharpalle,0.0,22.5,37.1,25.9,67.5,0.0,8.0
2019-02-23,Nizamabad,Dharpalle,0.0,22.2,36.1,29.0,68.1,0.3,13.3
2019-02-24,Nizamabad,Dharpalle,0.0,22.5,36.9,27.0,60.2,0.0,11.1
2019-02-25,Nizamabad,Dharpalle,0.0,22.0,37.9,22.2,58.7,0.0,10.8
2019-02-26,Nizamabad,Dharpalle,0.0,19.3,35.3,18.0,60.5,0.0,14.4
2019-02-27,Nizamabad,Dharpalle,0.0,18.1,33.7,20.2,59.2,0.0,11.4
2019-02-28,Nizamabad,Dharpalle,0.0,18.8,33.1,23.3,54.4,0.0,9.0
2019-03-01,Nizamabad,Dharpalle,0.0,17.6,31.8,29.2,64.5,0.0,9.1
2019-03-02,Nizamabad,Dharpalle,0.0,22.5,34.0,36.0,81.5,0.7,7.2
2019-03-03,Nizamabad,Dharpalle,0.0,23.0,33.6,41.5,77.7,0.0,13.3
2019-03-04,Nizamabad,Dharpalle,0.0,22.2,37.0,33.6,83.9,1.6,12.6
2019-03-05,Nizamabad,Dharpalle,0.0,21.7,35.4,25.1,65.8,0.0,12.5
2019-03-06,Nizamabad,Dharpalle,0.0,18.8,33.1,28.0,51.5,0.0,15.2
2019-03-07,Nizamabad,Dharpalle,0.0,16.3,32.4,22.5,63.9,0.0,15.8
2019-03-08,Nizamabad,Dharpalle,0.0,18.5,34.5,21.6,58.0,0.0,9.0
2019-03-09,Nizamabad,Dharpalle,0.0,20.6,36.3,16.6,58.7,0.0,10.7
2019-03-10,Nizamabad,Dharpalle,0.0,21.8,36.8,22.2,81.4,0.0,14.6
2019-03-11,Nizamabad,Dharpalle,0.0,23.3,37.2,22.5,72.5,0.0,10.5
2019-03-12,Nizamabad,Dharpalle,0.0,24.1,38.8,23.4,73.8,0.0,9.9
2019-03-13,Nizamabad,Dharpalle,0.0,25.8,37.6,29.4,54.2,0.0,10.7
2019-03-14,Nizamabad,Dharpalle,0.0,22.7,37.9,26.0,57.7,0.0,9.7
2019-03-15,Nizamabad,Dharpalle,0.0,23.3,37.4,21.0,50.7,1.0,11.4
2019-03-16,Nizamabad,Dharpalle,0.0,23.1,37.8,21.6,44.0,1.0,13.1
2019-03-17,Nizamabad,Dharpalle,0.0,23.6,38.0,19.1,63.7,0.7,12.0
2019-03-18,Nizamabad,Dharpalle,0.0,21.0,37.9,25.2,65.5,0.0,11.4
2019-03-19,Nizamabad,Dharpalle,0.0,21.2,37.6,20.8,81.1,0.0,15.3
2019-03-20,Nizamabad,Dharpalle,0.0,25.0,37.6,26.4,75.6,0.0,10.2
2019-03-21,Nizamabad,Dharpalle,0.0,23.9,38.0,31.5,84.4,1.8,11.6
2019-03-22,Nizamabad,Dharpalle,0.0,22.3,37.9,26.7,77.6,0.0,14.4
2019-03-23,Nizamabad,Dharpalle,0.0,23.1,37.9,30.5,79.9,0.0,8.7
2019-03-24,Nizamabad,Dharpalle,0.0,25.1,38.0,29.2,67.0,0.0,8.4
2019-03-25,Nizamabad,Dharpalle,0.0,24.9,38.6,24.7,71.2,0.0,8.2
2019-03-26,Nizamabad,Dharpalle,0.0,25.3,39.2,22.6,61.0,0.0,9.9
2019-03-27,Nizamabad,Dharpalle,0.0,24.6,39.5,23.3,68.6,0.0,13.7
2019-03-28,Nizamabad,Dharpalle,0.0,23.5,39.0,19.1,66.2,0.0,12.0
2019-03-29,Nizamabad,Dharpalle,0.0,24.1,39.0,18.4,57.0,0.0,13.3
2019-03-30,Nizamabad,Dharpalle,0.0,24.0,39.5,15.1,58.6,0.0,12.1
2019-03-31,Nizamabad,Dharpalle,0.0,26.0,40.9,16.3,50.5,0.0,15.0
2019-04-01,Nizamabad,Dharpalle,0.0,27.0,40.2,19.8,39.8,0.0,15.0
2019-04-02,Nizamabad,Dharpalle,0.0,24.3,40.5,13.8,65.3,0.0,14.1
2019-04-03,Nizamabad,Dharpalle,0.0,25.7,40.6,17.8,64.0,1.5,9.8
2019-04-04,Nizamabad,Dharpalle,0.0,25.5,38.9,28.8,65.3,0.0,11.4
2019-04-05,Nizamabad,Dharpalle,3.0,23.5,39.5,23.0,68.9,0.0,23.4
2019-04-06,Nizamabad,Dharpalle,0.0,23.8,37.6,26.5,54.9,0.0,12.3
2019-04-07,Nizamabad,Dharpalle,0.0,25.2,39.4,19.3,70.9,0.0,10.7
2019-04-08,Nizamabad,Dharpalle,0.0,24.2,39.4,18.2,55.1,0.0,15.0
2019-04-09,Nizamabad,Dharpalle,0.0,25.6,40.2,17.3,70.2,0.0,13.0
2019-04-10,Nizamabad,Dharpalle,0.0,25.9,40.3,15.7,60.8,0.0,9.6
2019-04-11,Nizamabad,Dharpalle,0.0,26.4,40.4,15.8,74.8,0.0,8.7
2019-04-12,Nizamabad,Dharpalle,0.0,27.7,40.9,11.1,64.8,0.0,12.7
2019-04-13,Nizamabad,Dharpalle,0.0,24.6,40.7,19.9,53.5,0.0,13.1
2019-04-14,Nizamabad,Dharpalle,0.0,26.8,40.2,18.4,52.3,0.0,10.8
2019-04-15,Nizamabad,Dharpalle,0.0,27.5,40.6,19.2,49.8,0.0,12.7
2019-04-16,Nizamabad,Dharpalle,0.0,25.1,40.2,18.1,57.6,0.0,14.4
2019-04-17,Nizamabad,Dharpalle,0.0,26.0,39.3,18.4,47.6,0.0,7.5
2019-04-18,Nizamabad,Dharpalle,0.0,26.3,37.9,27.3,55.8,0.4,13.9
2019-04-19,Nizamabad,Dharpalle,0.0,25.4,38.5,26.7,67.2,0.0,11.8
2019-04-20,Nizamabad,Dharpalle,0.0,24.5,39.5,25.9,63.7,0.0,10.8
2019-04-21,Nizamabad,Dharpalle,0.0,26.3,40.8,24.0,66.2,1.5,11.6
2019-04-22,Nizamabad,Dharpalle,0.0,26.7,40.0,13.6,72.7,2.4,11.0
2019-04-23,Nizamabad,Dharpalle,0.0,25.2,39.3,28.5,61.8,0.0,10.7
2019-04-24,Nizamabad,Dharpalle,0.0,26.9,40.4,18.9,55.3,0.0,11.0
2019-04-25,Nizamabad,Dharpalle,0.0,27.8,41.2,16.9,49.9,0.0,7.7
2019-04-26,Nizamabad,Dharpalle,0.0,27.8,42.2,16.6,46.6,0.0,10.9
2019-04-27,Nizamabad,Dharpalle,0.0,29.9,43.2,16.4,42.5,0.0,9.9
2019-04-28,Nizamabad,Dharpalle,0.0,31.3,42.8,18.1,44.0,0.0,8.4
2019-04-29,Nizamabad,Dharpalle,0.0,29.2,42.7,19.4,56.0,0.0,9.8
2019-04-30,Nizamabad,Dharpalle,0.0,29.4,44.5,17.0,46.3,0.0,8.2
2019-05-01,Nizamabad,Dharpalle,0.0,30.2,42.6,14.5,47.4,0.0,11.0
2019-05-02,Nizamabad,Dharpalle,0.0,28.4,42.0,14.6,33.5,0.0,14.6
2019-05-03,Nizamabad,Dharpalle,0.0,28.2,41.9,13.4,26.7,0.0,19.3
2019-05-04,Nizamabad,Dharpalle,0.0,26.3,40.0,15.4,38.2,0.0,14.9
2019-05-05,Nizamabad,Dharpalle,0.0,28.6,40.1,16.8,32.6,0.0,14.5
2019-05-06,Nizamabad,Dharpalle,0.0,27.9,40.4,12.8,28.5,0.0,21.0
2019-05-07,Nizamabad,Dharpalle,0.0,27.5,41.6,13.4,30.0,0.0,16.4
2019-05-08,Nizamabad,Dharpalle,0.0,30.8,42.6,13.1,26.1,0.0,15.1
2019-05-09,Nizamabad,Dharpalle,0.0,29.3,41.7,14.7,33.6,0.0,16.7
2019-05-10,Nizamabad,Dharpalle,0.0,30.0,41.2,15.8,35.0,0.0,16.2
2019-05-11,Nizamabad,Dharpalle,0.0,30.3,42.5,16.0,33.8,0.0,19.0
2019-05-12,Nizamabad,Dharpalle,0.0,28.6,41.6,22.8,51.6,0.9,17.9
2019-05-13,Nizamabad,Dharpalle,0.0,28.0,42.2,16.9,47.5,0.0,13.2
2019-05-14,Nizamabad,Dharpalle,0.0,29.1,42.1,17.5,50.3,0.0,9.6
2019-05-15,Nizamabad,Dharpalle,0.0,29.6,41.3,18.4,43.7,0.0,13.0
2019-05-16,Nizamabad,Dharpalle,0.0,28.7,42.4,14.4,60.0,0.0,8.2
2019-05-17,Nizamabad,Dharpalle,0.0,28.9,41.5,16.5,34.6,0.0,11.3
2019-05-18,Nizamabad,Dharpalle,0.0,30.4,41.4,16.7,44.2,0.0,10.9
2019-05-19,Nizamabad,Dharpalle,0.0,27.8,42.2,16.1,37.2,0.0,15.2
2019-05-20,Nizamabad,Dharpalle,0.0,29.4,43.0,14.8,50.3,0.0,15.0
2019-05-21,Nizamabad,Dharpalle,0.0,30.4,43.6,16.4,49.8,0.0,11.4
2019-05-22,Nizamabad,Dharpalle,0.0,29.7,42.9,22.8,48.4,0.0,15.0
2019-05-23,Nizamabad,Dharpalle,0.0,31.9,42.3,20.7,57.8,0.0,10.3
2019-05-24,Nizamabad,Dharpalle,2.8,28.1,43.3,21.9,62.7,0.0,12.9
2019-05-25,Nizamabad,Dharpalle,0.0,30.3,43.2,23.6,47.8,0.0,9.3
2019-05-26,Nizamabad,Dharpalle,0.0,29.3,42.4,19.3,46.2,0.0,19.2
2019-05-27,Nizamabad,Dharpalle,0.0,31.4,43.3,19.0,41.7,0.0,19.5
2019-05-28,Nizamabad,Dharpalle,0.0,30.9,43.4,18.1,40.6,0.0,11.8
2019-05-29,Nizamabad,Dharpalle,0.0,31.1,44.0,15.9,28.9,0.1,14.5
