Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Kammarpalle ,0.0,11.1,24.4,25.2,82.3,0.0,65.1
2019-01-02,Nizamabad,Kammarpalle ,0.0,11.8,26.5,21.8,72.4,0.0,65.1
2019-01-03,Nizamabad,Kammarpalle ,0.0,13.7,28.6,22.0,78.1,0.0,65.1
2019-01-04,Nizamabad,Kammarpalle ,0.0,14.3,28.6,27.6,84.0,0.0,3.8
2019-01-05,Nizamabad,Kammarpalle ,0.0,13.7,28.3,30.2,87.2,0.0,1.0
2019-01-06,Nizamabad,Kammarpalle ,0.0,15.0,28.1,42.2,91.5,0.0,65.1
2019-01-07,Nizamabad,Kammarpalle ,0.0,15.0,27.7,40.4,94.4,0.0,4.2
2019-01-08,Nizamabad,Kammarpalle ,0.0,14.6,26.9,44.7,88.9,0.0,65.1
2019-01-09,Nizamabad,Kammarpalle ,0.0,11.7,25.5,28.6,82.2,0.0,65.1
2019-01-10,Nizamabad,Kammarpalle ,0.0,13.1,26.9,24.2,77.8,0.0,1.5
2019-01-11,Nizamabad,Kammarpalle ,0.0,13.7,30.4,25.8,82.7,0.0,0.1
2019-01-12,Nizamabad,Kammarpalle ,0.0,15.6,27.9,37.1,95.2,0.0,6.1
2019-01-13,Nizamabad,Kammarpalle ,0.0,17.0,28.8,42.4,89.9,0.0,6.3
2019-01-14,Nizamabad,Kammarpalle ,0.0,16.1,28.2,50.5,97.1,0.0,65.1
2019-01-15,Nizamabad,Kammarpalle ,0.0,16.9,27.5,42.2,88.1,0.0,7.6
2019-01-16,Nizamabad,Kammarpalle ,0.0,15.6,27.3,43.0,88.5,0.0,4.2
2019-01-17,Nizamabad,Kammarpalle ,0.0,14.5,27.8,32.6,80.3,0.0,65.1
2019-01-18,Nizamabad,Kammarpalle ,0.0,14.5,29.1,28.0,90.8,0.0,25.0
2019-01-19,Nizamabad,Kammarpalle ,0.0,15.1,28.8,36.1,88.6,0.0,65.1
2019-01-20,Nizamabad,Kammarpalle ,0.0,15.5,29.1,26.2,84.4,0.0,25.2
2019-01-21,Nizamabad,Kammarpalle ,0.0,13.8,29.7,20.6,80.9,0.0,5.9
2019-01-22,Nizamabad,Kammarpalle ,0.0,19.5,30.8,20.6,76.2,0.0,0.4
2019-01-23,Nizamabad,Kammarpalle ,0.0,16.7,29.3,34.3,93.0,0.0,4.4
2019-01-24,Nizamabad,Kammarpalle ,0.0,17.7,29.7,39.1,90.4,0.0,0.9
2019-01-25,Nizamabad,Kammarpalle ,0.0,19.6,29.1,49.9,89.7,0.0,4.2
2019-01-26,Nizamabad,Kammarpalle ,11.0,19.6,28.1,50.4,98.3,0.0,8.0
2019-01-27,Nizamabad,Kammarpalle ,0.0,18.1,21.3,83.8,96.3,0.0,7.7
2019-01-28,Nizamabad,Kammarpalle ,0.0,15.2,22.7,71.5,95.0,0.0,6.0
2019-01-29,Nizamabad,Kammarpalle ,0.0,13.5,25.2,43.9,86.5,0.0,7.0
