Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Kotgiri,0.0,9.3,25.6,22.7,97.3,0.0,6.6
2019-01-02,Nizamabad,Kotgiri,0.0,10.5,28.0,24.7,84.7,0.0,8.5
2019-01-03,Nizamabad,Kotgiri,0.0,12.0,30.2,16.8,97.5,0.0,3.6
2019-01-04,Nizamabad,Kotgiri,0.0,12.9,31.5,22.4,97.5,0.0,5.5
2019-01-05,Nizamabad,Kotgiri,0.0,14.1,30.3,24.9,97.5,0.0,6.5
2019-01-06,Nizamabad,Kotgiri,0.0,17.8,29.7,26.9,95.4,0.0,8.6
2019-01-07,Nizamabad,Kotgiri,0.0,15.9,31.2,26.6,85.3,0.0,8.6
2019-01-08,Nizamabad,Kotgiri,0.0,12.5,28.2,30.2,92.5,0.0,1.3
2019-01-09,Nizamabad,Kotgiri,0.0,11.2,26.7,31.6,79.6,0.0,2.9
2019-01-10,Nizamabad,Kotgiri,0.0,11.8,28.1,27.1,97.5,0.0,3.9
2019-01-11,Nizamabad,Kotgiri,0.0,13.6,29.1,26.3,97.5,0.0,7.1
2019-01-12,Nizamabad,Kotgiri,0.0,19.5,30.7,24.0,83.5,0.0,8.6
2019-01-13,Nizamabad,Kotgiri,0.0,21.7,30.7,23.5,97.5,0.0,10.2
2019-01-14,Nizamabad,Kotgiri,0.0,18.1,29.3,42.6,84.6,0.0,7.5
2019-01-15,Nizamabad,Kotgiri,0.0,17.8,27.8,29.8,91.4,0.0,10.6
2019-01-16,Nizamabad,Kotgiri,0.0,15.5,27.5,23.6,98.3,0.0,6.7
2019-01-17,Nizamabad,Kotgiri,0.0,14.2,28.0,20.0,97.5,0.0,5.1
2019-01-18,Nizamabad,Kotgiri,0.0,15.0,30.0,25.5,91.3,0.0,5.2
2019-01-19,Nizamabad,Kotgiri,0.0,14.9,29.1,25.4,91.8,0.0,0.1
2019-01-20,Nizamabad,Kotgiri,0.0,14.1,28.4,23.2,93.7,0.0,7.9
2019-01-21,Nizamabad,Kotgiri,0.0,13.3,30.7,22.0,95.5,0.0,0.5
2019-01-22,Nizamabad,Kotgiri,0.0,17.9,33.4,21.7,82.1,0.0,7.9
2019-01-23,Nizamabad,Kotgiri,0.0,18.9,32.8,23.5,88.6,0.0,10.4
2019-01-24,Nizamabad,Kotgiri,0.0,17.6,31.3,32.0,92.1,0.0,5.7
2019-01-25,Nizamabad,Kotgiri,0.0,22.8,30.7,24.3,96.2,0.0,9.4
2019-01-26,Nizamabad,Kotgiri,0.0,21.1,30.6,36.9,98.3,0.0,6.7
2019-01-27,Nizamabad,Kotgiri,0.0,19.6,25.5,80.3,94.7,0.0,16.2
2019-01-28,Nizamabad,Kotgiri,0.0,17.7,23.4,69.5,99.9,0.0,13.0
2019-01-29,Nizamabad,Kotgiri,0.0,12.8,23.7,21.2,93.7,0.0,8.6
2019-01-30,Nizamabad,Kotgiri,0.0,8.9,24.5,27.4,99.9,0.0,5.9
2019-01-31,Nizamabad,Kotgiri,0.0,11.3,26.1,25.8,89.2,0.0,8.5
2019-02-01,Nizamabad,Kotgiri,0.0,16.3,29.9,36.1,99.9,0.0,3.9
2019-02-02,Nizamabad,Kotgiri,0.0,16.7,30.8,22.7,97.1,0.0,10.9
2019-02-03,Nizamabad,Kotgiri,0.0,16.3,30.3,24.6,88.3,0.0,11.0
2019-02-04,Nizamabad,Kotgiri,0.0,18.6,30.0,31.0,94.0,0.0,3.4
2019-02-05,Nizamabad,Kotgiri,0.0,18.6,31.1,27.5,89.8,0.0,8.6
2019-02-06,Nizamabad,Kotgiri,0.0,18.8,30.2,22.6,92.8,0.0,5.1
2019-02-07,Nizamabad,Kotgiri,0.0,22.5,33.7,26.3,84.3,0.0,11.0
2019-02-08,Nizamabad,Kotgiri,0.0,15.7,33.9,29.5,59.9,0.0,9.4
2019-02-09,Nizamabad,Kotgiri,0.0,11.7,29.4,32.5,57.0,0.0,4.9
2019-02-10,Nizamabad,Kotgiri,0.0,11.7,26.5,25.1,82.0,0.0,10.8
2019-02-11,Nizamabad,Kotgiri,0.0,16.6,29.2,26.9,87.1,0.0,4.1
2019-02-12,Nizamabad,Kotgiri,0.0,21.2,31.4,40.5,99.9,0.0,0.2
2019-02-13,Nizamabad,Kotgiri,0.0,18.8,32.0,26.7,98.1,0.0,7.3
2019-02-14,Nizamabad,Kotgiri,0.0,17.0,31.8,27.4,92.0,0.0,8.7
2019-02-15,Nizamabad,Kotgiri,0.0,21.7,35.6,20.4,85.8,0.0,8.3
