Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Nizamabad North,0.0,12.4,30.4,21.6,98.4,0.0,9.4
2019-01-02,Nizamabad,Nizamabad North,0.0,11.7,33.4,19.0,98.4,0.0,9.6
2019-01-03,Nizamabad,Nizamabad North,0.0,15.0,35.5,21.4,98.4,0.0,0.3
2019-01-04,Nizamabad,Nizamabad North,0.0,15.0,35.5,20.7,98.4,0.0,0.3
2019-01-05,Nizamabad,Nizamabad North,0.0,16.0,35.5,21.9,98.4,0.0,1.0
2019-01-06,Nizamabad,Nizamabad North,0.0,17.2,35.5,27.7,98.4,0.0,2.1
2019-01-07,Nizamabad,Nizamabad North,0.0,16.2,35.5,30.5,98.4,0.0,3.5
2019-01-08,Nizamabad,Nizamabad North,0.0,14.6,32.9,42.4,98.4,0.0,0.3
2019-01-09,Nizamabad,Nizamabad North,0.0,15.0,30.7,27.1,98.4,0.0,2.4
2019-01-10,Nizamabad,Nizamabad North,0.0,15.0,32.9,21.3,98.4,0.0,0.1
2019-01-11,Nizamabad,Nizamabad North,0.0,17.5,32.9,26.8,98.4,0.0,0.3
2019-01-12,Nizamabad,Nizamabad North,0.0,18.6,35.5,29.2,98.4,0.0,3.1
2019-01-13,Nizamabad,Nizamabad North,0.0,21.5,35.5,43.1,98.4,0.0,10.7
2019-01-14,Nizamabad,Nizamabad North,0.0,17.4,32.9,50.9,98.4,0.0,8.8
2019-01-15,Nizamabad,Nizamabad North,0.0,19.9,33.4,42.8,98.4,0.0,2.5
2019-01-16,Nizamabad,Nizamabad North,0.0,16.6,32.9,44.5,98.4,0.0,0.3
2019-01-17,Nizamabad,Nizamabad North,0.0,13.9,31.6,35.4,98.4,0.0,5.5
2019-01-18,Nizamabad,Nizamabad North,0.0,15.0,32.6,22.4,94.5,0.0,0.1
2019-01-19,Nizamabad,Nizamabad North,0.0,15.2,31.0,58.1,96.5,0.0,0.3
2019-01-20,Nizamabad,Nizamabad North,0.0,14.4,32.0,41.6,97.1,0.0,0.4
2019-01-21,Nizamabad,Nizamabad North,0.0,14.8,30.4,36.5,90.1,0.0,0.4
2019-01-22,Nizamabad,Nizamabad North,0.0,20.1,34.3,27.5,80.4,0.0,0.7
2019-01-23,Nizamabad,Nizamabad North,0.0,18.6,34.0,48.7,91.5,0.0,0.6
2019-01-24,Nizamabad,Nizamabad North,0.0,19.8,33.3,58.5,92.9,0.0,0.6
2019-01-25,Nizamabad,Nizamabad North,0.0,21.5,33.1,54.5,92.9,0.0,1.5
2019-01-26,Nizamabad,Nizamabad North,0.0,20.0,31.3,68.0,97.3,0.0,0.1
2019-01-27,Nizamabad,Nizamabad North,0.0,20.1,25.4,86.8,95.9,0.0,0.1
2019-01-28,Nizamabad,Nizamabad North,0.0,17.3,25.5,79.9,96.2,0.0,0.1
2019-01-29,Nizamabad,Nizamabad North,0.0,13.9,27.4,66.1,94.8,0.0,0.1
2019-01-30,Nizamabad,Nizamabad North,0.0,9.8,26.6,54.3,89.4,0.0,1.4
2019-01-31,Nizamabad,Nizamabad North,0.0,12.9,27.9,48.5,84.9,0.0,0.4
2019-02-01,Nizamabad,Nizamabad North,0.0,16.4,31.2,54.2,95.6,0.0,0.5
2019-02-02,Nizamabad,Nizamabad North,0.0,17.7,32.7,46.5,92.6,0.0,0.1
2019-02-03,Nizamabad,Nizamabad North,0.0,16.9,32.6,55.3,93.8,0.0,0.1
2019-02-04,Nizamabad,Nizamabad North,0.0,17.7,32.3,55.6,93.1,0.0,0.5
2019-02-05,Nizamabad,Nizamabad North,0.0,18.9,33.4,40.0,89.5,0.0,0.3
2019-02-06,Nizamabad,Nizamabad North,0.0,18.4,33.0,54.3,90.2,0.0,0.2
2019-02-07,Nizamabad,Nizamabad North,0.0,22.4,35.1,53.6,100.0,0.0,0.1
2019-02-08,Nizamabad,Nizamabad North,0.0,21.8,35.7,59.9,100.0,0.0,0.3
2019-02-09,Nizamabad,Nizamabad North,0.0,13.4,32.3,39.1,100.0,0.0,0.1
2019-02-10,Nizamabad,Nizamabad North,0.0,14.4,29.7,62.3,100.0,0.0,0.3
2019-02-11,Nizamabad,Nizamabad North,0.0,18.2,32.3,37.6,100.0,0.0,0.8
2019-02-12,Nizamabad,Nizamabad North,0.0,20.3,35.9,72.9,100.0,0.0,0.4
2019-02-13,Nizamabad,Nizamabad North,0.0,19.6,35.6,56.5,100.0,0.0,0.3
2019-02-14,Nizamabad,Nizamabad North,0.0,19.5,35.4,55.1,100.0,0.0,0.2
2019-02-15,Nizamabad,Nizamabad North,0.0,19.6,37.0,31.5,100.0,0.0,0.1
2019-02-16,Nizamabad,Nizamabad North,0.0,19.4,35.1,42.1,100.0,0.0,1.0
2019-02-17,Nizamabad,Nizamabad North,0.0,16.9,35.4,48.3,88.1,0.0,0.5
2019-02-18,Nizamabad,Nizamabad North,0.0,17.1,32.8,45.8,97.9,0.0,0.2
2019-02-19,Nizamabad,Nizamabad North,0.0,17.9,33.9,28.3,100.0,0.0,2.0
2019-02-20,Nizamabad,Nizamabad North,0.0,22.8,37.4,39.8,87.2,0.0,0.8
2019-02-21,Nizamabad,Nizamabad North,0.0,21.8,36.6,62.6,88.4,0.0,0.6
2019-02-22,Nizamabad,Nizamabad North,0.0,20.6,38.0,61.6,87.7,0.0,0.9
2019-02-23,Nizamabad,Nizamabad North,0.0,21.4,37.7,34.3,86.0,0.0,0.6
2019-02-24,Nizamabad,Nizamabad North,0.0,20.2,37.0,32.2,100.0,0.0,0.4
2019-02-25,Nizamabad,Nizamabad North,0.0,19.7,37.4,31.2,100.0,0.0,0.6
2019-02-26,Nizamabad,Nizamabad North,0.0,18.0,34.2,33.7,100.0,0.0,3.6
2019-02-27,Nizamabad,Nizamabad North,0.0,15.7,34.5,22.0,82.1,0.0,0.4
2019-02-28,Nizamabad,Nizamabad North,0.0,15.4,34.9,27.0,80.2,0.0,1.4
2019-03-01,Nizamabad,Nizamabad North,0.0,16.8,33.4,33.8,84.2,0.0,0.3
2019-03-02,Nizamabad,Nizamabad North,0.0,20.5,33.5,42.8,89.6,0.0,1.3
2019-03-03,Nizamabad,Nizamabad North,0.0,23.0,34.2,63.0,85.2,0.0,2.2
2019-03-04,Nizamabad,Nizamabad North,0.0,20.3,37.8,62.0,86.4,0.0,0.3
2019-03-05,Nizamabad,Nizamabad North,0.0,20.9,36.8,59.6,78.4,0.0,1.5
2019-03-06,Nizamabad,Nizamabad North,0.0,15.9,33.9,43.3,80.1,0.0,2.7
2019-03-07,Nizamabad,Nizamabad North,0.0,15.5,34.3,27.3,85.4,0.0,0.9
2019-03-08,Nizamabad,Nizamabad North,0.0,15.9,34.1,36.5,100.0,0.0,0.3
2019-03-09,Nizamabad,Nizamabad North,0.0,17.7,35.8,57.1,100.0,0.0,1.4
2019-03-10,Nizamabad,Nizamabad North,0.0,19.5,38.0,26.3,83.5,0.0,0.3
2019-03-11,Nizamabad,Nizamabad North,0.0,21.9,36.2,28.4,86.0,0.0,0.4
2019-03-12,Nizamabad,Nizamabad North,0.0,23.0,37.3,46.4,81.6,0.0,0.4
2019-03-13,Nizamabad,Nizamabad North,0.0,23.5,35.3,30.0,60.8,0.0,0.6
2019-03-14,Nizamabad,Nizamabad North,0.0,21.1,35.7,43.1,100.0,0.0,0.7
2019-03-15,Nizamabad,Nizamabad North,0.0,20.2,35.5,19.1,50.9,0.0,0.4
2019-03-16,Nizamabad,Nizamabad North,0.0,20.9,36.1,37.2,100.0,0.0,0.5
2019-03-17,Nizamabad,Nizamabad North,0.0,21.3,37.4,58.8,100.0,0.0,0.1
2019-03-18,Nizamabad,Nizamabad North,0.0,23.3,36.3,21.6,56.5,0.1,0.7
2019-03-19,Nizamabad,Nizamabad North,0.0,19.6,37.4,34.5,75.0,0.0,0.2
2019-03-20,Nizamabad,Nizamabad North,0.0,22.7,38.0,32.4,100.0,0.0,0.3
2019-03-21,Nizamabad,Nizamabad North,0.0,22.1,36.4,32.0,80.4,0.0,0.6
2019-03-22,Nizamabad,Nizamabad North,0.0,21.3,35.6,37.2,71.8,0.0,0.4
2019-03-23,Nizamabad,Nizamabad North,0.0,22.0,35.2,52.4,100.0,0.0,0.4
2019-03-24,Nizamabad,Nizamabad North,0.0,22.5,36.3,25.3,70.2,0.0,0.3
2019-03-25,Nizamabad,Nizamabad North,0.0,22.4,36.4,23.9,66.3,0.0,0.3
2019-03-26,Nizamabad,Nizamabad North,0.0,23.3,36.3,52.8,100.0,0.0,0.3
2019-03-27,Nizamabad,Nizamabad North,0.0,22.5,37.9,26.3,68.0,0.0,0.4
2019-03-28,Nizamabad,Nizamabad North,0.0,22.0,38.5,46.5,100.0,0.0,0.4
2019-03-29,Nizamabad,Nizamabad North,0.0,22.2,38.6,43.8,100.0,0.0,0.3
2019-03-30,Nizamabad,Nizamabad North,0.0,22.6,37.9,20.1,77.1,0.0,0.3
2019-03-31,Nizamabad,Nizamabad North,0.0,23.8,40.0,43.7,100.0,0.0,0.4
2019-04-01,Nizamabad,Nizamabad North,0.0,24.6,40.0,36.2,100.0,0.0,0.4
2019-04-02,Nizamabad,Nizamabad North,0.0,22.6,40.5,30.8,76.5,0.0,1.6
2019-04-03,Nizamabad,Nizamabad North,0.0,22.6,39.1,36.2,72.5,0.0,0.4
2019-04-04,Nizamabad,Nizamabad North,0.0,23.2,37.6,47.8,100.0,0.0,0.7
2019-04-05,Nizamabad,Nizamabad North,0.0,22.3,35.9,50.9,100.0,0.0,1.7
2019-04-06,Nizamabad,Nizamabad North,0.0,23.1,37.2,32.9,60.0,0.0,0.3
