Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Nizamabad Rural,0.0,9.8,28.8,77.4,100.0,0.0,0.3
2019-01-02,Nizamabad,Nizamabad Rural,0.0,11.2,30.9,31.9,100.0,0.0,0.4
2019-01-03,Nizamabad,Nizamabad Rural,0.0,12.8,33.2,22.4,91.9,0.0,0.3
2019-01-04,Nizamabad,Nizamabad Rural,0.0,13.2,34.0,22.5,91.5,0.0,0.3
2019-01-05,Nizamabad,Nizamabad Rural,0.0,14.5,32.5,32.8,91.4,0.0,0.3
2019-01-06,Nizamabad,Nizamabad Rural,0.0,15.8,31.8,54.6,100.0,0.0,0.3
2019-01-07,Nizamabad,Nizamabad Rural,0.0,16.2,33.8,34.4,92.4,0.0,0.5
2019-01-08,Nizamabad,Nizamabad Rural,0.0,12.8,30.6,42.2,91.1,0.0,0.3
2019-01-09,Nizamabad,Nizamabad Rural,0.0,12.2,29.9,29.7,92.4,0.0,0.4
2019-01-10,Nizamabad,Nizamabad Rural,0.0,11.9,31.0,33.6,100.0,0.0,0.3
2019-01-11,Nizamabad,Nizamabad Rural,0.0,13.9,31.1,36.8,100.0,0.0,0.3
2019-01-12,Nizamabad,Nizamabad Rural,0.0,17.7,31.5,42.6,92.3,0.0,0.5
2019-01-13,Nizamabad,Nizamabad Rural,0.0,19.7,32.3,44.1,88.3,0.0,0.6
2019-01-14,Nizamabad,Nizamabad Rural,0.0,17.2,31.9,47.1,92.5,0.0,0.5
2019-01-15,Nizamabad,Nizamabad Rural,0.0,18.7,31.3,47.9,90.9,0.0,0.4
2019-01-16,Nizamabad,Nizamabad Rural,0.0,14.9,31.1,52.8,100.0,0.0,0.3
2019-01-17,Nizamabad,Nizamabad Rural,0.0,14.3,31.1,37.1,90.8,0.0,0.4
2019-01-18,Nizamabad,Nizamabad Rural,0.0,14.2,31.9,36.5,100.0,0.0,0.3
2019-01-19,Nizamabad,Nizamabad Rural,0.0,15.2,30.9,58.1,100.0,0.0,0.3
2019-01-20,Nizamabad,Nizamabad Rural,0.0,12.8,30.9,33.4,91.6,0.0,0.4
2019-01-21,Nizamabad,Nizamabad Rural,0.0,13.8,31.6,37.5,100.0,0.0,0.4
2019-01-22,Nizamabad,Nizamabad Rural,0.0,18.6,34.9,27.6,100.0,0.0,0.7
2019-01-23,Nizamabad,Nizamabad Rural,0.0,17.5,32.2,47.8,100.0,0.0,0.6
2019-01-24,Nizamabad,Nizamabad Rural,0.0,18.2,32.4,65.3,100.0,0.0,0.6
2019-01-25,Nizamabad,Nizamabad Rural,0.0,20.4,33.6,56.5,100.0,0.0,0.7
2019-01-26,Nizamabad,Nizamabad Rural,0.0,19.8,30.8,87.7,100.0,0.0,0.7
2019-01-27,Nizamabad,Nizamabad Rural,0.0,19.5,24.7,78.9,93.1,0.2,0.4
2019-01-28,Nizamabad,Nizamabad Rural,0.0,15.7,25.4,65.5,91.8,0.0,0.5
2019-01-29,Nizamabad,Nizamabad Rural,0.0,14.0,26.5,47.6,90.8,0.0,0.4
2019-01-30,Nizamabad,Nizamabad Rural,0.0,10.2,27.1,30.4,87.0,0.0,0.4
2019-01-31,Nizamabad,Nizamabad Rural,0.0,11.1,28.5,23.2,85.6,0.0,0.4
2019-02-01,Nizamabad,Nizamabad Rural,0.0,15.4,31.1,34.2,93.8,0.0,0.5
2019-02-02,Nizamabad,Nizamabad Rural,0.0,17.6,31.9,39.0,91.6,0.0,0.4
2019-02-03,Nizamabad,Nizamabad Rural,0.0,17.1,32.0,40.4,92.4,0.0,0.5
2019-02-04,Nizamabad,Nizamabad Rural,0.0,17.2,32.3,55.6,100.0,0.0,0.5
2019-02-05,Nizamabad,Nizamabad Rural,0.0,17.3,32.6,41.1,100.0,0.0,0.5
2019-02-06,Nizamabad,Nizamabad Rural,0.0,17.7,31.9,46.5,100.0,0.0,0.4
2019-02-07,Nizamabad,Nizamabad Rural,0.0,22.2,34.9,53.6,100.0,0.0,0.8
2019-02-08,Nizamabad,Nizamabad Rural,0.0,17.0,34.8,59.9,100.0,0.0,0.7
2019-02-09,Nizamabad,Nizamabad Rural,0.0,13.5,32.1,32.2,80.0,0.0,0.6
2019-02-10,Nizamabad,Nizamabad Rural,0.0,12.6,29.5,24.0,82.3,0.0,0.5
2019-02-11,Nizamabad,Nizamabad Rural,0.0,17.3,31.2,28.0,79.4,0.0,0.4
2019-02-12,Nizamabad,Nizamabad Rural,0.0,20.2,31.9,49.9,93.1,0.0,0.4
2019-02-13,Nizamabad,Nizamabad Rural,0.0,19.7,33.9,49.1,93.3,0.0,0.5
2019-02-14,Nizamabad,Nizamabad Rural,0.0,17.6,34.5,55.1,100.0,0.0,0.4
2019-02-15,Nizamabad,Nizamabad Rural,0.0,19.0,36.0,29.6,86.0,0.0,0.4
2019-02-16,Nizamabad,Nizamabad Rural,0.0,19.4,35.2,36.5,93.3,0.0,1.0
2019-02-17,Nizamabad,Nizamabad Rural,0.0,17.1,35.3,39.3,100.0,0.0,0.5
2019-02-18,Nizamabad,Nizamabad Rural,0.0,18.1,33.2,41.6,93.2,0.0,0.5
2019-02-19,Nizamabad,Nizamabad Rural,0.0,17.6,35.9,25.6,89.2,0.0,0.3
2019-02-20,Nizamabad,Nizamabad Rural,0.0,21.7,37.9,34.0,88.3,0.0,0.3
2019-02-21,Nizamabad,Nizamabad Rural,0.0,22.4,35.6,61.5,100.0,0.0,0.5
2019-02-22,Nizamabad,Nizamabad Rural,0.0,21.8,36.8,35.6,86.1,0.0,0.4
2019-02-23,Nizamabad,Nizamabad Rural,0.0,22.0,37.5,34.5,100.0,0.0,0.4
2019-02-24,Nizamabad,Nizamabad Rural,0.0,20.9,35.8,36.9,100.0,0.0,0.3
2019-02-25,Nizamabad,Nizamabad Rural,0.0,19.8,37.0,25.9,69.1,0.0,0.9
2019-02-26,Nizamabad,Nizamabad Rural,0.0,17.4,34.8,43.2,100.0,0.0,0.4
2019-02-27,Nizamabad,Nizamabad Rural,0.0,15.3,35.8,24.9,100.0,0.0,0.3
2019-02-28,Nizamabad,Nizamabad Rural,0.0,15.0,33.6,58.6,100.0,0.0,0.3
2019-03-01,Nizamabad,Nizamabad Rural,0.0,15.8,34.3,29.3,83.8,0.0,0.3
2019-03-02,Nizamabad,Nizamabad Rural,0.0,20.0,31.9,36.9,90.5,0.0,0.4
2019-03-03,Nizamabad,Nizamabad Rural,0.0,22.3,35.4,76.3,100.0,0.1,0.8
2019-03-04,Nizamabad,Nizamabad Rural,0.0,19.5,36.2,35.8,86.9,0.0,0.6
2019-03-05,Nizamabad,Nizamabad Rural,0.0,19.2,37.1,26.4,71.8,0.0,0.4
2019-03-06,Nizamabad,Nizamabad Rural,0.0,15.2,32.3,55.3,100.0,0.0,0.8
2019-03-07,Nizamabad,Nizamabad Rural,0.0,14.7,35.2,25.1,80.0,0.0,0.4
2019-03-08,Nizamabad,Nizamabad Rural,0.0,15.1,34.8,55.8,100.0,0.0,0.3
2019-03-09,Nizamabad,Nizamabad Rural,0.0,17.4,35.6,24.8,76.0,0.0,0.5
2019-03-10,Nizamabad,Nizamabad Rural,0.0,18.4,38.0,48.8,100.0,0.0,0.5
