Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Nizamabad South,0.0,11.6,29.5,24.5,99.7,0.0,9.4
2019-01-02,Nizamabad,Nizamabad South,0.0,10.8,32.6,22.7,99.9,0.0,9.0
2019-01-03,Nizamabad,Nizamabad South,0.0,14.2,34.6,16.8,96.1,0.0,8.3
2019-01-04,Nizamabad,Nizamabad South,0.0,14.2,34.6,21.8,99.9,0.0,6.2
2019-01-05,Nizamabad,Nizamabad South,0.0,15.2,34.6,25.6,99.9,0.0,9.5
2019-01-06,Nizamabad,Nizamabad South,0.0,16.3,34.6,31.4,99.9,0.0,10.9
2019-01-07,Nizamabad,Nizamabad South,0.0,15.4,34.6,34.2,99.9,0.0,8.0
2019-01-08,Nizamabad,Nizamabad South,0.0,13.8,32.1,46.1,98.0,0.0,6.9
2019-01-09,Nizamabad,Nizamabad South,0.0,14.2,29.9,30.8,99.9,0.0,13.3
2019-01-10,Nizamabad,Nizamabad South,0.0,11.5,32.1,23.8,93.4,0.0,9.7
2019-01-11,Nizamabad,Nizamabad South,0.0,16.7,32.1,27.2,94.1,0.0,12.0
2019-01-12,Nizamabad,Nizamabad South,0.0,17.7,34.6,29.7,98.8,0.0,13.4
2019-01-13,Nizamabad,Nizamabad South,0.0,20.7,34.6,46.6,95.5,0.0,8.2
2019-01-14,Nizamabad,Nizamabad South,0.0,16.6,32.1,51.3,95.5,0.0,10.4
2019-01-15,Nizamabad,Nizamabad South,0.0,19.1,32.6,46.5,92.1,0.0,9.6
2019-01-16,Nizamabad,Nizamabad South,0.0,15.8,32.1,45.6,99.9,0.0,8.2
2019-01-17,Nizamabad,Nizamabad South,0.0,15.3,32.4,39.1,94.1,0.0,9.0
2019-01-18,Nizamabad,Nizamabad South,0.0,16.7,34.6,26.1,94.1,0.0,0.1
2019-01-19,Nizamabad,Nizamabad South,0.0,16.7,32.4,39.1,99.9,0.0,9.2
2019-01-20,Nizamabad,Nizamabad South,0.0,16.0,34.6,39.1,99.9,0.0,11.4
2019-01-21,Nizamabad,Nizamabad South,0.0,14.8,30.4,38.5,94.4,0.0,10.7
2019-01-22,Nizamabad,Nizamabad South,0.0,21.8,34.6,22.9,75.3,0.0,11.9
2019-01-23,Nizamabad,Nizamabad South,0.0,18.7,35.1,22.9,88.8,0.0,10.4
2019-01-24,Nizamabad,Nizamabad South,0.0,21.8,34.6,39.4,89.0,0.0,10.2
2019-01-25,Nizamabad,Nizamabad South,1.3,21.8,33.1,30.9,97.3,0.0,13.5
2019-01-26,Nizamabad,Nizamabad South,0.0,20.0,32.1,55.2,99.2,0.0,0.1
2019-01-27,Nizamabad,Nizamabad South,0.0,20.1,26.9,83.6,97.4,0.0,0.1
2019-01-28,Nizamabad,Nizamabad South,0.0,17.3,26.9,75.5,96.2,0.0,0.1
2019-01-29,Nizamabad,Nizamabad South,0.0,13.9,29.5,52.7,93.7,0.0,0.1
2019-01-30,Nizamabad,Nizamabad South,0.0,9.8,27.3,32.1,92.8,0.0,1.4
2019-01-31,Nizamabad,Nizamabad South,0.0,14.2,29.5,22.5,82.2,0.0,0.4
2019-02-01,Nizamabad,Nizamabad South,0.0,16.4,32.8,33.7,97.0,0.0,10.2
2019-02-02,Nizamabad,Nizamabad South,0.0,17.7,34.6,39.4,92.6,0.0,0.1
2019-02-03,Nizamabad,Nizamabad South,0.0,16.9,34.6,32.2,94.4,0.0,0.1
2019-02-04,Nizamabad,Nizamabad South,0.0,17.7,33.1,33.4,93.1,0.0,12.4
2019-02-05,Nizamabad,Nizamabad South,0.0,19.3,34.8,30.7,90.2,0.0,0.3
2019-02-06,Nizamabad,Nizamabad South,0.0,19.3,35.1,33.9,88.8,0.0,0.2
2019-02-07,Nizamabad,Nizamabad South,0.0,22.4,35.3,30.7,82.2,0.0,0.1
2019-02-08,Nizamabad,Nizamabad South,0.0,20.7,35.5,35.2,69.4,0.0,0.3
2019-02-09,Nizamabad,Nizamabad South,0.0,11.4,32.1,32.0,71.2,0.0,0.1
2019-02-10,Nizamabad,Nizamabad South,0.0,14.2,29.5,24.5,74.1,0.0,0.3
2019-02-11,Nizamabad,Nizamabad South,0.0,18.7,32.1,25.7,71.5,0.0,0.8
2019-02-12,Nizamabad,Nizamabad South,0.0,20.4,35.7,45.9,90.5,0.0,13.5
2019-02-13,Nizamabad,Nizamabad South,0.0,18.9,35.4,42.7,96.3,0.0,0.3
2019-02-14,Nizamabad,Nizamabad South,0.0,19.3,35.2,30.8,94.8,0.0,0.2
2019-02-15,Nizamabad,Nizamabad South,0.0,19.4,36.8,23.0,75.3,0.0,0.1
2019-02-16,Nizamabad,Nizamabad South,0.0,18.3,35.8,35.3,62.2,0.0,9.5
2019-02-17,Nizamabad,Nizamabad South,0.0,16.7,35.2,21.0,76.2,0.0,11.2
2019-02-18,Nizamabad,Nizamabad South,0.0,16.9,32.3,30.1,95.8,0.0,0.2
2019-02-19,Nizamabad,Nizamabad South,0.0,17.7,33.6,23.4,81.1,0.0,2.0
2019-02-20,Nizamabad,Nizamabad South,0.0,22.6,37.2,31.8,74.5,0.0,0.8
2019-02-21,Nizamabad,Nizamabad South,0.0,21.6,36.4,28.2,76.8,0.0,0.6
2019-02-22,Nizamabad,Nizamabad South,0.0,20.4,37.8,28.5,75.3,0.0,0.9
2019-02-23,Nizamabad,Nizamabad South,0.0,21.2,37.5,21.3,71.9,0.0,0.6
2019-02-24,Nizamabad,Nizamabad South,0.0,21.1,37.9,20.5,68.1,0.0,0.4
2019-02-25,Nizamabad,Nizamabad South,0.0,20.6,38.3,20.5,47.7,0.0,0.6
2019-02-26,Nizamabad,Nizamabad South,0.0,18.9,35.1,15.3,50.9,0.0,3.6
2019-02-27,Nizamabad,Nizamabad South,0.0,16.6,35.4,14.5,64.2,0.0,0.4
2019-02-28,Nizamabad,Nizamabad South,0.0,16.3,35.8,15.1,60.5,0.0,1.4
2019-03-01,Nizamabad,Nizamabad South,0.0,17.7,34.3,20.7,68.3,0.0,0.3
2019-03-02,Nizamabad,Nizamabad South,0.0,21.4,34.4,28.5,79.3,0.0,1.3
2019-03-03,Nizamabad,Nizamabad South,0.0,23.9,35.1,37.3,70.4,0.0,2.2
2019-03-04,Nizamabad,Nizamabad South,0.0,21.2,38.2,24.0,72.8,0.0,0.3
