Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Nizamabad,Nizamabad_North,1.5,23.5,32.0,71.0,92.0,0.0,0.2
2019-09-12,Nizamabad,Nizamabad_North,3.0,23.2,29.9,71.0,97.0,0.0,0.1
2019-09-13,Nizamabad,Nizamabad_North,17.5,23.1,27.7,80.0,98.0,0.0,0.2
2019-09-14,Nizamabad,Nizamabad_North,4.3,22.7,31.7,86.0,95.2,0.0,0.8
2019-09-15,Nizamabad,Nizamabad_North,2.0,23.8,31.4,70.0,94.8,0.0,0.1
2019-09-16,Nizamabad,Nizamabad_North,1.0,24.9,31.7,68.0,99.7,0.0,0.1
2019-09-17,Nizamabad,Nizamabad_North,0.0,24.6,30.0,70.0,95.6,0.0,0.1
2019-09-18,Nizamabad,Nizamabad_North,44.5,22.5,30.3,75.0,99.0,0.0,0.3
2019-09-19,Nizamabad,Nizamabad_North,0.5,23.6,28.7,85.0,99.3,0.0,0.2
2019-09-20,Nizamabad,Nizamabad_North,21.0,23.0,30.7,72.0,99.0,0.0,0.2
2019-09-21,Nizamabad,Nizamabad_North,73.0,23.2,31.2,63.0,99.3,0.0,0.3
2019-09-22,Nizamabad,Nizamabad_North,0.0,24.3,31.0,65.0,99.3,0.0,0.2
2019-09-23,Nizamabad,Nizamabad_North,0.0,23.5,32.4,60.0,91.0,0.0,0.1
2019-09-24,Nizamabad,Nizamabad_North,0.0,24.0,33.9,64.0,97.0,0.0,0.1
2019-09-25,Nizamabad,Nizamabad_North,4.0,23.4,31.7,69.0,98.0,0.0,0.1
2019-09-26,Nizamabad,Nizamabad_North,16.5,23.8,30.4,71.0,99.0,0.0,0.1
2019-09-27,Nizamabad,Nizamabad_North,2.0,23.5,31.1,69.0,98.5,0.0,0.1
2019-09-28,Nizamabad,Nizamabad_North,1.0,23.3,31.4,65.0,99.8,0.0,0.5
2019-09-29,Nizamabad,Nizamabad_North,0.0,23.5,30.4,67.0,96.0,0.0,0.1
2019-09-30,Nizamabad,Nizamabad_North,0.0,22.4,32.4,60.0,84.5,0.0,0.1
2019-10-01,Nizamabad,Nizamabad_North,0.5,23.4,32.1,67.4,95.0,0.0,0.1
2019-10-02,Nizamabad,Nizamabad_North,20.5,23.5,33.2,60.0,97.0,0.0,1.1
2019-10-03,Nizamabad,Nizamabad_North,0.0,24.1,32.3,61.0,98.0,0.0,0.1
2019-10-04,Nizamabad,Nizamabad_North,0.0,24.3,32.9,63.0,93.0,0.0,0.1
2019-10-05,Nizamabad,Nizamabad_North,0.0,23.6,33.5,68.0,92.0,0.0,0.1
2019-10-06,Nizamabad,Nizamabad_North,0.0,23.1,33.3,57.0,86.7,0.0,0.1
2019-10-07,Nizamabad,Nizamabad_North,0.0,23.0,32.2,62.0,94.0,0.0,0.1
2019-10-08,Nizamabad,Nizamabad_North,0.0,23.8,33.4,53.0,96.0,0.0,0.1
2019-10-09,Nizamabad,Nizamabad_North,0.0,23.6,31.4,63.0,97.0,0.0,0.1
2019-10-10,Nizamabad,Nizamabad_North,0.0,23.9,33.3,59.0,95.0,0.0,0.2
2019-10-11,Nizamabad,Nizamabad_North,40.0,21.7,32.5,63.0,99.0,0.0,0.2
