Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Nizamabad,Nizamabad_South,1.2,23.7,33.8,72.9,100.0,0.0,1.3
2019-09-12,Nizamabad,Nizamabad_South,6.4,22.5,32.1,77.4,100.0,0.0,1.4
2019-09-13,Nizamabad,Nizamabad_South,19.5,22.8,29.6,90.4,100.0,0.0,2.4
2019-09-14,Nizamabad,Nizamabad_South,4.0,22.6,31.7,79.9,100.0,0.0,0.8
2019-09-15,Nizamabad,Nizamabad_South,3.8,23.0,33.9,63.6,100.0,0.0,0.3
2019-09-16,Nizamabad,Nizamabad_South,1.9,24.2,33.5,64.6,100.0,0.0,0.1
2019-09-17,Nizamabad,Nizamabad_South,0.0,23.9,32.8,75.9,100.0,0.0,0.1
2019-09-18,Nizamabad,Nizamabad_South,33.6,22.6,32.1,82.4,100.0,0.0,0.3
2019-09-19,Nizamabad,Nizamabad_South,13.7,23.4,29.9,93.4,100.0,0.0,0.2
2019-09-20,Nizamabad,Nizamabad_South,25.7,22.7,30.9,82.3,100.0,0.0,0.2
2019-09-21,Nizamabad,Nizamabad_South,80.3,23.1,34.9,56.6,100.0,0.0,0.3
2019-09-22,Nizamabad,Nizamabad_South,0.0,24.0,34.4,60.4,100.0,0.0,0.2
2019-09-23,Nizamabad,Nizamabad_South,0.0,23.7,35.4,62.5,100.0,0.0,0.1
2019-09-24,Nizamabad,Nizamabad_South,0.0,23.8,34.7,64.6,100.0,0.0,0.1
2019-09-25,Nizamabad,Nizamabad_South,4.1,23.1,32.8,62.5,100.0,0.0,0.1
2019-09-26,Nizamabad,Nizamabad_South,15.2,23.4,30.3,79.8,100.0,0.0,0.1
2019-09-27,Nizamabad,Nizamabad_South,9.3,22.6,32.3,76.4,100.0,0.0,0.3
2019-09-28,Nizamabad,Nizamabad_South,1.3,23.2,33.7,60.4,100.0,0.0,0.1
2019-09-29,Nizamabad,Nizamabad_South,0.0,22.6,33.5,63.6,100.0,0.0,0.1
2019-09-30,Nizamabad,Nizamabad_South,0.0,22.9,35.2,54.5,84.7,0.0,0.1
2019-10-01,Nizamabad,Nizamabad_South,1.2,23.6,34.1,60.8,100.0,0.0,0.1
2019-10-02,Nizamabad,Nizamabad_South,17.9,23.6,35.2,54.4,100.0,0.0,1.1
2019-10-03,Nizamabad,Nizamabad_South,0.0,23.6,35.3,48.4,100.0,0.0,0.1
2019-10-04,Nizamabad,Nizamabad_South,0.0,23.1,33.2,62.1,100.0,0.0,0.1
2019-10-05,Nizamabad,Nizamabad_South,0.0,22.0,34.1,53.4,100.0,0.0,0.1
2019-10-06,Nizamabad,Nizamabad_South,0.0,23.3,33.8,54.4,100.0,0.0,0.1
2019-10-07,Nizamabad,Nizamabad_South,0.0,22.2,32.9,56.7,100.0,0.0,0.1
2019-10-08,Nizamabad,Nizamabad_South,0.0,23.2,34.9,46.9,98.2,0.0,0.1
