Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Ranjal,0.0,10.4,25.6,22.7,98.3,0.0,0.6
2019-01-02,Nizamabad,Ranjal,0.0,12.4,28.4,25.1,57.1,0.0,0.5
2019-01-03,Nizamabad,Ranjal,0.0,13.1,30.8,22.9,58.9,0.0,0.3
2019-01-04,Nizamabad,Ranjal,0.0,13.3,32.2,20.6,71.0,0.0,5.9
2019-01-05,Nizamabad,Ranjal,0.0,13.9,29.9,22.9,73.5,0.0,7.4
2019-01-06,Nizamabad,Ranjal,0.0,15.6,29.6,26.1,97.5,0.0,6.3
2019-01-07,Nizamabad,Ranjal,0.0,15.9,31.1,20.6,97.5,0.0,0.4
2019-01-08,Nizamabad,Ranjal,0.0,11.5,29.3,23.4,97.5,0.0,5.9
2019-01-09,Nizamabad,Ranjal,0.0,10.9,26.7,32.0,59.3,0.0,0.1
2019-01-10,Nizamabad,Ranjal,0.0,13.1,28.6,22.6,73.0,0.0,0.1
2019-01-11,Nizamabad,Ranjal,0.0,13.5,28.7,29.9,79.4,0.0,0.6
2019-01-12,Nizamabad,Ranjal,0.0,16.4,30.0,25.5,93.1,0.0,0.1
2019-01-13,Nizamabad,Ranjal,0.0,17.1,31.2,20.9,97.5,0.0,0.1
2019-01-14,Nizamabad,Ranjal,0.0,16.8,28.9,26.9,97.5,0.0,5.4
2019-01-15,Nizamabad,Ranjal,0.0,18.2,28.9,29.2,97.5,0.0,0.3
2019-01-16,Nizamabad,Ranjal,0.0,15.1,27.8,29.8,93.6,0.0,0.1
2019-01-17,Nizamabad,Ranjal,0.0,14.1,28.7,22.6,97.5,0.0,0.1
2019-01-18,Nizamabad,Ranjal,0.0,14.5,30.8,26.3,88.7,0.0,6.9
2019-01-19,Nizamabad,Ranjal,0.0,15.1,29.8,28.5,96.5,0.0,6.4
2019-01-20,Nizamabad,Ranjal,0.0,14.6,29.7,28.5,91.5,0.0,1.3
2019-01-21,Nizamabad,Ranjal,0.0,13.5,30.5,20.6,87.8,0.0,0.1
2019-01-22,Nizamabad,Ranjal,0.0,16.6,34.6,20.8,77.5,0.0,0.9
2019-01-23,Nizamabad,Ranjal,0.0,17.2,31.6,23.6,90.6,0.0,3.4
2019-01-24,Nizamabad,Ranjal,0.0,17.5,31.9,20.2,92.4,0.0,0.2
2019-01-25,Nizamabad,Ranjal,1.8,20.4,32.9,21.0,93.1,0.0,0.1
2019-01-26,Nizamabad,Ranjal,0.0,19.8,30.2,23.7,97.5,0.0,0.3
2019-01-27,Nizamabad,Ranjal,0.0,19.1,25.0,82.3,94.9,0.0,2.6
2019-01-28,Nizamabad,Ranjal,0.0,15.7,24.0,24.5,97.4,0.0,2.2
2019-01-29,Nizamabad,Ranjal,0.0,13.3,25.3,30.3,90.6,0.0,1.5
2019-01-30,Nizamabad,Ranjal,0.0,9.9,25.2,30.8,84.1,0.0,2.2
2019-01-31,Nizamabad,Ranjal,0.0,11.6,26.4,21.6,82.6,0.0,0.7
2019-02-01,Nizamabad,Ranjal,0.0,15.0,29.3,30.4,96.7,0.0,0.3
2019-02-02,Nizamabad,Ranjal,0.0,17.1,29.8,23.9,95.0,0.0,0.6
2019-02-03,Nizamabad,Ranjal,0.0,16.3,30.2,28.0,95.6,0.0,1.5
2019-02-04,Nizamabad,Ranjal,0.0,17.4,30.1,32.3,93.4,0.0,3.6
2019-02-05,Nizamabad,Ranjal,0.0,17.9,31.2,20.4,88.4,0.0,0.9
2019-02-06,Nizamabad,Ranjal,0.0,17.7,30.9,25.5,91.2,0.0,0.4
2019-02-07,Nizamabad,Ranjal,0.0,21.9,34.9,24.2,93.8,0.0,0.2
2019-02-08,Nizamabad,Ranjal,0.0,17.0,34.6,29.0,59.9,0.0,3.2
2019-02-09,Nizamabad,Ranjal,0.0,12.7,30.3,31.2,51.4,0.0,0.8
2019-02-10,Nizamabad,Ranjal,0.0,11.7,27.4,22.5,84.1,0.0,0.9
2019-02-11,Nizamabad,Ranjal,0.0,16.1,28.8,24.4,86.5,0.0,0.9
2019-02-12,Nizamabad,Ranjal,0.0,20.0,30.5,30.0,99.9,0.0,3.6
2019-02-13,Nizamabad,Ranjal,0.0,18.7,31.5,21.4,99.0,0.0,3.5
2019-02-14,Nizamabad,Ranjal,0.0,16.3,32.0,20.2,95.4,0.0,3.0
2019-02-15,Nizamabad,Ranjal,0.0,19.8,33.7,26.1,90.5,0.0,0.8
2019-02-16,Nizamabad,Ranjal,2.0,20.7,34.9,35.4,99.9,0.0,6.9
2019-02-17,Nizamabad,Ranjal,0.0,18.8,35.0,39.5,96.5,0.0,6.2
2019-02-18,Nizamabad,Ranjal,0.0,17.6,34.8,43.1,99.9,0.0,8.4
2019-02-19,Nizamabad,Ranjal,0.0,18.1,35.4,26.6,89.7,0.0,0.9
2019-02-20,Nizamabad,Ranjal,0.0,21.9,36.2,21.0,99.9,0.0,1.5
2019-02-21,Nizamabad,Ranjal,0.0,21.3,34.2,26.1,99.9,0.0,2.7
2019-02-22,Nizamabad,Ranjal,0.0,21.5,35.1,24.9,99.9,0.0,3.5
2019-02-23,Nizamabad,Ranjal,0.0,22.0,37.2,27.6,85.0,0.0,1.9
2019-02-24,Nizamabad,Ranjal,0.0,21.4,37.8,25.1,85.3,0.0,0.6
2019-02-25,Nizamabad,Ranjal,0.0,20.3,38.1,20.4,50.0,0.0,2.3
2019-02-26,Nizamabad,Ranjal,0.0,17.7,36.7,14.9,49.6,0.0,2.5
2019-02-27,Nizamabad,Ranjal,0.0,17.3,36.3,18.4,48.5,0.0,2.7
2019-02-28,Nizamabad,Ranjal,0.0,16.8,33.7,20.8,49.8,0.0,4.6
2019-03-01,Nizamabad,Ranjal,0.0,17.4,31.5,10.2,48.2,0.0,2.7
2019-03-02,Nizamabad,Ranjal,0.0,22.5,34.4,24.0,99.9,0.0,1.9
2019-03-03,Nizamabad,Ranjal,0.0,23.4,35.0,10.5,86.2,0.0,6.6
2019-03-04,Nizamabad,Ranjal,0.0,20.4,37.6,10.1,76.4,0.0,4.7
2019-03-05,Nizamabad,Ranjal,0.0,20.7,37.3,21.5,49.4,0.0,1.9
2019-03-06,Nizamabad,Ranjal,0.0,17.0,34.9,17.0,49.5,0.0,4.9
2019-03-07,Nizamabad,Ranjal,0.0,16.8,34.6,10.6,49.7,0.0,2.1
2019-03-08,Nizamabad,Ranjal,0.0,16.8,33.7,21.2,87.3,0.0,4.9
2019-03-09,Nizamabad,Ranjal,0.0,19.2,35.2,20.9,49.7,0.0,6.0
2019-03-10,Nizamabad,Ranjal,0.0,19.8,37.6,17.3,49.0,0.0,1.5
2019-03-11,Nizamabad,Ranjal,0.0,21.3,37.0,21.1,48.7,0.0,2.4
2019-03-12,Nizamabad,Ranjal,0.0,24.4,37.7,11.5,75.2,0.0,2.3
