Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Yedapalle,0.0,8.5,27.2,26.9,86.0,0.0,9.4
2019-01-02,Nizamabad,Yedapalle,0.0,9.2,28.4,25.2,87.5,0.0,9.0
2019-01-03,Nizamabad,Yedapalle,0.0,11.2,32.0,19.2,90.3,0.0,8.3
2019-01-04,Nizamabad,Yedapalle,0.0,12.8,32.9,20.8,89.1,0.0,6.2
2019-01-05,Nizamabad,Yedapalle,0.0,13.6,30.9,28.1,89.8,0.0,9.5
2019-01-06,Nizamabad,Yedapalle,0.0,15.6,29.9,44.2,92.2,0.0,10.9
2019-01-07,Nizamabad,Yedapalle,0.0,14.6,30.5,39.6,94.8,0.0,8.0
2019-01-08,Nizamabad,Yedapalle,0.0,11.3,29.5,31.0,90.3,0.0,6.9
2019-01-09,Nizamabad,Yedapalle,0.0,11.2,26.9,29.9,94.7,0.0,13.3
2019-01-10,Nizamabad,Yedapalle,0.0,10.5,28.5,25.8,90.3,0.0,9.7
2019-01-11,Nizamabad,Yedapalle,0.0,13.1,29.0,29.3,88.1,0.0,12.0
2019-01-12,Nizamabad,Yedapalle,0.0,17.0,32.1,32.1,93.5,0.0,13.4
2019-01-13,Nizamabad,Yedapalle,0.0,19.7,31.7,42.9,83.2,0.0,8.2
2019-01-14,Nizamabad,Yedapalle,0.0,15.8,30.4,46.9,92.1,0.0,10.4
2019-01-15,Nizamabad,Yedapalle,0.0,17.2,28.5,49.8,89.9,0.0,9.6
2019-01-16,Nizamabad,Yedapalle,0.0,13.8,28.3,46.9,94.7,0.0,8.2
2019-01-17,Nizamabad,Yedapalle,0.0,12.6,29.8,35.6,93.0,0.0,9.0
2019-01-18,Nizamabad,Yedapalle,0.0,13.3,31.3,25.2,92.3,0.0,7.0
2019-01-19,Nizamabad,Yedapalle,0.0,13.7,29.8,32.8,89.7,0.0,9.2
2019-01-20,Nizamabad,Yedapalle,0.0,12.2,29.4,35.0,91.4,0.0,11.4
2019-01-21,Nizamabad,Yedapalle,0.0,13.7,30.4,31.0,80.7,0.0,10.7
2019-01-22,Nizamabad,Yedapalle,0.0,18.3,34.3,22.7,70.4,0.0,11.9
2019-01-23,Nizamabad,Yedapalle,0.0,16.7,33.0,22.7,86.3,0.0,10.4
2019-01-24,Nizamabad,Yedapalle,0.0,17.1,32.0,36.2,89.8,0.0,10.2
2019-01-25,Nizamabad,Yedapalle,0.0,20.8,32.9,32.5,83.2,0.0,13.5
2019-01-26,Nizamabad,Yedapalle,0.0,19.7,30.2,48.7,94.2,1.2,8.2
2019-01-27,Nizamabad,Yedapalle,0.0,18.0,23.8,76.1,91.3,4.9,15.2
2019-01-28,Nizamabad,Yedapalle,0.0,15.8,23.7,68.7,93.2,0.0,11.4
2019-01-29,Nizamabad,Yedapalle,0.0,13.1,25.1,48.5,90.6,0.0,14.8
2019-01-30,Nizamabad,Yedapalle,0.0,9.3,25.5,30.8,85.7,0.0,13.4
2019-01-31,Nizamabad,Yedapalle,0.0,11.2,25.8,22.0,75.1,0.0,11.9
2019-02-01,Nizamabad,Yedapalle,0.0,15.7,29.8,28.7,90.3,0.0,10.2
2019-02-02,Nizamabad,Yedapalle,0.0,17.0,30.9,38.8,85.2,0.0,11.8
2019-02-03,Nizamabad,Yedapalle,0.0,16.2,31.1,31.2,87.0,0.0,13.4
2019-02-04,Nizamabad,Yedapalle,0.0,17.5,31.2,32.6,86.2,0.0,12.4
2019-02-05,Nizamabad,Yedapalle,0.0,18.2,31.7,30.8,78.6,0.0,9.1
2019-02-06,Nizamabad,Yedapalle,0.0,17.2,31.0,36.4,82.6,0.0,14.6
2019-02-07,Nizamabad,Yedapalle,0.0,20.7,35.1,27.4,82.5,0.0,15.2
2019-02-08,Nizamabad,Yedapalle,0.0,17.4,34.8,35.2,68.0,0.0,11.4
2019-02-09,Nizamabad,Yedapalle,0.0,11.2,31.0,32.0,72.2,0.0,6.4
2019-02-10,Nizamabad,Yedapalle,0.0,13.6,27.0,23.4,64.5,0.0,13.4
2019-02-11,Nizamabad,Yedapalle,0.0,17.1,28.6,28.3,66.5,0.0,13.3
2019-02-12,Nizamabad,Yedapalle,0.0,20.2,31.2,38.9,89.2,0.0,13.5
2019-02-13,Nizamabad,Yedapalle,0.0,18.7,32.2,42.7,92.0,0.0,11.8
2019-02-14,Nizamabad,Yedapalle,0.0,15.2,33.9,26.5,81.7,0.0,11.1
2019-02-15,Nizamabad,Yedapalle,0.0,19.7,35.8,24.8,80.6,0.0,13.9
2019-02-16,Nizamabad,Yedapalle,5.0,18.1,35.6,33.0,94.1,0.0,9.5
2019-02-17,Nizamabad,Yedapalle,0.0,16.2,33.7,28.6,80.1,0.0,11.2
2019-02-18,Nizamabad,Yedapalle,0.0,16.6,33.1,28.7,92.8,0.0,9.6
2019-02-19,Nizamabad,Yedapalle,0.0,18.1,34.6,23.4,86.4,0.0,9.5
2019-02-20,Nizamabad,Yedapalle,0.0,23.0,37.1,30.4,75.4,0.0,13.4
2019-02-21,Nizamabad,Yedapalle,0.0,21.7,35.2,35.7,82.1,0.0,12.8
2019-02-22,Nizamabad,Yedapalle,0.0,21.5,35.1,35.8,79.8,0.0,10.5
2019-02-23,Nizamabad,Yedapalle,0.0,21.8,37.8,25.2,74.6,0.0,12.1
2019-02-24,Nizamabad,Yedapalle,0.0,21.2,37.9,25.7,75.3,0.0,6.7
2019-02-25,Nizamabad,Yedapalle,0.0,20.0,37.8,21.9,59.2,0.0,8.0
2019-02-26,Nizamabad,Yedapalle,0.0,17.5,36.1,19.6,68.7,0.0,5.7
2019-02-27,Nizamabad,Yedapalle,0.0,16.9,36.0,20.5,55.5,0.0,7.6
2019-02-28,Nizamabad,Yedapalle,0.0,16.3,34.8,21.9,65.2,0.0,6.9
2019-03-01,Nizamabad,Yedapalle,0.0,19.8,33.4,26.7,68.2,0.0,9.0
2019-03-02,Nizamabad,Yedapalle,0.0,22.8,34.0,30.3,82.0,0.0,13.6
2019-03-03,Nizamabad,Yedapalle,0.0,23.7,35.8,39.9,77.7,0.0,13.6
2019-03-04,Nizamabad,Yedapalle,0.0,21.0,37.9,31.2,82.1,0.0,10.2
2019-03-05,Nizamabad,Yedapalle,0.0,20.3,37.7,26.1,61.6,0.0,7.6
2019-03-06,Nizamabad,Yedapalle,0.0,15.9,34.3,26.4,68.9,0.0,7.8
2019-03-07,Nizamabad,Yedapalle,0.0,16.6,34.6,23.7,61.6,0.0,6.8
2019-03-08,Nizamabad,Yedapalle,0.0,16.9,35.6,20.8,78.1,0.0,9.7
