Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Yergatla,0.0,10.4,30.4,18.8,96.2,0.0,7.7
2019-01-02,Nizamabad,Yergatla,0.0,10.6,32.9,18.8,96.2,0.0,5.7
2019-01-03,Nizamabad,Yergatla,0.0,13.1,32.9,19.0,96.2,0.0,3.0
2019-01-04,Nizamabad,Yergatla,0.0,12.3,32.9,21.3,96.2,0.0,6.0
2019-01-05,Nizamabad,Yergatla,0.0,15.7,35.5,26.8,96.2,0.0,4.2
2019-01-06,Nizamabad,Yergatla,0.0,14.3,32.9,30.3,96.2,0.0,2.4
2019-01-07,Nizamabad,Yergatla,0.0,14.3,32.9,37.9,96.2,0.0,5.2
2019-01-08,Nizamabad,Yergatla,0.0,13.9,31.3,44.8,96.2,0.0,3.3
2019-01-09,Nizamabad,Yergatla,0.0,13.0,30.4,26.7,96.2,0.0,2.8
2019-01-10,Nizamabad,Yergatla,0.0,10.7,31.4,19.9,96.2,0.0,6.4
2019-01-11,Nizamabad,Yergatla,0.0,12.2,31.4,22.4,96.2,0.0,5.9
2019-01-12,Nizamabad,Yergatla,0.0,16.3,32.9,38.1,96.2,0.0,2.8
2019-01-13,Nizamabad,Yergatla,0.0,18.7,32.9,45.6,96.2,0.0,3.1
2019-01-14,Nizamabad,Yergatla,0.0,20.1,32.9,54.4,96.2,0.0,2.8
2019-01-15,Nizamabad,Yergatla,0.0,17.6,32.9,45.4,96.2,0.0,1.8
2019-01-16,Nizamabad,Yergatla,0.0,14.2,31.2,44.0,96.2,0.0,4.7
2019-01-17,Nizamabad,Yergatla,0.0,13.6,32.9,29.8,96.2,0.0,4.9
2019-01-18,Nizamabad,Yergatla,0.0,13.9,30.1,26.8,91.9,0.0,2.4
2019-01-19,Nizamabad,Yergatla,0.0,14.9,30.1,35.7,94.9,0.0,3.4
2019-01-20,Nizamabad,Yergatla,0.0,14.0,30.5,31.1,92.4,0.0,4.2
2019-01-21,Nizamabad,Yergatla,0.0,12.8,30.7,22.4,91.3,0.0,5.1
2019-01-22,Nizamabad,Yergatla,0.0,17.6,32.0,22.3,85.0,0.0,8.2
2019-01-23,Nizamabad,Yergatla,0.0,16.6,30.3,34.7,93.4,0.0,4.7
2019-01-24,Nizamabad,Yergatla,0.0,18.0,30.4,38.4,94.6,0.0,6.7
2019-01-25,Nizamabad,Yergatla,0.0,20.2,30.5,48.2,92.5,0.0,5.4
