Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Atmakur,0.0,7.3,27.0,26.4,100.0,0.0,16.4
2019-01-02,Warangal (R),Atmakur,0.0,7.0,29.3,21.3,100.0,0.0,16.4
2019-01-03,Warangal (R),Atmakur,0.0,9.2,30.7,29.9,100.0,0.0,13.1
2019-01-04,Warangal (R),Atmakur,0.0,10.0,31.0,33.1,100.0,0.0,20.6
2019-01-05,Warangal (R),Atmakur,0.0,11.9,31.1,33.1,100.0,0.0,12.7
2019-01-06,Warangal (R),Atmakur,0.0,11.6,30.7,38.7,100.0,0.0,15.4
2019-01-07,Warangal (R),Atmakur,0.0,12.6,29.1,50.0,100.0,0.0,17.1
2019-01-08,Warangal (R),Atmakur,0.0,13.6,29.1,45.9,100.0,0.0,17.7
2019-01-09,Warangal (R),Atmakur,0.0,8.1,27.9,34.1,100.0,0.0,16.9
2019-01-10,Warangal (R),Atmakur,0.0,6.7,29.1,23.9,100.0,0.0,23.8
2019-01-11,Warangal (R),Atmakur,0.0,11.9,30.3,29.2,100.0,0.0,17.8
2019-01-12,Warangal (R),Atmakur,0.0,14.6,29.4,50.0,100.0,0.0,14.2
2019-01-13,Warangal (R),Atmakur,0.0,16.6,29.0,51.2,100.0,0.0,18.3
2019-01-14,Warangal (R),Atmakur,0.0,12.8,30.0,48.6,100.0,0.0,17.2
2019-01-15,Warangal (R),Atmakur,0.0,15.0,30.6,46.8,100.0,0.0,15.1
2019-01-16,Warangal (R),Atmakur,0.0,12.0,29.7,46.2,100.0,0.0,21.1
2019-01-17,Warangal (R),Atmakur,0.0,10.3,29.6,29.6,100.0,0.0,19.4
2019-01-18,Warangal (R),Atmakur,0.0,11.8,30.1,38.1,100.0,0.0,19.9
2019-01-19,Warangal (R),Atmakur,0.0,12.0,30.3,41.4,100.0,0.0,16.4
2019-01-20,Warangal (R),Atmakur,0.0,10.3,30.0,37.6,100.0,0.0,17.7
2019-01-21,Warangal (R),Atmakur,0.0,11.0,31.1,30.5,100.0,0.0,23.1
2019-01-22,Warangal (R),Atmakur,0.0,14.3,31.4,37.6,100.0,0.0,17.7
2019-01-23,Warangal (R),Atmakur,0.0,13.9,31.1,40.3,100.0,0.0,19.5
2019-01-24,Warangal (R),Atmakur,0.0,16.4,30.7,44.6,100.0,0.0,16.2
2019-01-25,Warangal (R),Atmakur,0.0,18.2,30.1,50.6,97.7,0.0,15.0
2019-01-26,Warangal (R),Atmakur,0.0,21.0,29.2,56.4,92.6,0.0,23.0
2019-01-27,Warangal (R),Atmakur,10.8,18.4,28.9,59.3,100.0,0.0,22.6
2019-01-28,Warangal (R),Atmakur,4.8,17.5,21.0,90.6,100.0,0.0,24.5
2019-01-29,Warangal (R),Atmakur,0.0,12.8,24.2,68.4,100.0,0.0,23.6
2019-01-30,Warangal (R),Atmakur,0.0,8.0,25.6,38.5,97.5,0.0,29.5
2019-01-31,Warangal (R),Atmakur,0.0,9.8,27.4,34.1,100.0,0.0,25.4
2019-02-01,Warangal (R),Atmakur,0.0,14.5,30.1,42.5,100.0,0.0,19.5
2019-02-02,Warangal (R),Atmakur,0.0,13.2,31.8,36.5,100.0,0.0,18.1
2019-02-03,Warangal (R),Atmakur,0.0,14.2,29.8,43.6,100.0,0.0,18.1
2019-02-04,Warangal (R),Atmakur,0.0,15.0,32.5,37.9,99.4,0.0,15.9
2019-02-05,Warangal (R),Atmakur,0.0,14.5,32.6,36.3,100.0,0.0,14.0
2019-02-06,Warangal (R),Atmakur,0.0,14.9,32.5,34.0,100.0,0.0,14.3
2019-02-07,Warangal (R),Atmakur,0.0,16.8,32.4,40.7,100.0,0.0,15.4
2019-02-08,Warangal (R),Atmakur,0.0,19.9,32.1,39.7,94.5,0.3,20.2
2019-02-09,Warangal (R),Atmakur,0.0,19.1,29.1,37.9,100.0,0.0,19.9
2019-02-10,Warangal (R),Atmakur,0.0,13.7,27.3,29.9,62.1,2.8,32.5
2019-02-11,Warangal (R),Atmakur,0.0,17.0,30.3,36.0,81.5,0.0,25.3
2019-02-12,Warangal (R),Atmakur,0.0,17.5,33.0,46.1,100.0,0.0,25.5
2019-02-13,Warangal (R),Atmakur,0.0,18.3,32.8,45.6,99.2,0.0,15.0
2019-02-14,Warangal (R),Atmakur,0.0,17.3,34.1,26.9,100.0,0.0,19.2
2019-02-15,Warangal (R),Atmakur,0.0,16.8,34.2,34.0,100.0,0.0,15.6
2019-02-16,Warangal (R),Atmakur,0.0,20.7,34.9,37.4,96.5,0.0,20.6
