Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Chennaraopeta,0.0,10.2,27.6,26.4,86.9,0.0,2.3
2019-01-02,Warangal (R),Chennaraopeta,0.0,10.1,29.3,18.5,90.4,0.0,2.2
2019-01-03,Warangal (R),Chennaraopeta,0.0,12.1,29.4,31.1,94.6,0.0,2.5
2019-01-04,Warangal (R),Chennaraopeta,0.0,12.9,30.1,34.7,93.2,0.0,1.2
2019-01-05,Warangal (R),Chennaraopeta,0.0,15.2,29.1,48.2,94.9,0.0,2.0
2019-01-06,Warangal (R),Chennaraopeta,0.0,16.2,29.1,40.4,97.6,0.0,1.4
2019-01-07,Warangal (R),Chennaraopeta,0.0,14.6,28.1,53.6,97.4,0.0,2.0
2019-01-08,Warangal (R),Chennaraopeta,0.0,14.6,29.0,48.6,86.4,0.0,1.6
2019-01-09,Warangal (R),Chennaraopeta,0.0,13.6,28.9,30.7,80.7,0.0,2.6
2019-01-10,Warangal (R),Chennaraopeta,0.0,11.7,29.6,21.1,87.2,0.0,2.1
2019-01-11,Warangal (R),Chennaraopeta,0.0,15.9,29.1,43.2,95.6,0.0,1.8
2019-01-12,Warangal (R),Chennaraopeta,0.0,16.9,28.6,51.8,93.4,0.0,3.0
2019-01-13,Warangal (R),Chennaraopeta,0.0,18.2,28.2,54.5,97.6,0.0,1.9
2019-01-14,Warangal (R),Chennaraopeta,0.0,15.4,29.0,48.9,97.2,0.0,2.7
2019-01-15,Warangal (R),Chennaraopeta,0.0,16.2,30.2,42.8,94.2,0.0,1.3
2019-01-16,Warangal (R),Chennaraopeta,0.0,14.0,29.8,41.3,95.4,0.0,2.1
2019-01-17,Warangal (R),Chennaraopeta,0.0,14.0,29.8,28.6,93.5,0.0,1.8
2019-01-18,Warangal (R),Chennaraopeta,0.0,15.9,28.9,49.0,95.6,0.0,1.4
2019-01-19,Warangal (R),Chennaraopeta,0.0,14.5,30.8,35.8,94.5,0.0,1.2
2019-01-20,Warangal (R),Chennaraopeta,0.0,14.2,30.1,44.3,98.6,0.0,1.6
2019-01-21,Warangal (R),Chennaraopeta,0.0,14.3,31.4,30.3,100.0,0.0,1.7
2019-01-22,Warangal (R),Chennaraopeta,0.0,16.8,30.7,45.0,100.0,0.0,1.2
2019-01-23,Warangal (R),Chennaraopeta,0.0,16.9,29.5,46.4,95.6,0.0,2.2
2019-01-24,Warangal (R),Chennaraopeta,0.0,18.5,29.8,46.8,94.9,0.0,2.8
2019-01-25,Warangal (R),Chennaraopeta,0.0,19.8,30.1,49.2,95.4,0.0,2.1
2019-01-26,Warangal (R),Chennaraopeta,0.0,20.5,28.3,60.5,93.8,0.1,3.6
2019-01-27,Warangal (R),Chennaraopeta,0.0,19.7,28.2,62.9,93.7,0.2,2.0
2019-01-28,Warangal (R),Chennaraopeta,8.7,18.8,23.4,85.5,94.7,0.3,3.2
2019-01-29,Warangal (R),Chennaraopeta,0.0,14.8,23.6,75.4,95.4,0.0,2.6
2019-01-30,Warangal (R),Chennaraopeta,0.0,9.6,26.0,37.6,95.1,0.0,0.3
2019-01-31,Warangal (R),Chennaraopeta,0.0,11.9,28.1,31.7,100.0,0.0,1.7
2019-02-01,Warangal (R),Chennaraopeta,0.0,16.2,28.4,44.2,100.0,0.0,2.4
2019-02-02,Warangal (R),Chennaraopeta,0.0,14.8,29.4,39.4,100.0,0.0,2.2
2019-02-03,Warangal (R),Chennaraopeta,0.0,15.4,30.4,39.1,100.0,0.0,2.4
2019-02-04,Warangal (R),Chennaraopeta,0.0,15.4,30.5,44.0,98.6,0.0,2.3
2019-02-05,Warangal (R),Chennaraopeta,0.0,15.5,31.5,36.6,99.3,0.0,1.2
2019-02-06,Warangal (R),Chennaraopeta,0.0,16.1,31.5,33.0,100.0,0.0,1.5
2019-02-07,Warangal (R),Chennaraopeta,0.0,18.8,30.2,44.4,98.0,0.0,2.1
2019-02-08,Warangal (R),Chennaraopeta,0.0,20.3,29.6,43.3,95.0,0.2,3.5
2019-02-09,Warangal (R),Chennaraopeta,0.0,19.9,28.9,48.3,99.2,0.0,2.4
2019-02-10,Warangal (R),Chennaraopeta,0.0,14.0,28.5,27.1,66.7,0.0,2.2
2019-02-11,Warangal (R),Chennaraopeta,0.0,18.3,31.5,35.4,92.2,0.0,1.8
2019-02-12,Warangal (R),Chennaraopeta,0.0,20.1,30.7,51.0,97.8,0.0,2.3
2019-02-13,Warangal (R),Chennaraopeta,0.0,19.0,31.1,51.2,99.2,0.0,2.0
2019-02-14,Warangal (R),Chennaraopeta,0.0,18.9,32.6,35.2,100.0,0.0,1.9
2019-02-15,Warangal (R),Chennaraopeta,0.0,18.8,32.5,32.3,97.1,0.0,1.9
2019-02-16,Warangal (R),Chennaraopeta,0.0,21.3,32.5,40.5,94.6,0.3,2.9
2019-02-17,Warangal (R),Chennaraopeta,0.0,22.2,32.2,48.6,95.1,0.1,2.7
2019-02-18,Warangal (R),Chennaraopeta,0.0,20.2,31.4,51.1,98.5,0.0,2.5
2019-02-19,Warangal (R),Chennaraopeta,0.0,20.0,33.3,41.3,94.5,0.0,2.0
2019-02-20,Warangal (R),Chennaraopeta,0.0,22.8,33.1,50.6,96.2,0.0,2.7
2019-02-21,Warangal (R),Chennaraopeta,0.0,20.8,32.3,49.0,99.4,0.0,3.0
2019-02-22,Warangal (R),Chennaraopeta,0.0,20.8,33.8,34.6,95.8,0.0,2.3
2019-02-23,Warangal (R),Chennaraopeta,0.0,19.7,37.3,25.5,84.8,0.0,1.9
2019-02-24,Warangal (R),Chennaraopeta,0.0,19.8,37.3,26.7,73.8,0.0,1.7
2019-02-25,Warangal (R),Chennaraopeta,0.0,20.0,36.8,27.8,93.1,0.4,2.8
