Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Damera,0.0,10.6,29.5,21.3,85.5,0.0,6.5
2019-01-02,Warangal (R),Damera,0.0,11.2,32.1,18.0,85.0,0.0,8.4
2019-01-03,Warangal (R),Damera,0.0,14.4,32.1,21.5,95.0,0.0,5.9
2019-01-04,Warangal (R),Damera,0.0,15.0,32.1,31.7,96.3,0.0,7.3
2019-01-05,Warangal (R),Damera,0.0,17.3,32.1,32.3,95.5,0.0,10.2
2019-01-06,Warangal (R),Damera,0.0,17.4,32.1,42.9,95.5,0.0,9.2
2019-01-07,Warangal (R),Damera,0.0,17.4,32.1,56.2,96.3,0.0,5.7
2019-01-08,Warangal (R),Damera,0.0,17.4,32.1,45.8,92.1,0.0,0.9
2019-01-09,Warangal (R),Damera,0.0,12.7,29.5,32.3,82.0,0.0,1.2
2019-01-10,Warangal (R),Damera,0.0,11.2,30.0,18.7,95.5,0.0,15.8
2019-01-11,Warangal (R),Damera,0.0,17.5,32.1,31.2,92.3,0.0,0.2
2019-01-12,Warangal (R),Damera,0.0,19.6,32.4,54.6,96.3,0.0,0.7
2019-01-13,Warangal (R),Damera,0.0,20.6,32.1,56.9,95.6,0.0,0.9
2019-01-14,Warangal (R),Damera,0.0,18.9,32.2,45.8,96.2,0.0,0.8
2019-01-15,Warangal (R),Damera,0.0,18.1,32.1,44.6,96.0,0.0,0.6
2019-01-16,Warangal (R),Damera,0.0,17.0,32.1,41.1,92.6,0.0,1.1
2019-01-17,Warangal (R),Damera,0.0,13.3,32.1,34.3,84.3,0.0,0.9
2019-01-18,Warangal (R),Damera,0.0,19.3,32.1,40.8,95.5,0.0,0.1
2019-01-19,Warangal (R),Damera,0.0,19.3,32.1,48.5,95.7,0.0,0.3
2019-01-20,Warangal (R),Damera,0.0,14.8,32.1,44.8,92.5,0.0,1.0
2019-01-21,Warangal (R),Damera,0.0,15.6,32.4,22.5,100.0,0.0,0.6
2019-01-22,Warangal (R),Damera,0.0,17.3,34.6,41.4,100.0,0.0,0.4
2019-01-23,Warangal (R),Damera,0.0,20.0,34.6,44.6,96.2,0.0,0.8
2019-01-24,Warangal (R),Damera,0.0,20.3,32.2,48.9,99.8,0.0,0.3
2019-01-25,Warangal (R),Damera,0.0,22.8,32.2,55.6,89.5,0.0,0.3
2019-01-26,Warangal (R),Damera,0.0,22.3,32.1,62.3,94.3,0.0,0.1
2019-01-27,Warangal (R),Damera,22.0,20.7,32.1,62.9,98.2,1.4,8.7
2019-01-28,Warangal (R),Damera,3.8,19.3,24.4,89.5,100.0,0.0,7.9
2019-01-29,Warangal (R),Damera,0.0,16.2,26.9,75.5,100.0,0.0,0.1
2019-01-30,Warangal (R),Damera,0.0,10.8,27.3,42.7,91.0,0.0,6.6
2019-01-31,Warangal (R),Damera,0.0,14.0,29.5,35.7,87.8,0.0,5.9
2019-02-01,Warangal (R),Damera,0.0,19.4,32.1,48.5,100.0,0.0,6.4
2019-02-02,Warangal (R),Damera,0.0,17.2,32.1,37.0,100.0,0.0,5.4
2019-02-03,Warangal (R),Damera,0.0,19.3,32.1,45.8,100.0,0.0,5.9
2019-02-04,Warangal (R),Damera,0.0,20.4,34.6,46.3,95.6,0.0,5.2
2019-02-05,Warangal (R),Damera,0.0,17.2,34.6,32.7,96.6,0.0,6.5
2019-02-06,Warangal (R),Damera,0.0,19.6,34.6,41.2,95.5,0.0,7.5
2019-02-07,Warangal (R),Damera,0.0,19.6,34.6,44.7,97.7,0.0,6.7
2019-02-08,Warangal (R),Damera,0.0,21.9,34.6,45.1,94.5,1.7,9.2
2019-02-09,Warangal (R),Damera,0.0,20.1,30.7,69.9,97.8,0.0,7.0
2019-02-10,Warangal (R),Damera,0.0,14.9,29.5,30.3,62.2,0.0,9.8
2019-02-11,Warangal (R),Damera,0.0,20.1,32.1,39.1,77.5,0.0,5.5
2019-02-12,Warangal (R),Damera,0.0,21.4,34.6,54.8,96.2,0.0,8.5
2019-02-13,Warangal (R),Damera,0.0,21.5,34.6,51.9,94.5,0.0,7.2
2019-02-14,Warangal (R),Damera,0.0,20.4,34.8,39.4,98.0,0.0,6.5
2019-02-15,Warangal (R),Damera,0.0,21.2,34.8,38.9,90.6,0.9,5.9
2019-02-16,Warangal (R),Damera,0.0,22.0,34.6,40.6,97.8,0.0,10.4
2019-02-17,Warangal (R),Damera,0.0,22.8,34.9,53.4,96.1,0.0,7.1
2019-02-18,Warangal (R),Damera,0.0,20.9,34.8,55.1,96.5,0.0,5.1
2019-02-19,Warangal (R),Damera,0.0,23.3,35.5,34.6,94.9,0.0,5.8
2019-02-20,Warangal (R),Damera,0.0,23.3,35.4,55.4,95.2,0.9,7.2
2019-02-21,Warangal (R),Damera,0.0,24.4,35.7,50.8,96.3,0.0,8.9
2019-02-22,Warangal (R),Damera,0.0,21.8,34.7,37.6,86.4,0.0,0.1
2019-02-23,Warangal (R),Damera,0.0,24.2,37.4,35.4,75.3,0.0,6.3
2019-02-24,Warangal (R),Damera,0.0,21.1,37.4,34.2,68.9,0.0,4.0
2019-02-25,Warangal (R),Damera,0.0,24.4,39.1,22.0,70.4,0.0,8.2
