Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Duggondi,0.0,8.1,27.7,24.0,97.6,0.0,7.1
2019-01-02,Warangal (R),Duggondi,0.0,7.8,30.1,18.9,97.6,0.0,10.8
2019-01-03,Warangal (R),Duggondi,0.0,9.9,31.4,27.5,97.6,0.0,5.1
2019-01-04,Warangal (R),Duggondi,0.0,10.7,31.8,30.7,97.6,0.0,7.8
2019-01-05,Warangal (R),Duggondi,0.0,12.7,31.9,30.7,97.6,0.0,5.6
2019-01-06,Warangal (R),Duggondi,0.0,12.3,31.5,36.3,97.6,0.0,8.0
2019-01-07,Warangal (R),Duggondi,0.0,14.3,29.9,47.6,100.0,0.0,7.2
2019-01-08,Warangal (R),Duggondi,0.0,13.4,29.5,42.8,100.0,0.0,7.5
2019-01-09,Warangal (R),Duggondi,0.0,8.6,30.7,25.8,100.0,0.0,9.8
2019-01-10,Warangal (R),Duggondi,0.0,8.7,31.6,20.1,100.0,0.0,7.1
2019-01-11,Warangal (R),Duggondi,0.0,13.8,30.4,25.6,100.0,0.0,5.0
2019-01-12,Warangal (R),Duggondi,0.0,17.3,30.3,43.9,100.0,0.0,7.7
2019-01-13,Warangal (R),Duggondi,0.0,17.6,29.4,48.1,100.0,0.0,6.9
2019-01-14,Warangal (R),Duggondi,0.0,16.1,30.4,41.2,100.0,0.0,7.7
2019-01-15,Warangal (R),Duggondi,0.0,14.9,32.0,40.5,100.0,0.0,9.6
2019-01-16,Warangal (R),Duggondi,0.0,12.2,30.9,38.0,100.0,0.0,13.0
2019-01-17,Warangal (R),Duggondi,0.0,11.8,32.0,23.3,100.0,0.0,6.5
2019-01-18,Warangal (R),Duggondi,0.0,14.2,30.8,33.8,100.0,0.0,5.5
2019-01-19,Warangal (R),Duggondi,0.0,13.7,30.7,36.6,100.0,0.0,8.7
2019-01-20,Warangal (R),Duggondi,0.0,11.8,31.1,34.3,100.0,0.0,6.7
2019-01-21,Warangal (R),Duggondi,0.0,13.9,31.4,21.5,100.0,0.0,7.6
2019-01-22,Warangal (R),Duggondi,0.0,15.9,32.6,36.1,100.0,0.0,7.7
2019-01-23,Warangal (R),Duggondi,0.0,16.7,30.9,38.5,100.0,0.0,8.6
2019-01-24,Warangal (R),Duggondi,0.0,17.2,31.3,40.1,100.0,0.0,8.3
2019-01-25,Warangal (R),Duggondi,0.0,19.5,31.0,42.5,94.9,0.0,10.5
2019-01-26,Warangal (R),Duggondi,0.0,21.4,29.1,52.3,87.0,1.8,11.1
2019-01-27,Warangal (R),Duggondi,12.0,19.0,28.4,55.9,100.0,0.0,10.1
2019-01-28,Warangal (R),Duggondi,4.8,17.9,22.3,89.1,100.0,0.0,6.0
2019-01-29,Warangal (R),Duggondi,0.0,12.9,26.8,63.1,100.0,0.0,10.8
2019-01-30,Warangal (R),Duggondi,0.0,8.5,26.6,29.8,100.0,0.0,11.3
2019-01-31,Warangal (R),Duggondi,0.0,11.0,29.3,31.2,100.0,0.0,9.7
2019-02-01,Warangal (R),Duggondi,0.0,16.0,30.1,38.1,100.0,0.0,9.0
2019-02-02,Warangal (R),Duggondi,0.0,15.5,31.4,34.6,100.0,0.0,6.8
2019-02-03,Warangal (R),Duggondi,0.0,16.7,31.8,37.1,100.0,0.0,7.4
2019-02-04,Warangal (R),Duggondi,0.0,15.1,33.4,34.4,99.9,0.0,6.0
2019-02-05,Warangal (R),Duggondi,0.0,15.1,32.4,31.7,100.0,0.0,8.9
2019-02-06,Warangal (R),Duggondi,0.0,16.9,34.1,27.6,100.0,0.0,9.7
2019-02-07,Warangal (R),Duggondi,0.0,18.7,32.1,39.2,100.0,0.0,7.0
2019-02-08,Warangal (R),Duggondi,0.0,20.5,31.3,37.8,92.9,0.0,12.2
2019-02-09,Warangal (R),Duggondi,0.0,18.0,29.4,41.7,100.0,0.0,9.0
2019-02-10,Warangal (R),Duggondi,0.0,14.3,30.0,22.6,60.4,0.0,14.1
2019-02-11,Warangal (R),Duggondi,0.0,18.2,31.2,34.7,87.9,0.0,8.5
2019-02-12,Warangal (R),Duggondi,0.0,18.9,32.6,46.5,100.0,0.0,8.1
2019-02-13,Warangal (R),Duggondi,0.0,19.1,33.2,45.8,99.6,0.0,6.3
2019-02-14,Warangal (R),Duggondi,0.0,18.1,34.7,28.6,100.0,0.0,6.7
2019-02-15,Warangal (R),Duggondi,0.0,18.3,35.5,26.0,100.0,0.0,8.3
2019-02-16,Warangal (R),Duggondi,0.0,21.2,33.7,35.8,93.7,0.0,9.5
2019-02-17,Warangal (R),Duggondi,0.0,22.1,33.6,43.0,97.8,0.0,11.0
2019-02-18,Warangal (R),Duggondi,0.0,19.6,33.9,41.6,100.0,0.0,8.3
2019-02-19,Warangal (R),Duggondi,0.0,19.9,33.6,36.3,100.0,0.0,7.5
2019-02-20,Warangal (R),Duggondi,0.0,22.5,35.4,40.3,100.0,0.0,7.5
2019-02-21,Warangal (R),Duggondi,0.0,21.2,34.7,41.3,100.0,0.0,10.3
2019-02-22,Warangal (R),Duggondi,0.0,20.3,35.7,30.9,95.6,0.0,5.6
2019-02-23,Warangal (R),Duggondi,0.0,19.8,37.8,24.3,84.6,0.0,6.5
2019-02-24,Warangal (R),Duggondi,0.0,19.3,37.4,23.0,71.5,0.0,7.1
2019-02-25,Warangal (R),Duggondi,0.0,19.8,38.1,22.1,74.5,0.0,12.5
2019-02-26,Warangal (R),Duggondi,0.0,20.9,36.5,26.0,98.6,0.0,9.0
2019-02-27,Warangal (R),Duggondi,0.0,21.8,35.1,37.6,100.0,0.0,9.3
2019-02-28,Warangal (R),Duggondi,0.0,21.5,33.9,42.9,100.0,0.0,11.4
2019-03-01,Warangal (R),Duggondi,0.0,18.7,34.5,31.0,100.0,0.0,7.5
2019-03-02,Warangal (R),Duggondi,0.0,22.7,35.4,36.7,100.0,0.0,9.6
2019-03-03,Warangal (R),Duggondi,0.0,22.6,32.7,48.2,99.9,0.0,12.1
2019-03-04,Warangal (R),Duggondi,0.0,22.6,33.9,43.4,96.2,0.0,9.8
2019-03-05,Warangal (R),Duggondi,0.0,23.7,36.3,38.7,89.5,0.0,13.3
2019-03-06,Warangal (R),Duggondi,0.0,18.0,35.0,33.3,91.1,0.0,9.6
2019-03-07,Warangal (R),Duggondi,0.0,16.3,36.2,19.8,93.7,0.0,8.7
2019-03-08,Warangal (R),Duggondi,0.0,20.1,36.8,26.1,84.6,0.0,7.9
2019-03-09,Warangal (R),Duggondi,0.0,21.2,36.6,32.5,94.4,0.0,7.0
2019-03-10,Warangal (R),Duggondi,0.0,23.6,36.4,36.6,92.0,0.0,11.5
2019-03-11,Warangal (R),Duggondi,0.0,23.7,36.6,39.2,90.3,0.0,9.9
2019-03-12,Warangal (R),Duggondi,0.0,23.5,36.7,34.6,84.8,0.0,13.3
2019-03-13,Warangal (R),Duggondi,0.0,22.5,37.4,29.6,96.6,1.8,8.1
2019-03-14,Warangal (R),Duggondi,0.0,21.3,37.4,21.3,80.1,2.1,10.0
2019-03-15,Warangal (R),Duggondi,0.0,22.3,37.9,18.8,63.3,1.1,13.9
2019-03-16,Warangal (R),Duggondi,0.0,21.2,37.9,17.3,81.8,0.5,11.2
2019-03-17,Warangal (R),Duggondi,0.0,22.0,36.7,24.5,94.5,2.8,11.5
2019-03-18,Warangal (R),Duggondi,0.0,20.7,36.6,30.8,87.2,0.0,12.5
2019-03-19,Warangal (R),Duggondi,0.0,21.8,34.1,31.7,78.7,2.5,11.8
2019-03-20,Warangal (R),Duggondi,0.0,24.4,36.3,37.0,80.8,1.9,13.9
2019-03-21,Warangal (R),Duggondi,0.0,23.5,35.0,39.0,82.1,0.0,13.0
2019-03-22,Warangal (R),Duggondi,0.0,21.6,35.6,27.6,92.6,2.5,14.5
2019-03-23,Warangal (R),Duggondi,0.0,22.0,35.8,45.1,93.3,0.0,7.9
2019-03-24,Warangal (R),Duggondi,0.0,22.2,37.3,33.8,88.5,0.0,8.3
2019-03-25,Warangal (R),Duggondi,0.0,21.9,38.2,31.2,95.0,0.0,7.4
2019-03-26,Warangal (R),Duggondi,0.0,22.7,38.1,32.0,94.1,0.0,10.1
2019-03-27,Warangal (R),Duggondi,0.0,22.9,36.7,35.6,93.4,0.0,7.6
2019-03-28,Warangal (R),Duggondi,0.0,22.9,38.0,30.0,93.2,0.0,8.1
2019-03-29,Warangal (R),Duggondi,0.0,23.3,38.4,28.8,92.7,0.0,7.1
2019-03-30,Warangal (R),Duggondi,0.0,23.4,39.3,25.2,95.4,0.0,7.4
