Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Geesugonda,0.0,8.2,30.4,25.4,97.6,0.0,0.1
2019-01-02,Warangal (R),Geesugonda,0.0,11.2,31.4,18.6,96.7,0.0,1.4
2019-01-03,Warangal (R),Geesugonda,0.0,11.1,32.9,26.8,97.6,0.0,4.9
2019-01-04,Warangal (R),Geesugonda,0.0,11.5,32.9,31.6,97.6,0.0,2.6
2019-01-05,Warangal (R),Geesugonda,0.0,18.5,32.9,26.8,96.2,0.0,5.1
2019-01-06,Warangal (R),Geesugonda,0.0,18.3,33.0,37.8,96.2,0.0,3.4
2019-01-07,Warangal (R),Geesugonda,0.0,18.8,30.4,45.5,96.2,0.0,6.5
2019-01-08,Warangal (R),Geesugonda,0.0,18.2,32.9,49.2,96.2,0.0,3.9
2019-01-09,Warangal (R),Geesugonda,0.0,13.6,30.8,42.2,92.3,0.0,3.7
2019-01-10,Warangal (R),Geesugonda,0.0,12.0,32.9,13.2,96.2,0.0,6.0
2019-01-11,Warangal (R),Geesugonda,0.0,14.2,32.9,20.2,97.6,0.0,6.4
2019-01-12,Warangal (R),Geesugonda,0.0,17.3,32.9,41.2,97.6,0.0,7.1
2019-01-13,Warangal (R),Geesugonda,0.0,19.5,30.4,48.3,96.2,0.0,7.0
2019-01-14,Warangal (R),Geesugonda,0.0,14.9,32.9,39.7,97.6,0.0,9.0
2019-01-15,Warangal (R),Geesugonda,0.0,16.1,32.9,38.5,97.6,0.0,4.4
2019-01-16,Warangal (R),Geesugonda,0.0,13.5,32.9,45.0,97.6,0.0,5.9
2019-01-17,Warangal (R),Geesugonda,0.0,11.2,32.9,34.5,97.6,0.0,4.3
2019-01-18,Warangal (R),Geesugonda,0.0,13.3,31.0,49.5,100.0,0.0,3.4
2019-01-19,Warangal (R),Geesugonda,0.0,13.5,32.2,30.1,100.0,0.0,4.8
2019-01-20,Warangal (R),Geesugonda,0.0,12.9,31.6,32.2,100.0,0.0,5.4
2019-01-21,Warangal (R),Geesugonda,0.0,12.6,32.6,20.5,100.0,0.0,1.7
2019-01-22,Warangal (R),Geesugonda,0.0,15.6,31.1,40.3,100.0,0.0,3.4
2019-01-23,Warangal (R),Geesugonda,0.0,16.2,30.9,39.1,100.0,0.0,9.5
2019-01-24,Warangal (R),Geesugonda,0.0,18.4,31.0,54.0,100.0,0.0,7.8
2019-01-25,Warangal (R),Geesugonda,0.0,19.5,31.5,50.2,100.0,0.0,6.7
2019-01-26,Warangal (R),Geesugonda,0.0,22.3,29.2,62.2,95.9,0.0,8.9
2019-01-27,Warangal (R),Geesugonda,29.0,19.6,28.5,64.0,100.0,0.0,7.1
2019-01-28,Warangal (R),Geesugonda,4.5,19.5,23.3,99.3,100.0,0.0,6.0
2019-01-29,Warangal (R),Geesugonda,0.0,13.4,26.1,89.3,100.0,0.0,2.6
2019-01-30,Warangal (R),Geesugonda,0.0,12.5,27.2,33.1,97.4,0.0,4.4
2019-01-31,Warangal (R),Geesugonda,0.0,12.8,29.0,27.8,100.0,0.0,0.9
2019-02-01,Warangal (R),Geesugonda,0.0,16.2,28.9,40.1,100.0,0.0,5.1
2019-02-02,Warangal (R),Geesugonda,0.0,14.6,31.4,34.0,100.0,0.0,5.6
2019-02-03,Warangal (R),Geesugonda,0.0,16.4,31.1,39.1,100.0,0.0,2.9
2019-02-04,Warangal (R),Geesugonda,0.0,16.1,33.4,37.1,100.0,0.0,5.2
2019-02-05,Warangal (R),Geesugonda,0.0,15.5,33.2,31.3,100.0,0.0,7.7
2019-02-06,Warangal (R),Geesugonda,0.0,17.0,33.8,38.1,100.0,0.0,2.3
2019-02-07,Warangal (R),Geesugonda,0.0,19.8,31.8,40.1,100.0,0.0,8.1
2019-02-08,Warangal (R),Geesugonda,0.0,21.7,31.5,44.1,100.0,0.0,9.2
2019-02-09,Warangal (R),Geesugonda,0.0,19.5,30.5,65.0,100.0,0.0,3.7
2019-02-10,Warangal (R),Geesugonda,0.0,15.3,29.1,29.0,60.8,0.0,3.7
2019-02-11,Warangal (R),Geesugonda,0.0,17.3,32.6,33.4,92.4,0.0,0.6
2019-02-12,Warangal (R),Geesugonda,0.0,19.1,31.2,50.2,100.0,0.0,6.3
2019-02-13,Warangal (R),Geesugonda,0.0,20.2,32.1,49.2,100.0,0.0,6.3
2019-02-14,Warangal (R),Geesugonda,0.0,19.9,34.4,34.3,100.0,0.0,5.1
2019-02-15,Warangal (R),Geesugonda,0.0,18.4,32.6,39.7,100.0,0.0,5.3
2019-02-16,Warangal (R),Geesugonda,0.0,22.4,33.4,35.9,100.0,0.0,9.0
2019-02-17,Warangal (R),Geesugonda,0.0,22.5,35.0,43.8,99.7,0.0,6.6
2019-02-18,Warangal (R),Geesugonda,0.0,19.3,34.2,56.7,100.0,0.0,2.4
2019-02-19,Warangal (R),Geesugonda,0.0,20.3,34.7,35.1,100.0,0.0,4.9
2019-02-20,Warangal (R),Geesugonda,0.0,22.8,34.0,55.9,100.0,0.0,10.5
2019-02-21,Warangal (R),Geesugonda,0.0,21.3,33.3,49.2,100.0,0.0,7.8
2019-02-22,Warangal (R),Geesugonda,0.0,21.9,34.5,40.1,100.0,0.0,5.2
2019-02-23,Warangal (R),Geesugonda,0.0,20.4,37.8,29.2,94.8,0.0,2.2
2019-02-24,Warangal (R),Geesugonda,0.0,16.8,36.5,26.4,80.4,0.0,0.3
2019-02-25,Warangal (R),Geesugonda,0.0,17.4,36.5,23.1,83.7,0.0,6.9
2019-02-26,Warangal (R),Geesugonda,0.0,19.7,36.1,21.3,100.0,0.0,4.6
2019-02-27,Warangal (R),Geesugonda,0.0,20.8,33.5,50.1,100.0,0.0,7.2
2019-02-28,Warangal (R),Geesugonda,4.8,20.1,32.4,51.1,100.0,0.0,3.4
2019-03-01,Warangal (R),Geesugonda,0.0,19.3,31.8,38.1,100.0,0.0,7.1
2019-03-02,Warangal (R),Geesugonda,0.0,22.4,34.2,53.6,100.0,0.0,9.0
2019-03-03,Warangal (R),Geesugonda,0.0,22.6,32.1,47.0,99.7,0.0,9.0
2019-03-04,Warangal (R),Geesugonda,0.0,20.6,33.4,52.5,100.0,0.0,4.6
2019-03-05,Warangal (R),Geesugonda,0.0,22.7,35.6,49.1,99.2,0.0,7.5
2019-03-06,Warangal (R),Geesugonda,0.0,16.5,33.8,33.4,100.0,0.0,6.0
2019-03-07,Warangal (R),Geesugonda,0.0,14.6,34.1,18.9,85.8,0.0,4.7
2019-03-08,Warangal (R),Geesugonda,0.0,19.5,34.4,24.9,100.0,0.0,5.3
2019-03-09,Warangal (R),Geesugonda,0.0,20.5,36.6,22.5,100.0,0.0,5.0
2019-03-10,Warangal (R),Geesugonda,0.0,21.2,34.4,42.8,100.0,0.0,10.7
2019-03-11,Warangal (R),Geesugonda,0.0,22.5,36.3,30.1,100.0,0.0,7.7
2019-03-12,Warangal (R),Geesugonda,0.0,22.6,35.9,37.7,95.0,0.0,10.1
2019-03-13,Warangal (R),Geesugonda,0.0,21.2,35.9,32.8,100.0,0.0,6.5
2019-03-14,Warangal (R),Geesugonda,0.0,19.7,36.2,20.1,85.9,0.0,8.7
2019-03-15,Warangal (R),Geesugonda,0.0,21.8,37.2,16.1,71.1,0.0,7.8
2019-03-16,Warangal (R),Geesugonda,0.0,18.9,37.3,16.7,74.0,0.2,9.3
2019-03-17,Warangal (R),Geesugonda,0.0,21.0,35.9,25.6,100.0,0.0,1.1
2019-03-18,Warangal (R),Geesugonda,0.0,19.9,34.4,25.5,100.0,0.0,8.5
2019-03-19,Warangal (R),Geesugonda,0.0,22.4,33.6,39.6,92.2,0.0,11.0
2019-03-20,Warangal (R),Geesugonda,0.0,23.0,35.8,34.3,94.6,0.0,8.2
2019-03-21,Warangal (R),Geesugonda,0.0,22.7,33.6,40.8,96.7,0.0,12.1
