Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Khanapur,0.0,9.3,26.8,30.1,90.6,0.0,2.3
2019-01-02,Warangal (R),Khanapur,0.0,9.2,28.4,22.2,94.1,0.0,2.2
2019-01-03,Warangal (R),Khanapur,0.0,11.2,28.6,34.8,98.3,0.0,2.5
2019-01-04,Warangal (R),Khanapur,0.0,12.0,29.2,38.4,96.9,0.0,1.2
2019-01-05,Warangal (R),Khanapur,0.0,14.3,28.3,51.9,98.6,0.0,2.0
2019-01-06,Warangal (R),Khanapur,0.0,15.4,28.3,44.1,98.4,0.0,1.4
2019-01-07,Warangal (R),Khanapur,0.0,14.4,27.3,57.3,99.5,0.0,2.0
2019-01-08,Warangal (R),Khanapur,0.0,14.8,28.2,52.3,90.1,0.0,1.6
2019-01-09,Warangal (R),Khanapur,0.0,12.8,28.1,34.4,84.4,0.0,2.6
2019-01-10,Warangal (R),Khanapur,0.0,10.8,28.7,24.8,90.9,0.0,2.1
2019-01-11,Warangal (R),Khanapur,0.0,15.1,28.2,46.9,99.3,0.0,1.8
2019-01-12,Warangal (R),Khanapur,0.0,16.7,27.8,55.5,97.1,0.0,3.0
2019-01-13,Warangal (R),Khanapur,0.0,17.4,27.4,58.2,98.4,0.0,1.9
2019-01-14,Warangal (R),Khanapur,0.0,15.6,28.2,52.6,98.6,0.0,2.7
2019-01-15,Warangal (R),Khanapur,0.0,15.8,29.3,46.5,97.9,0.0,1.3
2019-01-16,Warangal (R),Khanapur,0.0,13.2,28.9,45.0,99.1,0.0,2.1
2019-01-17,Warangal (R),Khanapur,0.0,14.3,29.2,32.3,97.2,0.0,1.8
2019-01-18,Warangal (R),Khanapur,0.0,15.7,27.9,52.7,98.4,0.0,1.4
2019-01-19,Warangal (R),Khanapur,0.0,13.8,30.3,32.2,98.6,0.0,1.2
2019-01-20,Warangal (R),Khanapur,0.0,14.7,29.2,47.1,98.6,0.0,1.6
2019-01-21,Warangal (R),Khanapur,0.0,13.6,30.9,30.4,100.0,0.0,1.7
2019-01-22,Warangal (R),Khanapur,0.0,16.8,29.7,48.9,100.0,0.0,1.2
2019-01-23,Warangal (R),Khanapur,0.0,16.4,28.8,49.9,98.2,0.0,2.2
2019-01-24,Warangal (R),Khanapur,0.0,18.5,28.9,50.4,94.9,0.0,2.8
2019-01-25,Warangal (R),Khanapur,0.0,19.5,29.4,53.2,96.9,0.0,2.1
2019-01-26,Warangal (R),Khanapur,0.0,20.5,28.5,61.2,93.9,0.1,3.6
2019-01-27,Warangal (R),Khanapur,2.8,19.7,28.3,63.9,95.0,0.2,2.0
2019-01-28,Warangal (R),Khanapur,9.5,18.8,23.7,85.5,100.0,0.3,3.2
2019-01-29,Warangal (R),Khanapur,0.0,14.8,23.3,74.9,99.9,0.0,2.6
2019-01-30,Warangal (R),Khanapur,0.0,11.2,25.7,38.6,88.1,0.1,2.8
2019-01-31,Warangal (R),Khanapur,0.0,13.4,27.8,38.0,99.1,0.0,2.0
2019-02-01,Warangal (R),Khanapur,0.0,16.6,28.6,45.3,99.0,0.0,2.4
2019-02-02,Warangal (R),Khanapur,0.0,15.3,30.1,42.1,99.1,0.0,2.2
2019-02-03,Warangal (R),Khanapur,0.0,16.0,30.1,36.8,99.3,0.0,2.1
2019-02-04,Warangal (R),Khanapur,0.0,15.5,30.3,45.4,98.7,0.0,1.6
2019-02-05,Warangal (R),Khanapur,0.0,17.3,30.6,39.6,98.9,0.0,2.0
2019-02-06,Warangal (R),Khanapur,0.0,17.0,31.1,38.2,98.4,0.0,1.8
2019-02-07,Warangal (R),Khanapur,0.0,18.7,30.0,48.9,94.5,0.0,2.5
2019-02-08,Warangal (R),Khanapur,0.0,20.0,29.8,46.7,95.8,0.0,2.6
2019-02-09,Warangal (R),Khanapur,0.0,20.3,28.6,46.9,96.9,0.0,2.3
2019-02-10,Warangal (R),Khanapur,0.0,14.4,28.3,30.8,71.4,0.3,3.3
2019-02-11,Warangal (R),Khanapur,0.0,18.0,31.3,38.1,94.6,0.0,1.4
2019-02-12,Warangal (R),Khanapur,0.0,20.4,30.9,53.5,95.2,0.0,3.1
2019-02-13,Warangal (R),Khanapur,0.0,20.2,31.1,53.6,94.7,0.0,1.7
2019-02-14,Warangal (R),Khanapur,0.0,19.8,32.5,43.0,95.3,0.3,2.0
2019-02-15,Warangal (R),Khanapur,0.0,19.7,32.8,27.4,94.7,0.1,2.5
2019-02-16,Warangal (R),Khanapur,0.0,21.0,31.9,44.9,95.4,0.0,3.1
2019-02-17,Warangal (R),Khanapur,0.0,22.1,32.3,50.5,90.6,0.2,2.2
2019-02-18,Warangal (R),Khanapur,0.0,21.0,32.7,46.6,98.1,0.0,1.3
2019-02-19,Warangal (R),Khanapur,0.0,20.9,33.1,40.7,95.6,0.1,2.4
2019-02-20,Warangal (R),Khanapur,0.0,23.1,33.2,49.6,92.8,0.0,2.6
2019-02-21,Warangal (R),Khanapur,0.0,21.9,32.4,49.2,95.7,0.0,2.4
2019-02-22,Warangal (R),Khanapur,0.0,19.6,33.6,39.6,96.1,0.0,2.6
2019-02-23,Warangal (R),Khanapur,0.0,21.5,36.3,32.8,78.5,0.0,1.4
2019-02-24,Warangal (R),Khanapur,0.0,21.3,36.9,29.3,63.5,0.1,1.6
2019-02-25,Warangal (R),Khanapur,0.0,21.5,35.7,29.1,93.2,0.4,2.4
2019-02-26,Warangal (R),Khanapur,0.0,21.1,35.7,27.6,96.1,0.0,3.1
2019-02-27,Warangal (R),Khanapur,0.0,21.3,33.4,42.8,94.3,0.0,2.4
2019-02-28,Warangal (R),Khanapur,4.5,21.0,32.1,49.8,96.9,0.1,2.5
2019-03-01,Warangal (R),Khanapur,0.0,20.2,32.4,44.4,98.9,0.0,1.3
2019-03-02,Warangal (R),Khanapur,0.0,22.2,33.7,45.8,91.3,0.1,2.5
2019-03-03,Warangal (R),Khanapur,0.0,21.7,32.5,51.2,93.8,0.5,3.4
2019-03-04,Warangal (R),Khanapur,0.0,22.1,32.5,52.9,90.6,0.3,3.6
2019-03-05,Warangal (R),Khanapur,0.0,23.6,33.4,50.6,90.5,0.2,3.4
2019-03-06,Warangal (R),Khanapur,0.0,20.1,34.9,36.3,94.8,0.0,1.7
2019-03-07,Warangal (R),Khanapur,0.0,17.7,35.2,23.3,84.6,0.0,2.1
2019-03-08,Warangal (R),Khanapur,0.0,23.0,35.5,32.0,98.0,0.0,2.0
2019-03-09,Warangal (R),Khanapur,0.0,23.6,35.4,35.9,93.9,0.3,2.4
2019-03-10,Warangal (R),Khanapur,0.0,23.2,34.9,42.2,92.5,0.0,3.0
2019-03-11,Warangal (R),Khanapur,0.0,22.9,35.1,43.2,96.1,0.0,3.2
2019-03-12,Warangal (R),Khanapur,0.0,23.7,35.4,41.0,90.9,0.0,3.5
2019-03-13,Warangal (R),Khanapur,0.0,23.0,35.7,33.4,94.7,0.1,2.5
2019-03-14,Warangal (R),Khanapur,0.0,21.4,35.9,27.4,76.6,0.0,3.1
2019-03-15,Warangal (R),Khanapur,0.0,24.8,36.9,25.6,76.8,0.0,2.2
2019-03-16,Warangal (R),Khanapur,0.0,22.0,37.5,25.2,93.9,0.0,3.2
2019-03-17,Warangal (R),Khanapur,0.0,21.6,35.8,30.2,97.1,0.0,3.2
2019-03-18,Warangal (R),Khanapur,0.0,21.2,35.4,36.1,91.5,0.3,3.1
2019-03-19,Warangal (R),Khanapur,0.0,22.0,33.3,36.3,87.0,0.2,3.5
2019-03-20,Warangal (R),Khanapur,0.0,24.4,34.7,44.5,90.8,0.0,4.1
2019-03-21,Warangal (R),Khanapur,0.0,21.4,34.4,43.7,87.2,0.0,3.6
2019-03-22,Warangal (R),Khanapur,0.0,22.6,35.1,34.1,93.4,0.5,3.2
2019-03-23,Warangal (R),Khanapur,0.0,23.5,35.6,42.5,90.1,0.5,2.7
2019-03-24,Warangal (R),Khanapur,0.0,25.1,37.9,36.8,82.9,0.0,2.4
2019-03-25,Warangal (R),Khanapur,0.0,23.6,38.0,36.0,93.5,0.0,2.7
2019-03-26,Warangal (R),Khanapur,0.0,23.8,37.8,35.5,93.0,0.0,2.5
2019-03-27,Warangal (R),Khanapur,0.0,24.4,36.7,34.1,91.9,0.5,3.0
2019-03-28,Warangal (R),Khanapur,0.0,24.3,37.8,27.7,89.5,0.0,2.3
2019-03-29,Warangal (R),Khanapur,0.0,24.6,38.2,26.5,89.1,0.0,2.2
2019-03-30,Warangal (R),Khanapur,0.0,24.7,38.1,26.3,90.5,0.2,2.6
2019-03-31,Warangal (R),Khanapur,0.0,24.8,37.7,32.3,93.7,0.1,2.6
2019-04-01,Warangal (R),Khanapur,0.0,26.5,39.5,23.5,86.5,0.0,2.5
2019-04-02,Warangal (R),Khanapur,0.0,24.8,37.9,31.2,92.7,0.6,3.3
2019-04-03,Warangal (R),Khanapur,0.0,24.9,38.0,26.8,89.7,0.0,4.1
2019-04-04,Warangal (R),Khanapur,0.0,24.4,37.0,37.3,92.0,0.4,2.9
2019-04-05,Warangal (R),Khanapur,0.0,25.0,36.5,38.6,85.1,0.4,4.3
2019-04-06,Warangal (R),Khanapur,0.0,25.5,37.8,27.7,91.6,0.0,1.9
2019-04-07,Warangal (R),Khanapur,0.0,23.4,39.4,26.0,72.8,0.1,2.9
2019-04-08,Warangal (R),Khanapur,0.0,25.6,38.5,28.7,89.4,0.6,3.4
2019-04-09,Warangal (R),Khanapur,0.0,26.1,37.5,32.7,88.9,0.3,3.9
2019-04-10,Warangal (R),Khanapur,0.0,26.5,37.7,39.7,89.1,0.0,3.7
2019-04-11,Warangal (R),Khanapur,0.0,25.0,38.8,30.2,89.7,0.1,3.2
2019-04-12,Warangal (R),Khanapur,0.0,26.7,40.9,20.5,79.8,0.0,2.5
2019-04-13,Warangal (R),Khanapur,0.0,23.7,39.4,25.5,76.9,0.0,2.6
2019-04-14,Warangal (R),Khanapur,0.0,25.9,39.3,23.1,90.0,0.5,2.5
2019-04-15,Warangal (R),Khanapur,0.0,25.4,40.2,25.6,92.4,0.4,2.4
2019-04-16,Warangal (R),Khanapur,0.0,24.0,39.7,20.9,64.5,0.0,2.5
2019-04-17,Warangal (R),Khanapur,0.0,23.9,39.3,17.3,91.4,0.1,1.8
2019-04-18,Warangal (R),Khanapur,0.0,26.1,38.0,29.6,89.8,0.4,2.7
2019-04-19,Warangal (R),Khanapur,0.0,26.7,37.9,36.3,90.0,0.2,3.2
2019-04-20,Warangal (R),Khanapur,0.5,25.2,38.3,32.2,87.8,0.0,3.3
2019-04-21,Warangal (R),Khanapur,1.8,26.1,38.0,36.1,91.2,0.6,3.5
2019-04-22,Warangal (R),Khanapur,4.3,27.4,37.9,35.3,77.6,0.0,2.2
2019-04-23,Warangal (R),Khanapur,5.8,24.1,37.6,27.1,83.3,0.1,4.0
2019-04-24,Warangal (R),Khanapur,2.3,24.1,38.2,26.6,81.8,0.2,2.4
2019-04-25,Warangal (R),Khanapur,0.0,25.5,38.8,27.9,92.6,0.4,2.5
2019-04-26,Warangal (R),Khanapur,0.0,27.0,40.2,21.1,84.1,0.2,3.2
2019-04-27,Warangal (R),Khanapur,0.0,27.1,40.1,26.1,85.0,0.3,2.5
2019-04-28,Warangal (R),Khanapur,0.0,26.7,41.8,22.6,86.0,0.0,3.2
2019-04-29,Warangal (R),Khanapur,0.0,27.0,40.0,24.7,87.1,0.8,3.1
2019-04-30,Warangal (R),Khanapur,0.0,27.2,40.4,29.5,84.7,0.7,3.3
2019-05-01,Warangal (R),Khanapur,0.0,27.9,41.5,19.1,75.4,0.1,2.8
2019-05-02,Warangal (R),Khanapur,0.0,27.5,40.5,30.6,64.8,0.0,3.1
2019-05-03,Warangal (R),Khanapur,0.0,27.3,40.1,21.1,63.8,0.0,3.8
2019-05-04,Warangal (R),Khanapur,0.0,27.7,38.8,18.0,49.4,0.0,2.3
2019-05-05,Warangal (R),Khanapur,0.0,29.5,41.5,15.3,37.4,0.0,3.1
2019-05-06,Warangal (R),Khanapur,0.0,27.4,42.7,12.4,49.4,0.0,3.5
2019-05-07,Warangal (R),Khanapur,0.0,27.5,42.1,13.3,81.5,0.0,3.8
2019-05-08,Warangal (R),Khanapur,0.0,28.6,42.6,16.7,81.0,0.2,2.5
2019-05-09,Warangal (R),Khanapur,0.0,28.3,41.8,21.9,61.5,0.0,3.5
2019-05-10,Warangal (R),Khanapur,0.0,29.7,42.6,13.6,73.8,0.0,3.4
2019-05-11,Warangal (R),Khanapur,0.0,30.2,42.8,24.4,68.7,0.3,4.0
2019-05-12,Warangal (R),Khanapur,8.0,27.0,40.9,32.9,77.2,0.0,3.2
2019-05-13,Warangal (R),Khanapur,0.0,27.4,37.7,32.1,91.4,0.0,1.9
2019-05-14,Warangal (R),Khanapur,0.0,27.9,40.0,31.8,77.6,0.0,2.1
2019-05-15,Warangal (R),Khanapur,1.8,27.9,40.2,31.5,88.7,0.0,2.4
2019-05-16,Warangal (R),Khanapur,0.0,27.8,39.7,38.9,81.0,0.0,3.8
2019-05-17,Warangal (R),Khanapur,0.0,27.9,40.7,30.2,86.2,0.0,3.4
2019-05-18,Warangal (R),Khanapur,0.0,28.6,40.3,32.5,84.5,0.3,4.2
2019-05-19,Warangal (R),Khanapur,0.0,28.5,42.0,23.0,81.1,0.0,2.7
2019-05-20,Warangal (R),Khanapur,2.5,28.5,42.8,24.7,81.9,0.2,3.5
2019-05-21,Warangal (R),Khanapur,0.0,27.6,40.7,25.1,84.9,0.2,2.7
2019-05-22,Warangal (R),Khanapur,0.0,27.8,40.7,29.9,85.0,0.0,3.0
2019-05-23,Warangal (R),Khanapur,0.0,28.1,41.0,29.9,81.4,0.4,3.1
2019-05-24,Warangal (R),Khanapur,0.0,27.9,39.2,35.2,84.9,1.1,3.1
