Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Nallabelly,0.0,10.2,28.0,27.7,79.7,0.0,2.0
2019-01-02,Warangal (R),Nallabelly,0.0,10.1,29.3,21.8,87.5,0.0,11.7
2019-01-03,Warangal (R),Nallabelly,0.0,12.7,30.8,34.3,88.8,0.0,5.2
2019-01-04,Warangal (R),Nallabelly,0.0,12.7,30.3,38.9,88.8,0.0,5.1
2019-01-05,Warangal (R),Nallabelly,0.0,15.3,31.7,31.4,89.3,0.0,5.7
2019-01-06,Warangal (R),Nallabelly,0.0,15.3,30.1,40.1,89.5,0.0,4.1
2019-01-07,Warangal (R),Nallabelly,0.0,15.3,29.1,52.9,89.5,0.0,6.0
2019-01-08,Warangal (R),Nallabelly,0.0,14.4,29.6,50.3,89.5,0.0,8.0
2019-01-09,Warangal (R),Nallabelly,0.0,10.4,30.0,31.1,84.7,0.0,9.3
2019-01-10,Warangal (R),Nallabelly,0.0,10.2,31.6,19.0,87.7,0.0,7.7
2019-01-11,Warangal (R),Nallabelly,0.0,14.9,30.6,26.6,87.6,0.0,4.9
2019-01-12,Warangal (R),Nallabelly,0.0,17.2,29.9,48.2,89.1,0.0,7.1
2019-01-13,Warangal (R),Nallabelly,0.0,19.4,29.7,53.3,88.1,0.0,5.3
2019-01-14,Warangal (R),Nallabelly,0.0,16.7,31.0,48.7,88.6,0.0,7.3
2019-01-15,Warangal (R),Nallabelly,0.0,16.9,31.4,48.2,89.3,0.0,5.1
2019-01-16,Warangal (R),Nallabelly,0.0,14.7,31.2,43.6,96.0,0.0,2.0
2019-01-17,Warangal (R),Nallabelly,0.0,12.9,31.3,26.6,88.6,0.0,0.1
2019-01-18,Warangal (R),Nallabelly,0.0,15.1,30.0,44.4,98.4,0.0,0.9
2019-01-19,Warangal (R),Nallabelly,0.0,14.5,30.6,39.2,100.0,0.0,4.9
2019-01-20,Warangal (R),Nallabelly,0.0,13.0,31.0,39.0,95.8,0.0,6.7
2019-01-21,Warangal (R),Nallabelly,0.0,14.6,31.5,27.4,99.1,0.0,5.7
2019-01-22,Warangal (R),Nallabelly,0.0,16.6,31.4,41.0,100.0,0.0,2.0
2019-01-23,Warangal (R),Nallabelly,0.0,16.8,29.9,45.2,100.0,0.0,9.5
2019-01-24,Warangal (R),Nallabelly,0.0,17.8,30.1,44.7,100.0,0.0,11.0
2019-01-25,Warangal (R),Nallabelly,0.0,19.7,30.5,48.3,95.6,0.0,8.4
2019-01-26,Warangal (R),Nallabelly,0.0,21.4,28.4,58.5,91.5,0.0,16.0
2019-01-27,Warangal (R),Nallabelly,23.0,19.2,28.1,61.6,97.6,0.0,8.8
2019-01-28,Warangal (R),Nallabelly,5.8,18.1,22.2,89.5,97.6,0.0,1.5
2019-01-29,Warangal (R),Nallabelly,0.0,13.8,25.6,68.6,97.5,0.0,0.3
2019-01-30,Warangal (R),Nallabelly,0.0,10.1,26.4,33.5,97.8,0.0,0.2
2019-01-31,Warangal (R),Nallabelly,0.0,11.9,28.8,34.6,97.0,0.0,0.3
2019-02-01,Warangal (R),Nallabelly,0.0,16.4,29.6,43.9,97.3,0.0,4.6
2019-02-02,Warangal (R),Nallabelly,0.0,15.6,31.2,36.3,97.3,0.0,4.5
2019-02-03,Warangal (R),Nallabelly,0.0,16.7,31.2,40.2,97.2,0.0,8.4
2019-02-04,Warangal (R),Nallabelly,0.0,15.9,32.9,38.2,97.3,0.0,7.4
2019-02-05,Warangal (R),Nallabelly,0.0,16.1,32.7,35.0,97.2,0.0,6.8
2019-02-06,Warangal (R),Nallabelly,0.0,17.6,33.0,34.7,97.0,0.0,5.9
2019-02-07,Warangal (R),Nallabelly,0.0,18.8,31.5,43.4,95.0,0.0,2.2
2019-02-08,Warangal (R),Nallabelly,0.0,20.8,31.6,41.0,88.5,0.0,15.3
2019-02-09,Warangal (R),Nallabelly,0.0,18.7,29.4,45.1,96.3,0.0,12.6
2019-02-10,Warangal (R),Nallabelly,0.0,12.1,29.6,25.8,64.0,0.0,4.5
2019-02-11,Warangal (R),Nallabelly,0.0,16.2,33.0,35.0,80.1,0.0,7.7
2019-02-12,Warangal (R),Nallabelly,0.0,20.2,33.3,48.6,90.2,0.0,12.2
2019-02-13,Warangal (R),Nallabelly,0.0,19.4,33.8,44.4,92.1,0.0,3.9
2019-02-14,Warangal (R),Nallabelly,0.0,19.4,35.5,22.4,91.7,0.0,11.3
2019-02-15,Warangal (R),Nallabelly,0.0,19.2,35.0,28.8,95.1,0.0,6.4
2019-02-16,Warangal (R),Nallabelly,0.0,21.3,34.3,38.3,90.3,0.0,15.3
2019-02-17,Warangal (R),Nallabelly,0.0,22.1,33.6,47.7,93.3,0.0,11.9
2019-02-18,Warangal (R),Nallabelly,0.0,20.0,33.9,46.3,96.0,0.0,2.2
2019-02-19,Warangal (R),Nallabelly,0.0,19.8,34.8,38.1,93.8,0.0,9.8
2019-02-20,Warangal (R),Nallabelly,0.0,23.0,35.3,45.5,94.3,0.0,12.5
2019-02-21,Warangal (R),Nallabelly,0.0,21.5,34.9,44.0,95.4,0.0,9.4
2019-02-22,Warangal (R),Nallabelly,0.0,21.2,36.1,33.4,90.3,0.0,4.9
2019-02-23,Warangal (R),Nallabelly,0.0,20.6,38.0,27.9,77.1,0.0,9.0
2019-02-24,Warangal (R),Nallabelly,0.0,19.6,36.9,25.8,64.4,0.0,3.8
2019-02-25,Warangal (R),Nallabelly,0.0,19.1,36.8,24.6,74.0,0.0,14.9
2019-02-26,Warangal (R),Nallabelly,0.0,19.9,36.1,26.1,93.4,0.0,11.9
2019-02-27,Warangal (R),Nallabelly,0.0,21.1,33.9,42.1,94.5,0.0,13.9
2019-02-28,Warangal (R),Nallabelly,0.0,20.7,32.3,48.5,96.2,0.0,2.6
2019-03-01,Warangal (R),Nallabelly,0.0,17.8,33.4,33.1,95.0,0.0,0.2
2019-03-02,Warangal (R),Nallabelly,0.0,22.0,34.7,39.1,94.1,0.0,11.2
2019-03-03,Warangal (R),Nallabelly,0.0,21.7,34.6,46.1,94.7,0.6,7.7
2019-03-04,Warangal (R),Nallabelly,0.0,21.8,33.3,46.6,91.7,0.0,6.0
2019-03-05,Warangal (R),Nallabelly,0.0,22.9,35.2,42.7,86.6,0.0,15.5
2019-03-06,Warangal (R),Nallabelly,0.0,17.4,34.7,34.3,90.1,0.0,6.4
2019-03-07,Warangal (R),Nallabelly,0.0,16.2,35.5,21.8,90.1,0.0,4.9
2019-03-08,Warangal (R),Nallabelly,0.0,19.6,36.2,27.3,81.5,0.0,10.9
2019-03-09,Warangal (R),Nallabelly,0.0,21.1,36.0,29.3,91.1,0.0,10.3
2019-03-10,Warangal (R),Nallabelly,0.0,22.7,35.8,39.5,88.6,0.0,13.9
2019-03-11,Warangal (R),Nallabelly,0.0,22.6,35.7,42.3,87.4,0.0,13.2
2019-03-12,Warangal (R),Nallabelly,0.0,22.9,36.3,35.5,82.1,0.0,8.9
2019-03-13,Warangal (R),Nallabelly,0.0,21.7,36.4,33.1,91.1,0.1,8.4
2019-03-14,Warangal (R),Nallabelly,0.0,20.8,36.6,24.4,77.6,5.2,5.3
2019-03-15,Warangal (R),Nallabelly,0.0,21.9,37.2,20.8,62.3,0.0,6.5
2019-03-16,Warangal (R),Nallabelly,0.0,20.6,37.7,14.4,97.2,0.0,6.6
2019-03-17,Warangal (R),Nallabelly,0.0,21.4,37.9,25.5,99.9,0.0,13.1
2019-03-18,Warangal (R),Nallabelly,0.0,21.4,38.0,31.0,92.7,0.0,14.4
2019-03-19,Warangal (R),Nallabelly,0.0,21.4,34.2,31.2,89.5,0.0,14.8
2019-03-20,Warangal (R),Nallabelly,0.0,23.9,37.9,41.8,92.7,0.0,13.2
2019-03-21,Warangal (R),Nallabelly,0.0,23.9,35.3,41.7,89.8,0.0,15.4
2019-03-22,Warangal (R),Nallabelly,0.0,21.6,35.3,26.1,96.5,0.0,18.8
2019-03-23,Warangal (R),Nallabelly,0.0,22.1,37.7,39.9,97.2,0.0,11.7
2019-03-24,Warangal (R),Nallabelly,0.0,23.9,39.6,31.2,90.1,0.0,1.0
2019-03-25,Warangal (R),Nallabelly,0.0,23.9,39.9,26.2,96.9,0.0,2.4
2019-03-26,Warangal (R),Nallabelly,0.0,23.9,38.3,31.2,93.2,0.0,13.9
2019-03-27,Warangal (R),Nallabelly,0.0,23.9,38.8,26.5,91.7,0.0,12.8
2019-03-28,Warangal (R),Nallabelly,0.0,23.9,39.5,25.3,90.1,0.0,11.1
2019-03-29,Warangal (R),Nallabelly,0.0,23.9,39.4,23.3,90.1,0.0,7.1
2019-03-30,Warangal (R),Nallabelly,0.0,23.9,39.8,23.4,92.0,0.0,12.9
2019-03-31,Warangal (R),Nallabelly,0.0,23.9,39.4,31.2,99.9,0.0,9.5
2019-04-01,Warangal (R),Nallabelly,0.0,25.0,41.7,23.3,90.8,0.0,11.5
2019-04-02,Warangal (R),Nallabelly,0.0,23.9,39.9,26.8,97.0,0.0,14.5
2019-04-03,Warangal (R),Nallabelly,0.0,23.9,39.5,23.2,92.0,0.0,16.4
2019-04-04,Warangal (R),Nallabelly,0.0,23.9,37.8,31.6,93.2,0.0,14.7
