Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Narsampet,0.0,11.9,30.7,24.8,90.0,0.0,4.5
2019-01-02,Warangal (R),Narsampet,0.0,12.4,32.1,22.7,95.2,0.0,6.3
2019-01-03,Warangal (R),Narsampet,0.0,14.7,32.5,29.5,99.9,0.0,8.5
2019-01-04,Warangal (R),Narsampet,0.0,14.0,33.0,33.1,99.9,0.0,4.7
2019-01-05,Warangal (R),Narsampet,0.0,19.3,32.4,46.6,99.9,0.0,9.5
2019-01-06,Warangal (R),Narsampet,0.0,14.9,30.1,39.4,100.0,0.0,9.9
2019-01-07,Warangal (R),Narsampet,0.0,14.0,27.6,58.5,100.0,0.0,11.2
2019-01-08,Warangal (R),Narsampet,0.0,15.6,29.2,48.8,100.0,0.0,8.4
2019-01-09,Warangal (R),Narsampet,0.0,11.2,28.5,30.6,94.6,0.0,3.6
2019-01-10,Warangal (R),Narsampet,0.0,11.3,30.0,22.2,95.2,0.0,1.3
2019-01-11,Warangal (R),Narsampet,0.0,15.0,30.5,27.3,100.0,0.0,6.2
2019-01-12,Warangal (R),Narsampet,0.0,16.7,28.4,53.8,100.0,0.0,9.6
2019-01-13,Warangal (R),Narsampet,0.0,17.6,27.5,60.0,100.0,0.0,11.0
2019-01-14,Warangal (R),Narsampet,0.0,15.5,28.4,50.6,100.0,0.0,13.0
2019-01-15,Warangal (R),Narsampet,0.0,16.3,31.1,46.3,100.0,0.0,7.5
2019-01-16,Warangal (R),Narsampet,0.0,14.2,30.2,41.8,100.0,0.0,5.0
2019-01-17,Warangal (R),Narsampet,0.0,13.6,30.7,25.0,100.0,0.0,4.8
2019-01-18,Warangal (R),Narsampet,0.0,15.4,30.4,45.3,100.0,0.0,6.5
2019-01-19,Warangal (R),Narsampet,0.0,15.2,31.5,34.4,100.0,0.0,7.3
2019-01-20,Warangal (R),Narsampet,0.0,14.1,31.4,38.5,100.0,0.0,8.0
2019-01-21,Warangal (R),Narsampet,0.0,14.6,32.3,25.9,100.0,0.0,5.6
2019-01-22,Warangal (R),Narsampet,0.0,16.4,30.3,46.5,100.0,0.8,9.3
2019-01-23,Warangal (R),Narsampet,0.0,16.5,28.9,47.6,100.0,1.5,12.5
2019-01-24,Warangal (R),Narsampet,0.0,18.1,30.6,43.9,100.0,0.0,12.6
2019-01-25,Warangal (R),Narsampet,0.0,19.2,29.8,50.6,100.0,0.0,14.3
2019-01-26,Warangal (R),Narsampet,0.0,21.2,27.6,65.2,99.0,0.0,15.4
2019-01-27,Warangal (R),Narsampet,14.0,18.8,27.4,69.1,100.0,0.0,12.7
2019-01-28,Warangal (R),Narsampet,14.5,17.9,22.5,96.0,100.0,0.0,7.0
2019-01-29,Warangal (R),Narsampet,0.0,14.3,24.5,78.2,100.0,0.0,6.4
2019-01-30,Warangal (R),Narsampet,0.0,11.5,25.8,34.1,95.6,0.0,8.7
2019-01-31,Warangal (R),Narsampet,0.0,12.3,28.8,32.7,100.0,0.0,5.4
2019-02-01,Warangal (R),Narsampet,0.0,16.4,28.5,45.3,100.0,0.0,10.4
2019-02-02,Warangal (R),Narsampet,0.0,15.8,31.1,33.7,100.0,0.0,10.8
2019-02-03,Warangal (R),Narsampet,0.0,16.6,31.1,41.2,100.0,0.0,7.7
2019-02-04,Warangal (R),Narsampet,0.0,16.5,32.1,38.5,100.0,0.0,8.4
2019-02-05,Warangal (R),Narsampet,0.0,16.7,33.3,32.6,100.0,0.0,3.8
2019-02-06,Warangal (R),Narsampet,0.0,17.7,33.0,34.4,100.0,0.0,7.7
2019-02-07,Warangal (R),Narsampet,0.0,18.4,30.4,44.1,100.0,0.0,11.2
2019-02-08,Warangal (R),Narsampet,0.0,19.9,29.7,43.5,100.0,0.0,15.2
2019-02-09,Warangal (R),Narsampet,0.0,20.4,29.2,41.9,100.0,0.0,7.1
2019-02-10,Warangal (R),Narsampet,0.0,14.5,27.8,24.7,58.8,0.0,8.6
2019-02-11,Warangal (R),Narsampet,0.0,19.0,32.0,33.4,95.8,0.0,7.9
2019-02-12,Warangal (R),Narsampet,0.0,19.9,32.0,46.8,100.0,0.0,10.2
2019-02-13,Warangal (R),Narsampet,0.0,19.5,33.3,46.0,100.0,0.0,8.5
2019-02-14,Warangal (R),Narsampet,0.0,18.4,35.2,29.7,100.0,0.0,6.1
2019-02-15,Warangal (R),Narsampet,0.0,18.6,33.8,29.0,100.0,0.0,12.2
2019-02-16,Warangal (R),Narsampet,0.0,21.0,32.7,41.5,100.0,0.0,14.1
2019-02-17,Warangal (R),Narsampet,0.0,21.8,33.7,48.4,100.0,0.0,13.3
2019-02-18,Warangal (R),Narsampet,0.0,20.7,34.9,41.8,100.0,0.0,10.4
2019-02-19,Warangal (R),Narsampet,0.0,21.1,35.1,37.1,99.8,0.0,10.5
2019-02-20,Warangal (R),Narsampet,0.0,23.0,34.4,55.9,90.7,7.3,9.3
2019-02-21,Warangal (R),Narsampet,0.0,21.0,33.7,45.2,100.0,0.0,10.2
2019-02-22,Warangal (R),Narsampet,0.0,20.4,35.1,31.2,100.0,0.0,10.9
2019-02-23,Warangal (R),Narsampet,0.0,20.5,37.7,24.5,87.7,0.0,6.4
2019-02-24,Warangal (R),Narsampet,0.0,20.4,38.8,21.5,69.0,0.0,7.3
2019-02-25,Warangal (R),Narsampet,0.0,19.8,37.0,24.3,92.6,3.9,15.7
2019-02-26,Warangal (R),Narsampet,0.0,20.7,36.4,18.6,100.0,0.0,14.7
2019-02-27,Warangal (R),Narsampet,0.0,21.9,34.3,40.0,100.0,0.0,11.0
2019-02-28,Warangal (R),Narsampet,0.0,21.5,32.7,49.2,100.0,0.0,13.5
2019-03-01,Warangal (R),Narsampet,0.0,20.2,33.1,38.5,100.0,0.0,7.1
2019-03-02,Warangal (R),Narsampet,0.0,22.7,33.8,44.2,100.0,0.0,15.3
2019-03-03,Warangal (R),Narsampet,0.0,22.1,32.8,49.8,100.0,0.0,13.3
2019-03-04,Warangal (R),Narsampet,0.0,22.6,32.8,51.6,100.0,3.4,14.0
2019-03-05,Warangal (R),Narsampet,0.0,23.6,35.3,44.2,98.2,2.1,15.8
2019-03-06,Warangal (R),Narsampet,0.0,20.8,36.0,30.0,100.0,0.0,7.9
2019-03-07,Warangal (R),Narsampet,0.0,19.2,36.1,17.2,93.9,0.0,7.2
2019-03-08,Warangal (R),Narsampet,0.0,22.5,37.3,20.0,99.3,0.0,5.7
2019-03-09,Warangal (R),Narsampet,0.0,22.0,37.9,28.6,99.3,0.0,9.0
2019-03-10,Warangal (R),Narsampet,0.0,23.7,36.4,38.6,97.7,2.6,13.1
2019-03-11,Warangal (R),Narsampet,0.0,23.5,36.3,39.8,97.2,3.0,15.2
2019-03-12,Warangal (R),Narsampet,0.0,23.3,36.5,35.6,95.5,0.0,16.4
2019-03-13,Warangal (R),Narsampet,0.0,22.4,36.9,31.4,100.0,2.2,14.5
2019-03-14,Warangal (R),Narsampet,0.0,21.7,36.7,22.9,88.2,3.1,14.1
2019-03-15,Warangal (R),Narsampet,0.0,22.8,38.0,17.2,68.6,0.0,13.8
2019-03-16,Warangal (R),Narsampet,0.0,21.3,37.7,15.1,95.8,0.0,14.2
2019-03-17,Warangal (R),Narsampet,0.0,21.4,36.0,24.3,100.0,0.0,15.0
2019-03-18,Warangal (R),Narsampet,0.0,20.7,36.4,28.6,92.6,0.0,15.2
2019-03-19,Warangal (R),Narsampet,0.0,22.1,33.0,37.3,83.1,5.3,15.7
2019-03-20,Warangal (R),Narsampet,0.0,23.9,36.4,39.8,96.9,3.6,15.2
2019-03-21,Warangal (R),Narsampet,0.0,23.3,37.4,47.2,91.9,0.0,17.1
2019-03-22,Warangal (R),Narsampet,0.0,21.8,37.4,30.9,96.9,4.6,19.9
2019-03-23,Warangal (R),Narsampet,0.0,23.9,36.8,46.2,97.9,0.0,18.4
2019-03-24,Warangal (R),Narsampet,0.0,23.9,38.3,31.4,90.2,0.0,10.2
2019-03-25,Warangal (R),Narsampet,0.0,23.8,38.3,31.4,96.9,0.0,8.4
2019-03-26,Warangal (R),Narsampet,0.0,23.9,38.3,33.8,96.9,0.0,14.2
2019-03-27,Warangal (R),Narsampet,0.0,23.9,37.4,34.3,97.0,1.7,12.3
2019-03-28,Warangal (R),Narsampet,0.0,23.9,38.3,31.2,96.9,2.5,14.2
2019-03-29,Warangal (R),Narsampet,0.0,23.9,39.9,28.1,96.9,0.0,11.9
2019-03-30,Warangal (R),Narsampet,0.0,23.9,41.1,25.6,96.9,0.0,10.6
2019-03-31,Warangal (R),Narsampet,0.0,24.4,38.3,31.4,97.6,0.0,14.3
2019-04-01,Warangal (R),Narsampet,0.0,25.9,40.9,21.2,97.3,0.0,11.3
2019-04-02,Warangal (R),Narsampet,0.0,23.9,39.9,31.9,98.3,5.2,15.7
2019-04-03,Warangal (R),Narsampet,0.0,23.9,39.8,23.2,90.8,0.0,16.5
2019-04-04,Warangal (R),Narsampet,0.0,23.9,37.4,36.2,96.9,0.9,17.4
2019-04-05,Warangal (R),Narsampet,0.0,23.9,36.8,37.1,85.6,2.3,16.7
2019-04-06,Warangal (R),Narsampet,0.0,25.1,38.3,25.7,93.7,0.0,12.7
2019-04-07,Warangal (R),Narsampet,0.0,23.1,42.2,23.5,84.3,0.0,17.1
2019-04-08,Warangal (R),Narsampet,0.0,25.0,41.7,30.9,91.1,3.3,15.1
2019-04-09,Warangal (R),Narsampet,0.0,25.7,38.3,32.0,91.5,3.7,20.1
2019-04-10,Warangal (R),Narsampet,0.0,26.5,39.5,40.2,87.2,3.4,15.5
2019-04-11,Warangal (R),Narsampet,0.0,25.9,39.9,26.4,90.4,2.3,15.3
2019-04-12,Warangal (R),Narsampet,0.0,26.5,41.1,19.9,78.8,0.0,11.4
2019-04-13,Warangal (R),Narsampet,0.0,23.9,41.8,23.6,73.3,0.0,15.5
2019-04-14,Warangal (R),Narsampet,0.0,24.6,39.4,19.8,85.1,0.5,13.7
2019-04-15,Warangal (R),Narsampet,0.0,24.9,41.9,25.8,90.2,2.1,14.3
2019-04-16,Warangal (R),Narsampet,0.0,24.5,42.3,21.9,75.9,0.0,11.4
2019-04-17,Warangal (R),Narsampet,0.0,24.9,39.5,18.5,83.7,0.0,12.1
2019-04-18,Warangal (R),Narsampet,0.0,25.8,39.3,31.0,87.2,0.0,16.4
2019-04-19,Warangal (R),Narsampet,0.0,27.5,37.8,37.2,91.6,0.0,15.0
2019-04-20,Warangal (R),Narsampet,0.0,24.8,39.5,34.6,91.4,0.8,22.7
2019-04-21,Warangal (R),Narsampet,0.0,24.9,38.8,38.3,97.6,1.6,22.0
2019-04-22,Warangal (R),Narsampet,0.0,27.5,39.3,30.1,73.5,0.0,15.9
2019-04-23,Warangal (R),Narsampet,0.0,23.0,37.8,24.2,82.5,0.0,14.6
2019-04-24,Warangal (R),Narsampet,0.0,24.5,41.6,25.5,75.8,2.2,11.5
2019-04-25,Warangal (R),Narsampet,0.0,27.5,39.3,25.6,83.7,1.9,12.3
2019-04-26,Warangal (R),Narsampet,0.0,27.5,42.3,24.7,79.2,0.0,15.2
2019-04-27,Warangal (R),Narsampet,0.0,27.5,41.9,24.7,77.7,2.3,14.5
2019-04-28,Warangal (R),Narsampet,0.0,27.5,44.4,23.6,81.2,2.8,15.4
2019-04-29,Warangal (R),Narsampet,0.0,27.2,42.1,24.4,85.8,6.4,15.2
2019-04-30,Warangal (R),Narsampet,0.0,27.4,44.8,24.0,85.6,2.5,14.9
2019-05-01,Warangal (R),Narsampet,0.0,28.5,41.9,31.3,74.2,1.0,14.9
2019-05-02,Warangal (R),Narsampet,0.0,27.5,41.9,31.4,68.2,0.0,15.8
2019-05-03,Warangal (R),Narsampet,0.0,27.1,41.7,17.8,65.9,0.0,7.5
2019-05-04,Warangal (R),Narsampet,0.0,23.6,39.3,17.8,57.0,0.0,12.1
2019-05-05,Warangal (R),Narsampet,0.0,27.5,44.9,14.3,46.1,0.0,10.9
2019-05-06,Warangal (R),Narsampet,0.0,27.5,44.2,12.0,51.4,0.0,9.6
2019-05-07,Warangal (R),Narsampet,0.0,30.1,44.7,14.3,77.0,0.0,11.4
2019-05-08,Warangal (R),Narsampet,0.0,27.9,44.7,17.0,80.9,0.0,14.1
2019-05-09,Warangal (R),Narsampet,0.0,27.6,42.0,17.9,65.1,0.0,7.7
2019-05-10,Warangal (R),Narsampet,0.0,27.4,44.4,14.0,70.4,0.0,11.0
2019-05-11,Warangal (R),Narsampet,0.0,30.1,41.9,23.0,70.9,0.1,14.5
2019-05-12,Warangal (R),Narsampet,0.0,27.5,42.2,31.5,65.4,0.0,15.0
2019-05-13,Warangal (R),Narsampet,0.0,28.0,39.2,32.9,85.2,0.3,14.0
2019-05-14,Warangal (R),Narsampet,0.0,27.5,43.6,26.2,78.3,2.2,14.4
2019-05-15,Warangal (R),Narsampet,0.0,28.4,41.9,31.4,84.3,0.0,16.8
2019-05-16,Warangal (R),Narsampet,0.0,26.8,39.3,40.2,77.8,2.1,15.0
2019-05-17,Warangal (R),Narsampet,0.0,27.6,41.9,23.8,82.0,0.0,15.1
2019-05-18,Warangal (R),Narsampet,0.0,27.3,42.4,31.7,77.1,1.4,12.1
2019-05-19,Warangal (R),Narsampet,0.0,30.1,43.9,20.3,78.0,0.0,12.8
2019-05-20,Warangal (R),Narsampet,0.0,28.2,44.3,31.7,83.8,0.3,14.6
2019-05-21,Warangal (R),Narsampet,0.0,27.0,42.6,24.4,84.3,2.8,13.9
2019-05-22,Warangal (R),Narsampet,0.0,28.5,41.5,31.6,80.4,8.1,15.4
2019-05-23,Warangal (R),Narsampet,0.0,28.2,43.3,19.2,71.6,1.8,14.5
2019-05-24,Warangal (R),Narsampet,0.0,28.3,40.8,25.5,74.1,6.8,19.6
2019-05-25,Warangal (R),Narsampet,0.0,29.1,43.4,23.4,71.6,1.0,18.4
2019-05-26,Warangal (R),Narsampet,0.0,29.9,44.4,19.2,69.2,1.5,15.3
2019-05-27,Warangal (R),Narsampet,0.0,29.9,45.1,16.1,75.1,0.0,15.6
2019-05-28,Warangal (R),Narsampet,0.0,30.1,45.9,14.4,77.7,1.5,17.8
2019-05-29,Warangal (R),Narsampet,0.0,30.1,44.4,23.9,79.2,3.4,19.9
2019-05-30,Warangal (R),Narsampet,0.0,27.5,41.9,35.1,64.4,1.9,20.3
