Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Nekkonda,0.0,7.7,29.2,26.5,87.1,0.0,7.1
2019-01-02,Warangal (R),Nekkonda,0.0,8.6,30.1,20.6,87.0,0.0,6.9
2019-01-03,Warangal (R),Nekkonda,0.0,10.2,30.3,32.7,86.6,0.0,5.8
2019-01-04,Warangal (R),Nekkonda,0.0,10.6,30.9,32.7,86.8,0.0,5.9
2019-01-05,Warangal (R),Nekkonda,0.0,13.6,30.9,38.6,86.3,0.0,7.0
2019-01-06,Warangal (R),Nekkonda,0.0,13.2,30.4,37.6,86.4,0.0,9.1
2019-01-07,Warangal (R),Nekkonda,0.0,12.8,28.8,49.8,86.5,0.0,6.8
2019-01-08,Warangal (R),Nekkonda,0.0,14.7,30.0,41.2,86.3,0.0,6.7
2019-01-09,Warangal (R),Nekkonda,0.0,9.4,29.1,33.0,87.0,0.0,8.0
2019-01-10,Warangal (R),Nekkonda,0.0,10.1,30.3,24.0,86.7,0.0,6.4
2019-01-11,Warangal (R),Nekkonda,0.0,14.2,30.4,34.7,86.2,0.0,6.5
2019-01-12,Warangal (R),Nekkonda,0.0,16.4,29.1,47.5,86.1,0.0,5.7
2019-01-13,Warangal (R),Nekkonda,0.0,17.7,29.2,49.3,86.0,0.0,8.6
2019-01-14,Warangal (R),Nekkonda,0.0,14.2,29.8,42.9,86.2,0.0,10.3
2019-01-15,Warangal (R),Nekkonda,0.0,15.5,31.6,40.4,86.0,0.0,5.1
2019-01-16,Warangal (R),Nekkonda,0.0,13.2,30.6,37.3,86.3,0.0,9.1
2019-01-17,Warangal (R),Nekkonda,0.0,12.7,30.6,29.4,86.5,0.0,8.3
2019-01-18,Warangal (R),Nekkonda,0.0,14.1,30.3,41.0,86.3,0.0,5.0
2019-01-19,Warangal (R),Nekkonda,0.0,13.5,32.0,35.8,86.6,0.0,5.2
2019-01-20,Warangal (R),Nekkonda,0.0,12.9,31.4,33.8,86.3,0.0,6.0
2019-01-21,Warangal (R),Nekkonda,0.0,12.7,31.9,26.5,86.4,0.0,8.3
2019-01-22,Warangal (R),Nekkonda,0.0,15.5,31.1,36.1,85.9,0.0,5.1
2019-01-23,Warangal (R),Nekkonda,0.0,16.3,30.3,40.2,85.7,0.0,10.2
2019-01-24,Warangal (R),Nekkonda,0.0,17.6,30.3,43.7,85.6,0.0,8.3
2019-01-25,Warangal (R),Nekkonda,0.0,19.7,30.3,47.6,85.5,0.0,11.6
2019-01-26,Warangal (R),Nekkonda,0.0,21.3,29.3,51.0,85.5,0.0,12.0
2019-01-27,Warangal (R),Nekkonda,0.0,19.9,29.0,57.0,85.6,0.0,9.2
2019-01-28,Warangal (R),Nekkonda,10.8,18.8,24.0,67.8,85.6,0.0,10.3
2019-01-29,Warangal (R),Nekkonda,0.0,14.3,24.5,65.0,86.1,0.0,9.6
2019-01-30,Warangal (R),Nekkonda,0.0,9.4,26.3,33.6,87.5,0.0,11.5
2019-01-31,Warangal (R),Nekkonda,0.0,11.6,28.5,30.9,86.4,0.0,9.1
2019-02-01,Warangal (R),Nekkonda,0.0,15.6,29.8,40.7,86.0,0.0,6.8
2019-02-02,Warangal (R),Nekkonda,0.0,14.4,30.9,34.8,86.0,0.0,7.8
2019-02-03,Warangal (R),Nekkonda,0.0,15.3,31.2,39.2,86.0,0.0,6.7
2019-02-04,Warangal (R),Nekkonda,0.0,15.8,32.3,38.4,86.4,0.0,5.7
2019-02-05,Warangal (R),Nekkonda,0.0,15.7,32.4,32.3,86.0,0.0,5.8
2019-02-06,Warangal (R),Nekkonda,0.0,15.8,33.8,32.0,85.9,0.0,5.3
2019-02-07,Warangal (R),Nekkonda,0.0,18.5,31.8,40.1,85.5,0.0,6.2
2019-02-08,Warangal (R),Nekkonda,0.0,20.7,31.2,41.4,85.3,0.0,11.4
2019-02-09,Warangal (R),Nekkonda,0.0,20.6,30.1,43.4,85.5,0.0,7.7
2019-02-10,Warangal (R),Nekkonda,0.0,15.1,28.5,26.4,58.2,0.0,11.4
2019-02-11,Warangal (R),Nekkonda,0.0,18.8,32.3,32.3,84.4,0.0,7.9
2019-02-12,Warangal (R),Nekkonda,0.0,20.0,31.8,45.7,85.5,0.0,7.5
2019-02-13,Warangal (R),Nekkonda,0.0,19.6,32.5,45.6,85.7,0.0,8.4
2019-02-14,Warangal (R),Nekkonda,0.0,18.6,35.4,31.3,85.8,0.0,5.9
2019-02-15,Warangal (R),Nekkonda,0.0,18.6,34.5,31.2,86.0,0.0,6.2
2019-02-16,Warangal (R),Nekkonda,0.0,22.0,33.8,39.2,85.2,0.0,10.2
2019-02-17,Warangal (R),Nekkonda,0.0,22.8,34.4,42.6,85.2,0.0,8.1
2019-02-18,Warangal (R),Nekkonda,0.0,20.6,33.8,43.3,85.5,0.0,6.9
2019-02-19,Warangal (R),Nekkonda,0.0,20.2,34.3,37.0,85.1,0.0,6.1
