Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Parkal,0.0,11.4,27.5,21.1,78.5,0.0,3.2
2019-01-02,Warangal (R),Parkal,0.0,11.2,28.7,20.5,75.0,0.0,4.5
2019-01-03,Warangal (R),Parkal,0.0,13.5,31.0,20.7,86.9,0.0,4.6
2019-01-04,Warangal (R),Parkal,0.0,13.5,31.1,27.0,91.6,0.0,4.2
2019-01-05,Warangal (R),Parkal,0.0,16.5,29.6,28.6,88.3,0.0,4.6
2019-01-06,Warangal (R),Parkal,0.0,16.3,29.6,35.5,89.6,0.0,7.0
2019-01-07,Warangal (R),Parkal,0.0,17.7,28.7,44.6,89.6,0.0,6.6
2019-01-08,Warangal (R),Parkal,0.0,14.8,32.9,42.0,88.0,0.0,4.5
2019-01-09,Warangal (R),Parkal,0.0,11.7,28.4,27.9,77.9,0.0,5.0
2019-01-10,Warangal (R),Parkal,0.0,11.4,29.6,21.1,74.6,0.0,3.7
2019-01-11,Warangal (R),Parkal,0.0,16.0,30.0,21.7,90.9,0.0,5.3
2019-01-12,Warangal (R),Parkal,0.0,18.0,29.0,44.0,92.6,0.0,7.1
2019-01-13,Warangal (R),Parkal,0.0,19.4,28.4,44.6,91.3,0.0,8.4
2019-01-14,Warangal (R),Parkal,0.0,17.8,30.2,41.8,85.3,0.0,8.3
2019-01-15,Warangal (R),Parkal,0.0,17.5,30.4,41.4,90.6,0.0,4.5
2019-01-16,Warangal (R),Parkal,0.0,15.4,29.4,39.9,93.3,0.0,5.2
2019-01-17,Warangal (R),Parkal,0.0,14.1,30.7,21.7,76.0,0.0,4.8
2019-01-18,Warangal (R),Parkal,0.0,16.8,29.8,28.6,97.8,0.0,6.5
2019-01-19,Warangal (R),Parkal,0.0,15.9,29.9,38.6,96.0,0.0,4.5
2019-01-20,Warangal (R),Parkal,0.0,13.9,30.8,32.3,81.8,0.0,4.1
2019-01-21,Warangal (R),Parkal,0.0,15.8,30.9,20.7,84.6,0.0,4.6
2019-01-22,Warangal (R),Parkal,0.0,18.6,30.9,26.3,87.9,0.4,7.1
2019-01-23,Warangal (R),Parkal,0.0,17.5,30.2,31.3,93.8,0.0,9.0
2019-01-24,Warangal (R),Parkal,0.0,19.6,29.2,40.9,85.3,0.0,4.7
2019-01-25,Warangal (R),Parkal,0.0,20.6,28.7,44.0,82.1,0.0,7.4
2019-01-26,Warangal (R),Parkal,0.0,22.0,28.4,49.8,82.6,0.0,8.0
2019-01-27,Warangal (R),Parkal,51.0,18.7,27.4,54.5,98.8,0.0,5.7
2019-01-28,Warangal (R),Parkal,0.0,18.1,21.5,87.2,98.8,0.0,4.7
2019-01-29,Warangal (R),Parkal,0.0,14.1,25.5,72.0,96.0,0.0,4.4
2019-01-30,Warangal (R),Parkal,0.0,11.6,26.6,29.5,77.0,0.0,7.1
2019-01-31,Warangal (R),Parkal,0.0,12.9,27.1,28.6,82.3,0.0,4.6
2019-02-01,Warangal (R),Parkal,0.0,18.1,29.3,39.4,94.5,0.0,6.1
2019-02-02,Warangal (R),Parkal,0.0,17.2,29.1,34.1,90.4,0.0,5.5
2019-02-03,Warangal (R),Parkal,0.0,17.8,29.7,37.3,85.5,0.0,4.8
2019-02-04,Warangal (R),Parkal,0.0,18.9,31.0,33.8,77.0,0.0,9.2
2019-02-05,Warangal (R),Parkal,0.0,18.1,31.9,31.3,78.7,0.0,3.5
2019-02-06,Warangal (R),Parkal,0.0,18.7,31.3,30.1,81.0,0.0,4.9
2019-02-07,Warangal (R),Parkal,0.0,20.3,31.1,35.5,77.3,0.0,7.5
2019-02-08,Warangal (R),Parkal,0.0,21.6,31.1,33.2,81.6,0.0,8.9
2019-02-09,Warangal (R),Parkal,0.0,19.4,28.3,43.5,95.0,0.0,5.9
2019-02-10,Warangal (R),Parkal,0.0,14.5,28.1,22.1,52.5,0.0,5.3
2019-02-11,Warangal (R),Parkal,0.0,18.4,29.7,26.3,62.7,0.0,5.5
2019-02-12,Warangal (R),Parkal,0.0,21.3,31.3,41.3,82.9,0.0,9.6
2019-02-13,Warangal (R),Parkal,0.0,21.0,31.8,38.6,88.6,0.0,6.2
2019-02-14,Warangal (R),Parkal,0.0,21.0,33.8,20.3,89.9,0.0,6.4
2019-02-15,Warangal (R),Parkal,0.0,20.1,32.4,29.7,79.0,0.0,7.4
2019-02-16,Warangal (R),Parkal,0.0,21.6,33.9,30.4,82.0,0.0,7.5
2019-02-17,Warangal (R),Parkal,0.0,23.0,33.5,40.1,79.9,0.0,7.7
2019-02-18,Warangal (R),Parkal,0.0,20.6,33.6,41.1,95.3,0.0,6.7
2019-02-19,Warangal (R),Parkal,0.0,21.7,32.6,33.8,95.8,0.0,6.0
2019-02-20,Warangal (R),Parkal,0.0,23.4,34.4,40.1,81.6,1.2,7.6
2019-02-21,Warangal (R),Parkal,0.0,22.3,33.3,37.9,86.0,0.0,8.8
2019-02-22,Warangal (R),Parkal,0.0,22.4,34.2,31.0,73.2,0.0,5.3
2019-02-23,Warangal (R),Parkal,0.0,21.9,36.3,26.9,63.1,0.0,6.3
2019-02-24,Warangal (R),Parkal,0.0,21.8,37.3,22.4,50.3,0.0,4.3
2019-02-25,Warangal (R),Parkal,0.0,21.0,37.5,20.5,54.1,0.0,7.0
2019-02-26,Warangal (R),Parkal,0.0,22.0,37.5,16.1,79.9,0.0,5.7
2019-02-27,Warangal (R),Parkal,0.0,23.3,33.5,35.3,79.0,0.0,8.6
2019-02-28,Warangal (R),Parkal,11.0,22.2,32.5,43.2,92.9,0.0,4.5
2019-03-01,Warangal (R),Parkal,0.0,20.6,33.2,27.8,73.9,0.0,4.5
2019-03-02,Warangal (R),Parkal,0.0,22.8,33.7,37.9,80.7,0.0,7.4
2019-03-03,Warangal (R),Parkal,0.0,23.8,32.8,40.6,78.8,1.9,9.4
2019-03-04,Warangal (R),Parkal,0.0,23.6,34.6,40.1,77.3,2.3,8.0
2019-03-05,Warangal (R),Parkal,0.0,24.5,36.6,36.1,78.4,0.0,6.4
2019-03-06,Warangal (R),Parkal,0.0,19.9,35.5,28.5,72.9,0.0,6.5
2019-03-07,Warangal (R),Parkal,0.0,19.3,35.2,16.5,56.4,0.0,5.6
2019-03-08,Warangal (R),Parkal,0.0,22.1,36.3,20.3,56.8,0.0,5.0
2019-03-09,Warangal (R),Parkal,0.0,24.0,35.9,25.6,79.7,0.0,7.1
2019-03-10,Warangal (R),Parkal,0.0,24.3,35.5,36.3,78.8,0.5,9.6
2019-03-11,Warangal (R),Parkal,0.0,24.3,36.8,33.2,77.5,2.6,6.7
2019-03-12,Warangal (R),Parkal,0.0,24.3,37.2,28.1,72.0,1.7,7.3
2019-03-13,Warangal (R),Parkal,0.0,23.2,37.5,26.2,79.0,1.6,6.7
2019-03-14,Warangal (R),Parkal,0.0,23.0,37.0,16.1,62.9,0.0,8.9
2019-03-15,Warangal (R),Parkal,0.0,24.4,37.5,16.3,50.9,0.5,9.7
2019-03-16,Warangal (R),Parkal,0.0,22.8,38.0,14.2,56.8,0.7,7.7
2019-03-17,Warangal (R),Parkal,0.0,23.3,37.2,18.0,76.0,1.9,9.6
2019-03-18,Warangal (R),Parkal,0.0,22.4,35.9,26.2,70.5,1.6,8.5
2019-03-19,Warangal (R),Parkal,0.0,22.5,33.9,31.0,68.8,2.8,13.3
2019-03-20,Warangal (R),Parkal,0.0,24.7,36.9,28.8,72.8,2.2,7.5
2019-03-21,Warangal (R),Parkal,0.0,24.4,34.8,36.3,68.1,1.8,9.2
2019-03-22,Warangal (R),Parkal,0.0,24.1,35.7,27.2,74.5,2.5,13.3
2019-03-23,Warangal (R),Parkal,0.0,24.8,35.9,38.2,70.7,1.5,8.4
2019-03-24,Warangal (R),Parkal,0.0,25.4,37.7,25.9,64.6,0.0,7.7
2019-03-25,Warangal (R),Parkal,0.0,24.3,38.0,22.7,73.2,0.0,6.6
2019-03-26,Warangal (R),Parkal,0.0,25.1,37.7,23.9,68.1,0.0,9.0
2019-03-27,Warangal (R),Parkal,0.0,24.9,38.0,26.2,67.7,1.8,7.7
2019-03-28,Warangal (R),Parkal,0.0,24.8,37.9,24.6,68.5,0.1,8.0
