Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Parvathagiri,0.0,9.4,28.1,26.4,74.4,0.0,5.4
2019-01-02,Warangal (R),Parvathagiri,0.0,8.4,29.7,18.9,81.4,0.0,5.8
2019-01-03,Warangal (R),Parvathagiri,0.0,10.4,29.7,28.7,84.9,0.0,6.8
2019-01-04,Warangal (R),Parvathagiri,0.0,10.6,31.1,32.3,83.9,0.0,4.2
2019-01-05,Warangal (R),Parvathagiri,0.0,13.7,29.5,39.3,85.4,0.0,6.5
2019-01-06,Warangal (R),Parvathagiri,0.0,13.4,28.8,40.5,85.3,0.0,10.0
2019-01-07,Warangal (R),Parvathagiri,0.0,13.0,28.0,51.3,85.9,0.0,8.9
2019-01-08,Warangal (R),Parvathagiri,0.0,14.2,30.3,42.3,85.6,0.0,7.8
2019-01-09,Warangal (R),Parvathagiri,0.0,10.5,30.7,29.4,74.8,0.0,4.9
2019-01-10,Warangal (R),Parvathagiri,0.0,10.4,30.9,20.7,76.8,0.0,7.1
2019-01-11,Warangal (R),Parvathagiri,0.0,13.9,29.1,38.0,84.6,0.0,6.6
2019-01-12,Warangal (R),Parvathagiri,0.0,16.5,28.5,45.2,85.1,0.0,8.7
2019-01-13,Warangal (R),Parvathagiri,0.0,17.0,28.3,50.5,85.2,0.0,13.1
2019-01-14,Warangal (R),Parvathagiri,0.0,13.8,29.2,45.1,85.4,0.0,9.3
2019-01-15,Warangal (R),Parvathagiri,0.0,15.4,30.3,41.6,85.3,0.0,8.2
2019-01-16,Warangal (R),Parvathagiri,0.0,13.0,30.6,37.3,84.8,0.0,6.4
2019-01-17,Warangal (R),Parvathagiri,0.0,12.5,30.6,28.6,81.3,0.0,3.9
2019-01-18,Warangal (R),Parvathagiri,0.0,13.7,28.8,42.1,85.3,0.0,5.8
2019-01-19,Warangal (R),Parvathagiri,0.0,13.8,31.8,35.6,85.3,0.0,7.0
2019-01-20,Warangal (R),Parvathagiri,0.0,12.7,30.2,37.2,85.1,0.0,7.9
2019-01-21,Warangal (R),Parvathagiri,0.0,12.8,31.1,26.7,84.9,0.0,5.9
2019-01-22,Warangal (R),Parvathagiri,0.0,14.7,30.7,35.8,85.2,0.0,8.7
2019-01-23,Warangal (R),Parvathagiri,0.0,15.4,30.0,40.2,85.3,0.1,13.9
2019-01-24,Warangal (R),Parvathagiri,0.0,18.0,29.6,45.1,84.2,0.0,10.1
2019-01-25,Warangal (R),Parvathagiri,0.0,19.1,28.8,51.4,81.8,2.1,11.6
2019-01-26,Warangal (R),Parvathagiri,0.0,20.6,28.2,51.5,81.6,3.4,12.7
