Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Raiparthy,0.0,10.2,29.9,25.8,74.8,0.0,9.5
2019-01-02,Warangal (R),Raiparthy,0.0,10.7,32.9,19.0,82.7,0.0,10.9
2019-01-03,Warangal (R),Raiparthy,0.0,12.7,32.9,24.3,96.2,0.0,7.3
2019-01-04,Warangal (R),Raiparthy,0.0,13.7,32.8,39.1,84.3,0.0,6.7
2019-01-05,Warangal (R),Raiparthy,0.0,18.5,32.8,42.5,85.0,0.0,5.9
2019-01-06,Warangal (R),Raiparthy,0.0,17.9,32.9,46.5,90.8,0.0,7.1
2019-01-07,Warangal (R),Raiparthy,0.0,17.2,32.2,54.9,96.2,0.0,7.7
2019-01-08,Warangal (R),Raiparthy,0.0,19.5,32.1,46.5,96.2,1.6,11.0
2019-01-09,Warangal (R),Raiparthy,0.0,15.4,32.9,26.8,67.4,0.0,15.4
2019-01-10,Warangal (R),Raiparthy,0.0,14.6,32.1,25.1,74.2,0.0,11.4
2019-01-11,Warangal (R),Raiparthy,0.0,15.5,32.9,36.1,89.5,0.0,6.2
2019-01-12,Warangal (R),Raiparthy,0.0,19.0,32.1,54.6,96.2,0.0,5.2
2019-01-13,Warangal (R),Raiparthy,0.0,20.4,32.9,54.7,89.5,0.0,7.9
2019-01-14,Warangal (R),Raiparthy,0.0,18.0,33.1,45.3,96.2,0.0,1.6
2019-01-15,Warangal (R),Raiparthy,0.0,18.1,34.6,46.8,96.2,0.0,8.4
2019-01-16,Warangal (R),Raiparthy,0.0,16.5,32.4,46.5,89.6,0.0,10.3
2019-01-17,Warangal (R),Raiparthy,0.0,14.5,33.1,25.9,82.5,0.0,6.5
2019-01-18,Warangal (R),Raiparthy,0.0,16.7,32.1,46.5,95.1,0.0,10.1
2019-01-19,Warangal (R),Raiparthy,0.0,15.2,34.6,36.1,89.6,0.0,7.2
2019-01-20,Warangal (R),Raiparthy,0.0,15.9,34.6,39.9,99.9,0.0,10.2
2019-01-21,Warangal (R),Raiparthy,0.0,15.5,34.6,30.7,74.7,0.0,13.7
2019-01-22,Warangal (R),Raiparthy,0.0,17.4,31.1,41.2,93.4,0.9,1.6
2019-01-23,Warangal (R),Raiparthy,0.0,18.1,32.7,43.3,91.7,0.0,10.7
2019-01-24,Warangal (R),Raiparthy,0.0,20.6,33.3,49.6,89.5,0.0,11.4
2019-01-25,Warangal (R),Raiparthy,0.0,20.9,34.6,55.0,85.8,0.0,9.2
2019-01-26,Warangal (R),Raiparthy,0.0,22.3,32.1,51.0,82.8,4.1,11.9
2019-01-27,Warangal (R),Raiparthy,0.0,19.3,30.1,66.1,87.8,0.9,11.4
2019-01-28,Warangal (R),Raiparthy,1.5,19.7,26.9,77.3,96.4,3.0,15.3
2019-01-29,Warangal (R),Raiparthy,0.0,16.1,26.9,71.7,96.4,0.0,16.4
2019-01-30,Warangal (R),Raiparthy,0.0,14.5,29.5,37.8,74.7,2.2,15.4
2019-01-31,Warangal (R),Raiparthy,0.0,15.1,30.1,30.1,74.2,0.0,14.5
2019-02-01,Warangal (R),Raiparthy,0.0,19.5,30.9,43.6,94.7,0.0,2.8
2019-02-02,Warangal (R),Raiparthy,0.0,17.8,32.1,38.8,90.4,0.0,6.9
2019-02-03,Warangal (R),Raiparthy,0.0,16.9,34.6,46.6,90.1,0.0,6.1
2019-02-04,Warangal (R),Raiparthy,0.0,17.8,34.6,46.8,82.5,0.0,6.0
2019-02-05,Warangal (R),Raiparthy,0.0,18.0,34.6,36.6,88.8,0.0,7.5
2019-02-06,Warangal (R),Raiparthy,0.0,17.9,35.3,38.8,91.4,0.0,9.5
2019-02-07,Warangal (R),Raiparthy,0.0,20.5,34.6,46.8,91.3,0.0,7.7
2019-02-08,Warangal (R),Raiparthy,0.0,22.4,32.8,43.7,91.8,0.9,11.0
2019-02-09,Warangal (R),Raiparthy,0.0,21.8,34.6,56.2,90.9,0.0,10.5
