Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Sangem,0.0,7.5,28.2,20.9,100.0,0.0,0.1
2019-01-02,Warangal (R),Sangem,0.0,7.9,30.4,17.3,100.0,0.0,1.4
2019-01-03,Warangal (R),Sangem,0.0,9.9,31.5,22.3,100.0,0.0,4.9
2019-01-04,Warangal (R),Sangem,0.0,10.6,30.6,24.4,100.0,0.0,2.6
2019-01-05,Warangal (R),Sangem,0.0,19.1,30.9,29.2,81.8,0.0,5.1
2019-01-06,Warangal (R),Sangem,0.0,19.0,33.1,36.3,98.3,0.0,3.4
2019-01-07,Warangal (R),Sangem,0.0,19.5,30.4,44.0,98.3,0.0,6.5
2019-01-08,Warangal (R),Sangem,0.0,18.8,33.0,47.7,98.3,0.0,3.9
2019-01-09,Warangal (R),Sangem,0.0,14.2,30.9,27.3,90.8,0.0,3.7
2019-01-10,Warangal (R),Sangem,0.0,12.6,33.0,11.7,92.5,0.0,6.0
2019-01-11,Warangal (R),Sangem,0.0,13.0,33.0,18.7,100.0,0.0,6.4
2019-01-12,Warangal (R),Sangem,0.0,16.0,29.1,42.6,100.0,0.0,7.1
2019-01-13,Warangal (R),Sangem,0.0,17.3,28.3,49.3,100.0,0.0,7.0
2019-01-14,Warangal (R),Sangem,0.0,13.4,30.0,42.1,100.0,0.0,9.0
2019-01-15,Warangal (R),Sangem,0.0,14.8,30.9,38.1,100.0,0.0,4.4
2019-01-16,Warangal (R),Sangem,0.0,12.7,30.6,34.5,100.0,0.0,5.9
2019-01-17,Warangal (R),Sangem,0.0,11.2,31.0,24.4,100.0,0.0,4.3
2019-01-18,Warangal (R),Sangem,0.0,13.3,29.9,41.8,100.0,0.0,3.4
2019-01-19,Warangal (R),Sangem,0.0,12.9,32.2,30.1,100.0,0.0,4.8
2019-01-20,Warangal (R),Sangem,0.0,11.6,31.1,30.1,100.0,0.0,5.4
2019-01-21,Warangal (R),Sangem,0.0,11.2,31.9,20.5,100.0,0.0,1.7
2019-01-22,Warangal (R),Sangem,0.0,15.1,30.2,35.1,100.0,0.0,3.4
2019-01-23,Warangal (R),Sangem,0.0,16.0,29.7,39.1,100.0,0.0,9.5
2019-01-24,Warangal (R),Sangem,0.0,17.1,29.9,42.6,100.0,0.0,7.8
2019-01-25,Warangal (R),Sangem,0.0,19.3,30.6,48.7,100.0,0.0,6.7
2019-01-26,Warangal (R),Sangem,0.0,20.8,28.4,54.7,91.8,0.0,8.9
2019-01-27,Warangal (R),Sangem,17.3,18.6,27.4,62.2,100.0,0.0,7.1
