Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Shayampet,0.0,8.1,27.8,22.7,96.3,0.0,16.4
2019-01-02,Warangal (R),Shayampet,0.0,7.8,30.2,17.6,96.3,0.0,16.4
2019-01-03,Warangal (R),Shayampet,0.0,12.4,34.6,33.0,94.6,0.0,13.1
2019-01-04,Warangal (R),Shayampet,0.0,10.8,32.2,34.4,96.3,0.0,20.6
2019-01-05,Warangal (R),Shayampet,0.0,12.7,32.1,29.4,96.3,0.0,12.7
2019-01-06,Warangal (R),Shayampet,0.0,12.4,32.5,35.0,96.7,0.0,15.4
2019-01-07,Warangal (R),Shayampet,0.0,14.0,32.1,54.6,96.8,0.0,17.1
2019-01-08,Warangal (R),Shayampet,0.0,16.4,32.1,42.2,95.7,0.0,17.7
2019-01-09,Warangal (R),Shayampet,0.0,12.1,32.1,39.1,87.5,0.0,16.9
2019-01-10,Warangal (R),Shayampet,0.0,9.1,33.1,22.7,96.0,0.0,23.8
2019-01-11,Warangal (R),Shayampet,0.0,16.9,32.1,29.1,95.5,0.0,17.8
2019-01-12,Warangal (R),Shayampet,0.0,15.4,32.1,54.6,97.3,0.0,14.2
2019-01-13,Warangal (R),Shayampet,0.0,18.4,32.1,51.8,97.5,0.0,18.3
2019-01-14,Warangal (R),Shayampet,0.0,14.4,32.1,44.9,96.3,0.0,17.2
2019-01-15,Warangal (R),Shayampet,0.0,16.4,32.7,43.1,96.3,0.0,15.1
2019-01-16,Warangal (R),Shayampet,0.0,13.4,32.1,54.4,96.3,0.0,21.1
2019-01-17,Warangal (R),Shayampet,0.0,16.7,32.1,25.9,88.1,0.0,19.4
2019-01-18,Warangal (R),Shayampet,0.0,15.0,32.1,38.2,98.0,0.0,19.9
2019-01-19,Warangal (R),Shayampet,0.0,15.1,32.5,41.1,94.8,0.0,16.4
2019-01-20,Warangal (R),Shayampet,0.0,12.3,32.1,35.4,90.9,0.0,17.7
