Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (R),Wardhannapet,0.0,9.3,28.1,20.7,93.9,0.0,9.5
2019-01-02,Warangal (R),Wardhannapet,0.0,10.7,32.9,19.8,93.5,0.0,10.9
2019-01-03,Warangal (R),Wardhannapet,0.0,12.7,32.1,24.3,99.9,0.0,7.3
2019-01-04,Warangal (R),Wardhannapet,0.0,14.6,32.9,34.0,99.9,0.0,6.7
2019-01-05,Warangal (R),Wardhannapet,0.0,17.7,32.9,42.5,99.9,0.0,5.9
2019-01-06,Warangal (R),Wardhannapet,0.0,17.0,32.9,42.4,99.9,0.0,7.1
2019-01-07,Warangal (R),Wardhannapet,0.0,16.9,32.1,54.6,99.9,0.0,7.7
2019-01-08,Warangal (R),Wardhannapet,0.0,19.3,32.1,46.5,99.9,1.6,11.0
2019-01-09,Warangal (R),Wardhannapet,0.0,14.5,32.1,29.6,86.9,0.0,15.4
2019-01-10,Warangal (R),Wardhannapet,0.0,14.5,32.9,21.4,99.9,0.0,11.4
2019-01-11,Warangal (R),Wardhannapet,0.0,15.5,32.1,36.1,99.9,0.0,6.2
2019-01-12,Warangal (R),Wardhannapet,0.0,19.0,32.9,50.9,99.9,0.0,5.2
2019-01-13,Warangal (R),Wardhannapet,0.0,20.4,32.1,58.4,99.9,0.0,7.9
2019-01-14,Warangal (R),Wardhannapet,0.0,17.1,32.2,45.3,99.9,0.0,1.6
2019-01-15,Warangal (R),Wardhannapet,0.0,18.1,35.5,43.1,99.9,0.0,8.4
2019-01-16,Warangal (R),Wardhannapet,0.0,16.5,33.2,42.8,99.9,0.0,10.3
2019-01-17,Warangal (R),Wardhannapet,0.0,13.6,32.5,25.9,89.5,0.0,6.5
2019-01-18,Warangal (R),Wardhannapet,0.0,16.3,32.1,46.5,99.9,0.0,10.1
2019-01-19,Warangal (R),Wardhannapet,0.0,15.3,33.1,33.5,99.9,0.0,7.2
2019-01-20,Warangal (R),Wardhannapet,0.0,15.1,32.8,39.6,99.9,0.0,10.2
2019-01-21,Warangal (R),Wardhannapet,0.0,15.7,34.6,26.1,99.9,0.0,13.7
2019-01-22,Warangal (R),Wardhannapet,0.0,16.7,33.3,36.7,99.9,0.9,1.6
2019-01-23,Warangal (R),Wardhannapet,0.0,18.1,33.3,42.2,99.9,0.0,10.7
2019-01-24,Warangal (R),Wardhannapet,0.0,21.5,34.6,46.8,99.9,0.0,11.4
2019-01-25,Warangal (R),Wardhannapet,0.0,20.4,32.1,51.6,99.9,0.0,9.2
2019-01-26,Warangal (R),Wardhannapet,0.0,23.2,33.0,50.0,99.9,4.1,11.9
2019-01-27,Warangal (R),Wardhannapet,0.8,19.1,30.4,64.5,99.9,0.9,11.4
2019-01-28,Warangal (R),Wardhannapet,6.8,19.5,25.3,87.6,99.9,3.0,15.3
2019-01-29,Warangal (R),Wardhannapet,0.0,16.7,26.9,71.1,99.9,0.0,16.4
2019-01-30,Warangal (R),Wardhannapet,0.0,14.2,29.5,38.8,99.7,2.2,15.4
2019-01-31,Warangal (R),Wardhannapet,0.0,16.7,32.1,30.5,99.9,0.0,14.5
2019-02-01,Warangal (R),Wardhannapet,0.0,20.0,32.6,39.3,99.9,0.0,2.8
2019-02-02,Warangal (R),Wardhannapet,0.0,19.3,32.2,37.0,99.9,0.0,6.9
2019-02-03,Warangal (R),Wardhannapet,0.0,16.7,32.1,41.0,99.9,0.0,6.1
2019-02-04,Warangal (R),Wardhannapet,0.0,19.3,34.7,41.8,99.9,0.0,6.0
2019-02-05,Warangal (R),Wardhannapet,0.0,19.0,34.6,36.1,99.9,0.0,7.5
2019-02-06,Warangal (R),Wardhannapet,0.0,17.5,34.6,34.9,99.9,0.0,9.5
2019-02-07,Warangal (R),Wardhannapet,0.0,21.8,34.6,41.1,99.9,0.0,7.7
2019-02-08,Warangal (R),Wardhannapet,0.0,22.3,34.6,41.9,99.9,0.9,11.0
2019-02-09,Warangal (R),Wardhannapet,0.0,21.3,32.1,55.6,99.9,0.0,10.5
2019-02-10,Warangal (R),Wardhannapet,0.0,17.1,32.1,30.0,61.1,4.8,16.0
2019-02-11,Warangal (R),Wardhannapet,0.0,21.2,34.6,32.7,98.7,0.2,2.9
2019-02-12,Warangal (R),Wardhannapet,0.0,20.8,34.7,50.4,99.9,0.0,8.1
2019-02-13,Warangal (R),Wardhannapet,0.0,23.3,33.2,47.4,99.9,0.0,7.8
2019-02-14,Warangal (R),Wardhannapet,0.0,20.0,35.8,32.2,99.9,0.0,7.5
