Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Bheemadevarapalle,0.0,8.6,28.1,18.9,80.4,0.0,8.8
2019-01-02,Warangal (U),Bheemadevarapalle,0.0,8.4,29.8,18.3,90.1,0.0,10.1
2019-01-03,Warangal (U),Bheemadevarapalle,0.0,10.8,30.1,25.9,46.8,0.0,10.5
2019-01-04,Warangal (U),Bheemadevarapalle,0.0,11.2,31.4,25.8,97.6,0.0,10.0
2019-01-05,Warangal (U),Bheemadevarapalle,0.0,13.3,30.6,31.7,90.4,0.0,8.9
2019-01-06,Warangal (U),Bheemadevarapalle,0.0,13.8,28.7,34.5,97.6,0.0,8.1
2019-01-07,Warangal (U),Bheemadevarapalle,0.0,15.3,28.6,43.6,92.5,0.0,9.6
2019-01-08,Warangal (U),Bheemadevarapalle,0.0,14.8,28.3,46.7,79.7,0.0,8.8
2019-01-09,Warangal (U),Bheemadevarapalle,0.0,10.1,27.4,33.5,49.3,0.0,8.5
2019-01-10,Warangal (U),Bheemadevarapalle,0.0,9.0,30.6,14.5,87.7,0.0,8.8
2019-01-11,Warangal (U),Bheemadevarapalle,0.0,13.4,29.0,28.0,50.4,0.0,7.4
2019-01-12,Warangal (U),Bheemadevarapalle,0.0,17.2,29.2,42.9,97.6,0.0,9.1
2019-01-13,Warangal (U),Bheemadevarapalle,0.0,18.9,28.5,50.8,97.6,0.0,11.9
2019-01-14,Warangal (U),Bheemadevarapalle,0.0,15.5,30.0,45.1,90.6,0.0,8.2
2019-01-15,Warangal (U),Bheemadevarapalle,0.0,16.1,30.0,43.6,92.4,0.0,7.7
2019-01-16,Warangal (U),Bheemadevarapalle,0.0,13.4,29.1,44.3,92.6,0.0,6.2
2019-01-17,Warangal (U),Bheemadevarapalle,0.0,13.6,29.7,26.4,83.5,0.0,8.0
2019-01-18,Warangal (U),Bheemadevarapalle,0.0,16.2,30.3,36.2,83.1,0.0,10.3
2019-01-19,Warangal (U),Bheemadevarapalle,0.0,14.5,30.4,40.2,96.1,0.0,7.4
2019-01-20,Warangal (U),Bheemadevarapalle,0.0,13.5,30.1,35.8,86.6,0.0,10.2
2019-01-21,Warangal (U),Bheemadevarapalle,0.0,14.6,30.3,25.1,94.7,0.0,9.5
2019-01-22,Warangal (U),Bheemadevarapalle,0.0,17.0,30.5,31.1,95.9,2.1,11.1
2019-01-23,Warangal (U),Bheemadevarapalle,0.0,18.6,30.6,41.0,93.7,0.5,9.8
2019-01-24,Warangal (U),Bheemadevarapalle,0.0,19.4,29.5,49.2,86.1,0.0,9.6
2019-01-25,Warangal (U),Bheemadevarapalle,0.0,20.2,29.6,53.6,89.7,1.1,12.0
2019-01-26,Warangal (U),Bheemadevarapalle,0.0,22.3,29.2,57.1,90.6,1.6,11.4
2019-01-27,Warangal (U),Bheemadevarapalle,27.5,18.9,27.7,68.6,94.9,1.5,10.8
2019-01-28,Warangal (U),Bheemadevarapalle,0.5,18.3,22.0,85.5,96.9,1.1,7.8
2019-01-29,Warangal (U),Bheemadevarapalle,0.0,14.7,24.1,75.6,88.6,0.0,10.1
2019-01-30,Warangal (U),Bheemadevarapalle,0.0,10.4,25.2,37.4,81.6,0.0,8.5
2019-01-31,Warangal (U),Bheemadevarapalle,0.0,13.3,26.8,34.5,75.0,0.0,8.8
