Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Dharmasagar,0.0,12.1,29.5,30.0,80.2,0.0,7.5
2019-01-02,Warangal (U),Dharmasagar,0.0,10.7,32.1,22.4,76.7,0.0,7.7
2019-01-03,Warangal (U),Dharmasagar,0.0,13.0,33.1,23.4,90.6,0.0,7.8
2019-01-04,Warangal (U),Dharmasagar,0.0,13.3,32.2,31.9,94.1,0.0,5.9
2019-01-05,Warangal (U),Dharmasagar,0.0,18.4,32.1,39.1,99.9,0.0,7.3
2019-01-06,Warangal (U),Dharmasagar,0.0,16.8,32.1,48.2,99.9,0.0,8.2
2019-01-07,Warangal (U),Dharmasagar,0.0,16.9,29.5,50.3,99.9,0.0,11.0
2019-01-08,Warangal (U),Dharmasagar,0.0,18.1,32.1,34.0,92.6,0.0,7.7
2019-01-09,Warangal (U),Dharmasagar,0.0,16.2,29.6,27.9,74.6,0.0,6.8
2019-01-10,Warangal (U),Dharmasagar,0.0,12.5,32.1,23.8,76.2,0.0,8.5
2019-01-11,Warangal (U),Dharmasagar,0.0,15.2,32.1,32.3,92.0,0.0,7.2
2019-01-12,Warangal (U),Dharmasagar,0.0,18.6,29.7,39.8,99.9,0.0,11.1
2019-01-13,Warangal (U),Dharmasagar,0.0,20.1,29.9,57.0,99.9,0.2,9.6
2019-01-14,Warangal (U),Dharmasagar,0.0,18.4,32.1,43.2,99.9,0.0,9.7
2019-01-15,Warangal (U),Dharmasagar,0.0,20.1,32.1,45.5,99.9,0.0,8.3
2019-01-16,Warangal (U),Dharmasagar,0.0,17.6,32.1,35.8,99.9,0.0,8.7
2019-01-17,Warangal (U),Dharmasagar,0.0,16.7,32.1,25.5,81.3,0.0,6.9
2019-01-18,Warangal (U),Dharmasagar,0.0,15.3,32.3,28.2,99.9,0.0,10.0
2019-01-19,Warangal (U),Dharmasagar,0.0,14.8,32.3,41.4,99.9,0.0,4.8
2019-01-20,Warangal (U),Dharmasagar,0.0,16.7,32.1,39.1,87.5,0.0,7.9
2019-01-21,Warangal (U),Dharmasagar,0.0,13.8,32.1,27.5,99.9,0.0,9.7
2019-01-22,Warangal (U),Dharmasagar,0.0,19.3,32.1,35.6,99.9,0.0,9.0
2019-01-23,Warangal (U),Dharmasagar,0.0,17.8,34.6,39.6,97.7,0.3,13.3
2019-01-24,Warangal (U),Dharmasagar,0.0,19.6,32.1,49.8,99.9,0.0,9.3
2019-01-25,Warangal (U),Dharmasagar,0.0,20.3,32.1,54.3,96.2,2.3,12.5
2019-01-26,Warangal (U),Dharmasagar,0.0,22.2,32.1,57.1,92.1,2.1,14.3
2019-01-27,Warangal (U),Dharmasagar,20.5,19.9,29.5,69.9,99.9,0.4,14.5
2019-01-28,Warangal (U),Dharmasagar,0.0,18.1,24.4,84.5,99.9,0.0,8.2
2019-01-29,Warangal (U),Dharmasagar,0.0,14.1,25.6,68.9,98.3,0.0,12.3
2019-01-30,Warangal (U),Dharmasagar,0.0,10.1,27.0,40.2,76.5,0.0,9.9
2019-01-31,Warangal (U),Dharmasagar,0.0,12.5,29.5,38.1,84.0,0.0,6.5
2019-02-01,Warangal (U),Dharmasagar,0.0,17.6,32.1,44.7,99.9,0.0,11.9
2019-02-02,Warangal (U),Dharmasagar,0.0,16.9,32.1,46.5,99.9,0.0,9.2
2019-02-03,Warangal (U),Dharmasagar,0.0,17.2,32.1,47.7,99.9,0.0,7.9
2019-02-04,Warangal (U),Dharmasagar,0.0,16.7,32.1,46.5,90.1,0.0,9.1
2019-02-05,Warangal (U),Dharmasagar,0.0,16.4,33.1,39.2,88.2,0.0,12.8
2019-02-06,Warangal (U),Dharmasagar,0.0,17.7,34.6,38.1,96.0,0.0,6.3
2019-02-07,Warangal (U),Dharmasagar,0.0,21.8,32.1,40.9,89.5,1.4,8.8
2019-02-08,Warangal (U),Dharmasagar,0.0,24.4,34.6,39.4,90.9,0.0,13.7
2019-02-09,Warangal (U),Dharmasagar,0.0,19.5,32.1,44.1,96.2,0.0,7.6
