Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Elkathurthi,0.0,10.9,28.1,24.3,72.1,0.0,8.8
2019-01-02,Warangal (U),Elkathurthi,0.0,10.4,29.5,23.9,73.6,0.0,10.1
2019-01-03,Warangal (U),Elkathurthi,0.0,13.8,29.2,29.6,49.3,0.0,0.4
2019-01-04,Warangal (U),Elkathurthi,0.0,13.6,31.8,29.7,96.4,0.0,10.0
2019-01-05,Warangal (U),Elkathurthi,0.0,16.6,29.8,35.4,94.1,0.0,4.7
2019-01-06,Warangal (U),Elkathurthi,0.0,16.3,29.8,40.3,93.6,0.0,8.1
2019-01-07,Warangal (U),Elkathurthi,0.0,16.9,27.7,47.3,96.2,0.0,15.6
2019-01-08,Warangal (U),Elkathurthi,0.0,15.6,27.4,50.4,83.4,0.0,7.3
2019-01-09,Warangal (U),Elkathurthi,0.0,11.5,26.5,37.2,53.0,0.0,5.4
2019-01-10,Warangal (U),Elkathurthi,0.0,11.7,29.6,21.6,91.4,0.0,8.8
2019-01-11,Warangal (U),Elkathurthi,0.0,15.9,28.2,31.7,54.1,0.0,5.6
2019-01-12,Warangal (U),Elkathurthi,0.0,18.7,29.5,47.5,86.5,0.0,9.1
2019-01-13,Warangal (U),Elkathurthi,0.0,20.1,29.2,49.9,90.0,0.0,11.9
2019-01-14,Warangal (U),Elkathurthi,0.0,17.9,29.2,48.8,94.3,0.0,19.9
2019-01-15,Warangal (U),Elkathurthi,0.0,16.8,29.1,47.3,96.1,0.0,16.0
2019-01-16,Warangal (U),Elkathurthi,0.0,15.0,28.2,48.0,96.3,0.0,2.3
2019-01-17,Warangal (U),Elkathurthi,0.0,14.4,28.7,30.1,87.2,0.0,3.8
2019-01-18,Warangal (U),Elkathurthi,0.0,15.5,28.9,39.9,79.8,0.0,9.9
2019-01-19,Warangal (U),Elkathurthi,0.0,13.9,31.0,39.0,96.5,0.0,7.4
2019-01-20,Warangal (U),Elkathurthi,0.0,14.9,30.7,35.6,83.7,0.0,10.2
2019-01-21,Warangal (U),Elkathurthi,0.0,13.6,31.2,25.9,95.4,0.0,9.5
2019-01-22,Warangal (U),Elkathurthi,0.0,16.9,30.5,34.3,95.5,0.0,9.0
2019-01-23,Warangal (U),Elkathurthi,0.0,17.9,30.0,41.3,92.1,6.5,20.5
2019-01-24,Warangal (U),Elkathurthi,0.0,19.4,29.0,48.6,81.3,0.0,16.7
2019-01-25,Warangal (U),Elkathurthi,0.0,20.2,28.4,53.7,80.8,0.0,15.2
2019-01-26,Warangal (U),Elkathurthi,0.0,22.1,28.7,54.4,85.8,2.8,18.6
2019-01-27,Warangal (U),Elkathurthi,15.5,19.9,27.9,63.5,82.4,0.0,14.5
2019-01-28,Warangal (U),Elkathurthi,0.0,17.9,22.1,82.0,96.1,0.0,6.5
2019-01-29,Warangal (U),Elkathurthi,0.0,14.7,23.3,70.0,88.2,0.0,9.4
2019-01-30,Warangal (U),Elkathurthi,0.0,10.8,24.4,38.6,97.2,0.0,11.1
2019-01-31,Warangal (U),Elkathurthi,0.0,13.0,25.3,34.7,49.1,0.0,6.6
2019-02-01,Warangal (U),Elkathurthi,0.0,17.8,30.2,43.7,91.0,0.0,13.2
2019-02-02,Warangal (U),Elkathurthi,0.0,16.8,30.7,42.2,97.1,0.0,7.1
2019-02-03,Warangal (U),Elkathurthi,0.0,17.1,29.0,47.9,90.8,0.0,10.8
2019-02-04,Warangal (U),Elkathurthi,0.0,15.8,30.2,45.2,82.3,0.0,10.0
2019-02-05,Warangal (U),Elkathurthi,0.0,16.4,31.1,35.7,93.5,0.0,14.6
2019-02-06,Warangal (U),Elkathurthi,0.0,17.9,29.9,42.0,75.1,0.0,7.3
2019-02-07,Warangal (U),Elkathurthi,0.0,20.2,31.5,39.7,84.9,0.2,3.7
2019-02-08,Warangal (U),Elkathurthi,0.0,23.4,31.5,37.1,70.7,12.4,19.8
2019-02-09,Warangal (U),Elkathurthi,0.0,19.3,28.6,46.4,83.2,0.0,6.5
