Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Hanamkonda,0.0,10.6,32.3,20.7,89.2,0.0,5.9
2019-01-02,Warangal (U),Hanamkonda,0.0,11.4,32.5,19.3,84.7,0.0,6.6
2019-01-03,Warangal (U),Hanamkonda,0.0,13.1,33.8,20.5,100.0,0.0,4.5
2019-01-04,Warangal (U),Hanamkonda,0.0,13.0,34.3,24.4,100.0,0.0,5.0
2019-01-05,Warangal (U),Hanamkonda,0.0,15.9,34.0,23.7,98.1,0.0,6.9
2019-01-06,Warangal (U),Hanamkonda,0.0,15.9,32.1,35.4,100.0,0.0,6.1
2019-01-07,Warangal (U),Hanamkonda,0.0,17.2,30.6,41.5,100.0,0.0,7.1
2019-01-08,Warangal (U),Hanamkonda,0.0,15.7,29.4,53.2,96.3,0.0,5.2
2019-01-09,Warangal (U),Hanamkonda,0.0,11.5,28.0,30.7,96.3,0.0,6.7
2019-01-10,Warangal (U),Hanamkonda,0.0,11.8,29.4,17.2,96.3,0.0,5.8
2019-01-11,Warangal (U),Hanamkonda,0.0,14.9,33.4,24.2,100.0,0.0,7.3
2019-01-12,Warangal (U),Hanamkonda,0.0,17.7,31.2,41.3,100.0,0.0,7.8
2019-01-13,Warangal (U),Hanamkonda,0.0,18.3,30.6,46.3,100.0,0.0,7.0
2019-01-14,Warangal (U),Hanamkonda,0.0,17.0,31.9,39.2,100.0,0.0,7.6
2019-01-15,Warangal (U),Hanamkonda,0.0,16.2,33.8,33.7,100.0,0.0,5.6
2019-01-16,Warangal (U),Hanamkonda,0.0,14.1,32.4,38.6,100.0,0.0,5.0
2019-01-17,Warangal (U),Hanamkonda,0.0,13.0,33.3,22.9,100.0,0.0,3.9
2019-01-18,Warangal (U),Hanamkonda,0.0,15.8,32.8,24.8,100.0,0.0,4.3
2019-01-19,Warangal (U),Hanamkonda,0.0,15.4,33.6,34.9,100.0,0.0,7.0
2019-01-20,Warangal (U),Hanamkonda,0.0,13.2,34.0,28.6,100.0,0.0,6.3
2019-01-21,Warangal (U),Hanamkonda,0.0,14.4,34.3,20.5,100.0,0.0,6.6
2019-01-22,Warangal (U),Hanamkonda,0.0,17.0,34.1,24.4,100.0,0.0,6.9
2019-01-23,Warangal (U),Hanamkonda,0.0,17.6,32.6,33.7,100.0,0.1,7.4
2019-01-24,Warangal (U),Hanamkonda,0.0,19.2,33.0,38.1,100.0,0.0,4.9
2019-01-25,Warangal (U),Hanamkonda,0.0,20.2,32.6,43.4,100.0,0.0,0.9
2019-01-26,Warangal (U),Hanamkonda,0.0,21.6,30.3,53.4,94.7,1.5,6.8
2019-01-27,Warangal (U),Hanamkonda,25.3,18.4,30.3,56.7,100.0,1.4,8.7
2019-01-28,Warangal (U),Hanamkonda,2.5,17.5,21.1,95.1,100.0,0.0,7.9
2019-01-29,Warangal (U),Hanamkonda,0.0,12.9,24.3,80.7,100.0,0.0,7.9
2019-01-30,Warangal (U),Hanamkonda,0.0,9.3,26.8,31.9,97.1,0.0,6.6
2019-01-31,Warangal (U),Hanamkonda,0.0,11.9,29.1,24.5,100.0,0.0,5.9
2019-02-01,Warangal (U),Hanamkonda,0.0,17.4,32.3,37.2,100.0,0.0,6.4
2019-02-02,Warangal (U),Hanamkonda,0.0,16.5,33.4,29.2,100.0,0.0,5.4
2019-02-03,Warangal (U),Hanamkonda,0.0,17.4,34.4,30.8,100.0,0.0,5.9
2019-02-04,Warangal (U),Hanamkonda,0.0,18.2,35.8,30.8,97.2,0.0,5.2
2019-02-05,Warangal (U),Hanamkonda,0.0,16.6,35.4,25.0,100.0,0.0,6.5
2019-02-06,Warangal (U),Hanamkonda,0.0,17.5,36.7,22.0,100.0,0.0,7.5
2019-02-07,Warangal (U),Hanamkonda,0.0,18.8,35.4,30.8,99.3,0.0,6.7
2019-02-08,Warangal (U),Hanamkonda,0.0,21.1,33.3,34.3,98.1,1.7,9.2
2019-02-09,Warangal (U),Hanamkonda,0.0,18.7,31.2,59.1,100.0,0.0,7.0
2019-02-10,Warangal (U),Hanamkonda,0.0,14.6,29.4,21.4,60.0,0.0,9.8
2019-02-11,Warangal (U),Hanamkonda,0.0,17.7,34.0,23.5,72.7,0.0,5.5
2019-02-12,Warangal (U),Hanamkonda,0.0,22.5,34.6,47.1,99.9,0.0,5.7
2019-02-13,Warangal (U),Hanamkonda,0.0,22.2,35.4,40.2,98.9,0.0,7.6
2019-02-14,Warangal (U),Hanamkonda,0.0,20.4,34.6,23.5,99.9,0.0,6.1
2019-02-15,Warangal (U),Hanamkonda,0.0,19.6,36.8,31.3,96.2,1.1,6.3
2019-02-16,Warangal (U),Hanamkonda,0.0,22.0,34.6,33.4,99.9,1.0,7.9
2019-02-17,Warangal (U),Hanamkonda,0.0,22.8,36.8,40.2,99.9,0.0,8.1
2019-02-18,Warangal (U),Hanamkonda,0.0,22.2,36.8,40.9,100.0,0.0,6.8
2019-02-19,Warangal (U),Hanamkonda,0.0,22.8,36.8,31.3,99.9,0.0,6.0
2019-02-20,Warangal (U),Hanamkonda,0.0,25.1,36.8,47.4,99.6,2.2,7.9
2019-02-21,Warangal (U),Hanamkonda,0.0,22.0,36.8,42.8,99.9,0.0,6.4
2019-02-22,Warangal (U),Hanamkonda,0.0,24.0,37.3,34.9,93.9,0.0,6.5
2019-02-23,Warangal (U),Hanamkonda,0.0,22.7,37.4,23.9,79.1,0.0,5.8
2019-02-24,Warangal (U),Hanamkonda,0.0,21.3,36.5,23.6,65.7,0.0,4.4
2019-02-25,Warangal (U),Hanamkonda,0.0,21.3,37.5,23.4,71.0,2.2,9.6
2019-02-26,Warangal (U),Hanamkonda,0.0,21.0,36.5,15.3,96.9,0.0,7.7
2019-02-27,Warangal (U),Hanamkonda,0.0,21.6,37.5,40.4,99.9,0.0,9.3
2019-02-28,Warangal (U),Hanamkonda,0.0,21.2,31.8,47.3,99.9,0.0,6.8
